,Concept_ID,pl,lez
0,Auge::N,oko,вил
1,Ohr::N,ucho,яб
2,Nase::N,nos,нер
3,Mund::N,usta,сив
4,Zahn::N,ząb,сас
5,Zahn::N,ząb,свах
6,Zunge::N,język,мез
7,Lippe::N,warga,пӏуз
8,Wange::N,policzek,хъвехъ
9,Gesicht::N,twarz,ччин
10,Stirn::N,czoło,пел
11,Haar::N,włos,чӏар
12,Haar::N,włosy,чӏар
13,Schnurrbart::N,wąsy,спел
14,Schnurrbart::N,wąsy,спелар
15,Bart::N,broda,ччуру
16,Kinn::N,podbródek,чене
17,Kiefer[Anatomie]::N,czeluść,чене
18,Kehle::N,gardło,туьд
19,Hals::N,szyja,гардан
20,Genick::N,kark,кьам
21,Kopf::N,głowa,кьил
22,Rücken::N,plecy,далу
23,Rücken::N,grzbiet,далу
24,Bauch::N,brzuch,руфун
25,Nabel::N,pępek,пицӏ
26,Busen::N,biust,мам
27,Brust::N,pierś,хур
28,Schulter::N,bark,къуьн
29,Schulter::N,ramię,къуьн
30,Arm::N,ręka,гъил
31,Arm::N,ramię,гъил
32,Ellenbogen::N,łokieć,кьуьнт
33,Hand::N,dłoń,капаш
34,Handfläche::N,dłoń,капан юкь
35,Finger::N,palec,тӏуб
36,Fingernagel::N,paznokieć,кек
37,Nagel[Anatomie]::N,paznokieć,кек
38,Zeh::N,palec,кул
39,Fuß::N,stopa,кӏвач
40,Ferse::N,pięta,дабан
41,Knie::N,kolano,мет
42,Oberschenkel::N,udo,
43,Bein::N,noga,кӏвач
44,Körper::N,ciało,беден
45,Haut::N,skóra,хам
46,Blut::N,krew,иви
47,Ader::N,żyła,дамар
48,Sehne::N,ścięgno,кьуру дамар
49,Knochen::N,kość,кӏараб
50,Gehirn::N,mózg,мефт
51,Herz::N,serce,рикӏ
52,Magen::N,żołądek,хук
53,Leber::N,wątroba,лекь
54,Atem::N,dech,ял
55,Atem::N,dech,нефес
56,Atem::N,oddech,ял
57,Atem::N,oddech,нефес
58,Hunger::N,głód,каш
59,Träne::N,łza,вилин нагъв
60,Geschmack::N,smak,дад
61,Geschmack::N,smak,тӏям
62,Geruch::N,woń,ни
63,Geruch::N,zapach,ни
64,Schlaf::N,sen,ахвар
65,Traum::N,sen,ахвар
66,Himmel::N,niebo,цав
67,Sonne::N,słońce,рагъ
68,Mond::N,księżyc,варз
69,Stern::N,gwiazda,гъед
70,Luft::N,powietrze,гьава
71,Wind::N,wiatr,гар
72,Welle::N,fala,лепе
73,Wasser::N,woda,яд
74,Stein::N,kamień,къван
75,Boden::N,grunt,накьв
76,Erde::N,ziemia,ччил
77,Staub::N,pył,руг
78,Staub::N,kurz,руг
79,Rauch::N,dym,гум
80,Funke::N,iskra,цӏелхем
81,Feuer::N,ogień,цӏай
82,Licht::N,światło,экв
83,Schatten::N,cień,серин
84,Wetter::N,pogoda,гьава
85,Nebel::N,mgła,ччилин циф
86,Wolke::N,obłok,циф
87,Wolke::N,chmura,циф
88,Regen::N,deszcz,марф
89,Schnee::N,śnieg,жив
90,Eis::N,lód,мурк
91,Frost::N,mróz,аяз
92,Kälte::N,chłód,мекь
93,Kälte::N,chłód,мекьивал
94,Hitze::N,gorąco,зегьем
95,Raureif::N,szron,къирав
96,Regenbogen::N,tęcza,яргъируш
97,Donner::N,grzmot,цавун ван
98,Strömung::N,nurt,
99,Tropfen::N,kropla,стӏал
100,Schaum::N,piana,каф
101,Schmutz::N,brud,чирк
102,Schmutz::N,brud,кьуруш
103,See::N,jezioro,вир
104,Sumpf::N,bagno,уьлен
105,Moor::N,bagno,
106,Wiese::N,łąka,векь
107,Wald::N,las,там
108,Hügel::N,pagórek,кӏунтӏ
109,Anhöhe::N,wzgórze,тепе
110,Anhöhe::N,wzgórze,гьуьндуьрвал
111,Berg::N,góra,дагъ
112,Gipfel::N,szczyt,кӏукӏ
113,Gipfel::N,wierzchołek,кӏукӏ
114,Höhle::N,pieczara,кьветӏ
115,Abhang::N,stok,гуьне
116,Abhang::N,zbocze,гуьне
117,Quelle::N,zdrój,чешме
118,Quelle::N,źródło,чешме
119,Bach::N,potok,булах
120,Bach::N,strumień,булах
121,Fluss::N,rzeka,вацӏ
122,Ufer::N,brzeg,къерех
123,Küste::N,wybrzeże,къерех
124,Festland::N,ląd,кьурамат
125,Meer::N,morze,гьуьл
126,Bucht::N,zatoka,бухта
127,Insel::N,wyspa,остров
128,Blume::N,kwiat,цуьк
129,Gras::N,trawa,хъач
130,Wurzel::N,korzeń,дувул
131,Baum::N,drzewo,ттар
132,Stamm::N,pień,тан
133,Rinde::N,kora,чкал
134,Ast::N,gałąź,тӏур
135,Zweig::N,gałąź,хел
136,Blatt::N,liść,пеш
137,Birke::N,brzoza,верх
138,Kiefer[Baum]::N,sosna,шамагъаж
139,Weide[Baum]::N,wierzba,цӏвелин ттар
140,Tanne::N,jodła,ель
141,Horn::N,róg,карч
142,Feder::N,pióro,цӏакул
143,Fell::N,futro,хам
144,Flügel::N,skrzydło,лув
145,Klaue::N,szpon,къармах
146,Kralle::N,pazur,пац
