,Concept_ID,te,br
0,Auge::N,కన్ను,lagad
1,Ohr::N,చెవి,skouarn
2,Nase::N,ముక్కు,fri
3,Mund::N,నోరు,genoù
4,Zahn::N,పల్లు,dant
5,Zunge::N,నాలుక,teod
6,Lippe::N,పెదవి,muzell
7,Wange::N,చెంప,chot
8,Gesicht::N,ముఖము,dremm
9,Stirn::N,నుదురు,tal
10,Haar::N,వెండ్రుక,blev
11,Schnurrbart::N,మీసము,mourenn
12,Bart::N,గడ్డము,barv
13,Kinn::N,గడ్డము,groñj
14,Kiefer[Anatomie]::N,దౌడ,javed
15,Kehle::N,గొంతు,gouzoug
16,Hals::N,మెడ,gouzoug
17,Genick::N,మూపు,choug
18,Kopf::N,తల,penn
19,Rücken::N,వెన్ను,kein
20,Bauch::N,కడుపు,kof
21,Nabel::N,బొడ్డు,begel
22,Busen::N,స్తనము,bronn
23,Brust::N,ఱొమ్ము,bruched
24,Schulter::N,భుజము,skoaz
25,Arm::N,చేయి,brec'h
26,Ellenbogen::N,మోచేయి,ilin
27,Hand::N,చేయి,dorn
28,Handfläche::N,అరచేయు,palv
29,Finger::N,చేతిప్రేలు,biz
30,Fingernagel::N,గోరు,ivin
31,Nagel[Anatomie]::N,గోరు,ivin
32,Zeh::N,కాలిప్రేలు,biz-troad
33,Fuß::N,అడుగు,troad
34,Ferse::N,మడమ,seul
35,Knie::N,మోకాలు,glin
36,Oberschenkel::N,తొడ,morzhed
37,Bein::N,కాలు,gar
38,Körper::N,కాయము,korf
39,Haut::N,చర్మము,kroc'hen
40,Blut::N,రక్తము,gwad
41,Ader::N,సిర,gwazhi
42,Sehne::N,స్నాయువు,stir
43,Knochen::N,ఎముక,askorn
44,Gehirn::N,మెదడు,empenn
45,Herz::N,హృదయము,kalon
46,Magen::N,కడుపు,stomog
47,Leber::N,కాలేయము,avu
48,Atem::N,ఉపిరి,anal
49,Hunger::N,ఆకలి,naon
50,Träne::N,కన్నీటిచుక్క,daer
51,Geschmack::N,రుచి,blaz
52,Geruch::N,వాసన,c'hwezh
53,Schlaf::N,నిద్ర,kousked
54,Traum::N,కల,hune
55,Himmel::N,ఆకాశము,oabl
