,Concept_ID,ba,hu
0,Auge::N,күҙ,szem
1,Ohr::N,ҡолаҡ,fül
2,Nase::N,танау,orr
3,Mund::N,ауыҙ,száj
4,Zahn::N,теш,fog
5,Zunge::N,тел,nyelv
6,Lippe::N,ирен,ajak
7,Wange::N,яцаҡтар,orca
8,Gesicht::N,бит,arc
9,Stirn::N,маңлай,homlok
10,Haar::N,сәс,haj
11,Schnurrbart::N,мылтыҡ,bajusz
12,Bart::N,һаҡал,szakáll
13,Kinn::N,эйэк,áll
14,Kiefer[Anatomie]::N,яңаҡ һөйәге,állkapocs
15,Kehle::N,тамаҡ,gége
16,Kehle::N,тамаҡ,torok
17,Hals::N,муйын,nyak
18,Genick::N,соңҡа,tarkó
19,Kopf::N,баш,fő
20,Kopf::N,баш,fej
21,Rücken::N,арҡа,hát
22,Bauch::N,ҡорһаҡ,has
23,Nabel::N,кендек,köldök
24,Busen::N,күкрәк,mell
25,Busen::N,күкрәк,kebel
26,Brust::N,түш,mell
27,Schulter::N,яурын,váll
28,Arm::N,ҡул,kar
29,Ellenbogen::N,терһәк,könyök
30,Hand::N,ҡул,kéz
31,Hand::N,ҡул суғы,kéz
32,Handfläche::N,ус төбө,tenyér
33,Finger::N,бармаҡ,ujj
34,Fingernagel::N,тырнаҡ,köröm
35,Nagel[Anatomie]::N,тырнаҡ,köröm
36,Zeh::N,бармаҡ,lábujj
37,Fuß::N,табан,láb
38,Ferse::N,үксә,sarok
39,Knie::N,тубыҡ,térd
40,Oberschenkel::N,сандыр,comb
41,Bein::N,аяҡ,láb
42,Bein::N,аяҡ,lábszár
43,Körper::N,тән,test
44,Haut::N,тире,bőr
45,Blut::N,ҡан,vér
46,Ader::N,тамыр,ér
47,Sehne::N,һеңер,ín
48,Sehne::N,тарамыш,ín
49,Knochen::N,һойәк,csont
50,Gehirn::N,мейе,agy
51,Gehirn::N,мейе,agyvelő
52,Herz::N,йорәк,szív
53,Magen::N,ашҡаҙан,gyomor
54,Leber::N,бауыр,máj
55,Atem::N,һулыш,lehelet
56,Atem::N,һулыш,lélegzet
57,Hunger::N,аслыҡ,éhség
58,Träne::N,күҙ иәше,könny
59,Geschmack::N,тәм,íz
60,Geruch::N,еҫ,szag
61,Schlaf::N,йоҡлау,álom
62,Schlaf::N,йоҡлау,alvás
63,Traum::N,төш,álom
64,Himmel::N,күк,ég
65,Himmel::N,күк,menny
66,Sonne::N,ҡояш,nap
67,Mond::N,ай,hold
68,Stern::N,йондоҙ,csillag
69,Luft::N,һауа,levegő
70,Wind::N,ел,szél
71,Welle::N,тулҡын,hullám
72,Wasser::N,һыу,víz
73,Stein::N,таш,kő
74,Boden::N,тупраҡ,föld
75,Boden::N,тупраҡ,talaj
76,Erde::N,балсҡ,föld
77,Staub::N,туҙан,por
78,Rauch::N,төтөн,füst
79,Funke::N,осҡон,szikra
80,Feuer::N,ут,tűz
81,Licht::N,яҡтылыҡ,fény
82,Schatten::N,күләгә,árnyék
83,Wetter::N,һауа торошо,idő
84,Wetter::N,һауа торошо,időjárás
85,Nebel::N,төман,köd
86,Wolke::N,болот,felhő
87,Regen::N,ямғыр,eső
88,Schnee::N,ҡар,hó
89,Eis::N,боҙ,jég
90,Frost::N,һалҡын,fagy
91,Kälte::N,һыуыҡ,hideg
92,Hitze::N,томра,hő
93,Hitze::N,томра,hőség
94,Hitze::N,эҫелек,hő
95,Hitze::N,эҫелек,hőség
96,Raureif::N,ҡырау,zúzmara
97,Regenbogen::N,йәйғор,szivárvány
98,Donner::N,күк күкрәү,dörgés
99,Donner::N,күк күкрәү,mennydörgés
100,Strömung::N,ағым,áramlat
101,Tropfen::N,тамсы,csepp
102,Schaum::N,күбек,hab
103,Schaum::N,күбек,tajték
104,Schmutz::N,батҡаҡ,piszok
105,See::N,күл,tó
106,Sumpf::N,һаҙлык,mocsár
107,Moor::N,һаҙ,láp
108,Wiese::N,болон,rét
109,Wiese::N,болон,mező
110,Wald::N,урман,erdő
111,Hügel::N,түбә,domb
112,Anhöhe::N,түбә,magaslat
113,Anhöhe::N,ҡалҡыулыҡ,magaslat
114,Berg::N,тау,hegy
115,Gipfel::N,түбә,csúcs
116,Höhle::N,мәмерйә,barlang
117,Abhang::N,ипкен,lejtő
118,Quelle::N,шишмә,forrás
119,Bach::N,шишмә,patak
120,Fluss::N,йылға,folyó
121,Ufer::N,яр,part
122,Küste::N,яр буйы,tengerpart
123,Festland::N,ҡоро ер,szárazföld
124,Meer::N,диңгез,tenger
125,Bucht::N,бухта,öböl
126,Insel::N,үтрау,sziget
127,Blume::N,сәскә,virág
128,Gras::N,үлән,fű
129,Wurzel::N,тамыр,gyökér
130,Baum::N,ағас,fa
131,Stamm::N,олон,tő
132,Stamm::N,олон,törzs
133,Stamm::N,көбәк,tő
134,Stamm::N,көбәк,törzs
135,Rinde::N,ҡабыҡ,kéreg
136,Ast::N,ботаҡ,ág
137,Zweig::N,ботаҡ,gally
138,Zweig::N,тармаҡ,gally
139,Blatt::N,япраҡ,levél
140,Birke::N,ҡайын,nyír
141,Kiefer[Baum]::N,ҡарғай,fenyő
142,Weide[Baum]::N,тал,fűz
143,Tanne::N,шыршы,fenyő
144,Horn::N,мөғөҙ,szarv
145,Feder::N,ҡауырһын,toll
146,Fell::N,тире,szőr
147,Fell::N,тире,bunda
148,Flügel::N,ҡанат,szárny
149,Klaue::N,тырнаҡ,köröm
150,Kralle::N,аяҡ,karom
151,Schwanz::N,ҡойроҡ,farok
152,Ei::N,йомортҡа,tojás
153,Nest::N,оя,fészek
154,Bau::N,оң,odú
155,Tier::N,жайуан,állat
156,Tier::N,йыртҡыс,állat
157,Herde::N,көтөү,nyáj
158,Herde::N,көтөү,csorda
159,Kuh::N,һыйыр,tehén
160,Bulle::N,үгеҙ,bika
161,Pferd::N,ат,ló
162,Schaf::N,һарыҡ,juh
163,Schaf::N,һарыҡ,birka
164,Schwein::N,сусҡа,sertés
165,Hund::N,эт,eb
166,Hund::N,эт,kutya
167,Katze::N,бесәй,macska
168,Bär::N,айыу,medve
169,Eichhörnchen::N,тейен,mókus
170,Elch::N,мышы,jávorszarvas
171,Fuchs::N,төлкө,róka
172,Hase::N,ҡуян,nyúl
173,Maus::N,сысҡан,egér
174,Wolf::N,бүре,farkas
175,Vogel::N,ҡош,madár
176,Schwarm::N,көтөү,raj
177,Huhn::N,тауыҡ,tyúk
178,Hahn::N,әтәс,kakas
179,Gans::N,ҡаҙ,lúd
180,Gans::N,ҡаҙ,liba
181,Adler::N,бөркөт,sas
182,Ente::N,өйрәк,kacsa
183,Eule::N,өкө,bagoly
184,Eule::N,ябалаҡ,bagoly
185,Kranich::N,торна,daru
186,Krähe::N,ҡарға,varjú
187,Kuckuck::N,кәкүк,kakukk
188,Schwan::N,аҡҡош,hattyú
189,Fisch::N,балыҡ,hal
190,Barsch::N,алабуға,sügér
191,Hecht::N,суртан,csuka
192,Schlange[Tier]::N,йылан,kígyó
193,Wurm::N,селяүсен,kukac
194,Spinne::N,үрмәксе,pók
195,Ameise::N,ҡырмыҫҡа,hangya
196,Laus::N,бет,tetű
197,Mücke::N,серәкәй,szúnyog
198,Fliege::N,себен,légy
199,Schmetterling::N,күбәләк,lepke
200,Schmetterling::N,күбәләк,pillangó
201,Beere::N,еләк,bogyó
202,Apfel::N,алма,alma
203,Pilz::N,бәшмәк,gomba
204,Zwiebel::N,һуган,hagyma
205,Saat::N,орлоҡ,vetőmag
206,Korn::N,иген,mag
207,Korn::N,иген,szem
208,Heu::N,бесән,széna
209,Schale::N,ҡабыҡ,héj
210,Grube::N,соҡор,verem
211,Falle::N,тоҙак,csapda
212,Falle::N,ҡапҡан,csapda
213,Schlinge::N,тоҙак,tőr
214,Spur::N,әҫер,nyom
215,Asche::N,көл,hamu
216,Dreck::N,батҡаҡ,sár
217,Dreck::N,батҡаҡ,piszok
218,Eisen::N,тимер,vas
219,Gold::N,алтын,arany
220,Silber::N,көмөш,ezüst
221,Kohle::N,күмер,szén
222,Glas::N,быяла,üveg
223,Lehm::N,балсыҡ,agyag
224,Lehm::N,балсыҡ,vályog
225,Sand::N,ҡом,homok
226,Mensch::N,кеше,ember
227,Mann::N,ир,úr
228,Mann::N,ир,férfi
229,Frau::N,ҡатын,nő
230,Frau::N,ҡатын,asszony
231,Kind::N,бала,gyerek
232,Kind::N,бала,gyermek
233,Junge::N,малай,fiú
234,Mädchen::N,ҡыҙ,lány
235,Mädchen::N,ҡыҙыҡай,lány
236,Familie::N,ғаилә,család
237,Großvater::N,олатай,nagyapa
238,Großmutter::N,әбәй,nagyanya
239,Eltern::N,ата-әсә,szülők
240,Vater::N,атай,apa
