,Concept_ID,no,fa
0,Auge::N,øye,چشم
1,Ohr::N,øre,گوش
2,Nase::N,nese,بینی
3,Mund::N,munn,دهان
4,Zahn::N,tann,دندان
5,Zunge::N,tunge,زبان
6,Lippe::N,leppe,لب
7,Wange::N,kinn,لپ
8,Gesicht::N,fjes,رو
9,Gesicht::N,fjes,چهره
10,Gesicht::N,ansikt,رو
11,Gesicht::N,ansikt,چهره
12,Stirn::N,panne,پیشانی
13,Haar::N,hår,مو
14,Schnurrbart::N,bart,سبیل
15,Bart::N,skjegg,ریش
16,Kinn::N,hake,چانه
17,Kiefer[Anatomie]::N,kjeve,فک
18,Kiefer[Anatomie]::N,kjeve,آرواره
19,Kehle::N,strupe,حلق
20,Hals::N,hals,گردن
21,Genick::N,nakke,پشت گردن
22,Kopf::N,hode,سر
23,Kopf::N,hode,کله
24,Rücken::N,rygg,پشت
25,Bauch::N,buk,شکم
26,Bauch::N,mage,شکم
27,Nabel::N,navle,ناف
28,Busen::N,barm,پستان
29,Brust::N,bryst,سینه
30,Schulter::N,skulder,دوش
31,Schulter::N,skulder,شانه
32,Arm::N,arm,بازو
33,Ellenbogen::N,albue,آرنج
34,Hand::N,hånd,دست
35,Handfläche::N,håndflate,کف دست
36,Finger::N,finger,انگشت
37,Fingernagel::N,fingernegl,ناخن دست
38,Nagel[Anatomie]::N,negl,ناخن
39,Zeh::N,tå,انگشت پا
40,Fuß::N,fot,پا
41,Ferse::N,hæl,پاشنه
42,Knie::N,kne,زانو
43,Oberschenkel::N,lår,ران
44,Bein::N,bein,پا
45,Bein::N,bein,لنگ
46,Körper::N,kropp,تن
47,Körper::N,kropp,بدن
48,Körper::N,legeme,تن
49,Körper::N,legeme,بدن
50,Haut::N,hud,پوست
51,Haut::N,skinn,پوست
52,Blut::N,blod,خون
53,Ader::N,åre,رگ
54,Sehne::N,sene,زردپی
55,Knochen::N,bein,استخوان
56,Knochen::N,knokkel,استخوان
57,Gehirn::N,hjerne,مخ
58,Gehirn::N,hjerne,مغز
59,Herz::N,hjerte,دل
60,Herz::N,hjerte,قلب
61,Magen::N,mage,معده
62,Leber::N,lever,کبد
63,Atem::N,pust,نفس
64,Hunger::N,sult,گرسنگی
65,Träne::N,tåre,اشک
66,Geschmack::N,smak,مزه
67,Geruch::N,lukt,بو
68,Schlaf::N,søvn,خواب
69,Traum::N,drøm,رؤیا
70,Himmel::N,himmel,فلک
71,Himmel::N,himmel,آسمان
72,Sonne::N,sol,آفتاب
73,Sonne::N,sol,خورشید
74,Mond::N,måne,ماه
75,Stern::N,stjerne,ستاره
76,Luft::N,luft,هوا
77,Wind::N,vind,باد
78,Welle::N,bølge,موج
79,Wasser::N,vann,آب
80,Stein::N,stein,سنگ
81,Boden::N,bakke,زمین
82,Erde::N,jord,خاک
83,Erde::N,jord,زمین
84,Staub::N,støv,گرد
85,Staub::N,støv,غبار
86,Rauch::N,røyk,دود
87,Funke::N,gnist,جرقه
88,Feuer::N,ild,آتش
89,Licht::N,lys,نور
90,Licht::N,lys,روشنی
91,Schatten::N,skygge,سایه
92,Wetter::N,vær,هوا
93,Nebel::N,tåke,مه
94,Wolke::N,sky,ابر
95,Regen::N,regn,باران
96,Schnee::N,snø,برف
97,Eis::N,is,یخ
98,Frost::N,frost,یخبندان
99,Kälte::N,kulde,سرما
100,Hitze::N,hete,گرما
101,Hitze::N,hete,حرارت
102,Raureif::N,rimfrost,برف ریزه
103,Regenbogen::N,regnbue,رنگین‌کمان
104,Donner::N,torden,رعد
105,Strömung::N,strømning,جریان
106,Tropfen::N,dråpe,قطره
107,Schaum::N,skum,کف
108,Schmutz::N,søl,گل
109,Schmutz::N,søl,کثافت
110,Schmutz::N,skitt,گل
111,Schmutz::N,skitt,کثافت
112,See::N,sjø,دریاچه
113,Sumpf::N,sump,مرداب
114,Sumpf::N,sump,باتلاق
115,Sumpf::N,myrlende,مرداب
116,Sumpf::N,myrlende,باتلاق
117,Moor::N,myr,باتلاق
118,Moor::N,myrhei,باتلاق
119,Wiese::N,eng,چمن
120,Wald::N,skog,جنگل
121,Hügel::N,haug,تل
