,Concept_ID,da,vep
0,Auge::N,øje,sil'm
1,Ohr::N,øre,korv
2,Nase::N,næse,nena
3,Mund::N,mund,su
4,Zahn::N,tand,pi
5,Zahn::N,tand,hambaz
6,Zunge::N,tunge,kel'
7,Lippe::N,læbe,hul'
8,Wange::N,kind,modpolišk
9,Gesicht::N,ansigt,mod
10,Stirn::N,pande,oc
11,Haar::N,hår,tuk
12,Haar::N,hår,hibuz
13,Schnurrbart::N,overskæg,habinod
14,Bart::N,skæg,bard
15,Kinn::N,hage,löug
16,Kiefer[Anatomie]::N,kæbe,hambazlu
17,Kehle::N,strube,kurk
18,Hals::N,hals,kagl
19,Genick::N,nakke,tagarai
20,Kopf::N,hoved,pä
21,Rücken::N,ryg,sel'g
22,Bauch::N,mave,vac
23,Bauch::N,mave,koht
24,Nabel::N,navle,naba
25,Busen::N,barm,niža
26,Brust::N,bryst,rind
27,Schulter::N,skulder,oug
28,Arm::N,arm,käzi
29,Ellenbogen::N,albue,künambruz
30,Hand::N,hånd,käzi
31,Hand::N,hånd,käzitera
32,Handfläche::N,håndflade,kämen
33,Finger::N,finger,sor'm
34,Fingernagel::N,fingernegl,künz'
35,Nagel[Anatomie]::N,negl,künz'
36,Zeh::N,tå,barbaz
37,Fuß::N,fod,jaug
38,Ferse::N,hæl,kand
39,Knie::N,knæ,komb
40,Knie::N,knæ,pol'v
41,Oberschenkel::N,lår,riiže
42,Bein::N,ben,jaug
43,Körper::N,krop,hibj
44,Körper::N,legeme,hibj
45,Haut::N,hud,nahk
46,Blut::N,blod,čak
47,Blut::N,blod,veri
48,Ader::N,åre,son'
49,Sehne::N,sene,jände
50,Knochen::N,ben,lu
51,Gehirn::N,hjerne,aivod
52,Herz::N,hjerte,südäin
53,Magen::N,mave,südäikoht
54,Leber::N,lever,maks
55,Atem::N,ånde,hengaiduz
56,Hunger::N,sult,näl'g
57,Träne::N,tåre,kündal'
58,Geschmack::N,smag,magu
59,Geruch::N,lugt,haju
60,Schlaf::N,søvn,uni
61,Traum::N,drøm,unikuva
62,Himmel::N,himmel,taivaz
63,Sonne::N,sol,päiväine
64,Mond::N,måne,kudmaine
65,Stern::N,stjerne,tähtaz
66,Luft::N,luft,il'm
67,Wind::N,vind,döl
68,Wind::N,vind,tullei
69,Welle::N,bølge,ald
70,Welle::N,bølge,laineh
71,Wasser::N,vand,vezi
72,Stein::N,sten,kivi
73,Boden::N,jord,ma
74,Boden::N,jord,pohj
75,Erde::N,jord,ma
76,Staub::N,støv,pölü
77,Rauch::N,røg,savu
78,Funke::N,gnist,kibin
79,Feuer::N,ild,lämoi
80,Licht::N,lys,vauktuz
81,Schatten::N,skygge,pil'vez
82,Schatten::N,skygge,kuvahaine
83,Wetter::N,vejr,sä
84,Nebel::N,tåge,sumeg
85,Wolke::N,sky,pil'v
86,Regen::N,regn,vihm
87,Schnee::N,sne,lumi
88,Eis::N,is,jä
89,Frost::N,frost,hala
90,Frost::N,frost,pakaine
91,Kälte::N,kulde,vilu
92,Hitze::N,hede,räk
93,Raureif::N,rimfrost,hüde
94,Regenbogen::N,regnbue,jumalanbembel'
95,Donner::N,torden,juru
96,Donner::N,torden,jumalanjuru
97,Strömung::N,strømning,joksmuz
98,Tropfen::N,dråbe,tilkuine
99,Schaum::N,skum,vaht
100,Schmutz::N,snavs,redu
101,Schmutz::N,snavs,pačak
102,See::N,sø,järv
103,Sumpf::N,sump,so
104,Moor::N,mose,so
105,Wiese::N,eng,nit
106,Wald::N,skov,mec
107,Hügel::N,høj,kukaz
108,Hügel::N,bakke,kukaz
109,Anhöhe::N,høj,kukaz
110,Anhöhe::N,bakke,kukaz
111,Berg::N,bjerg,mägi
112,Gipfel::N,top,ladv
113,Höhle::N,hule,mägionduz
114,Abhang::N,skrænt,paute
115,Abhang::N,skråning,paute
116,Quelle::N,kilde,lähte
117,Bach::N,bæk,oja
118,Fluss::N,flod,jogi
119,Ufer::N,bred,rand
120,Küste::N,kyst,randišt
121,Festland::N,fastland,kuivma
122,Meer::N,hav,meri
123,Bucht::N,bugt,laht
124,Insel::N,ø,sar'
125,Blume::N,blomst,änik
126,Gras::N,græs,hein
127,Wurzel::N,rod,jur'
128,Baum::N,træ,pu
129,Stamm::N,stamme,tüvi
130,Rinde::N,bark,kor'
131,Ast::N,gren,oks
132,Zweig::N,kvist,oks
133,Zweig::N,kvist,barb
134,Blatt::N,blad,lehtez
135,Birke::N,birk,koiv
136,Kiefer[Baum]::N,fyrretræ,pedai
137,Weide[Baum]::N,piletræ,raid
138,Tanne::N,gran,kuz'
139,Horn::N,horn,sar'v
140,Feder::N,fjer,höuneh
141,Fell::N,skind,nahk
142,Flügel::N,vinge,suug
143,Klaue::N,klov,künz'
144,Kralle::N,klo,künz'
145,Schwanz::N,hale,händ
146,Ei::N,æg,muna
147,Nest::N,rede,peza
