,Concept_ID,br,ru
0,Auge::N,lagad,глаз
1,Ohr::N,skouarn,ухо
2,Nase::N,fri,нос
3,Mund::N,genoù,рот
4,Zahn::N,dant,зуб
5,Zunge::N,teod,язык
6,Lippe::N,muzell,губа
7,Wange::N,chot,щека
8,Gesicht::N,dremm,лицо
9,Stirn::N,tal,лоб
10,Haar::N,blev,волос
11,Haar::N,blev,волосы
12,Schnurrbart::N,mourenn,ус
13,Schnurrbart::N,mourenn,усы
14,Bart::N,barv,борода
15,Kinn::N,groñj,подбородок
16,Kiefer[Anatomie]::N,javed,челюсть
17,Kehle::N,gouzoug,горло
18,Hals::N,gouzoug,шея
19,Genick::N,choug,затылок
20,Kopf::N,penn,голова
21,Rücken::N,kein,спина
22,Bauch::N,kof,живот
23,Nabel::N,begel,пупок
24,Busen::N,bronn,женская грудь
25,Brust::N,bruched,грудь
26,Schulter::N,skoaz,плечо
27,Arm::N,brec'h,рука
28,Ellenbogen::N,ilin,локоть
29,Hand::N,dorn,кисть
30,Handfläche::N,palv,ладонь
31,Finger::N,biz,палец
32,Fingernagel::N,ivin,ноготь
33,Nagel[Anatomie]::N,ivin,ноготь
34,Zeh::N,biz-troad,палец
35,Fuß::N,troad,ступня
36,Ferse::N,seul,пята
37,Ferse::N,seul,пятка
38,Knie::N,glin,колено
39,Oberschenkel::N,morzhed,бедро
40,Bein::N,gar,нога
41,Körper::N,korf,тело
42,Haut::N,kroc'hen,кожа
43,Blut::N,gwad,кровь
44,Ader::N,gwazhi,вена
45,Ader::N,gwazhi,сосуд
46,Sehne::N,stir,жила
47,Sehne::N,stir,тетива
48,Sehne::N,stir,сухожилие
49,Knochen::N,askorn,кость
50,Gehirn::N,empenn,мозг
51,Herz::N,kalon,сердце
52,Magen::N,stomog,желудок
53,Leber::N,avu,печень
54,Atem::N,anal,дух
55,Atem::N,anal,дыхание
56,Hunger::N,naon,голод
57,Träne::N,daer,слеза
58,Geschmack::N,blaz,вкус
59,Geruch::N,c'hwezh,запах
60,Schlaf::N,kousked,сон
61,Traum::N,hune,сновидение
62,Himmel::N,oabl,небо
63,Sonne::N,heol,солнце
64,Mond::N,loar,луна
65,Stern::N,steredenn,звезда
66,Luft::N,aer,воздух
67,Wind::N,avel,ветер
68,Welle::N,houlenn,волна
69,Wasser::N,dour,вода
70,Stein::N,maen,камень
71,Boden::N,tachenn,почва
72,Erde::N,douar,земля
73,Staub::N,poultr,пыль
74,Rauch::N,moged,дым
75,Funke::N,ful,искра
76,Feuer::N,tan,огонь
77,Licht::N,gouloù,свет
78,Schatten::N,disheol,тень
79,Wetter::N,amzer,погода
80,Nebel::N,brumenn,туман
81,Wolke::N,koumoulenn,облако
82,Regen::N,glav,дождь
83,Schnee::N,erc'h,снег
84,Eis::N,skorn,лед
85,Frost::N,rev,мороз
86,Kälte::N,yen,холод
87,Hitze::N,tommder,жара
88,Raureif::N,frim,иней
89,Regenbogen::N,gwareg-ar-glav,радуга
90,Donner::N,kurun,гром
91,Strömung::N,red,течение
92,Tropfen::N,bannac'h,капля
93,Tropfen::N,takenn,капля
94,Schaum::N,spoum,пена
95,Schmutz::N,fank,грязь
96,See::N,lenn,озеро
97,Sumpf::N,gwern,топь
98,Moor::N,taouarc'heg,болото
99,Wiese::N,prad,луг
100,Wald::N,koad,лес
101,Hügel::N,torgenn,холм
102,Anhöhe::N,run,возвышенность
103,Berg::N,menez,гора
104,Gipfel::N,barr,вершина
105,Höhle::N,kav,пещера
106,Abhang::N,naou,склон
107,Quelle::N,feunteun,источник
108,Bach::N,gwazh,ручей
109,Fluss::N,stêr,река
110,Ufer::N,ribl,берег
111,Küste::N,aod,побережье
112,Festland::N,douar,суша
113,Meer::N,mor,море
114,Bucht::N,mor-bihan,бухта
115,Insel::N,enez,остров
116,Blume::N,bleunienn,цветок
117,Gras::N,geot,трава
118,Wurzel::N,gwrizienn,корень
119,Baum::N,gwezenn,дерево
120,Stamm::N,kef,ствол
121,Rinde::N,rusk,кора
122,Ast::N,barr,сук
123,Zweig::N,bod,ветвь
124,Blatt::N,delienn,лист
125,Birke::N,bezvenn,береза
126,Kiefer[Baum]::N,pinenn,сосна
127,Weide[Baum]::N,halegenn,ива
128,Tanne::N,sapenn,ель
129,Horn::N,korn,рог
130,Feder::N,pluñv,перо
131,Fell::N,kreoñ,шкура
132,Flügel::N,askell,крыло
133,Klaue::N,skilf,коготь
134,Kralle::N,skilf,лапа
135,Schwanz::N,lost,хвост
136,Ei::N,vi,яйцо
137,Nest::N,neizh,гнездо
138,Bau::N,douarenn,нора
139,Tier::N,loen,животное
140,Herde::N,tropell,стадо
141,Kuh::N,buoc'h,корова
142,Bulle::N,tarv,бык
143,Pferd::N,marc'h,лошадь
144,Schaf::N,dañvad,овца
145,Schwein::N,pemoc'h,свинья
146,Hund::N,ki,собака
147,Katze::N,kazh,кошка
148,Bär::N,arzh,медведь
149,Eichhörnchen::N,gwiñver,белка
150,Elch::N,karv-dour,лось
151,Fuchs::N,louarn,лиса
152,Hase::N,gad,заяц
153,Maus::N,logodenn,мышь
154,Wolf::N,bleiz,волк
155,Vogel::N,labous,птица
156,Schwarm::N,nijad,стая
157,Huhn::N,yar,курица
158,Hahn::N,kilhog,петух
159,Gans::N,gwazenn,гусь
160,Adler::N,erer,орел
161,Ente::N,houad,утка
162,Eule::N,toud,сова
163,Kranich::N,garan,журавль
164,Krähe::N,bran,ворона
165,Kuckuck::N,koukoug,кукушка
166,Schwan::N,alarc'h,лебедь
167,Fisch::N,pesk,рыба
168,Barsch::N,brell,окунь
169,Hecht::N,beked,щука
170,Schlange[Tier]::N,naer,змея
171,Wurm::N,preñv,червяк
172,Spinne::N,kevnidenn,паук
173,Ameise::N,merion,муравей
174,Laus::N,laouenn,вошь
175,Mücke::N,moustik,комар
176,Fliege::N,kelienenn,муха
177,Schmetterling::N,balafenn,бабочка
178,Beere::N,hog,ягода
179,Apfel::N,aval,яблоко
180,Pilz::N,kabell-touseg,гриб
181,Zwiebel::N,ognonenn,луковица
182,Saat::N,had,семя
183,Korn::N,ed,зерно
184,Heu::N,foenn,сено
185,Schale::N,peliadur,шелуха
186,Falle::N,pech,ловушка
187,Schlinge::N,krouglas,силок
188,Asche::N,ludu,зола
189,Asche::N,ludu,пепел
190,Dreck::N,fank,грязь
191,Eisen::N,houarn,железо
192,Gold::N,aour,золото
193,Silber::N,arc'hant,серебро
194,Kohle::N,glaou,уголь
195,Glas::N,gwer,стекло
196,Sand::N,traezh,песок
197,Mensch::N,den,человек
198,Mann::N,den,мужчина
199,Frau::N,maouez,женщина
200,Kind::N,bugel,ребенок
201,Junge::N,paotr,мальчик
202,Mädchen::N,plac'h,девочка
203,Familie::N,familh,семья
204,Großvater::N,tad-kozh,дедушка
205,Großmutter::N,mamm-gozh,бабушка
206,Eltern::N,kerent,родители
207,Vater::N,tad,отец
208,Mutter::N,mamm,мать
209,Sohn::N,mab,сын
210,Tochter::N,merc'h,дочь
211,Bruder::N,breur,брат
212,Schwester::N,c'hoar,сестра
213,Onkel::N,eontr,дядя
214,Tante::N,moereb,тетя
215,Ehemann::N,gwaz,муж
216,Ehefrau::N,gwreg,жена
217,Freude::N,levenez,радость
218,Gelächter::N,c'hoarzherezh,смех
219,Glück::N,chañs,счастье
220,Kummer::N,doan,горе
221,Wunsch::N,c'hoant,желание
222,Lust::N,c'hoant,влечение
223,Geist::N,spered,дух
224,Gedanke::N,soñj,мысль
225,Gedächtnis::N,eñvor,память
226,Verstand::N,skiant,ум
227,Sinn::N,ster,смысл
228,Grund::N,kaoz,повод
229,Wahrheit::N,gwirionez,правда
230,Gespräch::N,kaozeadenn,беседа
231,Märchen::N,kaoz korriganez,сказка
232,Erzählung::N,kontadenn,рассказ
233,Nachricht::N,keloù,сообщение
234,Neuigkeit::N,kelaouenn,новость
235,Name::N,anv,имя
236,Rätsel::N,divinatez,загадка
237,Rede::N,diskour,речь
