,Concept_ID,no,pl
0,Auge::N,øye,oko
1,Ohr::N,øre,ucho
2,Nase::N,nese,nos
3,Mund::N,munn,usta
4,Zahn::N,tann,ząb
5,Zunge::N,tunge,język
6,Lippe::N,leppe,warga
7,Wange::N,kinn,policzek
8,Gesicht::N,fjes,twarz
9,Gesicht::N,ansikt,twarz
10,Stirn::N,panne,czoło
11,Haar::N,hår,włos
12,Haar::N,hår,włosy
13,Schnurrbart::N,bart,wąsy
14,Bart::N,skjegg,broda
15,Kinn::N,hake,podbródek
16,Kiefer[Anatomie]::N,kjeve,czeluść
17,Kehle::N,strupe,gardło
18,Hals::N,hals,szyja
19,Genick::N,nakke,kark
20,Kopf::N,hode,głowa
21,Rücken::N,rygg,plecy
22,Rücken::N,rygg,grzbiet
23,Bauch::N,buk,brzuch
24,Bauch::N,mage,brzuch
25,Nabel::N,navle,pępek
26,Busen::N,barm,biust
27,Brust::N,bryst,pierś
28,Schulter::N,skulder,bark
29,Schulter::N,skulder,ramię
30,Arm::N,arm,ręka
31,Arm::N,arm,ramię
32,Ellenbogen::N,albue,łokieć
33,Hand::N,hånd,dłoń
34,Handfläche::N,håndflate,dłoń
35,Finger::N,finger,palec
36,Fingernagel::N,fingernegl,paznokieć
37,Nagel[Anatomie]::N,negl,paznokieć
38,Zeh::N,tå,palec
39,Fuß::N,fot,stopa
40,Ferse::N,hæl,pięta
41,Knie::N,kne,kolano
42,Oberschenkel::N,lår,udo
43,Bein::N,bein,noga
44,Körper::N,kropp,ciało
45,Körper::N,legeme,ciało
46,Haut::N,hud,skóra
47,Haut::N,skinn,skóra
48,Blut::N,blod,krew
49,Ader::N,åre,żyła
50,Sehne::N,sene,ścięgno
51,Knochen::N,bein,kość
52,Knochen::N,knokkel,kość
53,Gehirn::N,hjerne,mózg
54,Herz::N,hjerte,serce
55,Magen::N,mage,żołądek
56,Leber::N,lever,wątroba
57,Atem::N,pust,dech
58,Atem::N,pust,oddech
59,Hunger::N,sult,głód
60,Träne::N,tåre,łza
61,Geschmack::N,smak,smak
62,Geruch::N,lukt,woń
63,Geruch::N,lukt,zapach
64,Schlaf::N,søvn,sen
65,Traum::N,drøm,sen
66,Himmel::N,himmel,niebo
67,Sonne::N,sol,słońce
68,Mond::N,måne,księżyc
69,Stern::N,stjerne,gwiazda
70,Luft::N,luft,powietrze
71,Wind::N,vind,wiatr
72,Welle::N,bølge,fala
73,Wasser::N,vann,woda
74,Stein::N,stein,kamień
75,Boden::N,bakke,grunt
76,Erde::N,jord,ziemia
77,Staub::N,støv,pył
78,Staub::N,støv,kurz
79,Rauch::N,røyk,dym
80,Funke::N,gnist,iskra
81,Feuer::N,ild,ogień
82,Licht::N,lys,światło
83,Schatten::N,skygge,cień
84,Wetter::N,vær,pogoda
85,Nebel::N,tåke,mgła
86,Wolke::N,sky,obłok
87,Wolke::N,sky,chmura
88,Regen::N,regn,deszcz
89,Schnee::N,snø,śnieg
90,Eis::N,is,lód
91,Frost::N,frost,mróz
92,Kälte::N,kulde,chłód
93,Hitze::N,hete,gorąco
94,Raureif::N,rimfrost,szron
95,Regenbogen::N,regnbue,tęcza
96,Donner::N,torden,grzmot
97,Strömung::N,strømning,nurt
98,Tropfen::N,dråpe,kropla
99,Schaum::N,skum,piana
100,Schmutz::N,søl,brud
101,Schmutz::N,skitt,brud
102,See::N,sjø,jezioro
103,Sumpf::N,sump,bagno
104,Sumpf::N,myrlende,bagno
105,Moor::N,myr,bagno
106,Moor::N,myrhei,bagno
107,Wiese::N,eng,łąka
108,Wald::N,skog,las
109,Hügel::N,haug,pagórek
110,Hügel::N,bakke,pagórek
111,Anhöhe::N,haug,wzgórze
112,Anhöhe::N,bakke,wzgórze
113,Berg::N,berg,góra
114,Berg::N,fjell,góra
115,Gipfel::N,topp,szczyt
116,Gipfel::N,topp,wierzchołek
117,Höhle::N,hule,pieczara
118,Abhang::N,li,stok
119,Abhang::N,li,zbocze
120,Abhang::N,skråning,stok
121,Abhang::N,skråning,zbocze
