,Concept_ID,fi,el
0,Auge::N,silmä,μάτι
1,Auge::N,silmä,οφθαλμός
2,Ohr::N,korva,αυτί
3,Nase::N,nenä,μύτη
4,Mund::N,suu,στόμα
5,Zahn::N,hammas,δόντι
6,Zunge::N,kieli,γλώσσα
7,Lippe::N,huuli,χείλος
8,Wange::N,poski,παρειά
9,Wange::N,poski,μάγουλο
10,Gesicht::N,naama,πρόσωπο
11,Gesicht::N,kasvot,πρόσωπο
12,Stirn::N,otsa,μέτωπο
13,Haar::N,hius,μαλλιά
14,Haar::N,tukka,μαλλιά
15,Schnurrbart::N,viikset,μουστάκι
16,Bart::N,parta,γένια
17,Kinn::N,leuka,πιγούνι
18,Kiefer[Anatomie]::N,leukaluu,σαγόνι
19,Kehle::N,kurkku,λαρύγγι
20,Hals::N,kaula,λαιμός
21,Genick::N,niska,σβέρκος
22,Kopf::N,pää,κεφάλι
23,Rücken::N,selkä,ράχη
24,Bauch::N,maha,κοιλιά
25,Bauch::N,vatsa,κοιλιά
26,Nabel::N,napa,αφαλός
27,Busen::N,rinta,στήθος
28,Brust::N,rinta,στήθος
29,Schulter::N,olka,ώμος
30,Schulter::N,hartia,ώμος
31,Schulter::N,olkapää,ώμος
32,Arm::N,käsivarsi,χέρι
33,Arm::N,käsivarsi,μπράτςο
34,Ellenbogen::N,kyynärpää,αγκώνας
35,Hand::N,käsi,χέρι
36,Handfläche::N,kämmen,παλάμη
37,Finger::N,sormi,δάχτυλο
38,Fingernagel::N,kynsi,νύχι
39,Nagel[Anatomie]::N,kynsi,νύχι
40,Zeh::N,varvas,δάχτυλο του ποδιού
41,Fuß::N,jalka,πόδι
42,Ferse::N,kantapää,φτέρνα
43,Knie::N,polvi,γόνατο
44,Oberschenkel::N,reisi,μηρός
45,Bein::N,jalka,πόδι
46,Körper::N,keho,σώμα
47,Körper::N,keho,κορμί
48,Körper::N,ruumis,σώμα
49,Körper::N,ruumis,κορμί
50,Haut::N,iho,πετσί
51,Blut::N,veri,αίμα
52,Ader::N,suoni,φλέβα
53,Sehne::N,jänne,νεύρο
54,Sehne::N,jänne,τένοντας
55,Knochen::N,luu,οστό
56,Knochen::N,luu,κόκκαλο
57,Gehirn::N,aivot,μυαλό
58,Gehirn::N,aivot,εγκέφαλος
59,Herz::N,sydän,καρδιά
60,Magen::N,maha,στομάχι
61,Magen::N,vatsa,στομάχι
62,Leber::N,maksa,ήπαρ
63,Leber::N,maksa,συκωτί
64,Atem::N,henki,αναπνοή
65,Atem::N,hengitys,αναπνοή
66,Hunger::N,nälkä,πείνα
67,Träne::N,kyynel,δάκρυ
68,Geschmack::N,maku,γεύση
69,Geruch::N,haju,οσμή
70,Geruch::N,haju,μυρωδία
71,Schlaf::N,uni,ύπνος
72,Traum::N,uni,όνειρο
73,Himmel::N,taivas,ουρανός
74,Sonne::N,aurinko,ήλιος
75,Mond::N,kuu,σελήνη
76,Mond::N,kuu,φεγγάρι
77,Stern::N,tähti,άστρο
78,Stern::N,tähti,αστέρι
79,Luft::N,ilma,αέρας
80,Wind::N,tuuli,αέρας
81,Wind::N,tuuli,άνεμος
82,Welle::N,aalto,κύμα
83,Wasser::N,vesi,νερό
84,Stein::N,kivi,πέτρα
85,Boden::N,maa,χώμα
86,Boden::N,maaperä,χώμα
87,Erde::N,maa,γη
88,Staub::N,pöly,σκόνη
89,Rauch::N,savu,καπνός
90,Funke::N,kipinä,σπίθα
91,Funke::N,kipinä,σπινθήρας
92,Feuer::N,tuli,φωτιά
93,Licht::N,valo,φως
94,Schatten::N,varjo,σκιά
95,Schatten::N,varjo,ίσκιος
96,Wetter::N,sää,καιρός
97,Nebel::N,sumu,ομίχλη
98,Wolke::N,pilvi,σύννεφο
99,Regen::N,sade,βροχή
100,Schnee::N,lumi,χιόνι
101,Eis::N,jää,πάγος
102,Frost::N,halla,παγωνία
103,Frost::N,pakkanen,παγωνία
104,Kälte::N,vilu,κρύο
105,Kälte::N,vilu,ψύχος
106,Kälte::N,kylmyys,κρύο
107,Kälte::N,kylmyys,ψύχος
108,Hitze::N,helle,ζέστη
109,Hitze::N,kuumuus,ζέστη
110,Raureif::N,huurre,πάχνη
111,Regenbogen::N,sateenkaari,ουράνιο τόξο
112,Donner::N,jyrinä,βροντή
113,Strömung::N,virtaus,ρεύμα
114,Tropfen::N,tippa,στάλα
115,Tropfen::N,pisara,στάλα
116,Schaum::N,vaahto,αφρός
117,Schmutz::N,loka,βρωμιά
118,See::N,järvi,λίμνη
119,Sumpf::N,suo,βάλτος
120,Moor::N,räme,έλος
121,Wiese::N,niitty,λιβάδι
122,Wald::N,metsä,δάσος
123,Hügel::N,mäki,λόφος
124,Hügel::N,kumpu,λόφος
125,Hügel::N,kukkula,λόφος
126,Anhöhe::N,mäki,ύψωμα
127,Anhöhe::N,kumpare,ύψωμα
128,Berg::N,mäki,όρος
129,Berg::N,mäki,βουνό
130,Berg::N,vuori,όρος
131,Berg::N,vuori,βουνό
132,Gipfel::N,laki,κορυφή
133,Gipfel::N,huippu,κορυφή
134,Höhle::N,luola,σπηλιά
135,Abhang::N,rinne,πλαγιά
136,Quelle::N,lähde,πηγή
137,Quelle::N,lähde,βρύση
138,Bach::N,puro,ρυάκι
139,Fluss::N,joki,ποτάμι
140,Fluss::N,joki,ποταμός
141,Ufer::N,ranta,όχθη
142,Küste::N,rannikko,ακτή
143,Küste::N,rannikko,ακρογιαλιά
144,Festland::N,manner,στεριά
145,Meer::N,meri,θάλασσα
146,Bucht::N,lahti,κόλπος
147,Insel::N,saari,νησί
148,Insel::N,saari,νήσος
149,Blume::N,kukka,άνθος
150,Blume::N,kukka,λουλούδι
151,Gras::N,ruoho,χόρτο
152,Gras::N,ruoho,χορτάρι
153,Wurzel::N,juuri,ρίζα
154,Baum::N,puu,δέντρο
155,Stamm::N,runko,κορμός
156,Rinde::N,kuori,φλούδα
157,Rinde::N,parkki,φλούδα
158,Ast::N,oksa,κλαδί
159,Zweig::N,haara,κλαδί
160,Zweig::N,haara,κλάδος
161,Blatt::N,lehti,φύλλο
162,Birke::N,koivu,σημύδα
163,Kiefer[Baum]::N,mänty,πεύκο
164,Kiefer[Baum]::N,petäjä,πεύκο
165,Weide[Baum]::N,paju,ιτιά
166,Tanne::N,kuusi,έλατο
167,Horn::N,sarvi,κέρας
168,Horn::N,sarvi,κέρατο
169,Feder::N,sulka,φτερό
170,Feder::N,höyhen,φτερό
171,Fell::N,talja,δέρμα
172,Fell::N,talja,τομάρι
173,Flügel::N,siipi,πτερύγιο
174,Klaue::N,kynsi,κουλό
175,Kralle::N,kynsi,νύχι
176,Schwanz::N,häntä,ουρά
177,Schwanz::N,pyrstö,ουρά
178,Ei::N,muna,αβγό
179,Nest::N,pesä,φωλιά
180,Bau::N,pesä,φωλιά
181,Tier::N,eläin,ζώο
182,Herde::N,lauma,κοπάδι
183,Kuh::N,lehmä,αγελάδα
184,Bulle::N,sonni,ταύρος
185,Pferd::N,hevonen,άλογο
186,Schaf::N,lammas,πρόβατο
187,Schwein::N,sika,γουρούνι
188,Hund::N,koira,σκυλί
189,Hund::N,koira,σκύλος
190,Katze::N,kissa,γάτα
191,Bär::N,karhu,άρκτος
192,Bär::N,karhu,αρκούδα
193,Eichhörnchen::N,orava,βερβερίτσα
194,Elch::N,hirvi,άλκη
195,Fuchs::N,kettu,αλεπού
196,Hase::N,jänis,λαγός
197,Maus::N,hiiri,ποντικός
198,Wolf::N,susi,λύκος
199,Vogel::N,lintu,πουλί
200,Schwarm::N,parvi,σμήνος
201,Huhn::N,kana,κότα
202,Huhn::N,kana,όρνιθα
203,Hahn::N,kukko,πετεινός
204,Gans::N,hanhi,χήνα
205,Adler::N,kotka,αετός
206,Ente::N,ankka,πάπια
207,Eule::N,pöllö,κουκουβάγια
208,Kranich::N,kurki,γερανός
209,Krähe::N,varis,καρακάξα
210,Kuckuck::N,käki,κούκος
211,Schwan::N,joutsen,κύκνος
212,Fisch::N,kala,ψάρι
213,Barsch::N,ahven,πέρκα
214,Hecht::N,hauki,λούτσος
215,Schlange[Tier]::N,käärme,φίδι
216,Wurm::N,mato,σκουλήκι
217,Spinne::N,hämähäkki,αράχνη
218,Ameise::N,muurahainen,μυρμήγκι
219,Laus::N,täi,ψείρα
220,Mücke::N,sääski,κουνούπι
221,Mücke::N,hyttynen,κουνούπι
222,Fliege::N,kärpänen,μύγα
223,Schmetterling::N,perhonen,πεταλούδα
224,Beere::N,marja,ρόγα
225,Apfel::N,omena,μήλο
226,Pilz::N,sieni,μανιτάρι
227,Zwiebel::N,sipuli,κρεμμύδι
228,Saat::N,siemenet,σπόρος
229,Korn::N,jyvä,σπυρί
230,Korn::N,vilja,σπυρί
231,Heu::N,heinä,σανός
232,Schale::N,kuori,τσόφλι
233,Grube::N,kuoppa,λάκκος
234,Falle::N,loukku,παγίδα
235,Schlinge::N,ansa,θηλειά
