,Concept_ID,hu,sq
0,Auge::N,szem,sy
1,Ohr::N,fül,vesh
2,Nase::N,orr,hundë
3,Mund::N,száj,gojë
4,Zahn::N,fog,dhëmb
5,Zunge::N,nyelv,gjuhë
6,Lippe::N,ajak,buzë
7,Wange::N,orca,faqe
8,Wange::N,orca,mollëz
9,Gesicht::N,arc,fytyrë
10,Stirn::N,homlok,ballë
11,Haar::N,haj,flokë
12,Schnurrbart::N,bajusz,mustaqe
13,Bart::N,szakáll,mjekër
14,Kinn::N,áll,mjekër
15,Kiefer[Anatomie]::N,állkapocs,nofull
16,Kehle::N,gége,fyt
17,Kehle::N,gége,grykë
18,Kehle::N,torok,fyt
19,Kehle::N,torok,grykë
20,Hals::N,nyak,qafë
21,Genick::N,tarkó,arrëz
22,Kopf::N,fő,kokë
23,Kopf::N,fej,kokë
24,Rücken::N,hát,kurriz
25,Bauch::N,has,bark
26,Nabel::N,köldök,kërthizë
27,Busen::N,mell,gji
28,Busen::N,kebel,gji
29,Brust::N,mell,gjoks
30,Brust::N,mell,kraharor
31,Schulter::N,váll,sup
32,Schulter::N,váll,krah
33,Arm::N,kar,krah
34,Ellenbogen::N,könyök,bërryl
35,Hand::N,kéz,dorë
36,Handfläche::N,tenyér,pëllëmbë
37,Finger::N,ujj,gisht
38,Fingernagel::N,köröm,thua
39,Nagel[Anatomie]::N,köröm,thua
40,Zeh::N,lábujj,gisht i këmbës
41,Fuß::N,láb,këmbë
42,Ferse::N,sarok,thembër
43,Knie::N,térd,gju
44,Oberschenkel::N,comb,kofshë
45,Bein::N,láb,këmbë
46,Bein::N,lábszár,këmbë
47,Körper::N,test,trup
48,Haut::N,bőr,lëkurë
49,Blut::N,vér,gjak
50,Ader::N,ér,venë
51,Sehne::N,ín,dell
52,Knochen::N,csont,asht
53,Knochen::N,csont,kockë
54,Gehirn::N,agy,tru
55,Gehirn::N,agyvelő,tru
56,Herz::N,szív,zemër
57,Magen::N,gyomor,stomak
58,Leber::N,máj,mëlçi
59,Atem::N,lehelet,frymë
60,Atem::N,lélegzet,frymë
61,Hunger::N,éhség,uri
62,Träne::N,könny,lot
63,Geschmack::N,íz,shije
64,Geruch::N,szag,erë
65,Schlaf::N,álom,gjumë
66,Schlaf::N,alvás,gjumë
67,Traum::N,álom,ëndërr
68,Himmel::N,ég,qiell
69,Himmel::N,menny,qiell
70,Sonne::N,nap,diell
71,Mond::N,hold,hënë
72,Stern::N,csillag,yll
73,Luft::N,levegő,ajër
74,Wind::N,szél,erë
75,Welle::N,hullám,valë
76,Welle::N,hullám,dallgë
77,Wasser::N,víz,ujë
78,Stein::N,kő,gur
79,Boden::N,föld,tokë
80,Boden::N,föld,truall
81,Boden::N,talaj,tokë
82,Boden::N,talaj,truall
83,Erde::N,föld,dhe
84,Erde::N,föld,baltë
85,Staub::N,por,pluhur
86,Rauch::N,füst,tym
87,Funke::N,szikra,xixë
88,Funke::N,szikra,shkëndijë
89,Feuer::N,tűz,zjarr
90,Licht::N,fény,dritë
91,Schatten::N,árnyék,hije
92,Wetter::N,idő,mot
93,Wetter::N,időjárás,mot
94,Nebel::N,köd,mjegull
95,Wolke::N,felhő,re
96,Regen::N,eső,shi
97,Schnee::N,hó,borë
98,Eis::N,jég,akull
99,Frost::N,fagy,ngricë
100,Kälte::N,hideg,të ftohtë
101,Hitze::N,hő,vapë
102,Hitze::N,hő,nxehtësi
103,Hitze::N,hőség,vapë
104,Hitze::N,hőség,nxehtësi
105,Raureif::N,zúzmara,cikmë
106,Regenbogen::N,szivárvány,ylber
107,Donner::N,dörgés,gjëmim
108,Donner::N,dörgés,bubullimë
109,Donner::N,mennydörgés,gjëmim
110,Donner::N,mennydörgés,bubullimë
111,Strömung::N,áramlat,rrymë
112,Tropfen::N,csepp,pikë
113,Schaum::N,hab,shkumë
114,Schaum::N,tajték,shkumë
115,Schmutz::N,piszok,baltë
116,See::N,tó,liqen
117,Sumpf::N,mocsár,batak
118,Moor::N,láp,kënetë
119,Wiese::N,rét,livadh
120,Wiese::N,mező,livadh
121,Wald::N,erdő,pyll
122,Hügel::N,domb,kodër
