,Concept_ID,zh,ka
0,Auge::N,眼睛,თვალი
1,Ohr::N,耳朵,ყური
2,Nase::N,鼻子,ცხვირი
3,Mund::N,嘴,პირი
4,Zahn::N,牙齿,კბილი
5,Zunge::N,舌头,ენა
6,Lippe::N,嘴唇,ბაგე
7,Wange::N,面颊,ლოყა
8,Gesicht::N,脸,სახე
9,Stirn::N,额,შუბლი
10,Haar::N,头发,თმა
11,Schnurrbart::N,髭须,ულვაში
12,Bart::N,胡子,წვერი
13,Kinn::N,下巴,ნიკაპი
14,Kiefer[Anatomie]::N,颌,ყბა
15,Kehle::N,嗓子,ყელი
16,Hals::N,颈,ყელი
17,Hals::N,颈,კისერი
18,Genick::N,后颈,კეფა
19,Kopf::N,头,თავი
20,Rücken::N,背,ზურგი
21,Bauch::N,肚子,მუცელი
22,Nabel::N,肚脐,ჭიპი
23,Busen::N,胸脯,ძუძუ
24,Brust::N,胸,მკერდი
25,Schulter::N,肩膀,მხარი
26,Schulter::N,肩膀,მკლავი
27,Arm::N,臂膀,ხელი
28,Ellenbogen::N,肘,იდაყვი
29,Hand::N,手,ხელი
30,Handfläche::N,手掌,ნები
31,Handfläche::N,手掌,ხელისგული
32,Finger::N,手指,თითი
33,Fingernagel::N,指甲,ფრჩხილი
34,Nagel[Anatomie]::N,指甲,ფრჩხილი
35,Zeh::N,脚趾,ფეხის თითი
36,Fuß::N,脚,ტერფი
37,Fuß::N,脚,ფეხისგული
38,Ferse::N,后跟,ქუსლი
39,Knie::N,膝,მუხლი
40,Oberschenkel::N,大腿,ბარძაყი
41,Bein::N,腿,ფეხი
42,Körper::N,身体,ტანი
43,Körper::N,身体,სხეული
44,Haut::N,皮肤,კანი
45,Blut::N,血,სისხლი
46,Ader::N,血管,ძარღვი
47,Sehne::N,腱,მყესი
48,Knochen::N,骨,ძვალი
49,Gehirn::N,脑,ტვინი
50,Herz::N,心,გული
51,Magen::N,胃,კუჭი
52,Leber::N,肝,ღვიძლი
53,Atem::N,呼吸,სუნთქვა
54,Hunger::N,饿,შიმშილი
55,Träne::N,眼泪,ცრემლი
56,Geschmack::N,味道,გემო
57,Geruch::N,气味,სუნი
58,Schlaf::N,睡眠,ძილი
59,Traum::N,梦,სიზმარი
60,Himmel::N,天空,ცა
61,Sonne::N,太阳,მზე
62,Mond::N,月亮,მთვარე
63,Stern::N,星,ვარსკვლავი
64,Luft::N,空气,ჰაერი
65,Wind::N,风,ქარი
66,Welle::N,波,ტალღა
67,Wasser::N,水,წყალი
68,Stein::N,石头,ქვა
69,Boden::N,地面,მიწა
70,Erde::N,地,ნიადაგი
71,Staub::N,灰尘,მტვერი
72,Rauch::N,烟,ბოლი
73,Rauch::N,烟,კვამლი
74,Funke::N,火花,ნაკვესი
75,Feuer::N,火,ცეცხლი
76,Licht::N,光,შუქი
77,Licht::N,光,სინათლე
78,Schatten::N,影子,ლანდი
79,Schatten::N,影子,ჩრდილი
80,Wetter::N,天气,ამინდი
81,Nebel::N,雾,ნისლი
82,Wolke::N,云,ღრუბელი
83,Regen::N,雨,წვიმა
84,Schnee::N,雪,თოვლი
85,Eis::N,冰,თოში
86,Eis::N,冰,ყინული
87,Frost::N,霜冻,ყინვა
88,Kälte::N,寒冷,სიცივე
89,Hitze::N,炎热,სიცხე
90,Raureif::N,霜,ჭირხლი
91,Raureif::N,霜,თრთვილი
92,Regenbogen::N,虹,ცისარტყელა
93,Donner::N,雷,ქუხილი
94,Strömung::N,水流,დინება
95,Tropfen::N,滴,წვეთი
96,Schaum::N,泡沫,ქაფი
97,Schaum::N,泡沫,დორბლი
98,Schmutz::N,赃物,ჭუჭყი
99,Schmutz::N,赃物,ტალახი
100,See::N,湖,ტბა
101,Sumpf::N,沼泽,ჭაობი
102,Moor::N,沼泽,ტორფნარი
103,Wiese::N,草地,ველი
104,Wiese::N,草地,მდელო
105,Wald::N,森林,ტყე
106,Hügel::N,丘陵,ბორცვი
107,Anhöhe::N,山丘,მაღლობი
108,Berg::N,山,მთა
109,Gipfel::N,峰,მწვერვალი
110,Höhle::N,洞穴,მღვიმე
111,Höhle::N,洞穴,გამოქვებული
112,Abhang::N,斜坡,ფერდობი
113,Quelle::N,泉,წყარო
114,Quelle::N,泉,სათავე
115,Bach::N,溪,რუ
116,Bach::N,溪,ნაკადული
117,Fluss::N,河流,მდინარე
118,Ufer::N,岸,კიდე
119,Ufer::N,岸,ნაპირი
120,Küste::N,海岸,ნაპირი
121,Festland::N,大陆,ხმელეთი
122,Meer::N,海,ზღვა
123,Bucht::N,海湾,ყურე
124,Insel::N,岛,კუნძული
125,Blume::N,花,ყვავილი
126,Gras::N,草,ბალახი
127,Wurzel::N,根,ძირი
128,Wurzel::N,根,ფესვი
129,Baum::N,树,ხე
130,Stamm::N,树干,ტანი
131,Rinde::N,树皮,ქერქი
132,Ast::N,树枝,ტოტი
133,Zweig::N,树枝,შტო
134,Blatt::N,叶子,ფოთოლი
135,Birke::N,桦木,არყი
136,Kiefer[Baum]::N,松树,ფიჭვი
137,Weide[Baum]::N,柳树,ტირიფი
