,Concept_ID,mn,es
0,Auge::N,нүд,ojo
1,Ohr::N,чих,oreja
2,Nase::N,хамар,nariz
3,Mund::N,ам,boca
4,Zahn::N,шүд,diente
5,Zunge::N,хэл,lengua
6,Lippe::N,уруул,labio
7,Wange::N,хацар,mejilla
8,Gesicht::N,царай,cara
9,Gesicht::N,нүүр,cara
10,Stirn::N,дух,frente
11,Haar::N,үс,cabello
12,Schnurrbart::N,дээд сахал,bigote
13,Schnurrbart::N,живэр сахал,bigote
14,Bart::N,сахал,barba
15,Kinn::N,эрүү,barbilla
16,Kiefer[Anatomie]::N,эрүү,mandíbula
17,Kehle::N,хоолой,garganta
18,Hals::N,хүзүү,cuello
19,Genick::N,шил,nuca
20,Genick::N,шил,cerviz
21,Genick::N,хүзүү,nuca
22,Genick::N,хүзүү,cerviz
23,Kopf::N,толгой,cabeza
24,Rücken::N,ар,espalda
25,Rücken::N,нуруу,espalda
26,Bauch::N,хэвлий,vientre
27,Bauch::N,гэдэс,vientre
28,Nabel::N,хүйс,ombligo
29,Busen::N,хөх,pecho
30,Brust::N,цээж,pecho
31,Schulter::N,мөр,hombro
32,Schulter::N,бугалга,hombro
33,Arm::N,гар,brazo
34,Ellenbogen::N,тохой,codo
35,Hand::N,гар,mano
36,Hand::N,алга,mano
37,Handfläche::N,алга,palma
38,Finger::N,хуруу,dedo
39,Fingernagel::N,хурууны хумс,uña
40,Nagel[Anatomie]::N,хумс,uña
41,Zeh::N,хуруу,dedo del pie
42,Fuß::N,хөл,pie
43,Ferse::N,өсгий,talón
44,Knie::N,өвдөг,rodilla
45,Oberschenkel::N,гуя,muslo
46,Bein::N,хөл,pierna
47,Körper::N,бие,cuerpo
48,Haut::N,арьс,piel
49,Blut::N,цус,sangre
50,Ader::N,судас,vena
51,Sehne::N,бүлх,tendón
52,Sehne::N,шандас,tendón
53,Knochen::N,яс,hueso
54,Gehirn::N,тархи,cerebro
55,Gehirn::N,тархи,encéfalo
56,Herz::N,зүрх,corazón
57,Magen::N,ходоод,estómago
58,Leber::N,элэг,hígado
59,Atem::N,амьсгаа,aliento
60,Hunger::N,өлсгөлөн,hambre
61,Träne::N,нулимс,lágrima
62,Geschmack::N,амт,gusto
63,Geruch::N,үнэр,olor
64,Schlaf::N,нойр,sueño
65,Traum::N,зүүд,sueño
66,Traum::N,зүүд,ensueño
67,Himmel::N,тэнгэр,cielo
68,Himmel::N,огторгуй,cielo
69,Sonne::N,нар,sol
70,Mond::N,сар,luna
71,Stern::N,од,estrella
72,Luft::N,агаар,aire
73,Wind::N,салхи,viento
74,Welle::N,долгио,ola
75,Welle::N,долгио,onda
76,Welle::N,давалгаа,ola
