,Concept_ID,kl,pt
0,Auge::N,isi,olho
1,Ohr::N,siut,orelha
2,Mund::N,paaq,boca
3,Mund::N,qaneq,boca
4,Zahn::N,kigut,dente
5,Zunge::N,oqaq,língua
6,Lippe::N,qarloq,lábio
7,Wange::N,ersaq,face
8,Gesicht::N,kiinaq,cara
9,Gesicht::N,kiinaq,rosto
10,Stirn::N,qaaq,testa
11,Haar::N,meqqoq,cabelo
12,Bart::N,umik,barba
13,Kinn::N,talloq,queixo
14,Kiefer[Anatomie]::N,alleroq,maxila
15,Kiefer[Anatomie]::N,alleroq,mandíbula
16,Kehle::N,malaq,garganta
17,Hals::N,qungaseq,colo
18,Hals::N,qungaseq,pescoço
19,Genick::N,pukusuk,nuca
20,Kopf::N,niaqoq,cabeça
21,Rücken::N,qimerlut,dorso
22,Rücken::N,qimerlut,costas
23,Bauch::N,naaq,ventre
24,Bauch::N,naaq,barriga
25,Nabel::N,qalaseq,umbigo
26,Busen::N,iviangeq,seio
27,Brust::N,iviangeq,peito
28,Schulter::N,ersik,ombro
29,Schulter::N,assaqqoq,ombro
30,Arm::N,taleq,braço
31,Ellenbogen::N,ikusik,cotovelo
32,Hand::N,assak,mão
33,Handfläche::N,itumak,palma
34,Handfläche::N,itumak,palma da mão
35,Finger::N,inuak,dedo
36,Fingernagel::N,kikiak,unha
37,Nagel[Anatomie]::N,kukik,unha
38,Zeh::N,isigak,dedo do pé
39,Ferse::N,kimmik,calcanhar
40,Knie::N,seeqqoq,joelho
41,Oberschenkel::N,uppat,coxa
42,Oberschenkel::N,quttoraq,coxa
43,Bein::N,isigak,perna
44,Körper::N,timi,corpo
45,Haut::N,mattak,pele
46,Blut::N,aak,sangue
47,Ader::N,taqaq,veia
48,Sehne::N,ujalu,tendão
49,Sehne::N,ujaloq,tendão
50,Knochen::N,saanikut,osso
51,Gehirn::N,qarasaq,cérebro
52,Herz::N,uummat,coração
53,Magen::N,aqajaroq,estômago
54,Leber::N,tinguk,fígado
55,Atem::N,anerneq,fôlego
56,Hunger::N,kaanneq,fome
57,Träne::N,qia,lágrima
58,Träne::N,qiak,lágrima
59,Geschmack::N,qilanaartuut,gosto
60,Geruch::N,tipi,odor
61,Geruch::N,tipi,cheiro
62,Geruch::N,tipik,odor
63,Geruch::N,tipik,cheiro
64,Traum::N,sinnattoq,sonho
65,Traum::N,sinnattugaq,sonho
66,Himmel::N,qilak,céu
67,Sonne::N,seqineq,sol
68,Mond::N,qaammat,lua
69,Stern::N,ulloriaq,estrela
70,Luft::N,silaannaq,ar
71,Wind::N,anori,vento
72,Wind::N,anorsarik,vento
73,Welle::N,aalappaa,onda
74,Wasser::N,imeq,água
75,Stein::N,ujarak,pedra
76,Boden::N,nateq,solo
77,Erde::N,issoq,terra
78,Staub::N,pujualanerit,pó
79,Staub::N,pujoralanerit,pó
80,Rauch::N,iseq,fumo
81,Rauch::N,pujoq,fumo
