,Concept_ID,pt,br
0,Auge::N,olho,lagad
1,Ohr::N,orelha,skouarn
2,Nase::N,nariz,fri
3,Mund::N,boca,genoù
4,Zahn::N,dente,dant
5,Zunge::N,língua,teod
6,Lippe::N,lábio,muzell
7,Wange::N,face,chot
8,Gesicht::N,cara,dremm
9,Gesicht::N,rosto,dremm
10,Stirn::N,testa,tal
11,Haar::N,cabelo,blev
12,Schnurrbart::N,bigode,mourenn
13,Bart::N,barba,barv
14,Kinn::N,queixo,groñj
15,Kiefer[Anatomie]::N,maxila,javed
16,Kiefer[Anatomie]::N,mandíbula,javed
17,Kehle::N,garganta,gouzoug
18,Hals::N,colo,gouzoug
19,Hals::N,pescoço,gouzoug
20,Genick::N,nuca,choug
21,Kopf::N,cabeça,penn
22,Rücken::N,dorso,kein
23,Rücken::N,costas,kein
24,Bauch::N,ventre,kof
25,Bauch::N,barriga,kof
26,Nabel::N,umbigo,begel
27,Busen::N,seio,bronn
28,Brust::N,peito,bruched
29,Schulter::N,ombro,skoaz
30,Arm::N,braço,brec'h
31,Ellenbogen::N,cotovelo,ilin
32,Hand::N,mão,dorn
33,Handfläche::N,palma,palv
34,Handfläche::N,palma da mão,palv
35,Finger::N,dedo,biz
36,Fingernagel::N,unha,ivin
37,Nagel[Anatomie]::N,unha,ivin
38,Zeh::N,dedo do pé,biz-troad
39,Fuß::N,pé,troad
40,Ferse::N,calcanhar,seul
41,Knie::N,joelho,glin
42,Oberschenkel::N,coxa,morzhed
43,Bein::N,perna,gar
44,Körper::N,corpo,korf
45,Haut::N,pele,kroc'hen
46,Blut::N,sangue,gwad
47,Ader::N,veia,gwazhi
48,Sehne::N,tendão,stir
49,Knochen::N,osso,askorn
50,Gehirn::N,cérebro,empenn
51,Herz::N,coração,kalon
52,Magen::N,estômago,stomog
53,Leber::N,fígado,avu
54,Atem::N,fôlego,anal
55,Hunger::N,fome,naon
56,Träne::N,lágrima,daer
57,Geschmack::N,gosto,blaz
58,Geruch::N,odor,c'hwezh
59,Geruch::N,cheiro,c'hwezh
60,Schlaf::N,sono,kousked
61,Traum::N,sonho,hune
62,Himmel::N,céu,oabl
63,Sonne::N,sol,heol
64,Mond::N,lua,loar
65,Stern::N,estrela,steredenn
66,Luft::N,ar,aer
67,Wind::N,vento,avel
68,Welle::N,onda,houlenn
69,Wasser::N,água,dour
70,Stein::N,pedra,maen
71,Boden::N,solo,tachenn
72,Erde::N,terra,douar
73,Staub::N,pó,poultr
74,Rauch::N,fumo,moged
75,Funke::N,faísca,ful
76,Funke::N,centelha,ful
77,Feuer::N,fogo,tan
78,Licht::N,luz,gouloù
79,Schatten::N,sombra,disheol
80,Wetter::N,tempo,amzer
81,Nebel::N,nevoeiro,brumenn
82,Wolke::N,nuvem,koumoulenn
83,Regen::N,chuva,glav
84,Schnee::N,neve,erc'h
85,Eis::N,gelo,skorn
86,Frost::N,gelo,rev
87,Frost::N,geada,rev
88,Kälte::N,frio,yen
89,Hitze::N,ardor,tommder
90,Raureif::N,geada,frim
91,Regenbogen::N,arco-iris,gwareg-ar-glav
92,Donner::N,trovão,kurun
93,Strömung::N,corrente,red
94,Tropfen::N,gota,bannac'h
95,Tropfen::N,gota,takenn
96,Schaum::N,espuma,spoum
97,Schmutz::N,sujidade,fank
98,Schmutz::N,imundície,fank
99,See::N,lago,lenn
100,Sumpf::N,charco,gwern
101,Sumpf::N,pântano,gwern
102,Moor::N,pântano,taouarc'heg
103,Wiese::N,prado,prad
104,Wald::N,bosque,koad
105,Wald::N,floresta,koad
106,Hügel::N,colina,torgenn
107,Anhöhe::N,alto,run
108,Anhöhe::N,outeiro,run
109,Berg::N,monte,menez
110,Berg::N,montanha,menez
111,Gipfel::N,pico,barr
112,Höhle::N,caverna,kav
113,Abhang::N,encosta,naou
114,Quelle::N,fonte,feunteun
115,Bach::N,regato,gwazh
116,Bach::N,ribeiro,gwazh
117,Fluss::N,rio,stêr
118,Ufer::N,beira,ribl
119,Küste::N,costa,aod
120,Festland::N,terra firme,douar
121,Meer::N,mar,mor
122,Bucht::N,baía,mor-bihan
123,Insel::N,ilha,enez
124,Blume::N,flor,bleunienn
125,Gras::N,erva,geot
126,Wurzel::N,raiz,gwrizienn
127,Baum::N,árvore,gwezenn
128,Stamm::N,tronco,kef
129,Rinde::N,casca,rusk
130,Ast::N,ramo,barr
131,Zweig::N,galho,bod
132,Blatt::N,folha,delienn
133,Birke::N,bétula,bezvenn
134,Kiefer[Baum]::N,pinheiro,pinenn
135,Weide[Baum]::N,salgueiro,halegenn
136,Tanne::N,abeto,sapenn
137,Horn::N,corno,korn
138,Horn::N,chifre,korn
139,Feder::N,pena,pluñv
140,Fell::N,pele,kreoñ
141,Flügel::N,asa,askell
142,Klaue::N,pata,skilf
143,Kralle::N,unha,skilf
144,Kralle::N,garra,skilf
145,Schwanz::N,rabo,lost
146,Schwanz::N,cauda,lost
147,Ei::N,ovo,vi
148,Nest::N,ninho,neizh
149,Bau::N,toca,douarenn
150,Bau::N,covil,douarenn
151,Tier::N,animal,loen
152,Herde::N,rebanho,tropell
153,Kuh::N,vaca,buoc'h
154,Bulle::N,touro,tarv
155,Pferd::N,cavalo,marc'h
156,Schaf::N,ovelha,dañvad
157,Schwein::N,porco,pemoc'h
158,Hund::N,cão,ki
159,Katze::N,gata,kazh
160,Bär::N,urso,arzh
161,Eichhörnchen::N,esquilo,gwiñver
162,Elch::N,alce,karv-dour
163,Fuchs::N,raposa,louarn
164,Hase::N,lebre,gad
165,Maus::N,rato,logodenn
166,Wolf::N,lobo,bleiz
167,Vogel::N,ave,labous
168,Vogel::N,pássaro,labous
169,Schwarm::N,bando,nijad
170,Schwarm::N,enxame,nijad
171,Huhn::N,galinha,yar
172,Hahn::N,galo,kilhog
173,Gans::N,ganso,gwazenn
174,Adler::N,águia,erer
175,Ente::N,pata,houad
176,Eule::N,mocho,toud
177,Eule::N,coruja,toud
178,Kranich::N,grou,garan
179,Krähe::N,gralha,bran
180,Kuckuck::N,cuco,koukoug
181,Schwan::N,cisne,alarc'h
182,Fisch::N,peixe,pesk
183,Barsch::N,perca,brell
184,Hecht::N,lúcio,beked
185,Schlange[Tier]::N,serpente,naer
186,Wurm::N,verme,preñv
187,Spinne::N,aranha,kevnidenn
188,Ameise::N,formiga,merion
189,Laus::N,piolho,laouenn
190,Mücke::N,mosquito,moustik
191,Fliege::N,mosca,kelienenn
192,Schmetterling::N,borboleta,balafenn
193,Beere::N,bago,hog
194,Apfel::N,maçã,aval
195,Pilz::N,fungo,kabell-touseg
196,Pilz::N,cogumelo,kabell-touseg
197,Zwiebel::N,cebola,ognonenn
198,Saat::N,sementeira,had
199,Korn::N,grão,ed
200,Heu::N,feno,foenn
201,Schale::N,casca,peliadur
202,Grube::N,cova,
203,Grube::N,fossa,
204,Falle::N,armadilha,pech
205,Schlinge::N,laço,krouglas
206,Spur::N,pista,
207,Spur::N,vestígio,
208,Asche::N,cinza,ludu
209,Dreck::N,sujidade,fank
210,Eisen::N,ferro,houarn
211,Gold::N,ouro,aour
212,Silber::N,prata,arc'hant
213,Kohle::N,carvão,glaou
214,Glas::N,vidro,gwer
215,Lehm::N,barro,
216,Lehm::N,argila,
217,Sand::N,areia,traezh
218,Mensch::N,homem,den
219,Mensch::N,pessoa,den
220,Mann::N,homem,den
221,Frau::N,mulher,maouez
222,Kind::N,filho,bugel
223,Kind::N,criança,bugel
224,Junge::N,rapaz,paotr
225,Junge::N,menino,paotr
226,Mädchen::N,menina,plac'h
227,Mädchen::N,rapariga,plac'h
228,Familie::N,família,familh
229,Großvater::N,avô,tad-kozh
230,Großmutter::N,avó,mamm-gozh
231,Eltern::N,pais,kerent
232,Vater::N,pai,tad
233,Mutter::N,mãe,mamm
234,Sohn::N,filho,mab
235,Tochter::N,filha,merc'h
236,Bruder::N,irmão,breur
237,Schwester::N,irmã,c'hoar
238,Onkel::N,tio,eontr
239,Tante::N,tia,moereb
240,Ehemann::N,esposo,gwaz
241,Ehefrau::N,esposa,gwreg
242,Freude::N,prazer,levenez
243,Freude::N,alegria,levenez
244,Gelächter::N,risada,c'hoarzherezh
245,Gelächter::N,gargalhada,c'hoarzherezh
246,Glück::N,felicidade,chañs
247,Kummer::N,aflição,doan
248,Kummer::N,desgosto,doan
249,Wunsch::N,desejo,c'hoant
250,Lust::N,vontade,c'hoant
251,Geist::N,mente,spered
252,Geist::N,espírito,spered
253,Gedanke::N,ideia,soñj
254,Gedanke::N,pensamento,soñj
255,Gedächtnis::N,memória,eñvor
256,Verstand::N,razão,skiant
257,Verstand::N,inteligência,skiant
258,Sinn::N,sentido,ster
259,Sinn::N,significado,ster
260,Grund::N,causa,kaoz
261,Grund::N,motivo,kaoz
262,Wahrheit::N,verdade,gwirionez
263,Gespräch::N,conversa,kaozeadenn
264,Gespräch::N,conversação,kaozeadenn
265,Märchen::N,conto,kaoz korriganez
266,Erzählung::N,conto,kontadenn
267,Erzählung::N,narrativa,kontadenn
268,Nachricht::N,mensagem,keloù
269,Neuigkeit::N,notícia,kelaouenn
270,Neuigkeit::N,novidade,kelaouenn
271,Name::N,nome,anv
272,Rätsel::N,adivinha,divinatez
273,Rede::N,oração,diskour
274,Rede::N,discurso,diskour
275,Sprache::N,língua,yezh
276,Stimme::N,voz,mouezh
277,Wort::N,palavra,ger
278,Zeichen::N,marca,sin
279,Ruf::N,grito,galv
280,Ruf::N,chamada,galv
281,Lärm::N,ruído,trouz
282,Lärm::N,barulho,trouz
283,Laut::N,som,
284,Ton::N,tom,ton
285,Lied::N,canção,kanaouenn
286,Ruhe::N,calma,sioulded
287,Ruhe::N,silêncio,sioulded
288,Leute::N,gente,tud
289,Leute::N,pessoas,tud
290,Volk::N,povo,pobl
291,Volk::N,nação,pobl
292,Arbeit::N,trabalho,labour
293,Gast::N,hóspede,kouviad
294,Gast::N,convidado,kouviad
295,Geschenk::N,prenda,prof
296,Geschenk::N,presente,prof
297,Spiel::N,jogo,c'hoari
298,Gesellschaft::N,companhia,kompagnunezh
299,Gesellschaft::N,companhia,kavandad
300,Hilfe::N,ajuda,sikour
301,Hilfe::N,socorro,sikour
302,Freund::N,amigo,mignon
303,Kamerad::N,camarada,kamarad
304,Angelegenheit::N,assunto,afer
305,Anzahl::N,número,niver
306,Anzahl::N,quantidade,niver
307,Art::N,tipo,sort
308,Art::N,espécie,sort
309,Stück::N,pedaço,tamm
310,Teil::N,peça,pezh
311,Teil::N,parte,pezh
312,Hälfte::N,metade,hanterenn
313,Kreis::N,círculo,kelc'h
314,Kreuz::N,cruz,kroaz
315,Linie::N,linha,linenn
316,Strich::N,traço,tenn
317,Abstand::N,distância,distok
318,Entfernung::N,distância,keid
319,Entfernung::N,distância,kehid
320,Gegend::N,área,korn-bro
321,Gegend::N,região,korn-bro
322,Platz::N,lugar,plasenn
323,Ort::N,sítio,lec'h
324,Seite::N,lado,tu
325,Mitte::N,meio,kreiz
326,Gegenstand::N,objecto,tra
327,Sache::N,coisa,tra
328,Rand::N,bordo,kantenn
329,Rand::N,margem,kantenn
330,Kante::N,borda,kantenn
331,Kante::N,aresta,kantenn
332,Ecke::N,esquina,korn
333,Spitze::N,ponta,begell
334,Ende::N,cabo,dibenn
335,Ende::N,extremo,dibenn
336,Loch::N,furo,toull
337,Loch::N,buraco,toull
338,Winkel::N,canto,
339,Winkel::N,ângulo,
340,Muster::N,padrão,tresadenn
341,Muster::N,desenho,tresadenn
342,Größe::N,tamanho,ment
343,Länge::N,comprimento,hirder
344,Höhe::N,altura,uhelder
345,Höhe::N,altitude,uhelder
346,Gewicht::N,peso,pouez
347,Menge::N,quantidade,bern
348,Haufen::N,pilha,bern
349,Reihe::N,fila,steud
350,Boot::N,barco,bag
351,Ruder::N,remo,roeñv
352,Schlitten::N,trenó,trainell
353,Ski::N,esqui,ski
354,Lagerfeuer::N,fogueira,
355,Last::N,carga,karg
356,Gang::N,curso,kerzh
357,Gang::N,caminhada,kerzh
358,Schritt::N,passo,paz
359,Norden::N,norte,norzh
360,Norden::N,norte,hanternoz
361,Süden::N,sul,su
362,Süden::N,sul,kreisteiz
363,Westen::N,oeste,kuzh-heol
364,Westen::N,ocidente,kuzh-heol
365,Osten::N,este,reter
366,Osten::N,este,sav-heol
367,Osten::N,leste,reter
368,Osten::N,leste,sav-heol
369,Osten::N,oriente,reter
370,Osten::N,oriente,sav-heol
371,Holz::N,madeira,koad
372,Brett::N,tábua,plankenn
373,Brett::N,prancha,plankenn
374,Platte::N,laje,plakenn
375,Platte::N,chapa,plakenn
376,Stütze::N,apoio,harp
377,Stütze::N,suporte,harp
378,Stange::N,vara,sparl
379,Stange::N,barra,sparl
380,Stock::N,pau,bazh
381,Stock::N,bengala,bazh
382,Stab::N,bastão,bazh
383,Rohr::N,cano,tub
384,Rohr::N,cano,korz
385,Haus::N,casa,ti
386,Heim::N,lar,kêr
387,Heim::N,casa,kêr
388,Ofen::N,estufa,forn
389,Ofen::N,aquecedor,forn
390,Fußboden::N,piso,plañchod
391,Tisch::N,mesa,taol
392,Stuhl::N,cadeira,kador
393,Wiege::N,berço,kavell
394,Bett::N,cama,gwele
395,Regal::N,estante,estajerenn
396,Regal::N,prateleira,estajerenn
397,Kiste::N,caixa,kased
398,Fenster::N,janela,prenestr
399,Tür::N,porta,dor
400,Tor::N,portão,portal
401,Zaun::N,cerca,sklotur
402,Zaun::N,vedação,sklotur
403,Dach::N,telhado,toenn
404,Leiter::N,escada,skeul
405,Leiter::N,escada móvel,skeul
406,Besen::N,vassoura,skubell
407,Spaten::N,pá,pal
408,Schaufel::N,pá,pal
409,Gabel::N,garfo,fourchetez
410,Löffel::N,colher,loa
411,Messer::N,faca,kontell
412,Nagel::N,cravo,tach
413,Netz::N,rede,roued
414,Haken::N,gancho,krog
415,Griff::N,asa,kemer
416,Griff::N,cabo,kemer
417,Schloss::N,fechadura,potenn
418,Bild::N,imagem,skeudenn
419,Figur::N,figura,skeud
420,Figur::N,figura,figur
421,Puppe::N,boneca,merc'hodenn
422,Beutel::N,saco,sac'h
423,Beutel::N,bolsa,sac'h
424,Bündel::N,fardo,feskenn
425,Tasche::N,saco,sac'h
426,Tasche::N,bolso,sac'h
427,Eimer::N,balde,sailh
428,Deckel::N,tampa,pallenn
429,Geschirr::N,louça,listriaj
430,Sack::N,saca,sac'h
431,Tasse::N,chávena,tas
432,Topf::N,tacho,pod
433,Topf::N,panela,pod
434,Kessel::N,caldeira,chaodouron
435,Essen::N,refeição,pred
436,Nahrung::N,comida,boued
437,Nahrung::N,alimento,boued
438,Speise::N,prato,meuz
439,Fleisch::N,carne,kig
440,Getreide::N,cereais,ed
441,Brei::N,puré,yod
442,Brot::N,pão,bara
443,Scheibe::N,fatia,tailhenn
444,Fett::N,banha,lard
445,Fett::N,gordura,lard
446,Butter::N,manteiga,amann
447,Öl::N,azeite,eoul
448,Salz::N,sal,holen
449,Suppe::N,sopa,soubenn
450,Suppe::N,caldo,soubenn
451,Honig::N,mel,mel
452,Milch::N,leite,laezh
453,Tee::N,chá,te
454,Leder::N,couro,lêr
455,Wolle::N,lã,gloan
456,Stoff::N,pano,danvez
457,Stoff::N,tecido,danvez
458,Nadel::N,agulha,nadoz
459,Faden::N,fio,neudenn
460,Knopf::N,botão,bouton
461,Knoten::N,nó,skoulm
462,Farbe::N,corante,liv
463,Kleidung::N,roupa,dilhad
464,Kleidung::N,vestuário,dilhad
465,Hemd::N,camisa,roc'hed
466,Kragen::N,gola,gouzoug
467,Ärmel::N,manga,milgin
468,Hose::N,calça,bragoù
469,Gürtel::N,cinto,gouriz
470,Mütze::N,boné,boned
471,Mütze::N,barrete,boned
472,Schuh::N,sapato,botez
473,Stiefel::N,bota,botez
474,Ring::N,anel,gwalenn
475,Band::N,fita,bagad
476,Band::N,faixa,bagad
477,Kamm::N,pente,krib
478,Spiegel::N,espelho,melezour
479,Riemen::N,correia,lerenn
480,Schnur::N,corda,kordenn
481,Schnur::N,cordel,kordenn
482,Leine::N,trela,roll
483,Decke::N,cobertor,golo
484,Kissen::N,almofada,goubenner
485,Tuch::N,pano,mezher
486,Handtuch::N,toalha,toailhon
487,Kraft::N,força,nerzh
488,Stärke::N,força,nerzhder
489,Gesundheit::N,saúde,yec'hed
490,Krankheit::N,doença,klañved
491,Krankheit::N,enfermidade,klañved
492,Schmerz::N,dor,poan
493,Schmerz::N,dor,droug
494,Wunde::N,chaga,gloazadenn
495,Wunde::N,ferida,gloazadenn
496,Fieber::N,febre,terzhienn
497,Arznei::N,remédio,louzoù
498,Brücke::N,ponte,pont
499,Brunnen::N,poço,puñs
500,Weide::N,pastagem,prad
501,Pfad::N,senda,gwenodenn
502,Pfad::N,trilho,gwenodenn
503,Weg::N,caminho,hent
504,Straße::N,via,ru
505,Straße::N,via,hent
506,Straße::N,estrada,ru
507,Straße::N,estrada,hent
508,Dorf::N,aldeia,kêr
509,Dorf::N,aldeia,kêriadenn
510,Stadt::N,cidade,kêr
511,Brief::N,carta,lizher
512,Buch::N,livro,levr
513,Buchstabe::N,letra,lizherenn
514,Zeitung::N,jornal,kazetenn
515,Leben::N,vida,buhez
516,Tod::N,morte,marv
517,Grab::N,túmulo,bez
518,Grab::N,sepultura,bez
519,Kirche::N,igreja,iliz
520,Sünde::N,pecado,pec'hed
521,Gott::N,deus,doue
522,Arbeiter::N,operário,labourer
523,Arbeiter::N,operário,micherour
524,Arbeiter::N,trabalhador,labourer
525,Arbeiter::N,trabalhador,micherour
526,Chef::N,chefe,penn
527,Chef::N,patrão,penn
528,Meister::N,mestre,mestr
529,Arzt::N,médico,mezeg
530,Arzt::N,médico,medisin
531,Lehrer::N,professor,skolaer
532,Lehrer::N,professor,kelenner
533,Geld::N,dinheiro,arc'hant
534,Geschäft::N,negócio,stal
535,Laden::N,loja,stal
536,Preis::N,preço,priz
537,Ware::N,mercadoria,marc'hadourezh
538,Nutzen::N,proveito,gounidegezh
539,Nutzen::N,proveito,lañs
540,Nutzen::N,proveito,profit
541,Nutzen::N,proveito,spleit
542,Reichtum::N,riqueza,pinvidigezh
543,Welt::N,mundo,douar
544,Land::N,país,bro
545,Staat::N,Estado,stad
546,König::N,rei,roue
547,Macht::N,poder,galloud
548,Macht::N,potência,galloud
549,Grenze::N,fronteira,harzoù
550,Krieg::N,guerra,brezel
551,Feind::N,inimigo,eneber
552,Gewalt::N,violência,tâerder
553,Kampf::N,luta,kann
554,Kampf::N,combate,kann
555,Bogen[Waffe]::N,arco,gwareg
556,Pfeil::N,seta,saezh
557,Pfeil::N,flecha,saezh
558,Gewehr::N,espingarda,fuzuilh
559,Fehler::N,erro,fazi
560,Fehler::N,falha,fazi
561,Lüge::N,mentira,gaou
562,Schaden::N,dano,gwall
563,Schaden::N,estrago,gwall
564,Unglück::N,desgraça,gwalleur
565,Schuld::N,culpa,kablusted
566,Schuld::N,culpa,pec'hedigezh
567,Alter::N,idade,oad
568,Schluss::N,fim,diwezh
569,Zeit::N,tempo,amzer
570,Tag::N,dia,deizh
571,Morgen::N,manhã,beure
572,Morgen::N,manhã,mintin
573,Mittag::N,meio-dia,kreisteiz
574,Abend::N,noite,abardaez
575,Abend::N,tardinha,abardaez
576,Nacht::N,noite,noz
577,Woche::N,semana,sizhun
578,Monat::N,mês,miz
579,Jahr::N,ano,bloaz
580,Frühling::N,primavera,nevezamzer
581,Sommer::N,verão,hañv
582,Herbst::N,outono,diskaramzer
583,Winter::N,inverno,goañv
584,Januar::N,Janeiro,Genver
585,Februar::N,Fevereiro,C'hwevrer
586,März::N,Março,Meurzh
587,April::N,Abril,Ebrel
588,Mai::N,Maio,Mae
