,Concept_ID,mrj,kv
0,Auge::N,сӹнзӓ,син
1,Ohr::N,пӹлӹш,пель
2,Nase::N,нер,ныр
3,Mund::N,ышма,ӧм
4,Zahn::N,пӱ,пинь
5,Zunge::N,йӹлмӹ,кыв
6,Lippe::N,тӹрвӹ,тырп
7,Wange::N,шӹргӹ,рожабан
8,Gesicht::N,лицӓ,бан
9,Stirn::N,лепкӓ,кымӧс
10,Haar::N,ӱп,юрси
11,Schnurrbart::N,öрш,уссэз
12,Bart::N,пандаш,тош
13,Kinn::N,онгылаш,тшӧка
14,Kiefer[Anatomie]::N,пӱ арата,ан
15,Kehle::N,логер,юан
16,Hals::N,шӱ,юан
17,Genick::N,ланга,юр бӧр
18,Kopf::N,вуй,юр
19,Rücken::N,туп,мышк
20,Bauch::N,мӹшкӹр,кынӧм
21,Nabel::N,кӹлӹмдӹ,гӧг
22,Busen::N,цӹзӹ,морос
23,Brust::N,мел,морос
24,Schulter::N,ӹнгӹжӓ,пельпон
25,Arm::N,кид,ки
26,Ellenbogen::N,кӹнервуй,гырдзза
27,Hand::N,лапа,кикар
28,Handfläche::N,кид лапа,ки пыдӧс
29,Finger::N,парня,чунь
30,Fingernagel::N,кӹч,гыж
31,Nagel[Anatomie]::N,кӹч,гыж
32,Zeh::N,парня,чунь
33,Fuß::N,ял лапа,кокпыдӧс
34,Ferse::N,ялгавал,кокдзир
35,Ferse::N,ял кавал,кокдзир
36,Knie::N,пылвуй,пидзӧс
37,Oberschenkel::N,ӓрдӹ,лядьбей
38,Bein::N,ял,кок
39,Körper::N,монгыр,вывтыр
40,Haut::N,кавашты,кучик
41,Blut::N,вӹр,вир
42,Ader::N,вӹршӓр,сӧн
43,Sehne::N,кукшышӱн,жила
44,Knochen::N,лу,коска
45,Gehirn::N,вим,вем
46,Herz::N,шӱм,сьӧлӧм
47,Magen::N,шӱм,жӧвдӧк
48,Leber::N,мокш,мус
49,Atem::N,шӱлӹш,лолалӧм
50,Hunger::N,шужымаш,тшыг
51,Träne::N,сӹнзӓвӹд,синва
52,Geschmack::N,тот,кӧр
53,Geruch::N,пыш,дук
54,Schlaf::N,ом,он
55,Traum::N,ом,вӧт
56,Himmel::N,пӹлгом,небо
57,Sonne::N,кечӹ,шондi
58,Mond::N,тӹлзӹ,тӧлiсь
59,Stern::N,шӹдӹр,кӧдзыв
60,Luft::N,юж,ру
61,Luft::N,воздух,ру
62,Wind::N,мардеж,тӧв
63,Welle::N,ко,гы
64,Welle::N,коэ,гы
65,Wasser::N,вӹд,ва
66,Stein::N,кӱ,из
67,Boden::N,рок,му
68,Erde::N,свет,му
69,Staub::N,пырак,бус
70,Rauch::N,шӹкш,тшын
71,Funke::N,ип,бичир
