,Concept_ID,lv,fi
0,Auge::N,син,silmä
1,Auge::N,acs,silmä
2,Ohr::N,пель,korva
3,Ohr::N,auss,korva
4,Nase::N,ныр,nenä
5,Nase::N,deguns,nenä
6,Mund::N,вом,suu
7,Mund::N,mute,suu
8,Zahn::N,пинь,hammas
9,Zahn::N,zobs,hammas
10,Zunge::N,кыв,kieli
11,Zunge::N,mēle,kieli
12,Lippe::N,вом дор,huuli
13,Lippe::N,lūpa,huuli
14,Wange::N,бан,poski
15,Wange::N,vaigs,poski
16,Gesicht::N,чужӧм,naama
17,Gesicht::N,чужӧм,kasvot
18,Gesicht::N,seja,naama
19,Gesicht::N,seja,kasvot
20,Gesicht::N,ģīmis,naama
21,Gesicht::N,ģīmis,kasvot
22,Stirn::N,плеш,otsa
23,Stirn::N,кымӧс,otsa
24,Stirn::N,piere,otsa
25,Haar::N,си,hius
26,Haar::N,си,tukka
27,Haar::N,юрси,hius
28,Haar::N,юрси,tukka
29,Haar::N,mats,hius
30,Haar::N,mats,tukka
31,Schnurrbart::N,ус,viikset
32,Schnurrbart::N,пыртсим,viikset
33,Schnurrbart::N,ūsas,viikset
34,Bart::N,тош,parta
35,Bart::N,bārda,parta
36,Kinn::N,тшӧка,leuka
37,Kinn::N,zods,leuka
38,Kinn::N,smakrs,leuka
39,Kiefer[Anatomie]::N,черлы,leukaluu
40,Kiefer[Anatomie]::N,алака лы,leukaluu
41,Kiefer[Anatomie]::N,вомкӧтш лы,leukaluu
42,Kiefer[Anatomie]::N,žoklis,leukaluu
43,Kehle::N,голя,kurkku
44,Kehle::N,rīkle,kurkku
45,Hals::N,сьылі,kaula
46,Hals::N,kakls,kaula
47,Genick::N,юрбӧр,niska
48,Genick::N,балябӧж,niska
49,Genick::N,sprands,niska
50,Kopf::N,юр,pää
51,Kopf::N,galva,pää
52,Rücken::N,мыш,selkä
53,Rücken::N,mugura,selkä
54,Bauch::N,рушку,maha
55,Bauch::N,рушку,vatsa
56,Bauch::N,vēders,maha
57,Bauch::N,vēders,vatsa
58,Nabel::N,гӧг,napa
59,Nabel::N,naba,napa
60,Busen::N,морӧс,rinta
61,Busen::N,krūts,rinta
62,Brust::N,морӧс,rinta
63,Brust::N,krūts,rinta
64,Schulter::N,пельпом,olka
65,Schulter::N,пельпом,hartia
66,Schulter::N,пельпом,olkapää
67,Schulter::N,plecs,olka
68,Schulter::N,plecs,hartia
69,Schulter::N,plecs,olkapää
70,Arm::N,ки,käsivarsi
71,Arm::N,roka,käsivarsi
72,Arm::N,delms,käsivarsi
73,Ellenbogen::N,гырддза,kyynärpää
74,Ellenbogen::N,elkonis,kyynärpää
75,Hand::N,ки,käsi
76,Hand::N,roka,käsi
77,Hand::N,plauksta,käsi
78,Handfläche::N,ки пыдӧс,kämmen
79,Handfläche::N,delna,kämmen
80,Handfläche::N,plauksta,kämmen
