,Concept_ID,he,uz
0,Auge::N,עין,ko'z
1,Ohr::N,אזן,quloq
2,Nase::N,אף,burun
3,Nase::N,חטם,burun
4,Mund::N,פה,og'iz
5,Zahn::N,שן,tish
6,Zunge::N,לשון,til
7,Lippe::N,שפה,dudoq
8,Wange::N,לחי,bet
9,Gesicht::N,פנים,yuz
10,Stirn::N,מצח,manglay
11,Haar::N,שערה,soch
12,Schnurrbart::N,שפם,mo'ylov
13,Bart::N,זקן,soqol
14,Kinn::N,סנטר,ängak
15,Kiefer[Anatomie]::N,לסת,iyak
16,Kehle::N,גרון,bo'g'iz
17,Hals::N,צואר,bo'yin
18,Genick::N,ערף,gardan
19,Kopf::N,ראש,bosh
20,Rücken::N,גב,orqa
21,Bauch::N,בטן,qorin
22,Nabel::N,טבור,kindik
23,Busen::N,שד,ämchak
24,Brust::N,חזה,ko'krak
25,Schulter::N,כתף,elka
26,Arm::N,זרוע,bilak
27,Ellenbogen::N,מרפק,tirsak
28,Hand::N,יד,qo'l
29,Handfläche::N,כף יד,kaft
30,Finger::N,אצבע,barmoq
31,Fingernagel::N,צפרן,tirnoq
32,Nagel[Anatomie]::N,צפרן,tirnoq
33,Zeh::N,אצבע,oyoq barmog'i
34,Fuß::N,רגל,oyoq
35,Ferse::N,עקב,tovon
36,Knie::N,ברך,tiz
37,Oberschenkel::N,ירך,son
38,Bein::N,רגל,oyoq
39,Körper::N,גוף,badna
40,Haut::N,עור,teri
41,Blut::N,דם,qon
42,Ader::N,וריד,qon tomir
43,Sehne::N,גיד,tomir
44,Knochen::N,עצם,suyak
45,Gehirn::N,מוח,miya
46,Herz::N,לב,qalb
47,Magen::N,קבה,oshqozon
48,Leber::N,כבד,bag'ir
49,Atem::N,נשימה,dam
50,Hunger::N,רעב,ochlik
51,Träne::N,דמעה,yosh
52,Geschmack::N,טעם,tam
53,Geruch::N,ריח,jid
54,Schlaf::N,שנה,uyqu
55,Traum::N,חלום,tush
56,Himmel::N,שמים,osmon
57,Sonne::N,שמש,quyosh
58,Mond::N,ירח,oy
59,Stern::N,כוכב,yulduz
60,Luft::N,אויר,havo
61,Wind::N,רוח,el
62,Welle::N,גל,to'lqin
63,Wasser::N,מים,suv
64,Stein::N,אבן,tosh
65,Boden::N,קרקע,tuproq
66,Erde::N,אדמה,er
67,Staub::N,אבק,chang
68,Rauch::N,עשן,tutun
69,Funke::N,ניצוץ,yalt
70,Feuer::N,אש,o't
71,Licht::N,אור,yorug'
72,Schatten::N,צל,soya
73,Wetter::N,מזג אויר,havo
74,Nebel::N,ערפל,tuman
75,Wolke::N,ענן,bulut
76,Regen::N,גשם,yomg'ir
77,Schnee::N,שלג,qor
78,Eis::N,קרח,muz
79,Frost::N,צנה,ajoz
80,Kälte::N,קר,ajoz
81,Hitze::N,חם,issiq
82,Raureif::N,כפור,qirov
83,Regenbogen::N,קשת,kamalak
84,Donner::N,רעם,guldur
85,Strömung::N,זרימה,oqim
86,Tropfen::N,טפה,tomchi
87,Schaum::N,קצף,ko'pik
88,Schmutz::N,לכלוך,gard
89,See::N,אגם,ko'l
90,Sumpf::N,בצה,botqoq
91,Moor::N,בצה,qir-adir
92,Wiese::N,מרעה,o'tzor
93,Wald::N,יער,o'rmon
94,Hügel::N,תל,tepa
