,Concept_ID,sah,kv
0,Auge::N,харах,син
1,Ohr::N,кулгаах,пель
2,Nase::N,мурун,ныр
3,Mund::N,айах,ӧм
4,Zahn::N,тиис,пинь
5,Zunge::N,тыл,кыв
6,Lippe::N,уос,тырп
7,Wange::N,иэдэс,рожабан
8,Gesicht::N,сирэй,бан
9,Stirn::N,сүүс,кымӧс
10,Haar::N,баттах,юрси
11,Schnurrbart::N,уос бытыга,уссэз
12,Bart::N,сэҥийэ бытыга,тош
13,Kinn::N,сэҥийэ,тшӧка
14,Kiefer[Anatomie]::N,сыҥаах,ан
15,Kehle::N,тамах,юан
16,Kehle::N,күөмэй,юан
17,Hals::N,моой,юан
18,Genick::N,кэтэх,юр бӧр
19,Kopf::N,бас,юр
20,Rücken::N,көҕүс,мышк
21,Bauch::N,ис,кынӧм
22,Nabel::N,киин,гӧг
23,Busen::N,эмиий,морос
24,Brust::N,түөс,морос
25,Schulter::N,сарын,пельпон
26,Arm::N,илии,ки
27,Ellenbogen::N,тоҕонох,гырдзза
28,Hand::N,илии,кикар
29,Handfläche::N,ытыс,ки пыдӧс
30,Finger::N,тарбах,чунь
31,Fingernagel::N,тыҥырах,гыж
32,Nagel[Anatomie]::N,тыҥырах,гыж
33,Zeh::N,тарбах,чунь
34,Fuß::N,уллуҥах,кокпыдӧс
35,Ferse::N,тилэх,кокдзир
36,Knie::N,тобук,пидзӧс
37,Knie::N,дьилбэк,пидзӧс
38,Oberschenkel::N,уллук,лядьбей
39,Oberschenkel::N,өттүк,лядьбей
40,Bein::N,атах,кок
41,Körper::N,бэйэ,вывтыр
42,Haut::N,тирии,кучик
43,Blut::N,хаан,вир
44,Ader::N,вена,сӧн
45,Ader::N,күөх_тымыр,сӧн
46,Sehne::N,иҥиир,жила
47,Knochen::N,уҥуох,коска
48,Knochen::N,уҥгуох,коска
49,Gehirn::N,мэйии,вем
50,Herz::N,сүрэх,сьӧлӧм
51,Magen::N,куртах,жӧвдӧк
52,Leber::N,быар,мус
53,Atem::N,тыын,лолалӧм
54,Hunger::N,аас,тшыг
55,Träne::N,харах уута,синва
56,Geschmack::N,амтан,кӧр
57,Geruch::N,сыт,дук
58,Schlaf::N,утуйуу,он
59,Traum::N,түүл,вӧт
60,Himmel::N,халлаан,небо
61,Sonne::N,күн,шондi
62,Mond::N,ый,тӧлiсь
63,Stern::N,сулус,кӧдзыв
64,Luft::N,салгын,ру
65,Wind::N,тыал,тӧв
66,Welle::N,долгун,гы
67,Welle::N,балхаан,гы
68,Wasser::N,уу,ва
69,Stein::N,таас,из
70,Boden::N,сир,му
71,Erde::N,буор,му
72,Staub::N,быыл,бус
73,Rauch::N,буруо,тшын
74,Funke::N,кыым,бичир
75,Feuer::N,уот,би
76,Licht::N,уот,би
77,Schatten::N,күлүк,вуджӧр
78,Wetter::N,күн-дьыл,погоддя
79,Nebel::N,туман,туман
80,Wolke::N,былыт,кымӧр
81,Regen::N,самыыр,зэр
82,Schnee::N,хаар,лым
83,Eis::N,муус,йы
84,Frost::N,тымныы,мороз
85,Kälte::N,тымныы,кӧдзыт
86,Hitze::N,куйаас,ӧд
87,Raureif::N,кырыа,кижа
88,Regenbogen::N,кустук,енӧшка
89,Donner::N,этиҥ,гым
90,Strömung::N,сүүрүк,визывтӧм
91,Tropfen::N,таммах,тёп
92,Tropfen::N,хааппыла,тёп
93,Schaum::N,күүгэн,быг
94,Schmutz::N,кир,нять
95,See::N,күөл,ты
96,Sumpf::N,бадараан,арай
97,Moor::N,дьэбэрэ,нюр
98,Wiese::N,ходуһа,видз
99,Wald::N,ойуур,вӧр
100,Hügel::N,булгунньах,мыльк
101,Anhöhe::N,үрдэл,вывтас
102,Anhöhe::N,үрдэл,вылынін
103,Berg::N,хайа,керӧс
104,Gipfel::N,чыпчаал,йыв
105,Höhle::N,хайа_хаспаҕа,нора
106,Höhle::N,көҥүс,нора
107,Abhang::N,эниэ,покат
108,Quelle::N,дьүүктэ,больган
109,Bach::N,үрүйэ,шор
110,Fluss::N,өрүс,ю
111,Ufer::N,биэрэк,берег
112,Küste::N,кытыл,берег
113,Festland::N,кураанах сир,му
114,Meer::N,муора,море
115,Bucht::N,хомо,курья
116,Bucht::N,бухта,курья
117,Insel::N,арыы,
118,Blume::N,сибэкки,цветок
119,Gras::N,от,турун
120,Wurzel::N,силис,вуж
121,Baum::N,мас,пу
122,Stamm::N,умнас,мыр
123,Stamm::N,умнас,кер
124,Rinde::N,хатырык,кач
125,Ast::N,мутук,ув
126,Zweig::N,лабаа,ув
127,Blatt::N,сэбирдэх,лист
128,Birke::N,хатыҥ,кыдз
129,Kiefer[Baum]::N,бэс,пожум
130,Weide[Baum]::N,үөт,бадь
131,Weide[Baum]::N,талах,бадь
132,Tanne::N,харыйа,кӧз
133,Horn::N,муос,сюр
134,Feder::N,куорсун,гӧн
135,Fell::N,тирии,кучик
136,Flügel::N,кынат,борд
137,Klaue::N,тыҥырах,гыж
138,Kralle::N,баппаҕай,кабыр
139,Schwanz::N,кутурук,бӧж
140,Ei::N,сымыыт,кольть
141,Nest::N,уйа,поз
142,Bau::N,хороон,осьта
143,Bau::N,хороон,нора
144,Tier::N,кыыл,зверь
145,Tier::N,харамай,зверь
146,Herde::N,үөр,гурт
147,Kuh::N,ынах,мӧс
148,Bulle::N,оҕус,ӧшка
149,Pferd::N,сылгы,вӧв
150,Schaf::N,овца,баля
151,Schwein::N,сибиинньэ,порсь
152,Hund::N,ыт,пон
153,Katze::N,куоска,кань
154,Bär::N,эһэ,ош
155,Eichhörnchen::N,тииҥ,ур
156,Elch::N,тайах,вӧр мӧс
157,Fuchs::N,саһыл,руч
158,Hase::N,куобах,кӧч
159,Maus::N,кутуйах,шыр
160,Wolf::N,бөрө,кӧин
161,Vogel::N,көтөр,кай
162,Schwarm::N,бөлөх,стая
163,Schwarm::N,бөлөх,чукӧр
164,Huhn::N,куурусса,курӧг
165,Hahn::N,бөтүүк,петух
166,Hahn::N,бөтүүк,ай курӧг
167,Gans::N,хаас,дзодзог
168,Adler::N,хотой,куч
169,Adler::N,хотой,кутш
170,Ente::N,кус,утка
171,Eule::N,мэкчиргэ,тупка
172,Kranich::N,туруйа,тури
173,Krähe::N,тураах,рака
174,Kuckuck::N,кэҕэ,кӧк
175,Schwan::N,куба,юсь
176,Fisch::N,балык,чери
177,Barsch::N,алыһар,ёкыш
178,Hecht::N,сордон,сирпинь
179,Schlange[Tier]::N,моҕой,змей
180,Schlange[Tier]::N,эриэн үөн,змей
181,Wurm::N,үөн,номыр
182,Spinne::N,ооҕуй,черань
183,Ameise::N,кымырдаҕас,кӧдзывкар
184,Laus::N,быт,ляпа той
185,Mücke::N,кумаар,ном
186,Fliege::N,сахсырҕа,гут
187,Schmetterling::N,лыах,бабыв
188,Schmetterling::N,үрүмэччи,бабыв
189,Beere::N,отон,ягӧд
190,Apfel::N,яблоко,яблоко
191,Pilz::N,тэллэй,тшак
192,Zwiebel::N,луук,грез
193,Saat::N,сиэмэ,кӧдзыс
194,Korn::N,сиэмэ,сю
195,Heu::N,от,турун
196,Schale::N,хах,кыш
197,Schale::N,хах,киль
198,Grube::N,дьаама,яма
199,Falle::N,сохсо,нальк
200,Falle::N,сохсо,кляпча
201,Schlinge::N,уктаа,лӧч
202,Spur::N,суол,туй
203,Asche::N,күл,пӧим
204,Dreck::N,бадараан,нять
205,Eisen::N,тимир,кӧрт
206,Gold::N,көмүс,зарни
207,Gold::N,кыһыл көмүс,зарни
208,Silber::N,көмүс,язісь
209,Silber::N,үрүҥ көмүс,язісь
210,Kohle::N,чох,шом
211,Kohle::N,чох,уголь
212,Glas::N,өстүөкүлэ,стекло
213,Lehm::N,туой,сёй
214,Sand::N,кумах,лыа
215,Mensch::N,киһи,морт
216,Mann::N,эр,мужик
217,Frau::N,дьахтар,инька
218,Kind::N,оҕо,кага
219,Junge::N,уол,зонка
220,Mädchen::N,кыыс оҕо,нывкаок
221,Familie::N,кэргэн,семья
222,Großvater::N,эһэ,дед
223,Großmutter::N,эбэ,баб
224,Eltern::N,аҕа-ийэ,ай-мам
225,Vater::N,аҕа,ай
226,Mutter::N,ийэ,мам
227,Sohn::N,уол,зон
228,Tochter::N,кыыс,ныв
229,Bruder::N,убай,вон
230,Bruder::N,быраат,вон
231,Schwester::N,аҕас,сой
232,Schwester::N,балыс,сой
233,Onkel::N,таай,дядь
234,Onkel::N,абаҕа,дядь
235,Tante::N,эдьиий,айӧлӧн сой
236,Tante::N,эдьиий,ичинь
237,Ehemann::N,эр,жӧник
238,Ehefrau::N,ойох,инь
239,Freude::N,үөрүү,гаж
240,Freude::N,үөрүү,радъялӧм
241,Gelächter::N,күлүү,сералӧм
242,Glück::N,дьол,мичлун
243,Glück::N,соргу,мичлун
244,Kummer::N,кутурҕан,шог
245,Wunsch::N,баҕарыы,мӧдӧм
246,Wunsch::N,баҕарыы,охотитӧм
247,Lust::N,баҕа,охота
248,Geist::N,тыын,лов
249,Gedanke::N,санаа,дума
250,Gedächtnis::N,өй,тӧдвыв
251,Verstand::N,өй,вежӧр
252,Sinn::N,суолта,ылӧс
253,Grund::N,төрүөт,мог
254,Wahrheit::N,кырдьык,правда
255,Gespräch::N,бэсиэдэ,сёрни
256,Gespräch::N,кэпсэтии,сёрни
257,Märchen::N,остуоруйа,сказка
258,Erzählung::N,кэпсээн,висьт
259,Nachricht::N,биллэриллии,юӧр
260,Nachricht::N,биллэриллии,висьталӧм
261,Neuigkeit::N,сонун,новость
262,Name::N,аат,ним
263,Rätsel::N,таабырын,загадка
264,Rede::N,этии,сёрни
265,Sprache::N,тыл,кыв
