,Concept_ID,br,be
0,Auge::N,lagad,вока
1,Ohr::N,skouarn,вуха
2,Nase::N,fri,нос
3,Mund::N,genoù,рот
4,Zahn::N,dant,зуб
5,Zunge::N,teod,язык
6,Lippe::N,muzell,губа
7,Wange::N,chot,шчака
8,Gesicht::N,dremm,твар
9,Stirn::N,tal,лоб
10,Haar::N,blev,волас
11,Haar::N,blev,валасы
12,Schnurrbart::N,mourenn,вус
13,Schnurrbart::N,mourenn,вусы
14,Bart::N,barv,барада
15,Kinn::N,groñj,падбародак
16,Kiefer[Anatomie]::N,javed,сківіца
17,Kehle::N,gouzoug,горла
18,Hals::N,gouzoug,шыя
19,Genick::N,choug,патыліца
20,Kopf::N,penn,галава
21,Rücken::N,kein,спіна
22,Bauch::N,kof,жывот
23,Nabel::N,begel,пупок
24,Busen::N,bronn,грудзі
25,Brust::N,bruched,грудзі
26,Schulter::N,skoaz,плячо
27,Arm::N,brec'h,рука
28,Ellenbogen::N,ilin,локаць
29,Hand::N,dorn,кісць
30,Handfläche::N,palv,далонь
31,Finger::N,biz,палец
32,Fingernagel::N,ivin,ногаць
33,Nagel[Anatomie]::N,ivin,ногаць
34,Zeh::N,biz-troad,палец
35,Fuß::N,troad,нага
36,Ferse::N,seul,пята
37,Ferse::N,seul,пятка
38,Knie::N,glin,калена
39,Oberschenkel::N,morzhed,бядро
40,Oberschenkel::N,morzhed,сцягно
41,Bein::N,gar,нага
42,Körper::N,korf,цела
43,Haut::N,kroc'hen,скура
44,Blut::N,gwad,кроў
45,Ader::N,gwazhi,вена
46,Ader::N,gwazhi,сасуд
47,Sehne::N,stir,жыла
48,Sehne::N,stir,цеціва
49,Sehne::N,stir,сухажылле
50,Knochen::N,askorn,косць
51,Gehirn::N,empenn,мозг
52,Herz::N,kalon,сэрца
53,Magen::N,stomog,страўнік
54,Leber::N,avu,печань
55,Atem::N,anal,дыханне
56,Hunger::N,naon,голад
57,Träne::N,daer,сляза
58,Geschmack::N,blaz,смак
59,Geruch::N,c'hwezh,пах
60,Schlaf::N,kousked,сон
61,Traum::N,hune,сон
62,Himmel::N,oabl,неба
63,Sonne::N,heol,сонца
64,Mond::N,loar,месяц
65,Stern::N,steredenn,зорка
66,Luft::N,aer,паветра
67,Wind::N,avel,вецер
68,Welle::N,houlenn,хваля
69,Wasser::N,dour,вада
70,Stein::N,maen,камень
71,Boden::N,tachenn,глеба
72,Erde::N,douar,зямля
73,Staub::N,poultr,пыл
74,Rauch::N,moged,дым
75,Funke::N,ful,іскра
76,Feuer::N,tan,агонь
77,Licht::N,gouloù,святло
78,Schatten::N,disheol,цень
79,Wetter::N,amzer,пагода
80,Wetter::N,amzer,надворʼе
81,Nebel::N,brumenn,туман
82,Wolke::N,koumoulenn,воблака
83,Regen::N,glav,дождж
84,Schnee::N,erc'h,снег
85,Eis::N,skorn,лёд
86,Frost::N,rev,мароз
87,Kälte::N,yen,холад
88,Hitze::N,tommder,спёка
89,Raureif::N,frim,іней
90,Regenbogen::N,gwareg-ar-glav,вясёлка
91,Donner::N,kurun,гром
92,Strömung::N,red,цячэнне
93,Tropfen::N,bannac'h,кропля
94,Tropfen::N,takenn,кропля
95,Schaum::N,spoum,пена
96,Schmutz::N,fank,гразь
97,See::N,lenn,возера
98,Sumpf::N,gwern,багна
99,Moor::N,taouarc'heg,балота
100,Wiese::N,prad,луг
101,Wald::N,koad,лес
102,Hügel::N,torgenn,узгорак
103,Anhöhe::N,run,узвышша
104,Berg::N,menez,гара
105,Gipfel::N,barr,вяршыня
106,Höhle::N,kav,пячора
107,Abhang::N,naou,схіл
108,Quelle::N,feunteun,крыніца
109,Bach::N,gwazh,ручай
110,Fluss::N,stêr,рака
111,Ufer::N,ribl,бераг
112,Küste::N,aod,узбярэжжа
113,Festland::N,douar,суша
114,Meer::N,mor,мора
115,Bucht::N,mor-bihan,бухта
116,Insel::N,enez,востраў
117,Blume::N,bleunienn,кветка
118,Gras::N,geot,трава
