,Concept_ID,mdf,be
0,Auge::N,сельме,вока
1,Ohr::N,пиле,вуха
2,Nase::N,шалхка,нос
3,Mund::N,курга,рот
4,Zahn::N,пей,зуб
5,Zunge::N,кяль,язык
6,Lippe::N,търва́,губа
7,Wange::N,щёка,шчака
8,Gesicht::N,шама,твар
9,Stirn::N,коня,лоб
10,Haar::N,шя́ярь,волас
11,Haar::N,шя́ярь,валасы
12,Schnurrbart::N,уса́,вус
13,Schnurrbart::N,уса́,вусы
14,Bart::N,сакал,барада
15,Kinn::N,ула,падбародак
16,Kiefer[Anatomie]::N,саласка,сківіца
17,Kehle::N,кълдома,горла
18,Kehle::N,кърга́парь,горла
19,Hals::N,сялдаз,шыя
20,Genick::N,шовонь,патыліца
21,Kopf::N,пря,галава
22,Rücken::N,копорь,спіна
23,Bauch::N,пеке,жывот
24,Nabel::N,по́кон,пупок
25,Busen::N,потя,грудзі
26,Brust::N,мяште,грудзі
27,Schulter::N,лафту,плячо
28,Arm::N,кядь,рука
29,Ellenbogen::N,кенерьба́карь,локаць
30,Hand::N,кядь,кісць
31,Handfläche::N,кядьлапш,далонь
32,Finger::N,сур,палец
33,Fingernagel::N,кенже,ногаць
34,Nagel[Anatomie]::N,кенже,ногаць
35,Zeh::N,пильгосу́р,палец
36,Fuß::N,пильге,нага
37,Fuß::N,пильгелапа,нага
38,Ferse::N,кочкяря,пята
39,Ferse::N,кочкяря,пятка
40,Knie::N,эль,калена
41,Knie::N,пълма́нжа,калена
42,Oberschenkel::N,пильгепукша,бядро
43,Oberschenkel::N,пильгепукша,сцягно
44,Bein::N,пильге,нага
45,Körper::N,ро́нга,цела
46,Körper::N,по́нда,цела
47,Haut::N,киське,скура
48,Blut::N,вер,кроў
49,Ader::N,сан,вена
50,Ader::N,сан,сасуд
51,Ader::N,верза́н,вена
52,Ader::N,верза́н,сасуд
53,Sehne::N,коське сан,жыла
54,Sehne::N,коське сан,цеціва
55,Sehne::N,коське сан,сухажылле
56,Knochen::N,пакарь,косць
57,Gehirn::N,уй,мозг
58,Herz::N,седи,сэрца
59,Magen::N,коткърдазь,страўнік
60,Leber::N,макса,печань
61,Atem::N,лекома,дыханне
62,Atem::N,ваймонь тарксема,дыханне
63,Hunger::N,вачеши,голад
64,Träne::N,сельмове́дь,сляза
65,Geschmack::N,таньф,смак
66,Geruch::N,шине,пах
67,Schlaf::N,удома́,сон
68,Traum::N,он,сон
69,Himmel::N,менель,неба
70,Sonne::N,ши,сонца
71,Mond::N,ков,месяц
72,Stern::N,тяште,зорка
73,Luft::N,кожф,паветра
74,Wind::N,варма,вецер
75,Welle::N,тавла,хваля
76,Wasser::N,ведь,вада
77,Stein::N,кев,камень
78,Boden::N,мода,глеба
79,Boden::N,потмакс,глеба
80,Erde::N,мода,зямля
81,Erde::N,мастор,зямля
82,Staub::N,пуль,пыл
83,Rauch::N,качам,дым
84,Funke::N,ця́тка,іскра
85,Feuer::N,тол,агонь
86,Licht::N,ва́лда,святло
87,Schatten::N,цильф,цень
88,Wetter::N,уша,пагода
89,Wetter::N,уша,надворʼе
90,Nebel::N,тума́н,туман
91,Wolke::N,ковол,воблака
92,Regen::N,пизем,дождж
93,Schnee::N,лов,снег
94,Eis::N,эй,лёд
95,Frost::N,ке́льме,мароз
96,Kälte::N,якшама,холад
97,Hitze::N,пси,спёка
98,Raureif::N,леш,іней
99,Regenbogen::N,а́тямъёнга,вясёлка
100,Donner::N,атям,гром
101,Strömung::N,шудема́,цячэнне
102,Tropfen::N,путькс,кропля
103,Tropfen::N,пътняфкс,кропля
104,Schaum::N,шов,пена
105,Schmutz::N,ърда́з,гразь
106,See::N,эрьхке,возера
107,Sumpf::N,шяй,багна
108,Moor::N,шяй,балота
109,Wiese::N,луга,луг
110,Wald::N,вирь,лес
111,Hügel::N,губо́р,узгорак
112,Hügel::N,пандоня,узгорак
113,Anhöhe::N,губо́р,узвышша
114,Berg::N,панда,гара
115,Gipfel::N,пря,вяршыня
116,Höhle::N,у́нда,пячора
117,Abhang::N,па́нда ша́ма,схіл
118,Quelle::N,эшиня,крыніца
119,Bach::N,шудерькс,ручай
120,Fluss::N,ляй,рака
121,Ufer::N,търва́,бераг
122,Küste::N,ляйтърва́,узбярэжжа
123,Festland::N,мода,суша
124,Meer::N,моря,мора
125,Bucht::N,ведьуське,бухта
126,Insel::N,цёнга,востраў
127,Blume::N,панчф,кветка
128,Gras::N,тише,трава
129,Wurzel::N,юр,корань
130,Wurzel::N,ункс,корань
131,Baum::N,шуфта,дрэва
132,Stamm::N,ро́нга,ствол
133,Rinde::N,кер,кара
134,Ast::N,морга,сук
135,Zweig::N,тарад,галіна
136,Blatt::N,лопа,ліст
137,Birke::N,ке́лу,бяроза
138,Kiefer[Baum]::N,пиче,хвоя
139,Kiefer[Baum]::N,пиче,сасна
140,Weide[Baum]::N,каль,вярба
141,Tanne::N,куз,яліна
142,Horn::N,сюра,рог
143,Feder::N,толга,пяро
144,Fell::N,кедь,шкура
145,Flügel::N,паця,крыло
146,Klaue::N,кенже,кіпцюр
147,Kralle::N,кенже,лапа
148,Schwanz::N,пула,хвост
149,Ei::N,ал,яйка
150,Nest::N,пиза,гняздо
151,Bau::N,пиза,нара
152,Tier::N,жува́та,жывёла
153,Herde::N,нал,статак
154,Herde::N,стада,статак
155,Kuh::N,скал,карова
156,Kuh::N,тракс,карова
157,Bulle::N,бука,бык
158,Pferd::N,лишме,конь
159,Schaf::N,уча́,авечка
160,Schwein::N,тува,свіння
161,Hund::N,пине,сабака
162,Katze::N,катоня,кошка
163,Katze::N,аваката,кошка
164,Bär::N,офта,мядзведзь
165,Eichhörnchen::N,ур,вавёрка
166,Elch::N,ся́рда,лось
167,Fuchs::N,келазь,ліса
168,Hase::N,ну́мол,заяц
169,Maus::N,шеер,мыш
170,Wolf::N,върьгаз,воўк
171,Vogel::N,нармонь,птах
172,Vogel::N,нармонь,птушка
173,Schwarm::N,ко́вол,чарада
174,Schwarm::N,ме́швеле,чарада
175,Huhn::N,сараз,курыца
176,Hahn::N,а́тякш,певень
177,Gans::N,маци,гусь
178,Adler::N,куцькан,арол
179,Ente::N,яксярга,качка
180,Eule::N,ко́рож,сава
181,Kranich::N,ка́рга,жораў
182,Kranich::N,ка́рга,журавель
183,Krähe::N,ва́рси,варона
184,Kuckuck::N,ку́ку,зязюля
185,Schwan::N,ло́ксти,лебедзь
186,Fisch::N,кал,рыба
187,Barsch::N,о́кунь,акунь
188,Hecht::N,щу́ка,шчупак
189,Schlange[Tier]::N,куй,змяя
190,Wurm::N,сукс,чарвяк
191,Spinne::N,унжа́,павук
192,Ameise::N,панжам,мурашка
193,Laus::N,си,вош
194,Mücke::N,ся́ське,камар
195,Fliege::N,кару,муха
196,Schmetterling::N,ме́лав,матыль
197,Beere::N,и́мож,ягада
198,Apfel::N,марь,яблык
199,Pilz::N,панга,грыб
200,Zwiebel::N,шурьхкя́,цыбуля
201,Saat::N,видьмот,семя
202,Korn::N,сёра,зерне
203,Heu::N,тише,сена
204,Schale::N,кедь,шалупінне
205,Grube::N,лотка,яма
206,Falle::N,туфкс,пастка
207,Falle::N,кунда́ма,пастка
208,Schlinge::N,килькш,сіло
209,Spur::N,пильгоки́,след
210,Asche::N,кулу,попел
211,Dreck::N,ърда́з,бруд
212,Eisen::N,кшни,жалеза
213,Gold::N,ока,золата
214,Gold::N,золота,золата
215,Silber::N,сия́,сребра
216,Kohle::N,седь,вугаль
217,Kohle::N,седьвальмя,вугаль
218,Glas::N,кля́нцек,шкло
219,Lehm::N,сёвонь,гліна
220,Sand::N,шува́р,пясок
221,Mensch::N,ломань,чалавек
222,Mann::N,аля,мужчына
223,Mann::N,цёраломань,мужчына
224,Frau::N,ава,жанчына
225,Kind::N,идь,дзіця
226,Kind::N,шаба,дзіця
227,Junge::N,цёраня,хлопчык
228,Mädchen::N,стирня́,дзяўчынка
229,Familie::N,тнал,сямʼя
230,Familie::N,семья,сямʼя
231,Großvater::N,атя,дзядуля
232,Großvater::N,щя́тя,дзядуля
233,Großmutter::N,баба,бабуля
234,Eltern::N,тя́дят-а́лят,бацькі
235,Vater::N,аля,бацька
236,Mutter::N,ава,маці
237,Mutter::N,тядя,маці
238,Sohn::N,цёра,сын
239,Tochter::N,стирь,дачка
240,Bruder::N,дуган,брат
241,Bruder::N,пяльне,брат
242,Schwester::N,ака,сястра
243,Schwester::N,сазор,сястра
244,Onkel::N,оця,дзядзька
245,Onkel::N,патя,дзядзька
246,Onkel::N,щеня́,дзядзька
247,Tante::N,ака,цётка
248,Tante::N,щака,цётка
249,Ehemann::N,мирде,муж
250,Ehefrau::N,ърьвя́,жонка
251,Freude::N,ке́нярдема,радасць
252,Gelächter::N,рахсема,смех
253,Glück::N,паваз,шчасце
254,Kummer::N,ризф,гора
255,Kummer::N,пичефкс,гора
256,Wunsch::N,мяль,жаданне
257,Wunsch::N,таколдома,жаданне
258,Lust::N,таколдома,цяга
259,Geist::N,вайме,дух
260,Gedanke::N,мяль,думка
261,Gedächtnis::N,прявий,памяць
262,Verstand::N,прявий,розум
263,Sinn::N,ён,сэнс
264,Grund::N,туфта́л,зачэпка
265,Wahrheit::N,ви́де,праўда
266,Wahrheit::N,видеши́,праўда
267,Gespräch::N,корхтама,размова
268,Märchen::N,ёфкс,казка
269,Erzählung::N,азкс,расказ
270,Erzählung::N,азкс,апавяданне
271,Nachricht::N,куля́,вестка
272,Nachricht::N,куля́,паведамленне
273,Neuigkeit::N,куля́,навіна
274,Name::N,лем,імя
275,Rätsel::N,со́дама ёфкс,загадка
276,Rede::N,вал,прамова
277,Rede::N,корхтама,прамова
278,Sprache::N,кяль,мова
279,Stimme::N,вайгяль,голас
280,Wort::N,вал,слова
281,Zeichen::N,тя́ште,знак
282,Zeichen::N,тя́штькс,знак
283,Ruf::N,тердема,кліч
284,Lärm::N,гайф,шум
285,Lärm::N,жалакодома,шум
286,Laut::N,вайгяль,гук
287,Ton::N,вайгяль,гучанне
288,Lied::N,мора,песня
289,Ruhe::N,сетьме,спакой
290,Leute::N,ломатть,людзі
291,Volk::N,наро́д,народ
292,Arbeit::N,тев,праца
293,Arbeit::N,тев,работа
294,Gast::N,и́нжи,госць
295,Gast::N,ко́нак,госць
296,Geschenk::N,казне,падарунак
297,Spiel::N,налхкома,гульня
298,Spiel::N,налхксема,гульня
299,Gesellschaft::N,кружок,таварыства
300,Hilfe::N,лездома,дапамога
301,Freund::N,я́лга,друг
302,Freund::N,я́лга,сябар
303,Kamerad::N,я́лга,прыяцель
304,Angelegenheit::N,тев,справа
305,Anzahl::N,лувкс,колькасць
306,Art::N,вид,від
307,Stück::N,пакш,кусок
308,Stück::N,пакш,кавалак
309,Teil::N,часть,частка
310,Teil::N,пялькс,частка
311,Hälfte::N,пяле,палова
312,Hälfte::N,пяле,палавіна
313,Kreis::N,шаркс,круг
314,Kreuz::N,крёз,крыж
315,Linie::N,межа,лінія
316,Linie::N,китькс,лінія
317,Strich::N,межа,рыса
318,Abstand::N,ётка,прамежак
319,Entfernung::N,ётка,адлегласць
320,Gegend::N,ва́ста,мясцовасць
321,Gegend::N,перьфпя́ль,мясцовасць
322,Platz::N,ва́ста,месца
323,Ort::N,ва́ста,месца
324,Seite::N,пяле,бок
325,Mitte::N,кучка́,сярэдзіна
326,Gegenstand::N,веща,прадмет
327,Sache::N,тев,рэч
328,Sache::N,веща,рэч
329,Rand::N,пе,край
330,Kante::N,и́рдез,руб
331,Kante::N,и́рдез,кант
332,Ecke::N,ужа,вугал
333,Spitze::N,пря,кончык
334,Ende::N,пе,канец
335,Loch::N,варя,дзірка
336,Winkel::N,ужа,вугал
337,Muster::N,сёрма,узор
338,Größe::N,серь,памер
339,Länge::N,кува́лма,даўжыня
340,Höhe::N,серь,вышыня
341,Gewicht::N,сталма,вага
342,Menge::N,лувкс,колькасць
343,Haufen::N,мар,куча
344,Reihe::N,ряд,рад
345,Boot::N,венеж,лодка
346,Ruder::N,миле,вясло
347,Schlitten::N,ну́рда,сані
348,Ski::N,сокс,лыжа
349,Lagerfeuer::N,то́лмар,вогнішча
350,Last::N,канкс,цяжар
351,Last::N,сталма,цяжар
352,Gang::N,молема,ход
353,Schritt::N,аськолкс,шаг
354,Schritt::N,аськолкс,крок
355,Norden::N,якшама шире,поўнач
356,Süden::N,ля́мбе ши́ре,поўдзень
357,Westen::N,ши валгома шире,захад
358,Osten::N,шинь стяма шире,усход
359,Holz::N,вирь,дрэва
360,Holz::N,вирь,драўніна
361,Holz::N,шуфта,дрэва
362,Holz::N,шуфта,драўніна
363,Brett::N,лавця,дошка
364,Platte::N,плита́,пліта
365,Stütze::N,неже,падпорка
366,Stange::N,олга,жэрдка
367,Stock::N,байдек,палка
368,Stab::N,олгоня,шост
369,Rohr::N,турама,труба
370,Haus::N,куд,дом
371,Heim::N,куд,дом
372,Heim::N,куд,хата
373,Ofen::N,пянакуд,печ
374,Fußboden::N,кия́кс,падлога
375,Tisch::N,шра,стол
376,Tisch::N,моркш,стол
377,Stuhl::N,стул,стул
378,Stuhl::N,стул,крэсла
379,Wiege::N,нюря́м,калыска
380,Bett::N,ацам,ложак
381,Bett::N,ацам,пасцель
382,Regal::N,лавцяланга,паліца
383,Kiste::N,парга,скрынка
384,Fenster::N,валмья,акно
385,Tür::N,кенкш,дзверы
386,Tor::N,ортат,вароты
387,Zaun::N,перяфкс,агароджа
388,Dach::N,кудпря,дах
389,Leiter::N,куцема,лесвіца
390,Besen::N,тяльме,мятла
391,Spaten::N,ка́йме,лапата
392,Spaten::N,ка́йме,жалязняк
393,Schaufel::N,ко́поня,шуфлік
394,Schaufel::N,ко́поня,лапатка
395,Schaufel::N,ця́рдом,шуфлік
396,Schaufel::N,ця́рдом,лапатка
397,Gabel::N,ця́нгоня,відэлец
398,Löffel::N,куцю,лыжка
399,Messer::N,пеель,нож
400,Nagel::N,эска,цвік
401,Haken::N,кя́чказ,крук
402,Griff::N,недь,ручка
403,Griff::N,кунда́мка,ручка
404,Schloss::N,замо́к,замок
405,Bild::N,карти́на,карціна
406,Figur::N,ронга-понда,фігура
407,Puppe::N,ня́ка,лялька
408,Beutel::N,кяскав,мяшок
409,Bündel::N,кярьме,вязка
410,Tasche::N,кошяльня,торба
411,Eimer::N,ве́дарка,вядро
412,Deckel::N,тавадкс,накрыўка
413,Deckel::N,вельхкс,накрыўка
414,Geschirr::N,кядьге,пасуда
415,Sack::N,кяскав,мех
416,Tasse::N,ша́ваня,кубак
417,Topf::N,кавозь,каструля
418,Kessel::N,сргавозь,кацёл
419,Essen::N,ярхцама,ежа
420,Nahrung::N,ярхцампяль,харч
421,Speise::N,ярхцама,страва
422,Fleisch::N,пал,мяса
423,Fleisch::N,сиволь,мяса
424,Getreide::N,сёра,збожжа
425,Brei::N,ям,каша
426,Brot::N,кши,хлеб
427,Scheibe::N,кочам,луста
428,Scheibe::N,кочам,скібка
429,Fett::N,куя́,тлушч
430,Butter::N,вай,масла
431,Öl::N,вай,алей
432,Salz::N,сал,соль
433,Suppe::N,шонгарям,суп
434,Suppe::N,коршампяль,суп
435,Honig::N,медь,мёд
436,Milch::N,лофца,малако
437,Tee::N,чай,чай
438,Tee::N,чай,гарбата
439,Leder::N,кедь,скура
440,Wolle::N,пона,воўна
441,Stoff::N,котф,тканіна
442,Nadel::N,салмокс,іголка
443,Faden::N,сюре,нітка
444,Knopf::N,пуня,гузік
445,Knoten::N,сюлма,вузел
446,Farbe::N,архтомбяль,фарба
447,Kleidung::N,щам,адзенне
448,Hemd::N,па́нар,кашуля
449,Kragen::N,сиве,каўнер
450,Ärmel::N,ожа,рукаў
451,Hose::N,понкст,штаны
452,Gürtel::N,каркс,пояс
453,Mütze::N,вазь,шапка
454,Schuh::N,башма́к,чаравік
455,Stiefel::N,кя́ме,бот
456,Ring::N,суркс,кольца
457,Band::N,керькс,стужка
458,Band::N,лента,стужка
459,Kamm::N,сюрьхцем,расчоска
460,Spiegel::N,ванома,люстра
461,Riemen::N,шнань каркс,рэмень
462,Schnur::N,пикс,вяроўка
463,Schnur::N,карькскя,вяроўка
464,Leine::N,вядьме,павадок
465,Decke::N,вельхкс,коўдра
466,Kissen::N,тоду,падушка
467,Tuch::N,руця́,хустка
468,Handtuch::N,на́рдама,ручнік
469,Kraft::N,вий,сіла
470,Stärke::N,вииши,моц
471,Gesundheit::N,шумбраши́,здароўе
472,Krankheit::N,урма́,хвароба
473,Krankheit::N,сярядема,хвароба
474,Schmerz::N,маряма,боль
475,Wunde::N,керф,рана
476,Fieber::N,маштыкс,гарачка
477,Fieber::N,маштыкс,ліхаманка
478,Arznei::N,надо́бья,лекі
479,Arznei::N,пъчка́фтома,лекі
480,Brücke::N,седь,мост
481,Brunnen::N,эши,калодзеж
482,Weide::N,ванома васта,паша
483,Pfad::N,ян,сцежка
484,Pfad::N,киня́,сцежка
485,Weg::N,ки,шлях
486,Weg::N,ки,дарога
487,Straße::N,ки,вуліца
488,Dorf::N,веле,вёска
489,Stadt::N,ош,горад
490,Brief::N,сёрма,ліст
491,Brief::N,сёрма,пісьмо
492,Buch::N,книга,кніга
493,Buchstabe::N,бу́ква,літара
494,Zeitung::N,газе́та,газета
495,Leben::N,эряф,жыццё
496,Leben::N,эряма,жыццё
497,Tod::N,кулома́,смерць
498,Grab::N,калма,магіла
499,Kirche::N,це́рькав,касцёл
500,Kirche::N,це́рькав,царква
501,Sünde::N,пежеть,грэх
502,Sünde::N,муворкс,грэх
503,Gott::N,шкай,бог
504,Arbeiter::N,трудендай,рабочы
505,Arbeiter::N,работник,рабочы
506,Chef::N,азор,начальнік
507,Chef::N,оцюня,начальнік
508,Meister::N,мастяр,майстар
509,Arzt::N,врач,урач
510,Arzt::N,доктор,урач
511,Lehrer::N,учи́тель,настаўнік
512,Geld::N,ярмакт,грошы
513,Geschäft::N,ладяфкс,заняцце
514,Geschäft::N,ладяф тев,заняцце
515,Laden::N,ла́вка,крама
516,Laden::N,ла́вка,магазін
517,Preis::N,питне,цана
518,Ware::N,миф,тавар
519,Ware::N,ра́маф,тавар
520,Nutzen::N,пара,выгада
521,Nutzen::N,лезкс,выгада
522,Reichtum::N,ко́зяши,багацце
523,Welt::N,свет,свет
524,Land::N,мастор,краіна
525,Staat::N,государства,дзяржава
526,König::N,король,кароль
527,Macht::N,азорондама,улада
528,Macht::N,азорксши,улада
529,Grenze::N,ёткаян,граніца
530,Krieg::N,война́,вайна
531,Feind::N,душман,вораг
532,Feind::N,каршек тюри,вораг
533,Gewalt::N,наругама,насілле
534,Kampf::N,тюрема́,барацьба
535,Bogen[Waffe]::N,нал,лук
536,Pfeil::N,нал,страла
537,Gewehr::N,винто́вка,ружжо
538,Fehler::N,эльбядькс,памылка
539,Lüge::N,васькафнема,хлусня
540,Schaden::N,зия́н,шкода
541,Unglück::N,зия́н,ліха
542,Unglück::N,зия́н,бядота
543,Schuld::N,муворши,віна
544,Alter::N,эряф кизот,узрост
545,Alter::N,эряфонь пинге,узрост
546,Schluss::N,пе,канец
547,Zeit::N,пинге,час
548,Tag::N,ши,дзень
549,Morgen::N,шобдава,ранак
550,Morgen::N,шобдава,раніца
551,Mittag::N,шикучка,паўдня
552,Mittag::N,шикучка,поўдзень
553,Abend::N,иля́дь,вечар
554,Nacht::N,ве,ноч
555,Woche::N,недя́ля,тыдзень
556,Monat::N,ков,месяц
557,Jahr::N,киза,год
558,Frühling::N,тунда́,вясна
559,Sommer::N,киза,лета
560,Herbst::N,сёксе,восень
561,Winter::N,тяла,зіма
562,Januar::N,кельмеков,студзень
563,Februar::N,уфайков,люты
564,März::N,марайков,сакавік
565,April::N,шудиков,красавік
566,Mai::N,панжиков,май
567,Mai::N,панжиков,травень
568,Juni::N,лямбеков,чэрвень
569,Juli::N,псиков,ліпень
570,August::N,сёроньков,жнівень
571,September::N,тюжягов,верасень
572,Oktober::N,кельмазаков,кастрычнік
573,November::N,эйндамков,лістапад
574,Dezember::N,кучкаков,снежань
575,Montag::N,одговши,панядзелак
576,Dienstag::N,ша́вши,аўторак
577,Mittwoch::N,вержи,серада
578,Donnerstag::N,шува́ланя,чацвер
