,Concept_ID,kn,ta
0,Auge::N,ಕಣ್ಣು,கண்
1,Ohr::N,ಕಿವಿ,காது
2,Nase::N,ಮೂಗು,மூக்கு
3,Mund::N,ಬಾಯಿ,வாய்
4,Zahn::N,ಹಲ್ಲು,பல்
5,Zunge::N,ನಾಲಿಗೆ,நாக்கு
6,Lippe::N,ತುಟಿ,உதடு
7,Wange::N,ಗಲ್ಲ,கன்னம்
8,Gesicht::N,ಮುಖ,முகம்
9,Stirn::N,ಹಣೆ,முன்னெற்றி
10,Haar::N,ಕೂದಲು,முடி
11,Schnurrbart::N,ಮೀಸೆ,மீசை
12,Bart::N,ಗಡ್ಡ,தாடி
13,Kinn::N,ಗದ್ದ,கீழதாடை
14,Kiefer[Anatomie]::N,ದವಡೆ,தாடை
15,Kehle::N,ಗಂಟಲು,தொண்டை
16,Hals::N,ಕೊರಳು,கழுத்து
17,Genick::N,ಹಿಂಗತ್ತು,கழுத்து
18,Kopf::N,ತಲೆ,தலை
19,Rücken::N,ಬೆನ್ನು,முதுகு
20,Bauch::N,ಹೊಟ್ಟೆ,வயிறு
21,Nabel::N,ಹೊಕ್ಕುಳು,தொப்புள்
22,Busen::N,ಸ್ತನ,மார்பகம்
23,Brust::N,ಎದೆ, மார்பு
24,Schulter::N,ಭುಜ,தோள்பட்டை
25,Arm::N,ತೋಳು,கரம்
26,Ellenbogen::N,ಮೊಣಕೈ,முழங்கை
27,Hand::N,ಕೈ,கை
28,Handfläche::N,ಅಂಗೈ,உள்ளங்கை
29,Finger::N,ಕೈಬೆರಳು,விரல்
30,Fingernagel::N,ಉಗುರು,விரல் நகம்
31,Nagel[Anatomie]::N,ಉಗುರು,நகம்
32,Zeh::N,ಕಾಲ್ಬೆರಳು,கால்விரல்
33,Fuß::N,ಪಾದ,கால்
34,Ferse::N,ಹಿಮ್ಮಡಿ,குதிகால்
35,Knie::N,ಮಂಡಿ,முழங்கால்
36,Oberschenkel::N,ತೊಡೆ,தொடை
37,Bein::N,ಕಾಲು,கால்
38,Körper::N,ದೇಹ,உடல்
39,Haut::N,ಚರ್ಮ,சருமம்
40,Blut::N,ರಕ್ತ,இரத்தம்
41,Ader::N,ನರ,நாளம்
42,Sehne::N,ನರ,தசைநார்
43,Knochen::N,ಮೂಳೆ,எலுமபு
44,Gehirn::N,ಮಿದುಳು,மூனை
45,Herz::N,ಹೃದಯ,இதயம
46,Magen::N,ಉದರ,வயிறு
47,Leber::N,ಯಕೃತ್ತು,கல்லீரல்
48,Atem::N,ಉಸಿರು,மூச்சு
49,Hunger::N,ಹಸಿವು,பசி
50,Träne::N,ಕಣ್ಣೀರು,கண்ணீர்
51,Geschmack::N,ರುಚಿ,நறுமணம்
52,Geruch::N,ವಾಸನೆ,துர்நாற்றம்
53,Schlaf::N,ನಿದ್ರೆ,தூக்கம்
54,Traum::N,ಕನಸು,கனவு
55,Himmel::N,ಬಾನು,வானம்
56,Sonne::N,ಸೂರ್ಯ,சூரியன்
57,Mond::N,ಚಂದ್ರ,சந்திரன்
58,Stern::N,ಚುಕ್ಕಿ,நட்சத்திரம்
59,Luft::N,ವಾಯು,காறறு
60,Wind::N,ಗಾಳಿ,காற்று
61,Welle::N,ಅಲೆ,அலை
62,Wasser::N,ನೀರು,நீர்
63,Stein::N,ಕಲ್ಲು,கல்
64,Boden::N,ನೆಲ,தரை
65,Erde::N,ಭೂಮಿ,மண்
66,Staub::N,ದೂಳು,தூசி
67,Rauch::N,ಹೊಗೆ,புகை
68,Funke::N,ಕಿಡಿ,தீப்பொறி
69,Feuer::N,ಬೆಂಕಿ,தீ
70,Licht::N,ಬೆಳಕು,வெளிச்சம்
71,Schatten::N,ನೆರಳು,நிழல்
72,Wetter::N,ಹವ,வானிலை
73,Nebel::N,ಮಂಜು,பனிமூட்டம்
74,Wolke::N,ಮೋಡ,மேகம்
75,Regen::N,ಮಳೆ,மழை
76,Schnee::N,ಹಿಮ,உறைபனி
77,Eis::N,ಮಂಜುಗಡ್ಡೆ,பனிக்கட்டி
78,Frost::N,ಮಂಜು,உறைபனி
79,Kälte::N,ಹಿಮ,குளிர்ந்த
80,Hitze::N,ಉಷ್ಣ,சூடு
81,Raureif::N,ಇಬ್ಬನಿ,உறைபனி வெண்திரை
82,Regenbogen::N,ಇಂದ್ರಚಾಪ,வானவில்
83,Donner::N,ಗುಡುಗು,இடி
84,Strömung::N,ಪ್ರವಾಹ,நீரோட்டம்
85,Tropfen::N,ತೊಟ್ಟು,துளி
86,Schaum::N,ನೊರೆ,நுரை
87,Schmutz::N,ಕಸ,அழுக்கு
88,See::N,ಸರೋವರ,ஏரி
89,Sumpf::N,ಜೌಗುಸ್ಥಳ,சதுப்பு நிலம்
90,Moor::N,ಬಂಜರು ಭೂಮಿ,முட்புதற்காடு
91,Wiese::N,ಹುಲ್ಲುಗಾವಲು,பசும் புல்தரை
92,Wald::N,ಕಾಡು,காடு
93,Hügel::N,ಗುಡ್ಡೆ,குன்று
94,Anhöhe::N,ದಿಬ್ಬ,பதுக்கை
95,Berg::N,ಮಲೆ,மலை
96,Berg::N,ಪರ್ವತ,மலை
97,Gipfel::N,ಶೃಂಗ,உச்சி மாநாடு
98,Höhle::N,ಗುಹೆ,குகை
99,Abhang::N,ಇಳಿಜಾರು,சரிவு
100,Quelle::N,ಮೂಲ,மூலம்
101,Bach::N,ತೊರೆ,ஓடை
102,Fluss::N,ನದಿ,ஆறு
103,Ufer::N,ತೀರ,நீர்க்கரை
104,Küste::N,ದಂಡೆ,கடற்கரை
105,Festland::N,ಭೂಮಿ,நிலம்
106,Meer::N,ಕಡಲು,கடல்
107,Bucht::N,ಖಾರಿ,சிறுகுடா
108,Insel::N,ದ್ವೀಪ,தீவு
109,Blume::N,ಸುಮ,பூ
110,Gras::N,ಹುಲ್ಲು,புல்தரை
111,Wurzel::N,ಬೇರು,வேர்
112,Baum::N,ಮರ,மரம்
113,Stamm::N,ಕಾಂಡ,அடிமரம்
114,Rinde::N,ತೂಗಟಿ,பட்டை
115,Rinde::N,ತೂಗಟಿ,மரப்பட்டை
116,Ast::N,ಶಾಖೆ,கினை
117,Zweig::N,ರೆಂಬೆ,குச்சி
118,Blatt::N,ಎಲೆ,இலை
119,Birke::N,ಬರ್ಚ್ ಮರ,பிர்ச் மரம்
120,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,தேவதாரு மரம்
121,Weide[Baum]::N,ವಿಲೋಮರ,மர வகைகளுள் ஒன்று
122,Tanne::N,ಭದ್ರದಾರು,சாதிக்கய்
123,Horn::N,ಕೊಂಬು,கொம்பு
124,Feder::N,ಪುಕ್ಕ,இறகு
125,Fell::N,ರೋಮ,மென்முடி
126,Flügel::N,ರೆಕ್ಕೆ,இறக்கை
127,Klaue::N,ಪಂಜ,நகம்
128,Kralle::N,ಉಗುರು,நகம்
129,Schwanz::N,ಬಾಲ,வால்
130,Ei::N,ಮೊಟ್ಟೆ,முட்டை
131,Nest::N,ಗೂಡು,கூடு
132,Bau::N,ಅಡಗುದಾಣ,குகை
133,Tier::N,ಪ್ರಾಣಿ,விலங்கு
134,Herde::N,ಗುಂಪು,கூட்டம்
135,Kuh::N,ಹಸು,பசு
136,Bulle::N,ಗೂಳಿ,காளை
137,Pferd::N,ಕುದುರೆ,குதிரை
138,Schaf::N,ಕುರಿ,செம்மறிஆடு
139,Schwein::N,ಹಂದಿ,பன்றி
140,Hund::N,ನಾಯಿ,நாய்
141,Katze::N,ಬೆಕ್ಕು,பூனை
142,Bär::N,ಕರಡಿ,கரடி
143,Eichhörnchen::N,ಉಡುತೆ,அணில்
144,Elch::N,ಕಡವೆ,கடம்பை
145,Fuchs::N,ನರಿ,நரி
146,Hase::N,ಮೊಲ,முயல்
147,Maus::N,ಇಲಿ,எலி
148,Wolf::N,ತೋಳ,ஓநாய்
149,Vogel::N,ಪಕ್ಷಿ,பறவை
150,Schwarm::N,ಗುಂಪು,தொகுதி
151,Huhn::N,ಚಿಕ್,கோழிக்குஞசு
152,Hahn::N,ಹುಂಜ,சேவல்
153,Gans::N,ವರಟೆ,பெண் வாத்து
154,Adler::N,ಗರುಡ,பருநது
155,Ente::N,ಬಾತು,வாத்து
156,Eule::N,ಗೂಬೆ,ஆந்தை
157,Kranich::N,ಕೊಕ್ಕರ,நாரை
158,Krähe::N,ಕಾಗೆ,காகம்
159,Kuckuck::N,ಕೋಗಿಲೆ,குயில்
160,Schwan::N,ಹಂಸಪಕ್ಷಿ,அன்னம்
161,Fisch::N,ಮೀನು,மீன்
162,Barsch::N,ಪರ್ಚ್ ಮೀನು,பேர்ச்
163,Hecht::N,ಪೈಕ್ ಮೀನು,கோலாச்சி மீன்
164,Schlange[Tier]::N,ಹಾವು,பாம்பு
165,Wurm::N,ಹುಳು,புழு
166,Spinne::N,ಊರ್ಣನಾಭ,சிலந்தி
167,Ameise::N,ಇರುವೆ,எறும்பு
168,Laus::N,ಹೇನು,பேன்
169,Mücke::N,ಸೊಳ್ಳೆ,கொசுவினப்பூச்சி
170,Fliege::N,ನೊಣ,ஈ
171,Schmetterling::N,ಪತಂಗ,வண்ணத்துப்பூச்சி
172,Beere::N,ನಯವಣ್ಣು,சதைப்பழம்
173,Apfel::N,ಸೇಬು,ஆப்பிள பழம்
174,Pilz::N,ಅಣಬೆ,காளான்
175,Zwiebel::N,ನೀರುಳ್ಳಿ,வெங்காயம்
176,Saat::N,ಬಿತ್ತ,விதை
177,Korn::N,ಬೀಜ,தானியம்
178,Heu::N,ಕರಡ,வைக்கோல்
179,Schale::N,ಹೊಟ್ಟು,தோல்
180,Grube::N,ಗುಂಡಿ,குழி
181,Falle::N,ಬೋನು,பொறி
182,Schlinge::N,ಉರುಲು,கண்ணி
183,Spur::N,ಜಾಡು,சுவடு
184,Asche::N,ಬೂದಿ,சாம்பல்
185,Dreck::N,ಹೊಲಸು,அழுக்கு
186,Eisen::N,ಕಬ್ಬಿಣ,இரும்பு
187,Gold::N,ಚಿನ್ನ,தங்கம்
188,Silber::N,ಬೆಳ್ಳಿ,வெள்ளி
189,Kohle::N,ಕಲ್ಲಿದ್ದಲು,நிலக்கரி
190,Glas::N,ಗಾಜು,கண்ணாடி
191,Lehm::N,ಜೇಡಿಮಣ್ಣು,களிமண்
192,Sand::N,ಮರಳು,மணல்
193,Mensch::N,ಪುರುಷ,மனிதர்கள்
194,Mann::N,ಆಳು,மனிதன்
195,Frau::N,ಹೆಣ್ಣು,பெண்
196,Kind::N,ಮಗು,குழந்தை
197,Junge::N,ಹುಡುಗ,பையன்
198,Mädchen::N,ಹುಡುಗಿ,சிறுமி
199,Familie::N,ಕುಟುಂಬ,குடும்பம்
200,Großvater::N,ಅಜ್ಜ,தாத்தா
201,Großmutter::N,ಅಮ್ಮ,பாட்டி
202,Eltern::N,ಹೆತ್ತವರು,பெற்றோர்
203,Vater::N,ತಂದೆ,தந்தை
204,Mutter::N,ಅಮ್ಮ,தாய்
205,Sohn::N,ಮಗ ,மகன்
206,Tochter::N,ಮಗಳು,மகள்
207,Bruder::N,ತಮ್ಮ,சகோதரன்
208,Schwester::N,ತಂಗಿ,அக்கா
209,Onkel::N,ಸೋದರಮಾವ,தாய் மாமன்
210,Onkel::N,ದೊಡ್ಡಪ್ಪ,தாய் மாமன்
211,Tante::N,ಚಿಕ್ಕಮ್ಮ,அத்தை
212,Ehemann::N,ಗಂಡ,கணவன்
213,Ehefrau::N,ಹೆಂಡತಿ,மனைவி
214,Freude::N,ನಲಿವು,கொண்டாட்டம்
215,Gelächter::N,ನಗೆ,சிரிப்பு
216,Glück::N,ಆನಂದ,மகிழ்ச்சி
217,Kummer::N,ದುಃಖ,துயரம்
218,Wunsch::N,ಬಯಕೆ,விருப்பம்
219,Lust::N,ಇಷ್ಟ,விருப்பம்
220,Geist::N,ಆತ್ಮ,ஆன்மா
221,Gedanke::N,ಯೋಚನೆ,எண்ணம்
222,Gedächtnis::N,ಸ್ಮರಣೆ,ஞாபகம்
223,Verstand::N,ಮನಸ್ಸು,மனம்
224,Sinn::N,ಅರ್ಥ,அர்த்தம்
225,Grund::N,ಕಾರಣ,காரணம்
226,Wahrheit::N,ಸತ್ಯ,உண்நை
227,Gespräch::N,ಸಂಭಾಷಣೆ,பெசு
228,Märchen::N,ಸುಳ್ಳು ಕಥೆ,நம்பத்தகாத கதை
229,Erzählung::N,ಕಥೆ,கதை
230,Nachricht::N,ಸಂದೇಶ,செய்தி
231,Neuigkeit::N,ಸುದ್ದಿ,செய்தி
232,Name::N,ಹೆಸರು,பெயர்
233,Rätsel::N,ಒಗಟು,புதிர்
234,Rede::N,ಮಾತು,பேச்சு
235,Sprache::N,ಭಾಷೆ,மொழி
236,Stimme::N,ಧ್ವನಿ,குரல்
237,Wort::N,ಮಾತು,வார்த்தை
238,Zeichen::N,ಗುರುತು,குறி
