,Concept_ID,lbe,ro
0,Auge::N,я,ochi
1,Ohr::N,вичӏи,ureche
2,Nase::N,май,nas
3,Mund::N,кьацӏ,gură
4,Zahn::N,ккарччи,dinte
5,Zunge::N,маз,limbă
6,Lippe::N,мурччи,buză
7,Wange::N,чӏав,bucă
8,Wange::N,чӏав,obraz
9,Gesicht::N,лажин,față
10,Gesicht::N,лажин,figură
11,Stirn::N,ненттабакӏ,frunte
12,Haar::N,чӏара,păr
13,Schnurrbart::N,ссирссилтту,mustață
14,Bart::N,чӏири,barbă
15,Kinn::N,лунттубакӏ,bărbie
16,Kiefer[Anatomie]::N,ххинчулул,falcă
17,Kehle::N,кьакьари,beregată
18,Hals::N,ссурссу,gât
19,Genick::N,махъабакӏ,ceafă
20,Kopf::N,бакӏ,cap
21,Rücken::N,ттиликӏ,dos
22,Rücken::N,ттиликӏ,spate
23,Rücken::N,ттиликӏ,spinare
24,Bauch::N,лякьа,burtă
25,Bauch::N,лякьа,pântece
26,Nabel::N,цӏумуккутӏ,buric
27,Busen::N,ккукку,sân
28,Brust::N,хъазам,piept
29,Schulter::N,хъачӏ,umăr
30,Schulter::N,хъачӏ,spate
31,Arm::N,ка,braț
32,Ellenbogen::N,ссюрхъ,cot
33,Hand::N,бартка,mână
34,Handfläche::N,хъат,palmă
35,Handfläche::N,битӏянхъ,palmă
36,Finger::N,кӏисса,deget
37,Fingernagel::N,михь,unghie
38,Nagel[Anatomie]::N,михь,unghie
39,Zeh::N,кӏисса,deget de la picior
40,Fuß::N,чӏанччан,picior
41,Ferse::N,никъа,călcâi
42,Knie::N,ник,genunchi
43,Oberschenkel::N,жира,coapsă
44,Bein::N,ччан,picior
45,Körper::N,чурх,corp
46,Haut::N,бурчу,piele
47,Blut::N,оь,sânge
48,Ader::N,тунну,vână
49,Ader::N,тунну,arteră
50,Sehne::N,хьхьа,tendon
51,Knochen::N,ттаркӏ,os
52,Gehirn::N,ня,creier
53,Herz::N,дакӏ,inimă
54,Herz::N,къюкӏ,inimă
55,Magen::N,лякьа,stomac
56,Atem::N,ссихӏ ласаву,răsuflare
57,Atem::N,ссихӏ ласаву,respirație
58,Atem::N,ссихӏ бигьаву,răsuflare
59,Atem::N,ссихӏ бигьаву,respirație
60,Hunger::N,ккаши,foame
61,Träne::N,макь,lacrimă
62,Geschmack::N,тӏин,gust
63,Geschmack::N,тӏааьн,gust
64,Geruch::N,кьанкь,miros
65,Schlaf::N,шану,somn
66,Traum::N,макӏру,vis
67,Himmel::N,ссав,cer
68,Sonne::N,баргъ,soare
69,Mond::N,барз,lună
70,Stern::N,цӏуку,stea
71,Luft::N,гьава,aer
72,Wind::N,марч,vânt
73,Welle::N,щатӏи,val
74,Welle::N,щатӏи,undă
75,Wasser::N,щин,apă
76,Stein::N,чару,piatră
77,Boden::N,аьрщи,sol
78,Boden::N,аьрщи,pământ
79,Erde::N,аьрщи,pământ
80,Staub::N,ххит,praf
81,Rauch::N,пуркӏу,fum
82,Funke::N,пиягь,scânteie
83,Feuer::N,цӏу,foc
84,Licht::N,чани,lumină
85,Schatten::N,ххют,umbră
86,Wetter::N,гьава,timp
87,Wetter::N,гьава,vreme
88,Nebel::N,шархь ттурлу,ceață
89,Nebel::N,шархь ттурлу,negură
90,Wolke::N,ттурлу,nor
91,Regen::N,гъарал,ploaie
