,Concept_ID,ab,ru
0,Auge::N,ала,глаз
1,Ohr::N,алымҳа,ухо
2,Nase::N,аҧынҵа,нос
3,Mund::N,аҧышə,рот
4,Zahn::N,ахаҧыц,зуб
5,Zunge::N,абз,язык
6,Lippe::N,ақьышə,губа
7,Wange::N,аӡамҩа,щека
8,Gesicht::N,аҿы,лицо
9,Stirn::N,алахь,лоб
10,Haar::N,ахəыц,волос
11,Haar::N,ахəыц,волосы
12,Schnurrbart::N,аҧаҵа,ус
13,Schnurrbart::N,аҧаҵа,усы
14,Bart::N,ажакьа,борода
15,Kinn::N,ацламкəыгə,подбородок
16,Kiefer[Anatomie]::N,ацламҳəа,челюсть
17,Kehle::N,ахəда,горло
18,Hals::N,ахəда,шея
19,Genick::N,ахəдаџьал,затылок
20,Kopf::N,ахы,голова
21,Rücken::N,азқəа,спина
22,Bauch::N,амгəа,живот
23,Nabel::N,аҷапан,пупок
24,Busen::N,агəыҧҳəы,женская грудь
25,Brust::N,агəышҧы,грудь
26,Schulter::N,ажəҩахыр,плечо
27,Arm::N,амахəар,рука
28,Ellenbogen::N,амашьхəылҵ,локоть
29,Hand::N,анапы,кисть
30,Handfläche::N,анапсаргəыҵа,ладонь
31,Finger::N,анацəа,палец
32,Fingernagel::N,анапхыц,ноготь
33,Nagel[Anatomie]::N,ашьапхыц,ноготь
34,Zeh::N,ашьацəа,палец
35,Fuß::N,ашьапсыргəыҵа,ступня
36,Ferse::N,ашьхəа,пята
37,Ferse::N,ашьхəа,пятка
38,Knie::N,ашьамхы,колено
39,Oberschenkel::N,ауаҭəа,бедро
40,Bein::N,ашьапы,нога
41,Körper::N,ацəеижь,тело
42,Haut::N,ацəа,кожа
43,Blut::N,ашьа,кровь
44,Ader::N,ада,вена
45,Ader::N,ада,сосуд
46,Sehne::N,адаш,жила
47,Sehne::N,адаш,тетива
48,Sehne::N,адаш,сухожилие
49,Knochen::N,абаҩ,кость
50,Gehirn::N,ахшлыбаҩ,мозг
51,Gehirn::N,ахшыбаҩ,мозг
52,Herz::N,агəы,сердце
53,Magen::N,аца,желудок
54,Magen::N,ацар,желудок
55,Leber::N,агəаҵəа,печень
56,Atem::N,аҧсыҧлагаҩгара,дух
57,Atem::N,аҧсыҧлагаҩгара,дыхание
58,Hunger::N,амла,голод
59,Träne::N,алабжыш,слеза
60,Geschmack::N,агьама,вкус
61,Geruch::N,афҩы,запах
62,Schlaf::N,ацəа,сон
63,Traum::N,аҧхыӡ,сновидение
64,Himmel::N,ажəҩан,небо
65,Sonne::N,амра,солнце
66,Mond::N,амза,луна
67,Stern::N,аеҵəа,звезда
68,Luft::N,аҳаир,воздух
69,Wind::N,аҧша,ветер
70,Welle::N,ацəқəырҧа,волна
71,Wasser::N,аӡы,вода
72,Stein::N,ахаҳə,камень
73,Boden::N,адгьыл,почва
74,Erde::N,адгьыл,земля
75,Staub::N,асаба,пыль
76,Rauch::N,алҩа,дым
77,Funke::N,акəиц,искра
78,Funke::N,ацҧхь,искра
79,Feuer::N,амца,огонь
80,Licht::N,алашара,свет
81,Schatten::N,ашəшьыра,тень
82,Wetter::N,амш,погода
83,Nebel::N,анаҟəа,туман
84,Wolke::N,аҧсҭҳəа,облако
85,Regen::N,ақəа,дождь
86,Schnee::N,асы,снег
87,Eis::N,аҵаа,лед
88,Frost::N,аҵаа,мороз
