,Concept_ID,cs,sq
0,Auge::N,oko,sy
1,Ohr::N,ucho,vesh
2,Nase::N,nos,hundë
3,Mund::N,pusa,gojë
4,Zahn::N,zub,dhëmb
5,Zunge::N,jazyk,gjuhë
6,Lippe::N,ret,buzë
7,Wange::N,tvář,faqe
8,Wange::N,tvář,mollëz
9,Gesicht::N,obličej,fytyrë
10,Stirn::N,čelo,ballë
11,Haar::N,vlas,flokë
12,Haar::N,vlasy,flokë
13,Schnurrbart::N,kníry,mustaqe
14,Bart::N,vousy,mjekër
15,Kinn::N,brada,mjekër
16,Kiefer[Anatomie]::N,čelist,nofull
17,Kehle::N,hrdlo,fyt
18,Kehle::N,hrdlo,grykë
19,Hals::N,krk,qafë
20,Genick::N,týl,arrëz
21,Kopf::N,hlava,kokë
22,Rücken::N,záda,kurriz
23,Rücken::N,hřbet,kurriz
24,Bauch::N,břicho,bark
25,Nabel::N,pupek,kërthizë
26,Busen::N,ňadra,gji
27,Brust::N,prsa,gjoks
28,Brust::N,prsa,kraharor
29,Schulter::N,plece,sup
30,Schulter::N,plece,krah
31,Schulter::N,rameno,sup
32,Schulter::N,rameno,krah
33,Arm::N,ruka,krah
34,Ellenbogen::N,loket,bërryl
35,Hand::N,ruka,dorë
36,Handfläche::N,dlaň,pëllëmbë
37,Finger::N,prst,gisht
38,Fingernagel::N,nehet,thua
39,Nagel[Anatomie]::N,nehet,thua
40,Zeh::N,prst u nohy,gisht i këmbës
41,Fuß::N,noha,këmbë
42,Ferse::N,pata,thembër
43,Knie::N,koleno,gju
44,Oberschenkel::N,stehno,kofshë
45,Bein::N,noha,këmbë
46,Körper::N,tělo,trup
47,Haut::N,kůže,lëkurë
48,Blut::N,krev,gjak
49,Ader::N,céva,venë
50,Sehne::N,šlacha,dell
51,Knochen::N,kost,asht
52,Knochen::N,kost,kockë
53,Gehirn::N,mozek,tru
54,Herz::N,srdce,zemër
55,Magen::N,žaludek,stomak
56,Leber::N,játra,mëlçi
57,Atem::N,dech,frymë
58,Hunger::N,hlad,uri
59,Träne::N,slza,lot
60,Geschmack::N,vkus,shije
61,Geruch::N,vůně,erë
62,Geruch::N,zápach,erë
63,Schlaf::N,spánek,gjumë
64,Traum::N,sen,ëndërr
65,Himmel::N,nebe,qiell
66,Sonne::N,slunce,diell
67,Mond::N,měsíc,hënë
68,Stern::N,hvězda,yll
69,Luft::N,vzduch,ajër
70,Wind::N,vítr,erë
71,Welle::N,vlna,valë
72,Welle::N,vlna,dallgë
73,Wasser::N,voda,ujë
74,Stein::N,kámen,gur
75,Boden::N,půda,tokë
76,Boden::N,půda,truall
77,Erde::N,země,dhe
78,Erde::N,země,baltë
79,Staub::N,prach,pluhur
80,Rauch::N,dým,tym
81,Rauch::N,kouř,tym
82,Funke::N,jiskra,xixë
83,Funke::N,jiskra,shkëndijë
84,Feuer::N,oheň,zjarr
85,Licht::N,světlo,dritë
86,Schatten::N,stín,hije
87,Wetter::N,počasí,mot
88,Nebel::N,mlha,mjegull
89,Wolke::N,mrak,re
90,Wolke::N,oblak,re
91,Regen::N,déšť,shi
92,Schnee::N,sníh,borë
93,Eis::N,led,akull
94,Frost::N,mráz,ngricë
95,Kälte::N,chlad,të ftohtë
96,Hitze::N,horko,vapë
97,Hitze::N,horko,nxehtësi
98,Raureif::N,jinovatka,cikmë
99,Regenbogen::N,duha,ylber
100,Donner::N,hrom,gjëmim
101,Donner::N,hrom,bubullimë
102,Strömung::N,proudění,rrymë
103,Tropfen::N,kapka,pikë
104,Schaum::N,pěna,shkumë
105,Schmutz::N,špína,baltë
106,See::N,jezero,liqen
107,Sumpf::N,močál,batak
108,Sumpf::N,bažina,batak
109,Moor::N,bažina,kënetë
110,Moor::N,slatina,kënetë
111,Wiese::N,louka,livadh
112,Wald::N,les,pyll
113,Hügel::N,kopec,kodër
114,Anhöhe::N,pahorek,bregore
115,Berg::N,hora,mal
116,Gipfel::N,vrchol,kulm
117,Höhle::N,jeskyně,shpellë
118,Höhle::N,jeskyně,zgafelle
119,Abhang::N,svah,shpat
120,Abhang::N,svah,tatëpjetë
121,Abhang::N,stráň,shpat
122,Abhang::N,stráň,tatëpjetë
123,Quelle::N,pramen,krua
124,Quelle::N,pramen,burim
125,Bach::N,potok,virua
126,Fluss::N,řeka,lumë
127,Ufer::N,břeh,breg
128,Küste::N,pobřeží,anëdet
129,Küste::N,pobřeží,bregdet
130,Festland::N,souš,kontinent
131,Festland::N,pevnina,kontinent
132,Meer::N,moře,det
133,Bucht::N,záliv,gji deti
134,Bucht::N,zátoka,gji deti
135,Insel::N,ostrov,ishull
136,Insel::N,ostrov,ujdhesë
137,Blume::N,květina,lule
138,Gras::N,tráva,bar
139,Wurzel::N,kořen,rrënjë
140,Baum::N,strom,pemë
141,Stamm::N,kmen,trung
142,Rinde::N,kůra,lëvore
143,Ast::N,větev,degë
144,Zweig::N,větev,bisk
145,Blatt::N,lupen,fletë
146,Blatt::N,lupen,gjethe
147,Birke::N,bříza,mështekën
148,Kiefer[Baum]::N,sosna,pishë
149,Kiefer[Baum]::N,borovice,pishë
150,Weide[Baum]::N,vrba,shelg
151,Tanne::N,jedle,bredh
152,Horn::N,roh,bri
153,Feder::N,pero,pupël
154,Fell::N,srst,lëkurë
155,Flügel::N,křídlo,krah
156,Flügel::N,křídlo,fletë
157,Klaue::N,dráp,kthetër
158,Klaue::N,pazneht,kthetër
159,Kralle::N,dráp,thua
160,Kralle::N,dráp,kthetër
161,Schwanz::N,ocas,bisht
162,Ei::N,vejce,vezë
163,Nest::N,hnízdo,fole
164,Bau::N,nora,strofkë
165,Tier::N,zvíře,kafshë
166,Herde::N,stádo,kope
167,Herde::N,stádo,grigjë
168,Kuh::N,kráva,lopë
169,Bulle::N,býk,dem
170,Pferd::N,kůň,kalë
171,Schaf::N,ovce,dele
172,Schwein::N,vepř,derr
173,Schwein::N,prase,derr
174,Hund::N,pes,qen
175,Katze::N,kočka,mace
176,Bär::N,medvěd,ari
177,Eichhörnchen::N,veverka,ketër
178,Elch::N,los,dre brilopatë
179,Fuchs::N,liška,dhelpër
180,Hase::N,zajíc,lepur
181,Maus::N,myš,mi
182,Wolf::N,vlk,ujk
183,Vogel::N,pták,zog
184,Vogel::N,pták,shpend
185,Schwarm::N,roj,luzmë
186,Schwarm::N,hejno,luzmë
187,Huhn::N,kuře,pulë
188,Huhn::N,slepice,pulë
189,Hahn::N,kohout,gjel
190,Hahn::N,kohout,këndes
191,Gans::N,husa,patë
192,Adler::N,orel,shqiponjë
193,Ente::N,kachna,rosë
194,Eule::N,sova,buf
195,Kranich::N,jeřáb,lejlek
196,Kranich::N,jeřáb,kurrillë
197,Krähe::N,vrána,sorrë
198,Kuckuck::N,kukačka,qyqe
199,Schwan::N,labuť,mjellmë
200,Fisch::N,ryba,peshk
201,Barsch::N,okoun,purtekë
202,Hecht::N,štika,mlysh
203,Schlange[Tier]::N,had,gjarpër
204,Wurm::N,červ,krimb
205,Spinne::N,pavouk,marimangë
206,Ameise::N,mravenec,thnegël
207,Ameise::N,mravenec,milingonë
208,Laus::N,veš,morr
209,Mücke::N,komár,kunup
210,Mücke::N,komár,mushkonjë
211,Fliege::N,moucha,mizë
212,Schmetterling::N,motýl,flutur
213,Beere::N,bobule,frutë
214,Beere::N,bobule,manaferrë
