,Concept_ID,ga,is
0,Auge::N,súil,auga
1,Ohr::N,cluas,eyra
2,Nase::N,soc,nef
3,Mund::N,béal,munnur
4,Zahn::N,fiacail,tönn
5,Zunge::N,teanga,tunga
6,Lippe::N,liopa,vör
7,Wange::N,grua,kinn
8,Wange::N,grua,vangi
9,Wange::N,leiceann,kinn
10,Wange::N,leiceann,vangi
11,Gesicht::N,éadan,andlit
12,Gesicht::N,aghaidh,andlit
13,Stirn::N,baithis,enni
14,Stirn::N,clár éadain,enni
15,Haar::N,gruaig,hár
16,Schnurrbart::N,croiméal,yfirskegg
17,Bart::N,féasóg,skegg
18,Kinn::N,smig,haka
19,Kiefer[Anatomie]::N,giall,kjálki
20,Kiefer[Anatomie]::N,giall,skoltur
21,Kehle::N,scornach,kverk
22,Hals::N,muinéal,háls
23,Genick::N,baic,hnakki
24,Kopf::N,ceann,höfuð
25,Rücken::N,droim,hryggur
26,Bauch::N,bolg,kviður
27,Nabel::N,imleacán,nafli
28,Busen::N,cíoch,barmur
29,Brust::N,brollach,brjóst
30,Schulter::N,gualainn,öxl
31,Arm::N,lámh,armur
32,Ellenbogen::N,uillinn,olnbogi
33,Hand::N,lámh,hönd
34,Handfläche::N,bos,lófi
35,Finger::N,méar,fingur
36,Fingernagel::N,ionga,fingurnögl
37,Nagel[Anatomie]::N,ionga,nögl
38,Zeh::N,ladhar,tá
39,Fuß::N,cos,fótur
40,Fuß::N,troigh,fótur
41,Ferse::N,sáil,hæll
42,Knie::N,glúin,kné
43,Oberschenkel::N,ceathrú,læri
44,Bein::N,cos,fótleggur
45,Körper::N,corp,búkur
46,Körper::N,corp,líkami
47,Körper::N,colainn,búkur
48,Körper::N,colainn,líkami
49,Haut::N,cneas,húð
50,Haut::N,cneas,skinn
51,Haut::N,craiceann,húð
52,Haut::N,craiceann,skinn
53,Blut::N,fuil,blóð
54,Sehne::N,teannán,sin
55,Sehne::N,féitheog,sin
56,Knochen::N,cnámh,bein
57,Gehirn::N,inchinn,heili
58,Herz::N,croí,hjarta
59,Magen::N,bolg,magi
60,Magen::N,goile,magi
61,Leber::N,ae,lifur
62,Atem::N,anáil,andi
63,Atem::N,anáil,andardráttur
64,Hunger::N,ocras,hungur
65,Träne::N,deoir,tár
66,Geschmack::N,blas,smekkur
67,Geruch::N,boladh,lykt
68,Schlaf::N,suan,svefn
69,Schlaf::N,codladh,svefn
70,Traum::N,taibhreamh,draumur
71,Himmel::N,spéir,himinn
72,Sonne::N,grian,sól
73,Mond::N,ré,tungl
74,Mond::N,gealach,tungl
75,Stern::N,rinn,stjarna
76,Stern::N,réalta,stjarna
77,Luft::N,aer,loft
78,Wind::N,gaoth,vindur
79,Welle::N,tonn,alda
80,Welle::N,tonn,bylgja
81,Wasser::N,uisce,vatn
82,Stein::N,cloch,steinn
83,Boden::N,talamh,botn
84,Erde::N,cré,jörð
85,Erde::N,ithir,jörð
86,Staub::N,dusta,ryk
87,Staub::N,dusta,duft
88,Staub::N,deannach,ryk
89,Staub::N,deannach,duft
90,Rauch::N,toit,reykur
91,Rauch::N,deatach,reykur
92,Funke::N,drithle,neisti
93,Feuer::N,tine,eldur
94,Licht::N,solas,ljós
95,Schatten::N,scáth,skuggi
96,Wetter::N,aimsir,veður
97,Nebel::N,ceo,þoka
98,Wolke::N,néal,ský
99,Wolke::N,scamall,ský
100,Regen::N,báisteach,regn
101,Regen::N,fearthainn,regn
102,Schnee::N,sneachta,snjór
103,Eis::N,oighear,ís
104,Frost::N,sioc,frost
105,Kälte::N,fuacht,kuldi
106,Hitze::N,teas,hiti
107,Hitze::N,teocht,hiti
108,Raureif::N,sioc bán,hrím
109,Regenbogen::N,stua ceatha,regnbogi
110,Regenbogen::N,bogha báistí,regnbogi
111,Donner::N,toirneach,þruma
112,Strömung::N,sruth,straumur
113,Tropfen::N,deoir,dropi
114,Schaum::N,cúr,froða
115,Schmutz::N,salachar,óhreinindi
116,See::N,loch,stöðuvatn
117,Sumpf::N,portach,fen
118,Moor::N,caorán,mýri
119,Moor::N,móinteán,mýri
120,Wiese::N,cluain,engi
121,Wiese::N,móinéar,engi
122,Wald::N,coill,skógur
123,Wald::N,foraois,skógur
124,Hügel::N,ard,hæð
125,Hügel::N,ard,hóll
126,Anhöhe::N,ard,hæð
127,Anhöhe::N,ard,hóll
128,Anhöhe::N,ardán,hæð
129,Anhöhe::N,ardán,hóll
130,Berg::N,sliabh,fell
131,Berg::N,sliabh,fjall
132,Gipfel::N,barr,tindur
133,Gipfel::N,mullach,tindur
134,Höhle::N,uaimh,hellir
135,Höhle::N,pluais,hellir
136,Abhang::N,fána,hlíð
137,Abhang::N,fána,brekka
138,Quelle::N,foinse,lind
139,Quelle::N,foinse,uppspretta
140,Bach::N,sruthán,lækur
141,Fluss::N,abhainn,á
142,Fluss::N,abhainn,fljót
143,Ufer::N,bruach,árbakki
144,Ufer::N,bruach,sjávarbakki
145,Küste::N,cósta,strönd
146,Küste::N,cladach,strönd
147,Festland::N,míntír,meginland
148,Meer::N,muir,haf
149,Meer::N,muir,sjór
150,Meer::N,farraige,haf
151,Meer::N,farraige,sjór
152,Bucht::N,bá,vík
153,Bucht::N,cuan,vík
154,Insel::N,inis,eyja
155,Insel::N,oileán,eyja
156,Blume::N,bláth,blóm
157,Gras::N,féar,gras
158,Wurzel::N,rúta,rót
159,Wurzel::N,fréamh,rót
160,Baum::N,crann,tré
