,Concept_ID,hr,fa
0,Auge::N,oko,چشم
1,Ohr::N,uho,گوش
2,Nase::N,nos,بینی
3,Mund::N,usta,دهان
4,Zahn::N,zub,دندان
5,Zunge::N,jezik,زبان
6,Lippe::N,usna,لب
7,Wange::N,obraz,لپ
8,Gesicht::N,lice,رو
9,Gesicht::N,lice,چهره
10,Stirn::N,čelo,پیشانی
11,Haar::N,kosa,مو
12,Schnurrbart::N,brkovi,سبیل
13,Bart::N,brada,ریش
14,Kinn::N,brada,چانه
15,Kinn::N,podbradak,چانه
16,Kiefer[Anatomie]::N,čeljust,فک
17,Kiefer[Anatomie]::N,čeljust,آرواره
18,Kehle::N,grlo,حلق
19,Hals::N,vrat,گردن
20,Genick::N,zatiljak,پشت گردن
21,Kopf::N,glava,سر
22,Kopf::N,glava,کله
23,Rücken::N,leđa,پشت
24,Rücken::N,hrbat,پشت
25,Bauch::N,trbuh,شکم
26,Nabel::N,pupak,ناف
27,Busen::N,sisa,پستان
28,Busen::N,njedra,پستان
29,Brust::N,prsa,سینه
30,Schulter::N,rame,دوش
31,Schulter::N,rame,شانه
32,Schulter::N,pleći,دوش
33,Schulter::N,pleći,شانه
34,Arm::N,ruka,بازو
35,Ellenbogen::N,lakat,آرنج
36,Hand::N,ruka,دست
37,Handfläche::N,dlan,کف دست
38,Finger::N,prst,انگشت
39,Fingernagel::N,nokat,ناخن دست
40,Nagel[Anatomie]::N,nokat,ناخن
41,Zeh::N,nozni prst,انگشت پا
42,Fuß::N,noga,پا
43,Fuß::N,stopalo,پا
44,Ferse::N,peta,پاشنه
45,Knie::N,koljeno,زانو
46,Oberschenkel::N,bedro,ران
47,Bein::N,noga,پا
48,Bein::N,noga,لنگ
49,Körper::N,tijelo,تن
50,Körper::N,tijelo,بدن
51,Haut::N,put,پوست
52,Haut::N,koža,پوست
53,Blut::N,krv,خون
54,Ader::N,žila,رگ
55,Sehne::N,tetiva,زردپی
56,Knochen::N,kost,استخوان
57,Herz::N,srce,دل
58,Herz::N,srce,قلب
59,Magen::N,stomak,معده
60,Magen::N,želudac,معده
61,Leber::N,jetra,کبد
62,Atem::N,dah,نفس
63,Hunger::N,glad,گرسنگی
64,Träne::N,suza,اشک
65,Geschmack::N,ukus,مزه
66,Geruch::N,njuh,بو
67,Geruch::N,miris,بو
68,Schlaf::N,san,خواب
69,Traum::N,san,رؤیا
70,Himmel::N,nebo,فلک
71,Himmel::N,nebo,آسمان
72,Sonne::N,sunce,آفتاب
73,Sonne::N,sunce,خورشید
74,Mond::N,mjesec,ماه
75,Stern::N,zvijezda,ستاره
76,Luft::N,zrak,هوا
77,Wind::N,vjetar,باد
78,Welle::N,val,موج
79,Welle::N,talas,موج
80,Wasser::N,voda,آب
81,Stein::N,kamen,سنگ
82,Boden::N,tlo,زمین
83,Boden::N,zemlja,زمین
84,Erde::N,zemlja,خاک
85,Erde::N,zemlja,زمین
86,Staub::N,prah,گرد
87,Staub::N,prah,غبار
88,Staub::N,prašina,گرد
89,Staub::N,prašina,غبار
90,Rauch::N,dim,دود
91,Funke::N,iskra,جرقه
92,Funke::N,varnica,جرقه
93,Feuer::N,vatra,آتش
94,Licht::N,svjetlo,نور
95,Licht::N,svjetlo,روشنی
96,Schatten::N,hlad,سایه
97,Schatten::N,sjena,سایه
98,Wetter::N,vrijeme,هوا
99,Nebel::N,magla,مه
100,Wolke::N,oblak,ابر
101,Regen::N,kiša,باران
102,Schnee::N,snijeg,برف
103,Eis::N,led,یخ
104,Frost::N,mraz,یخبندان
105,Kälte::N,studen,سرما
106,Kälte::N,hladnoća,سرما
107,Hitze::N,vrućina,گرما
108,Hitze::N,vrućina,حرارت
109,Raureif::N,inje,برف ریزه
110,Regenbogen::N,duga,رنگین‌کمان
111,Donner::N,grom,رعد
112,Donner::N,grmljavina,رعد
113,Strömung::N,struja,جریان
114,Strömung::N,strujanje,جریان
115,Tropfen::N,kap,قطره
116,Tropfen::N,kaplja,قطره
117,Schaum::N,pjena,کف
118,Schmutz::N,nečistoća,گل
119,Schmutz::N,nečistoća,کثافت
120,Schmutz::N,prljavština,گل
121,Schmutz::N,prljavština,کثافت
122,See::N,jezero,دریاچه
123,Sumpf::N,bara,مرداب
124,Sumpf::N,bara,باتلاق
125,Moor::N,močvara,باتلاق
126,Wiese::N,livada,چمن
127,Wald::N,šuma,جنگل
128,Hügel::N,brijeg,تل
129,Hügel::N,brijeg,تپه
130,Hügel::N,brežuljak,تل
131,Hügel::N,brežuljak,تپه
132,Anhöhe::N,uzvišica,بلندی
133,Berg::N,brdo,کوه
134,Gipfel::N,vrh,قله
135,Höhle::N,pećina,غار
136,Höhle::N,spilja,غار
137,Abhang::N,obronak,سرازیری
138,Abhang::N,nizbrdica,سرازیری
139,Quelle::N,izvor,چشمه
140,Quelle::N,vrelo,چشمه
141,Bach::N,potok,نهر
142,Fluss::N,rijeka,رود
143,Ufer::N,obala,ساحل
144,Ufer::N,obala,کرانه
145,Küste::N,obala,ساحل
146,Küste::N,morska obala,ساحل
147,Festland::N,kopno,خشکی
148,Meer::N,more,دریا
149,Bucht::N,zaliv,خلیج
150,Insel::N,ada,جزیره
151,Insel::N,otok,جزیره
152,Blume::N,cvijet,گل
153,Gras::N,trava,علف
154,Wurzel::N,korijen,ریشه
155,Baum::N,drvo,درخت
156,Baum::N,stablo,درخت
157,Stamm::N,deblo,تنه
158,Stamm::N,stablo,تنه
