,Concept_ID,mrj,lbe
0,Auge::N,сӹнзӓ,я
1,Ohr::N,пӹлӹш,вичӏи
2,Nase::N,нер,май
3,Mund::N,ышма,кьацӏ
4,Zahn::N,пӱ,ккарччи
5,Zunge::N,йӹлмӹ,маз
6,Lippe::N,тӹрвӹ,мурччи
7,Wange::N,шӹргӹ,чӏав
8,Gesicht::N,лицӓ,лажин
9,Stirn::N,лепкӓ,ненттабакӏ
10,Haar::N,ӱп,чӏара
11,Schnurrbart::N,öрш,ссирссилтту
12,Bart::N,пандаш,чӏири
13,Kinn::N,онгылаш,лунттубакӏ
14,Kiefer[Anatomie]::N,пӱ арата,ххинчулул
15,Kehle::N,логер,кьакьари
16,Hals::N,шӱ,ссурссу
17,Genick::N,ланга,махъабакӏ
18,Kopf::N,вуй,бакӏ
19,Rücken::N,туп,ттиликӏ
20,Bauch::N,мӹшкӹр,лякьа
21,Nabel::N,кӹлӹмдӹ,цӏумуккутӏ
22,Busen::N,цӹзӹ,ккукку
23,Brust::N,мел,хъазам
24,Schulter::N,ӹнгӹжӓ,хъачӏ
25,Arm::N,кид,ка
26,Ellenbogen::N,кӹнервуй,ссюрхъ
27,Hand::N,лапа,бартка
28,Handfläche::N,кид лапа,хъат
29,Handfläche::N,кид лапа,битӏянхъ
30,Finger::N,парня,кӏисса
31,Fingernagel::N,кӹч,михь
32,Nagel[Anatomie]::N,кӹч,михь
33,Zeh::N,парня,кӏисса
34,Fuß::N,ял лапа,чӏанччан
35,Ferse::N,ялгавал,никъа
36,Ferse::N,ял кавал,никъа
37,Knie::N,пылвуй,ник
38,Oberschenkel::N,ӓрдӹ,жира
39,Bein::N,ял,ччан
40,Körper::N,монгыр,чурх
41,Haut::N,кавашты,бурчу
42,Blut::N,вӹр,оь
43,Ader::N,вӹршӓр,тунну
44,Sehne::N,кукшышӱн,хьхьа
45,Knochen::N,лу,ттаркӏ
46,Gehirn::N,вим,ня
47,Herz::N,шӱм,дакӏ
48,Herz::N,шӱм,къюкӏ
49,Magen::N,шӱм,лякьа
50,Leber::N,мокш,
51,Atem::N,шӱлӹш,ссихӏ ласаву
52,Atem::N,шӱлӹш,ссихӏ бигьаву
53,Hunger::N,шужымаш,ккаши
54,Träne::N,сӹнзӓвӹд,макь
55,Geschmack::N,тот,тӏин
56,Geschmack::N,тот,тӏааьн
57,Geruch::N,пыш,кьанкь
58,Schlaf::N,ом,шану
59,Traum::N,ом,макӏру
60,Himmel::N,пӹлгом,ссав
61,Sonne::N,кечӹ,баргъ
62,Mond::N,тӹлзӹ,барз
63,Stern::N,шӹдӹр,цӏуку
64,Luft::N,юж,гьава
65,Luft::N,воздух,гьава
66,Wind::N,мардеж,марч
67,Welle::N,ко,щатӏи
68,Welle::N,коэ,щатӏи
69,Wasser::N,вӹд,щин
70,Stein::N,кӱ,чару
71,Boden::N,рок,аьрщи
72,Erde::N,свет,аьрщи
73,Staub::N,пырак,ххит
74,Rauch::N,шӹкш,пуркӏу
75,Funke::N,ип,пиягь
76,Funke::N,тылип,пиягь
77,Feuer::N,тыл,цӏу
78,Licht::N,соты,чани
79,Licht::N,валгыды,чани
80,Schatten::N,ӹмӹл,ххют
81,Wetter::N,игечӹ,гьава
82,Nebel::N,тӹтӹрӓ,шархь ттурлу
83,Wolke::N,пӹл,ттурлу
84,Regen::N,юр,гъарал
85,Schnee::N,лым,марххала
86,Eis::N,и,микӏ
87,Frost::N,ӱштӹ,дяркъу
88,Frost::N,ӱштӹ,замгьар
89,Kälte::N,ӱштӹ,дяркъу
90,Hitze::N,шокшы,кӏиришиву
91,Raureif::N,пöрш,сил
92,Raureif::N,пöрш,бурса
93,Regenbogen::N,шанавӹл,ссурул ккуртта
94,Donner::N,хӹдӹртӹш,къув
95,Strömung::N,йогы,экьинанаву
96,Tropfen::N,капльы,кӏунтӏ
97,Tropfen::N,капльык,кӏунтӏ
98,Schaum::N,шонг,хьама
99,Schmutz::N,лявӹрӓ,кьяркьи
100,See::N,йӓр,бяр
101,Sumpf::N,лӱкӹ,кунцӏа
102,Moor::N,куп,
103,Wiese::N,алык,кьан
104,Wald::N,шӹргӹ,вацӏа
105,Hügel::N,пӱгӹрикӓ,бакӏу
106,Anhöhe::N,кӱкшикӓ,
107,Berg::N,кырык,зунтту
108,Gipfel::N,неркӓ,мицӏ
109,Höhle::N,ы́раж,нух
110,Abhang::N,полом,сун
111,Quelle::N,вӹдсӹнзӓ,дайдихьу
112,Quelle::N,вӹдсӹнзӓ,бакӏ
113,Bach::N,ӓнгӹр,чӏрир нех
114,Fluss::N,вӹд,нех
115,Ufer::N,сир,зума
116,Küste::N,сир,зумаинхалу
117,Küste::N,сир,зуманицӏалу
118,Festland::N,мӱлӓндӹ,кьири
119,Meer::N,тангыж,хьхьири
120,Bucht::N,вӹдъял,
121,Insel::N,острок,жазира
122,Blume::N,пеледӹш,тӏутӏи
123,Gras::N,шуды,уртту
124,Wurzel::N,важ,мархха
125,Baum::N,пушӓнгӹ,мурхь
126,Stamm::N,пушӓнгӹ тӹнг,ттарцӏ
127,Rinde::N,каргыж,ккамара
128,Ast::N,укш,матӏи
129,Zweig::N,укш,къяртта
130,Blatt::N,листӹ,чӏапӏи
131,Birke::N,куги,кӏялахӏи
132,Birke::N,куги,кӏялахӏилул мурхь
133,Kiefer[Baum]::N,йӓктӹ,ттар
134,Kiefer[Baum]::N,йӓктӹ,ттарлил мурхь
135,Weide[Baum]::N,уа,щавщи
136,Tanne::N,кож,ттарлил мурхь
137,Horn::N,шур,хъи
138,Feder::N,пын,лелуххул тӏиму
139,Fell::N,кавашты,бурчу
140,Flügel::N,шылдыр,хъа
141,Flügel::N,шылдыр,ххурупӏайрал тӏиму
142,Klaue::N,кӹч,михь
143,Kralle::N,лапа,ххяппа
144,Schwanz::N,пач,магъ
145,Ei::N,мыны,ккунук
146,Nest::N,пӹжӓш,кюру
147,Bau::N,ыраж,цукъуккутӏ
148,Tier::N,во́льык,хӏайван
149,Herde::N,кӹтö,газу
150,Kuh::N,ышкал,оьл
151,Bulle::N,ӱшкӱж,ниц
152,Pferd::N,имни,чу
153,Schaf::N,шарык,тта
154,Schwein::N,сасна,дунгъуз
155,Hund::N,пи,ккаччи
156,Katze::N,коти,ччиту
157,Bär::N,мöскӓ,цуша
158,Eichhörnchen::N,ур,бюрхттукку
159,Elch::N,шарды,ниц-бюрин
160,Fuchs::N,рӹвӹж,цулчӏа
161,Fuchs::N,рӹвӹж,куча цулчӏа
162,Hase::N,морен,бюрх
163,Maus::N,каля,кӏулу
164,Wolf::N,пирӹ,барцӏ
165,Vogel::N,кек,лелуххи
166,Schwarm::N,цуца,гьухъала
167,Huhn::N,цӹвӹ,аьнакӏи
168,Hahn::N,ӓптӓн,ажари
169,Gans::N,комбы,къаз
170,Adler::N,кучкыж,барзу
171,Ente::N,лыды,урдак
172,Eule::N,тымана,ису
173,Eule::N,тымана,ччиккумяв
174,Kranich::N,тырня,кьурукь
