,Concept_ID,ady,vep
0,Auge::N,нэ,sil'm
1,Ohr::N,тхьакӏу́м,korv
2,Nase::N,пэ,nena
3,Mund::N,жэ,su
4,Zahn::N,цэ,pi
5,Zahn::N,цэ,hambaz
6,Zunge::N,бзэгу,kel'
7,Lippe::N,ӏупшӏэ́,hul'
8,Wange::N,нэкӏу́шъу,modpolišk
9,Gesicht::N,нэ́гу,mod
10,Stirn::N,натӏэ́,oc
11,Haar::N,шъхьацы́,tuk
12,Haar::N,шъхьацы́,hibuz
13,Bart::N,жакӏэ́,bard
14,Kinn::N,жэкӏэпэпкъ,löug
15,Kiefer[Anatomie]::N,жэпкъы́,hambazlu
16,Kehle::N,чый,kurk
17,Hals::N,пшъэ,kagl
18,Genick::N,шъхьэпхэтыку,tagarai
19,Kopf::N,шъхьэ́,pä
20,Rücken::N,кӏыбы́,sel'g
21,Bauch::N,ныбэ́,vac
22,Bauch::N,ныбэ́,koht
23,Busen::N,бгъэ́,niža
24,Brust::N,бгъэ́,rind
25,Schulter::N,блыпкъ,oug
26,Arm::N,ӏэ,käzi
27,Ellenbogen::N,ӏэнтэ́гъу,künambruz
28,Hand::N,ӏэтхьэцу,käzi
29,Hand::N,ӏэтхьэцу,käzitera
30,Handfläche::N,ӏэ́гу,kämen
31,Finger::N,ӏэхъуа́мб,sor'm
32,Fingernagel::N,ӏэбжъа́н,künz'
33,Nagel[Anatomie]::N,ӏэбжъа́н,künz'
34,Zeh::N,ӏэхъуа́мб,barbaz
35,Fuß::N,лъэгу,jaug
36,Ferse::N,лъэдакъэ,kand
37,Knie::N,лъагуа́ндж,komb
38,Knie::N,лъагуа́ндж,pol'v
39,Oberschenkel::N,ко,riiže
40,Bein::N,лъакъо́,jaug
41,Körper::N,пкъышъол,hibj
42,Haut::N,кӏы́шъу,nahk
43,Blut::N,лъы,čak
44,Blut::N,лъы,veri
45,Ader::N,льытф,son'
46,Sehne::N,фэ,jände
47,Knochen::N,къупшъхьэ́,lu
48,Gehirn::N,куцӏы,aivod
49,Herz::N,гу,südäin
50,Magen::N,мышкӏу,südäikoht
51,Leber::N,шӏу,maks
52,Atem::N,къэщэныр,hengaiduz
53,Hunger::N,гъаблэ́,näl'g
54,Träne::N,нэпсы,kündal'
