,Concept_ID,it,ar
0,Auge::N,occhio,عين
1,Ohr::N,orecchio,أذن
2,Nase::N,naso,أنف
3,Mund::N,bocca,فم
4,Zahn::N,dente,سن
5,Zunge::N,lingua,لسان
6,Lippe::N,labbro,شفة
7,Wange::N,guancia,خد
8,Wange::N,guancia,وجنة
9,Gesicht::N,viso,وجه
10,Gesicht::N,faccia,وجه
11,Stirn::N,fronte,جبين
12,Haar::N,capello,شعر
13,Schnurrbart::N,baffi,شارب
14,Schnurrbart::N,mustacchi,شارب
15,Bart::N,barba,لحية
16,Kinn::N,mento,ذقن
17,Kiefer[Anatomie]::N,mascella,فك
18,Kehle::N,gola,حلق
19,Hals::N,collo,عنق
20,Hals::N,collo,رقبة
21,Genick::N,nuca,قفا
22,Kopf::N,capo,رأس
23,Kopf::N,testa,رأس
24,Rücken::N,dorso,ظهر
25,Rücken::N,schiena,ظهر
26,Bauch::N,ventre,بطن
27,Nabel::N,ombelico,سرة
28,Busen::N,seno,ثدي
29,Brust::N,petto,صدر
30,Schulter::N,spalla,كتف
31,Arm::N,braccio,ذراع
32,Ellenbogen::N,gomito,كوع
33,Hand::N,mano,يد
34,Handfläche::N,palma,كف
35,Finger::N,dito,إصبع
36,Fingernagel::N,unghia,ظفر
37,Nagel[Anatomie]::N,unghia,ظفر
38,Zeh::N,dito del piede,إصبع القدم
39,Fuß::N,piede,قدم
40,Ferse::N,tallone,كعب
41,Ferse::N,calcagno,كعب
42,Knie::N,ginocchio,ركبة
43,Oberschenkel::N,fèmore,فخذ
44,Bein::N,gamba,ساق
45,Körper::N,corpo,جسم
46,Haut::N,pelle,بشرة
47,Blut::N,sangue,دم
48,Ader::N,vena,عرق
49,Sehne::N,tèndine,طنب
50,Knochen::N,osso,عظم
51,Gehirn::N,cervello,دماغ
52,Herz::N,cuore,قلب
53,Magen::N,stòmaco,معدة
54,Leber::N,fegato,كبد
55,Atem::N,fiato,نفس
56,Atem::N,respiro,نفس
57,Hunger::N,fame,جوع
58,Träne::N,làcrima,دمعة
59,Geschmack::N,gusto,طعم
60,Geschmack::N,gusto,مذاق
61,Geschmack::N,sapore,طعم
62,Geschmack::N,sapore,مذاق
63,Geruch::N,odore,رائحة
64,Schlaf::N,sonno,نوم
65,Schlaf::N,sonno,منام
66,Traum::N,sogno,حلم
67,Himmel::N,cielo,سماء
68,Sonne::N,sole,شمس
69,Mond::N,luna,قمر
70,Stern::N,stella,نجم
71,Stern::N,stella,كوكب
72,Luft::N,aria,هواء
73,Wind::N,vento,ريح
74,Welle::N,onda,موجة
75,Wasser::N,acqua,ماء
76,Stein::N,sasso,حجر
77,Stein::N,pietra,حجر
78,Boden::N,suolo,تراب
79,Boden::N,terreno,تراب
80,Erde::N,terra,أرض
81,Staub::N,polvere,غبار
82,Rauch::N,fumo,دخان
83,Funke::N,scintilla,شرارة
84,Feuer::N,fuoco,نار
85,Licht::N,luce,نور
86,Licht::N,luce,ضوء
87,Schatten::N,ombra,ظل
88,Schatten::N,ombra,فيء
89,Wetter::N,tempo,جو
90,Wetter::N,tempo,طقس
91,Nebel::N,nebbia,ضباب
92,Wolke::N,nube,غيمة
93,Wolke::N,nube,سحابة
94,Wolke::N,nùvola,غيمة
95,Wolke::N,nùvola,سحابة
96,Regen::N,pioggia,مطر
97,Schnee::N,neve,ثلج
98,Eis::N,ghiaccio,جليد
99,Frost::N,gelo,صقيع
100,Kälte::N,freddo,برد
101,Hitze::N,caldo,حر
102,Hitze::N,caldo,حرارة
103,Hitze::N,calura,حر
104,Hitze::N,calura,حرارة
105,Raureif::N,brina,صقيع
106,Regenbogen::N,arcobaleno,قوس قزح
107,Donner::N,tuono,رعد
108,Strömung::N,corrente,تيار
109,Tropfen::N,goccia,قطرة
110,Schaum::N,spuma,زبد
111,Schaum::N,spuma,رغوة
112,Schaum::N,schiuma,زبد
113,Schaum::N,schiuma,رغوة
114,Schmutz::N,sudiciume,وسخ
115,See::N,lago,بحيرة
116,Sumpf::N,palude,مستنقع
