,Concept_ID,sq,te
0,Auge::N,sy,కన్ను
1,Ohr::N,vesh,చెవి
2,Nase::N,hundë,ముక్కు
3,Mund::N,gojë,నోరు
4,Zahn::N,dhëmb,పల్లు
5,Zunge::N,gjuhë,నాలుక
6,Lippe::N,buzë,పెదవి
7,Wange::N,faqe,చెంప
8,Wange::N,mollëz,చెంప
9,Gesicht::N,fytyrë,ముఖము
10,Stirn::N,ballë,నుదురు
11,Haar::N,flokë,వెండ్రుక
12,Schnurrbart::N,mustaqe,మీసము
13,Bart::N,mjekër,గడ్డము
14,Kinn::N,mjekër,గడ్డము
15,Kiefer[Anatomie]::N,nofull,దౌడ
16,Kehle::N,fyt,గొంతు
17,Kehle::N,grykë,గొంతు
18,Hals::N,qafë,మెడ
19,Genick::N,arrëz,మూపు
20,Kopf::N,kokë,తల
21,Rücken::N,kurriz,వెన్ను
22,Bauch::N,bark,కడుపు
23,Nabel::N,kërthizë,బొడ్డు
24,Busen::N,gji,స్తనము
25,Brust::N,gjoks,ఱొమ్ము
26,Brust::N,kraharor,ఱొమ్ము
27,Schulter::N,sup,భుజము
28,Schulter::N,krah,భుజము
29,Arm::N,krah,చేయి
30,Ellenbogen::N,bërryl,మోచేయి
31,Hand::N,dorë,చేయి
32,Handfläche::N,pëllëmbë,అరచేయు
33,Finger::N,gisht,చేతిప్రేలు
34,Fingernagel::N,thua,గోరు
35,Nagel[Anatomie]::N,thua,గోరు
36,Zeh::N,gisht i këmbës,కాలిప్రేలు
37,Fuß::N,këmbë,అడుగు
38,Ferse::N,thembër,మడమ
39,Knie::N,gju,మోకాలు
40,Oberschenkel::N,kofshë,తొడ
41,Bein::N,këmbë,కాలు
42,Körper::N,trup,కాయము
43,Haut::N,lëkurë,చర్మము
44,Blut::N,gjak,రక్తము
45,Ader::N,venë,సిర
46,Sehne::N,dell,స్నాయువు
47,Knochen::N,asht,ఎముక
48,Knochen::N,kockë,ఎముక
49,Gehirn::N,tru,మెదడు
50,Herz::N,zemër,హృదయము
51,Magen::N,stomak,కడుపు
52,Leber::N,mëlçi,కాలేయము
53,Atem::N,frymë,ఉపిరి
54,Hunger::N,uri,ఆకలి
55,Träne::N,lot,కన్నీటిచుక్క
56,Geschmack::N,shije,రుచి
57,Geruch::N,erë,వాసన
58,Schlaf::N,gjumë,నిద్ర
59,Traum::N,ëndërr,కల
60,Himmel::N,qiell,ఆకాశము
61,Sonne::N,diell,సూర్యుడు
62,Mond::N,hënë,చంద్రుడు
63,Stern::N,yll,నక్షత్రము
64,Luft::N,ajër,గాలి
65,Wind::N,erë,వీచుచున్నగాలి
66,Welle::N,valë,అల
67,Welle::N,dallgë,అల
68,Wasser::N,ujë,నీరు
69,Stein::N,gur,ఱాయి
70,Boden::N,tokë,నేల
71,Boden::N,truall,నేల
72,Erde::N,dhe,మన్ను
73,Erde::N,baltë,మన్ను
74,Staub::N,pluhur,దుమ్ము
75,Rauch::N,tym,పొగ
76,Funke::N,xixë,అగ్నికణము
77,Funke::N,shkëndijë,అగ్నికణము
78,Feuer::N,zjarr,అగ్ని
79,Licht::N,dritë,కాంతి
80,Schatten::N,hije,నీడ
81,Wetter::N,mot,వాతావరణ స్థితి
82,Nebel::N,mjegull,పొగమంచు
83,Wolke::N,re,మేఘము
84,Regen::N,shi,వాన
85,Schnee::N,borë,హిమము
86,Eis::N,akull,మంచుగడ్డ
87,Frost::N,ngricë,పేరిన మంచు
88,Kälte::N,të ftohtë,చలి
89,Hitze::N,vapë,వేడిమి
90,Hitze::N,nxehtësi,వేడిమి
91,Raureif::N,cikmë,మంచు
92,Regenbogen::N,ylber,ఇంద్రధనుస్సు
93,Donner::N,gjëmim,ఉరుము
94,Donner::N,bubullimë,ఉరుము
95,Strömung::N,rrymë,ప్రవాహము
