,Concept_ID,it,ta
0,Auge::N,occhio,கண்
1,Ohr::N,orecchio,காது
2,Nase::N,naso,மூக்கு
3,Mund::N,bocca,வாய்
4,Zahn::N,dente,பல்
5,Zunge::N,lingua,நாக்கு
6,Lippe::N,labbro,உதடு
7,Wange::N,guancia,கன்னம்
8,Gesicht::N,viso,முகம்
9,Gesicht::N,faccia,முகம்
10,Stirn::N,fronte,முன்னெற்றி
11,Haar::N,capello,முடி
12,Schnurrbart::N,baffi,மீசை
13,Schnurrbart::N,mustacchi,மீசை
14,Bart::N,barba,தாடி
15,Kinn::N,mento,கீழதாடை
16,Kiefer[Anatomie]::N,mascella,தாடை
17,Kehle::N,gola,தொண்டை
18,Hals::N,collo,கழுத்து
19,Genick::N,nuca,கழுத்து
20,Kopf::N,capo,தலை
21,Kopf::N,testa,தலை
22,Rücken::N,dorso,முதுகு
23,Rücken::N,schiena,முதுகு
24,Bauch::N,ventre,வயிறு
25,Nabel::N,ombelico,தொப்புள்
26,Busen::N,seno,மார்பகம்
27,Brust::N,petto, மார்பு
28,Schulter::N,spalla,தோள்பட்டை
29,Arm::N,braccio,கரம்
30,Ellenbogen::N,gomito,முழங்கை
31,Hand::N,mano,கை
32,Handfläche::N,palma,உள்ளங்கை
33,Finger::N,dito,விரல்
34,Fingernagel::N,unghia,விரல் நகம்
35,Nagel[Anatomie]::N,unghia,நகம்
36,Zeh::N,dito del piede,கால்விரல்
37,Fuß::N,piede,கால்
38,Ferse::N,tallone,குதிகால்
39,Ferse::N,calcagno,குதிகால்
40,Knie::N,ginocchio,முழங்கால்
41,Oberschenkel::N,fèmore,தொடை
42,Bein::N,gamba,கால்
43,Körper::N,corpo,உடல்
44,Haut::N,pelle,சருமம்
45,Blut::N,sangue,இரத்தம்
46,Ader::N,vena,நாளம்
47,Sehne::N,tèndine,தசைநார்
48,Knochen::N,osso,எலுமபு
49,Gehirn::N,cervello,மூனை
50,Herz::N,cuore,இதயம
51,Magen::N,stòmaco,வயிறு
52,Leber::N,fegato,கல்லீரல்
53,Atem::N,fiato,மூச்சு
54,Atem::N,respiro,மூச்சு
55,Hunger::N,fame,பசி
56,Träne::N,làcrima,கண்ணீர்
57,Geschmack::N,gusto,நறுமணம்
58,Geschmack::N,sapore,நறுமணம்
59,Geruch::N,odore,துர்நாற்றம்
60,Schlaf::N,sonno,தூக்கம்
61,Traum::N,sogno,கனவு
62,Himmel::N,cielo,வானம்
63,Sonne::N,sole,சூரியன்
64,Mond::N,luna,சந்திரன்
65,Stern::N,stella,நட்சத்திரம்
66,Luft::N,aria,காறறு
67,Wind::N,vento,காற்று
68,Welle::N,onda,அலை
69,Wasser::N,acqua,நீர்
70,Stein::N,sasso,கல்
71,Stein::N,pietra,கல்
72,Boden::N,suolo,தரை
73,Boden::N,terreno,தரை
74,Erde::N,terra,மண்
75,Staub::N,polvere,தூசி
76,Rauch::N,fumo,புகை
77,Funke::N,scintilla,தீப்பொறி
78,Feuer::N,fuoco,தீ
79,Licht::N,luce,வெளிச்சம்
80,Schatten::N,ombra,நிழல்
81,Wetter::N,tempo,வானிலை
82,Nebel::N,nebbia,பனிமூட்டம்
83,Wolke::N,nube,மேகம்
84,Wolke::N,nùvola,மேகம்
85,Regen::N,pioggia,மழை
86,Schnee::N,neve,உறைபனி
87,Eis::N,ghiaccio,பனிக்கட்டி
88,Frost::N,gelo,உறைபனி
89,Kälte::N,freddo,குளிர்ந்த
90,Hitze::N,caldo,சூடு
91,Hitze::N,calura,சூடு
92,Raureif::N,brina,உறைபனி வெண்திரை
93,Regenbogen::N,arcobaleno,வானவில்
94,Donner::N,tuono,இடி
95,Strömung::N,corrente,நீரோட்டம்
96,Tropfen::N,goccia,துளி
97,Schaum::N,spuma,நுரை
98,Schaum::N,schiuma,நுரை
99,Schmutz::N,sudiciume,அழுக்கு
100,See::N,lago,ஏரி
101,Sumpf::N,palude,சதுப்பு நிலம்
102,Moor::N,torbiera,முட்புதற்காடு
103,Wiese::N,prato,பசும் புல்தரை
