,Concept_ID,mhr,it
0,Auge::N,шинча́,occhio
1,Ohr::N,пы́лыш,orecchio
2,Nase::N,нер,naso
3,Mund::N,умша́,bocca
4,Zahn::N,пӱй,dente
5,Zunge::N,йы́лме,lingua
6,Lippe::N,тӱ́рвӧ,labbro
7,Wange::N,шӱ́ргӧ,guancia
8,Gesicht::N,чури́й,viso
9,Gesicht::N,чури́й,faccia
10,Stirn::N,саҥга́,fronte
11,Haar::N,ӱп,capello
12,Schnurrbart::N,ӧ́рыш,baffi
13,Schnurrbart::N,ӧ́рыш,mustacchi
14,Bart::N,понда́ш,barba
15,Kinn::N,оҥыла́ш,mento
16,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,mascella
17,Kiefer[Anatomie]::N,пӱйората́,mascella
18,Kehle::N,лога́р,gola
19,Hals::N,шӱй,collo
20,Genick::N,шӱйло́дыш,nuca
21,Kopf::N,вуй,capo
22,Kopf::N,вуй,testa
23,Rücken::N,туп,dorso
24,Rücken::N,туп,schiena
25,Bauch::N,мӱ́шкыр,ventre
26,Nabel::N,кы́лымде,ombelico
27,Busen::N,чы́зе,seno
28,Brust::N,оҥ,petto
29,Schulter::N,ва́че,spalla
30,Arm::N,кид,braccio
31,Ellenbogen::N,кынерву́й,gomito
32,Hand::N,кид,mano
33,Hand::N,копа́,mano
34,Handfläche::N,со́во,palma
35,Finger::N,парня́,dito
36,Fingernagel::N,кидкӱ́ч,unghia
37,Fingernagel::N,парнягӱ́ч,unghia
38,Nagel[Anatomie]::N,кӱч,unghia
39,Zeh::N,йолварня́,dito del piede
40,Fuß::N,йол,piede
41,Fuß::N,йолкопа́,piede
42,Ferse::N,тага́н,tallone
43,Ferse::N,тага́н,calcagno
44,Knie::N,пулву́й,ginocchio
45,Oberschenkel::N,э́рде,fèmore
46,Bein::N,йол,gamba
47,Körper::N,кап,corpo
48,Haut::N,кова́ште,pelle
49,Blut::N,вӱр,sangue
50,Ader::N,шӧн,vena
51,Sehne::N,шӧн,tèndine
52,Sehne::N,кӱсе́н,tèndine
53,Knochen::N,лу,osso
54,Gehirn::N,вем,cervello
55,Gehirn::N,вуйве́м,cervello
56,Herz::N,шӱм,cuore
57,Magen::N,пага́р,stòmaco
58,Leber::N,мокш,fegato
59,Atem::N,шӱ́лыш,fiato
60,Atem::N,шӱ́лыш,respiro
61,Hunger::N,шужыма́ш,fame
62,Träne::N,шинчавӱ́д,làcrima
63,Geschmack::N,там,gusto
64,Geschmack::N,там,sapore
65,Geruch::N,пуш,odore
66,Schlaf::N,о́мо,sonno
67,Traum::N,йӱдо́мо,sogno
68,Himmel::N,кава́,cielo
69,Sonne::N,ке́че,sole
70,Mond::N,ты́лзе,luna
71,Stern::N,шӱ́дыр,stella
72,Luft::N,юж,aria
73,Wind::N,марде́ж,vento
74,Welle::N,то́лкын,onda
75,Wasser::N,вӱд,acqua
76,Stein::N,кӱ,sasso
77,Stein::N,кӱ,pietra
78,Boden::N,рок,suolo
79,Boden::N,рок,terreno
80,Erde::N,мла́нде,terra
81,Staub::N,пура́к,polvere
82,Rauch::N,шикш,fumo
83,Funke::N,сеске́м,scintilla
84,Funke::N,тулйы́п,scintilla
85,Feuer::N,тул,fuoco
86,Licht::N,со́то,luce
87,Schatten::N,ӱ́мыл,ombra
88,Wetter::N,иге́че,tempo
89,Nebel::N,тӱтыра́,nebbia
90,Wolke::N,пыл,nube
91,Wolke::N,пыл,nùvola
92,Regen::N,йӱр,pioggia
93,Schnee::N,лум,neve
94,Eis::N,ий,ghiaccio
95,Frost::N,чатлама́,gelo
96,Kälte::N,йӱ́штӧ,freddo
97,Hitze::N,шо́кшо,caldo
98,Hitze::N,шо́кшо,calura
99,Raureif::N,пӧрш,brina
100,Raureif::N,по́кшым,brina
101,Regenbogen::N,шонанпы́л,arcobaleno
102,Donner::N,кӱ́дырчӧ,tuono
103,Strömung::N,йо́гын,corrente
104,Tropfen::N,чӱча́лтыш,goccia
105,Schaum::N,шоҥ,spuma
106,Schaum::N,шоҥ,schiuma
107,Schmutz::N,лавыра́,sudiciume
108,See::N,ер,lago
109,Sumpf::N,лӱ́кӧ,palude
110,Moor::N,куп,torbiera
111,Wiese::N,о́лык,prato
112,Wald::N,чодыра́,bosco
113,Wald::N,чодыра́,foresta
114,Hügel::N,арка́,colle
115,Hügel::N,арка́,collina
116,Anhöhe::N,тӧва́,altura
117,Anhöhe::N,кӱкшака́,altura
118,Berg::N,ку́рык,monte
119,Berg::N,ку́рык,montagna
120,Gipfel::N,чаҥга́,cima
121,Gipfel::N,курыкву́й,cima
122,Höhle::N,пеще́р,grotta
123,Höhle::N,пеще́р,caverna
124,Höhle::N,курыкпо́мыш,grotta
125,Höhle::N,курыкпо́мыш,caverna
126,Abhang::N,та́йыл,pendìo
127,Quelle::N,важ,sorgente
128,Quelle::N,вӱдшинча́,sorgente
129,Bach::N,изэҥе́р,ruscello
130,Fluss::N,эҥе́р,fiume
131,Ufer::N,сер,riva
132,Küste::N,вӱдтӱ́р,costa
133,Festland::N,мла́нде,terraferma
134,Meer::N,те́ҥыз,mare
135,Bucht::N,икса́,cala
136,Insel::N,отро́,ìsola
137,Blume::N,пеле́дыш,fiore
138,Gras::N,шу́до,erba
139,Wurzel::N,вож,radice
140,Baum::N,пуше́ҥге,àlbero
141,Stamm::N,йы́тыр,tronco
142,Rinde::N,шӱм,corteccia
143,Ast::N,укш,ramo
144,Zweig::N,торма́к,ramo
145,Blatt::N,лышта́ш,foglia
146,Birke::N,куэ́,betulla
147,Kiefer[Baum]::N,пӱ́нчӧ,pino
148,Weide[Baum]::N,уа́,sàlice
149,Tanne::N,кож,abete
150,Horn::N,шур,corno
151,Feder::N,пы́стыл,penna
152,Fell::N,кова́ште,manto
153,Fell::N,кова́ште,pelame
154,Flügel::N,шу́лдыр,ala
155,Klaue::N,кӱч,grinfia
156,Kralle::N,ла́па,unghia
157,Kralle::N,ла́па,artiglio
158,Kralle::N,копа́,unghia
159,Kralle::N,копа́,artiglio
160,Schwanz::N,поч,coda
161,Ei::N,му́но,uovo
162,Nest::N,пыжа́ш,nido
163,Bau::N,пыжа́ш,covo
164,Tier::N,я́нлык,bestia
165,Tier::N,я́нлык,animale
166,Tier::N,живо́тный,bestia
