,Concept_ID,pt,mdf
0,Auge::N,olho,сельме
1,Ohr::N,orelha,пиле
2,Nase::N,nariz,шалхка
3,Mund::N,boca,курга
4,Zahn::N,dente,пей
5,Zunge::N,língua,кяль
6,Lippe::N,lábio,търва́
7,Wange::N,face,щёка
8,Gesicht::N,cara,шама
9,Gesicht::N,rosto,шама
10,Stirn::N,testa,коня
11,Haar::N,cabelo,шя́ярь
12,Schnurrbart::N,bigode,уса́
13,Bart::N,barba,сакал
14,Kinn::N,queixo,ула
15,Kiefer[Anatomie]::N,maxila,саласка
16,Kiefer[Anatomie]::N,mandíbula,саласка
17,Kehle::N,garganta,кълдома
18,Kehle::N,garganta,кърга́парь
19,Hals::N,colo,сялдаз
20,Hals::N,pescoço,сялдаз
21,Genick::N,nuca,шовонь
22,Kopf::N,cabeça,пря
23,Rücken::N,dorso,копорь
24,Rücken::N,costas,копорь
25,Bauch::N,ventre,пеке
26,Bauch::N,barriga,пеке
27,Nabel::N,umbigo,по́кон
28,Busen::N,seio,потя
29,Brust::N,peito,мяште
30,Schulter::N,ombro,лафту
31,Arm::N,braço,кядь
32,Ellenbogen::N,cotovelo,кенерьба́карь
33,Hand::N,mão,кядь
34,Handfläche::N,palma,кядьлапш
35,Handfläche::N,palma da mão,кядьлапш
36,Finger::N,dedo,сур
37,Fingernagel::N,unha,кенже
38,Nagel[Anatomie]::N,unha,кенже
39,Zeh::N,dedo do pé,пильгосу́р
40,Fuß::N,pé,пильге
41,Fuß::N,pé,пильгелапа
42,Ferse::N,calcanhar,кочкяря
43,Knie::N,joelho,эль
44,Knie::N,joelho,пълма́нжа
45,Oberschenkel::N,coxa,пильгепукша
46,Bein::N,perna,пильге
47,Körper::N,corpo,ро́нга
48,Körper::N,corpo,по́нда
49,Haut::N,pele,киське
50,Blut::N,sangue,вер
51,Ader::N,veia,сан
52,Ader::N,veia,верза́н
53,Sehne::N,tendão,коське сан
54,Knochen::N,osso,пакарь
55,Gehirn::N,cérebro,уй
56,Herz::N,coração,седи
57,Magen::N,estômago,коткърдазь
58,Leber::N,fígado,макса
59,Atem::N,fôlego,лекома
60,Atem::N,fôlego,ваймонь тарксема
61,Hunger::N,fome,вачеши
62,Träne::N,lágrima,сельмове́дь
