,Concept_ID,fa,ja
0,Auge::N,چشم,目
1,Ohr::N,گوش,耳
2,Nase::N,بینی,鼻
3,Mund::N,دهان,口
4,Zahn::N,دندان,歯
5,Zunge::N,زبان,舌
6,Lippe::N,لب,唇
7,Wange::N,لپ,頬
8,Gesicht::N,رو,顔
9,Gesicht::N,چهره,顔
10,Stirn::N,پیشانی,額
11,Haar::N,مو,髪
12,Schnurrbart::N,سبیل,口髭
13,Bart::N,ریش,髭
14,Kinn::N,چانه,顎
15,Kiefer[Anatomie]::N,فک,顎
16,Kiefer[Anatomie]::N,آرواره,顎
17,Kehle::N,حلق,喉
18,Hals::N,گردن,首
19,Genick::N,پشت گردن,首
20,Kopf::N,سر,頭
21,Kopf::N,کله,頭
22,Rücken::N,پشت,背中
23,Bauch::N,شکم,腹
24,Bauch::N,شکم,お腹
25,Nabel::N,ناف,へそ
26,Busen::N,پستان,乳房
27,Brust::N,سینه,胸
28,Schulter::N,دوش,肩
29,Schulter::N,شانه,肩
30,Arm::N,بازو,腕
31,Ellenbogen::N,آرنج,肘
32,Hand::N,دست,手
33,Handfläche::N,کف دست,手のひら
34,Finger::N,انگشت,指
35,Fingernagel::N,ناخن دست,爪
36,Nagel[Anatomie]::N,ناخن,爪
37,Zeh::N,انگشت پا,足の指
38,Fuß::N,پا,足
39,Ferse::N,پاشنه,かかと
40,Knie::N,زانو,膝
41,Oberschenkel::N,ران,上腿
42,Bein::N,پا,足
43,Bein::N,لنگ,足
44,Körper::N,تن,体
45,Körper::N,بدن,体
46,Haut::N,پوست,皮膚
47,Blut::N,خون,血
48,Ader::N,رگ,血管
49,Sehne::N,زردپی,腱
50,Knochen::N,استخوان,骨
51,Gehirn::N,مخ,脳
52,Gehirn::N,مغز,脳
53,Herz::N,دل,心
54,Herz::N,دل,心臓
55,Herz::N,قلب,心
56,Herz::N,قلب,心臓
57,Magen::N,معده,胃
58,Leber::N,کبد,肝臓
59,Atem::N,نفس,息
60,Atem::N,نفس,呼吸
61,Hunger::N,گرسنگی,空腹
62,Träne::N,اشک,涙
63,Geschmack::N,مزه,味
64,Geruch::N,بو,匂い
65,Schlaf::N,خواب,睡眠
66,Traum::N,رؤیا,夢
67,Himmel::N,فلک,空
68,Himmel::N,آسمان,空
69,Sonne::N,آفتاب,太陽
70,Sonne::N,خورشید,太陽
71,Mond::N,ماه,月
72,Stern::N,ستاره,星
73,Luft::N,هوا,空気
74,Wind::N,باد,風
75,Welle::N,موج,波
76,Wasser::N,آب,水
77,Stein::N,سنگ,石
78,Boden::N,زمین,土地
79,Erde::N,خاک,土
80,Erde::N,زمین,土
81,Staub::N,گرد,埃
82,Staub::N,غبار,埃
83,Rauch::N,دود,煙
84,Funke::N,جرقه,火花
85,Feuer::N,آتش,火
86,Licht::N,نور,光
87,Licht::N,روشنی,光
88,Schatten::N,سایه,陰
89,Wetter::N,هوا,天気
90,Nebel::N,مه,霧
91,Wolke::N,ابر,雲
92,Regen::N,باران,雨
93,Schnee::N,برف,雪
94,Eis::N,یخ,氷
95,Frost::N,یخبندان,霜
96,Kälte::N,سرما,寒さ
97,Hitze::N,گرما,暑さ
98,Hitze::N,حرارت,暑さ
99,Raureif::N,برف ریزه,霧氷
100,Regenbogen::N,رنگین‌کمان,虹
101,Donner::N,رعد,雷
102,Strömung::N,جریان,流れ
103,Tropfen::N,قطره,滴
104,Schaum::N,کف,泡
105,Schmutz::N,گل,汚れ
106,Schmutz::N,کثافت,汚れ
107,See::N,دریاچه,湖
108,Sumpf::N,مرداب,沼
109,Sumpf::N,باتلاق,沼
110,Moor::N,باتلاق,湿原
111,Wiese::N,چمن,草原
112,Wald::N,جنگل,森
113,Hügel::N,تل,丘
114,Hügel::N,تپه,丘
115,Anhöhe::N,بلندی,高み
116,Berg::N,کوه,山
117,Gipfel::N,قله,頂上
118,Höhle::N,غار,洞窟
119,Abhang::N,سرازیری,斜面
120,Quelle::N,چشمه,泉
121,Bach::N,نهر,小川
122,Fluss::N,رود,川
123,Ufer::N,ساحل,岸
124,Ufer::N,کرانه,岸
125,Küste::N,ساحل,海岸
126,Festland::N,خشکی,陸
127,Meer::N,دریا,海
128,Bucht::N,خلیج,湾
129,Insel::N,جزیره,島
130,Blume::N,گل,花
131,Gras::N,علف,草
132,Wurzel::N,ریشه,根
133,Baum::N,درخت,木
134,Stamm::N,تنه,幹
135,Rinde::N,توژ,皮層
