,Concept_ID,uz,be
0,Auge::N,ko'z,вока
1,Ohr::N,quloq,вуха
2,Nase::N,burun,нос
3,Mund::N,og'iz,рот
4,Zahn::N,tish,зуб
5,Zunge::N,til,язык
6,Lippe::N,dudoq,губа
7,Wange::N,bet,шчака
8,Gesicht::N,yuz,твар
9,Stirn::N,manglay,лоб
10,Haar::N,soch,волас
11,Haar::N,soch,валасы
12,Schnurrbart::N,mo'ylov,вус
13,Schnurrbart::N,mo'ylov,вусы
14,Bart::N,soqol,барада
15,Kinn::N,ängak,падбародак
16,Kiefer[Anatomie]::N,iyak,сківіца
17,Kehle::N,bo'g'iz,горла
18,Hals::N,bo'yin,шыя
19,Genick::N,gardan,патыліца
20,Kopf::N,bosh,галава
21,Rücken::N,orqa,спіна
22,Bauch::N,qorin,жывот
23,Nabel::N,kindik,пупок
24,Busen::N,ämchak,грудзі
25,Brust::N,ko'krak,грудзі
26,Schulter::N,elka,плячо
27,Arm::N,bilak,рука
28,Ellenbogen::N,tirsak,локаць
29,Hand::N,qo'l,кісць
30,Handfläche::N,kaft,далонь
31,Finger::N,barmoq,палец
32,Fingernagel::N,tirnoq,ногаць
33,Nagel[Anatomie]::N,tirnoq,ногаць
34,Zeh::N,oyoq barmog'i,палец
35,Fuß::N,oyoq,нага
36,Ferse::N,tovon,пята
37,Ferse::N,tovon,пятка
38,Knie::N,tiz,калена
39,Oberschenkel::N,son,бядро
40,Oberschenkel::N,son,сцягно
41,Bein::N,oyoq,нага
42,Körper::N,badna,цела
43,Haut::N,teri,скура
44,Blut::N,qon,кроў
45,Ader::N,qon tomir,вена
46,Ader::N,qon tomir,сасуд
47,Sehne::N,tomir,жыла
48,Sehne::N,tomir,цеціва
49,Sehne::N,tomir,сухажылле
50,Knochen::N,suyak,косць
51,Gehirn::N,miya,мозг
52,Herz::N,qalb,сэрца
53,Magen::N,oshqozon,страўнік
54,Leber::N,bag'ir,печань
55,Atem::N,dam,дыханне
56,Hunger::N,ochlik,голад
57,Träne::N,yosh,сляза
58,Geschmack::N,tam,смак
59,Geruch::N,jid,пах
60,Schlaf::N,uyqu,сон
61,Traum::N,tush,сон
62,Himmel::N,osmon,неба
63,Sonne::N,quyosh,сонца
64,Mond::N,oy,месяц
65,Stern::N,yulduz,зорка
66,Luft::N,havo,паветра
67,Wind::N,el,вецер
68,Welle::N,to'lqin,хваля
69,Wasser::N,suv,вада
70,Stein::N,tosh,камень
