,Concept_ID,,no
0,Auge::N,,øye
1,Ohr::N,,øre
2,Nase::N,,nese
3,Mund::N,,munn
4,Zahn::N,,tann
5,Zunge::N,,tunge
6,Lippe::N,,leppe
7,Wange::N,,kinn
8,Gesicht::N,,fjes
9,Gesicht::N,,ansikt
10,Stirn::N,,panne
11,Haar::N,,hår
12,Schnurrbart::N,,bart
13,Bart::N,,skjegg
14,Kinn::N,,hake
15,Kiefer[Anatomie]::N,,kjeve
16,Kehle::N,,strupe
17,Hals::N,,hals
18,Genick::N,,nakke
19,Kopf::N,,hode
20,Rücken::N,,rygg
21,Bauch::N,,buk
22,Bauch::N,,mage
23,Nabel::N,,navle
24,Busen::N,,barm
25,Brust::N,,bryst
26,Schulter::N,,skulder
27,Arm::N,,arm
28,Ellenbogen::N,,albue
29,Hand::N,,hånd
30,Handfläche::N,,håndflate
31,Finger::N,,finger
32,Fingernagel::N,,fingernegl
33,Nagel[Anatomie]::N,,negl
34,Zeh::N,,tå
35,Fuß::N,,fot
36,Ferse::N,,hæl
37,Knie::N,,kne
38,Oberschenkel::N,,lår
39,Bein::N,,bein
40,Körper::N,,kropp
41,Körper::N,,legeme
42,Haut::N,,hud
43,Haut::N,,skinn
44,Blut::N,,blod
45,Ader::N,,åre
46,Sehne::N,,sene
47,Knochen::N,,bein
48,Knochen::N,,knokkel
49,Gehirn::N,,hjerne
50,Herz::N,,hjerte
51,Magen::N,,mage
52,Leber::N,,lever
53,Atem::N,,pust
54,Hunger::N,,sult
55,Träne::N,,tåre
56,Geschmack::N,,smak
57,Geruch::N,,lukt
58,Schlaf::N,,søvn
59,Traum::N,,drøm
60,Himmel::N,,himmel
61,Sonne::N,,sol
62,Mond::N,,måne
63,Stern::N,,stjerne
64,Luft::N,,luft
65,Wind::N,,vind
66,Welle::N,,bølge
67,Wasser::N,,vann
68,Stein::N,,stein
69,Boden::N,,bakke
70,Erde::N,,jord
71,Staub::N,,støv
72,Rauch::N,,røyk
73,Funke::N,,gnist
74,Feuer::N,,ild
75,Licht::N,,lys
76,Schatten::N,,skygge
77,Wetter::N,,vær
78,Nebel::N,,tåke
79,Wolke::N,,sky
80,Regen::N,,regn
81,Schnee::N,,snø
82,Eis::N,,is
83,Frost::N,,frost
84,Kälte::N,,kulde
85,Hitze::N,,hete
86,Raureif::N,,rimfrost
87,Regenbogen::N,,regnbue
88,Donner::N,,torden
89,Strömung::N,,strømning
90,Tropfen::N,,dråpe
91,Schaum::N,,skum
92,Schmutz::N,,søl
93,Schmutz::N,,skitt
94,See::N,,sjø
95,Sumpf::N,,sump
96,Sumpf::N,,myrlende
97,Moor::N,,myr
98,Moor::N,,myrhei
99,Wiese::N,,eng
100,Wald::N,,skog
101,Hügel::N,,haug
102,Hügel::N,,bakke
103,Anhöhe::N,,haug
104,Anhöhe::N,,bakke
105,Berg::N,,berg
106,Berg::N,,fjell
107,Gipfel::N,,topp
108,Höhle::N,,hule
109,Abhang::N,,li
110,Abhang::N,,skråning
111,Quelle::N,,kilde
112,Bach::N,,bekk
113,Fluss::N,,elv
114,Ufer::N,,bredd
115,Küste::N,,kyst
116,Festland::N,,fastland
117,Meer::N,,hav
118,Bucht::N,,bukt
119,Insel::N,,øy
120,Blume::N,,blomst
121,Gras::N,,gress
122,Wurzel::N,,rot
123,Baum::N,,tre
124,Stamm::N,,stamme
125,Rinde::N,,bark
126,Ast::N,,gren
127,Zweig::N,,kvist
128,Blatt::N,,blad
129,Birke::N,,bjørk
130,Kiefer[Baum]::N,,furu
131,Weide[Baum]::N,,selje
132,Weide[Baum]::N,,piletre
133,Tanne::N,,gran
134,Horn::N,,horn
135,Feder::N,,fjær
136,Fell::N,,skinn
137,Flügel::N,,vinge
138,Klaue::N,,klauv
139,Kralle::N,,klo
140,Schwanz::N,,hale
141,Ei::N,,egg
142,Nest::N,,rede
143,Bau::N,,hi
144,Tier::N,,dyr
145,Herde::N,,flokk
146,Kuh::N,,ku
147,Bulle::N,,tyr
148,Pferd::N,,hest
149,Schaf::N,,får
150,Schwein::N,,gris
151,Hund::N,,hund
152,Katze::N,,katt
153,Bär::N,,bjørn
154,Eichhörnchen::N,,ekorn
155,Elch::N,,elg
156,Fuchs::N,,rev
157,Hase::N,,hare
158,Maus::N,,mus
159,Wolf::N,,ulv
160,Wolf::N,,varg
161,Vogel::N,,fugl
162,Schwarm::N,,sverm
163,Huhn::N,,høne
164,Hahn::N,,hane
165,Gans::N,,gås
166,Adler::N,,ørn
167,Ente::N,,and
168,Eule::N,,ugle
169,Kranich::N,,trane
170,Krähe::N,,kråke
171,Kuckuck::N,,gjøk
172,Schwan::N,,svane
173,Fisch::N,,fisk
174,Barsch::N,,abbor
175,Hecht::N,,gjedde
176,Schlange[Tier]::N,,orm
177,Schlange[Tier]::N,,slange
178,Wurm::N,,orm
179,Wurm::N,,mark
180,Spinne::N,,edderkopp
181,Ameise::N,,maur
182,Laus::N,,lus
183,Mücke::N,,mygg
184,Fliege::N,,flue
185,Schmetterling::N,,sommerfugl
186,Beere::N,,bær
187,Apfel::N,,eple
188,Pilz::N,,sopp
189,Zwiebel::N,,løk
190,Saat::N,,sæd
191,Korn::N,,korn
192,Heu::N,,høy
193,Schale::N,,skall
194,Grube::N,,grop
195,Falle::N,,felle
196,Schlinge::N,,snare
197,Spur::N,,spor
198,Asche::N,,aske
199,Dreck::N,,møkk
200,Dreck::N,,skitt
201,Eisen::N,,jern
202,Gold::N,,gull
203,Silber::N,,sølv
204,Kohle::N,,kol
205,Kohle::N,,kull
206,Glas::N,,glass
207,Lehm::N,,leire
208,Sand::N,,sand
209,Mensch::N,,menneske
210,Mann::N,,mann
211,Frau::N,,kvinne
212,Kind::N,,barn
213,Junge::N,,gutt
214,Mädchen::N,,pike
215,Mädchen::N,,jente
216,Familie::N,,familie
217,Großvater::N,,bestefar
218,Großmutter::N,,bestemor
219,Eltern::N,,foreldre
220,Vater::N,,far
221,Mutter::N,,mor
222,Sohn::N,,sønn
223,Tochter::N,,datter
224,Bruder::N,,bror
225,Schwester::N,,søster
226,Onkel::N,,onkel
227,Tante::N,,tante
228,Ehemann::N,,ektemann
229,Ehefrau::N,,hustru
230,Freude::N,,glede
231,Gelächter::N,,latter
232,Glück::N,,lykke
233,Kummer::N,,sorg
234,Wunsch::N,,ønske
235,Lust::N,,lyst
236,Geist::N,,ånd
237,Gedanke::N,,tanke
238,Gedächtnis::N,,minne
239,Gedächtnis::N,,hukommelse
240,Verstand::N,,forstand
241,Sinn::N,,mening
242,Sinn::N,,betydning
243,Grund::N,,grunn
244,Wahrheit::N,,sannhet
245,Gespräch::N,,samtale
246,Märchen::N,,eventyr
247,Erzählung::N,,fortelling
248,Nachricht::N,,melding
249,Neuigkeit::N,,nyhet
250,Name::N,,navn
251,Rätsel::N,,gåte
252,Rede::N,,tale
253,Sprache::N,,språk
254,Stimme::N,,stemme
255,Wort::N,,ord
256,Zeichen::N,,tegn
257,Ruf::N,,rop
258,Lärm::N,,bråk
259,Laut::N,,lyd
260,Ton::N,,tone
261,Lied::N,,vise
262,Ruhe::N,,ro
263,Leute::N,,folk
264,Volk::N,,folk
265,Arbeit::N,,arbeid
266,Gast::N,,gjest
267,Geschenk::N,,gave
268,Spiel::N,,lek
269,Spiel::N,,spill
270,Gesellschaft::N,,selskap
271,Hilfe::N,,hjelp
272,Freund::N,,venn
273,Kamerad::N,,kamerat
274,Angelegenheit::N,,sak
275,Angelegenheit::N,,anliggende
276,Anzahl::N,,antall
277,Art::N,,art
278,Art::N,,slag
279,Stück::N,,stykke
280,Teil::N,,del
281,Hälfte::N,,halvdel
282,Kreis::N,,ring
283,Kreis::N,,sirkel
284,Kreuz::N,,kors
285,Kreuz::N,,kryss
286,Linie::N,,linje
287,Strich::N,,strek
288,Abstand::N,,avstand
289,Entfernung::N,,avstand
290,Gegend::N,,strøk
291,Platz::N,,plass
292,Ort::N,,sted
293,Seite::N,,side
294,Mitte::N,,midte
295,Gegenstand::N,,gjenstand
296,Sache::N,,sak
297,Rand::N,,rand
298,Kante::N,,kant
299,Ecke::N,,hjørne
300,Spitze::N,,spiss
301,Ende::N,,ende
302,Loch::N,,hull
303,Winkel::N,,vinkel
304,Muster::N,,mønster
305,Größe::N,,størrelse
306,Länge::N,,lengde
307,Höhe::N,,høyde
308,Gewicht::N,,vekt
309,Menge::N,,mengde
310,Haufen::N,,haug
311,Haufen::N,,bunke
312,Reihe::N,,rekke
313,Boot::N,,båt
314,Ruder::N,,åre
315,Schlitten::N,,slede
316,Schlitten::N,,kjelke
317,Ski::N,,ski
318,Lagerfeuer::N,,leirbål
319,Last::N,,bør
320,Last::N,,last
321,Gang::N,,gang
322,Schritt::N,,steg
323,Schritt::N,,skritt
324,Norden::N,,nord
325,Süden::N,,sør
326,Westen::N,,vest
327,Osten::N,,øst
328,Holz::N,,tre
329,Brett::N,,fjøl
330,Brett::N,,brett
331,Platte::N,,plate
332,Stütze::N,,støtte
333,Stange::N,,stang
334,Stock::N,,pinne
335,Stab::N,,stav
336,Stab::N,,kjepp
337,Rohr::N,,rør
338,Haus::N,,hus
339,Heim::N,,hjem
340,Ofen::N,,ovn
341,Fußboden::N,,gulv
342,Tisch::N,,bord
343,Stuhl::N,,stol
344,Wiege::N,,vogge
345,Bett::N,,seng
346,Regal::N,,reol
347,Regal::N,,hylle
348,Kiste::N,,kasse
349,Fenster::N,,vindu
350,Tür::N,,dør
351,Tor::N,,port
352,Zaun::N,,gjerde
353,Dach::N,,tak
354,Leiter::N,,stige
355,Besen::N,,kost
356,Spaten::N,,spade
357,Schaufel::N,,skuffe
358,Gabel::N,,gaffel
359,Löffel::N,,skje
360,Messer::N,,kniv
361,Nagel::N,,spiker
362,Netz::N,,nett
363,Haken::N,,krok
364,Griff::N,,tak
365,Griff::N,,håndtak
366,Schloss::N,,lås
367,Bild::N,,bilde
368,Figur::N,,figur
369,Puppe::N,,dukke
370,Beutel::N,,pose
371,Bündel::N,,bylt
372,Tasche::N,,veske
373,Eimer::N,,bøtte
374,Deckel::N,,lokk
375,Geschirr::N,,kjøkkentøy
376,Sack::N,,sekk
377,Tasse::N,,kopp
378,Topf::N,,gryte
379,Kessel::N,,kjele
380,Essen::N,,mål
381,Nahrung::N,,mat
382,Nahrung::N,,næring
383,Speise::N,,matrett
384,Fleisch::N,,kjøtt
385,Getreide::N,,korn
386,Brei::N,,grøt
387,Brot::N,,brød
388,Scheibe::N,,skive
389,Fett::N,,fett
390,Butter::N,,smør
391,Öl::N,,olje
392,Salz::N,,salt
393,Suppe::N,,suppe
394,Honig::N,,honning
395,Milch::N,,melk
396,Tee::N,,te
397,Leder::N,,lær
398,Leder::N,,skinn
399,Wolle::N,,ull
400,Stoff::N,,tøy
401,Stoff::N,,stoff
402,Nadel::N,,nål
403,Faden::N,,tråd
404,Knopf::N,,knapp
405,Knoten::N,,knute
406,Farbe::N,,farge
407,Kleidung::N,,påkledning
408,Hemd::N,,skjorte
409,Kragen::N,,krage
410,Ärmel::N,,erme
411,Hose::N,,bukse
412,Gürtel::N,,belte
413,Mütze::N,,lue
414,Schuh::N,,sko
415,Stiefel::N,,støvel
416,Ring::N,,ring
417,Band::N,,band
418,Kamm::N,,kam
419,Spiegel::N,,speil
420,Riemen::N,,rem
421,Schnur::N,,snor
422,Leine::N,,line
423,Decke::N,,teppe
424,Kissen::N,,pute
425,Tuch::N,,tøy
426,Handtuch::N,,håndkle
427,Kraft::N,,kraft
428,Stärke::N,,styrke
429,Gesundheit::N,,helse
430,Gesundheit::N,,sunnhet
431,Krankheit::N,,syke
432,Krankheit::N,,sykdom
433,Schmerz::N,,smerte
434,Wunde::N,,sår
435,Fieber::N,,feber
436,Arznei::N,,medisin
437,Arznei::N,,legemiddel
438,Brücke::N,,bro
439,Brunnen::N,,brønn
440,Weide::N,,beite
441,Pfad::N,,sti
442,Weg::N,,vei
443,Straße::N,,gate
444,Dorf::N,,landsby
445,Stadt::N,,by
446,Brief::N,,brev
447,Buch::N,,bok
448,Buchstabe::N,,bokstav
449,Zeitung::N,,avis
450,Leben::N,,liv
451,Tod::N,,død
452,Grab::N,,grav
453,Kirche::N,,kirke
454,Sünde::N,,synd
455,Gott::N,,gud
456,Arbeiter::N,,arbeider
457,Chef::N,,sjef
458,Meister::N,,mester
459,Arzt::N,,lege
460,Lehrer::N,,lærer
461,Geld::N,,penger
462,Geschäft::N,,forretning
463,Laden::N,,butikk
464,Preis::N,,pris
465,Ware::N,,vare
466,Nutzen::N,,nytte
467,Reichtum::N,,rikdom
468,Welt::N,,verden
469,Land::N,,land
470,Staat::N,,stat
471,König::N,,konge
472,Macht::N,,makt
473,Grenze::N,,grense
474,Krieg::N,,krig
475,Feind::N,,fiende
476,Gewalt::N,,vold
