,Concept_ID,mdf,hr
0,Auge::N,сельме,oko
1,Ohr::N,пиле,uho
2,Nase::N,шалхка,nos
3,Mund::N,курга,usta
4,Zahn::N,пей,zub
5,Zunge::N,кяль,jezik
6,Lippe::N,търва́,usna
7,Wange::N,щёка,obraz
8,Gesicht::N,шама,lice
9,Stirn::N,коня,čelo
10,Haar::N,шя́ярь,kosa
11,Schnurrbart::N,уса́,brkovi
12,Bart::N,сакал,brada
13,Kinn::N,ула,brada
14,Kinn::N,ула,podbradak
15,Kiefer[Anatomie]::N,саласка,čeljust
16,Kehle::N,кълдома,grlo
17,Kehle::N,кърга́парь,grlo
18,Hals::N,сялдаз,vrat
19,Genick::N,шовонь,zatiljak
20,Kopf::N,пря,glava
21,Rücken::N,копорь,leđa
22,Rücken::N,копорь,hrbat
23,Bauch::N,пеке,trbuh
24,Nabel::N,по́кон,pupak
25,Busen::N,потя,sisa
26,Busen::N,потя,njedra
27,Brust::N,мяште,prsa
28,Schulter::N,лафту,rame
29,Schulter::N,лафту,pleći
30,Arm::N,кядь,ruka
31,Ellenbogen::N,кенерьба́карь,lakat
32,Hand::N,кядь,ruka
33,Handfläche::N,кядьлапш,dlan
34,Finger::N,сур,prst
35,Fingernagel::N,кенже,nokat
36,Nagel[Anatomie]::N,кенже,nokat
37,Zeh::N,пильгосу́р,nozni prst
38,Fuß::N,пильге,noga
39,Fuß::N,пильге,stopalo
40,Fuß::N,пильгелапа,noga
41,Fuß::N,пильгелапа,stopalo
42,Ferse::N,кочкяря,peta
43,Knie::N,эль,koljeno
44,Knie::N,пълма́нжа,koljeno
45,Oberschenkel::N,пильгепукша,bedro
46,Bein::N,пильге,noga
47,Körper::N,ро́нга,tijelo
48,Körper::N,по́нда,tijelo
49,Haut::N,киське,put
50,Haut::N,киське,koža
51,Blut::N,вер,krv
52,Ader::N,сан,žila
53,Ader::N,верза́н,žila
54,Sehne::N,коське сан,tetiva
55,Knochen::N,пакарь,kost
56,Gehirn::N,уй,
57,Herz::N,седи,srce
58,Magen::N,коткърдазь,stomak
59,Magen::N,коткърдазь,želudac
60,Leber::N,макса,jetra
61,Atem::N,лекома,dah
62,Atem::N,ваймонь тарксема,dah
63,Hunger::N,вачеши,glad
64,Träne::N,сельмове́дь,suza
65,Geschmack::N,таньф,ukus
66,Geruch::N,шине,njuh
67,Geruch::N,шине,miris
68,Schlaf::N,удома́,san
69,Traum::N,он,san
70,Himmel::N,менель,nebo
71,Sonne::N,ши,sunce
72,Mond::N,ков,mjesec
73,Stern::N,тяште,zvijezda
74,Luft::N,кожф,zrak
75,Wind::N,варма,vjetar
76,Welle::N,тавла,val
77,Welle::N,тавла,talas
78,Wasser::N,ведь,voda
79,Stein::N,кев,kamen
80,Boden::N,мода,tlo
81,Boden::N,мода,zemlja
82,Boden::N,потмакс,tlo
83,Boden::N,потмакс,zemlja
84,Erde::N,мода,zemlja
85,Erde::N,мастор,zemlja
86,Staub::N,пуль,prah
87,Staub::N,пуль,prašina
88,Rauch::N,качам,dim
89,Funke::N,ця́тка,iskra
90,Funke::N,ця́тка,varnica
91,Feuer::N,тол,vatra
92,Licht::N,ва́лда,svjetlo
93,Schatten::N,цильф,hlad
94,Schatten::N,цильф,sjena
95,Wetter::N,уша,vrijeme
96,Nebel::N,тума́н,magla
97,Wolke::N,ковол,oblak
98,Regen::N,пизем,kiša
99,Schnee::N,лов,snijeg
100,Eis::N,эй,led
101,Frost::N,ке́льме,mraz
102,Kälte::N,якшама,studen
103,Kälte::N,якшама,hladnoća
104,Hitze::N,пси,vrućina
105,Raureif::N,леш,inje
106,Regenbogen::N,а́тямъёнга,duga
107,Donner::N,атям,grom
108,Donner::N,атям,grmljavina
109,Strömung::N,шудема́,struja
110,Strömung::N,шудема́,strujanje
111,Tropfen::N,путькс,kap
112,Tropfen::N,путькс,kaplja
113,Tropfen::N,пътняфкс,kap
114,Tropfen::N,пътняфкс,kaplja
115,Schaum::N,шов,pjena
116,Schmutz::N,ърда́з,nečistoća
117,Schmutz::N,ърда́з,prljavština
118,See::N,эрьхке,jezero
119,Sumpf::N,шяй,bara
120,Moor::N,шяй,močvara
121,Wiese::N,луга,livada
122,Wald::N,вирь,šuma
123,Hügel::N,губо́р,brijeg
124,Hügel::N,губо́р,brežuljak
125,Hügel::N,пандоня,brijeg
126,Hügel::N,пандоня,brežuljak
127,Anhöhe::N,губо́р,uzvišica
128,Berg::N,панда,brdo
129,Gipfel::N,пря,vrh
130,Höhle::N,у́нда,pećina
131,Höhle::N,у́нда,spilja
132,Abhang::N,па́нда ша́ма,obronak
