,Concept_ID,cv,ko
0,Auge::N,куҫ,눈
1,Ohr::N,хӑлха,귀
2,Nase::N,сӑмса,코
3,Mund::N,ҫӑвар,입
4,Zahn::N,шӑл,이
5,Zunge::N,чӗлхе,혀
6,Lippe::N,тута,입술
7,Wange::N,пит ҫӑмарти,뺨
8,Gesicht::N,пит,얼굴
9,Gesicht::N,пит-куҫ,얼굴
10,Stirn::N,ҫамка,이마
11,Haar::N,ҫӳҫ,털
12,Schnurrbart::N,усси,윗수몀
13,Schnurrbart::N,усси,코밑수염
14,Bart::N,сухал,수엄
15,Kinn::N,янах,아래턱
16,Kiefer[Anatomie]::N,янах,턱
17,Kehle::N,пыр,인후
18,Kehle::N,карланкӑ,인후
19,Hals::N,пыр,목
20,Genick::N,ӗнсе,먹덜이
21,Kopf::N,пуҫ,머리
22,Rücken::N,ҫурӑм,든
23,Nabel::N,кӑвапа,배꼽
24,Busen::N,кӑкӑр,가슴속
25,Brust::N,умӗ,가슴
26,Schulter::N,хул пуҫҫи,어깨
27,Arm::N,алӑ,팔
28,Ellenbogen::N,чавса,팔쿰치
29,Hand::N,алӑ сыппи,손
30,Handfläche::N,ал лаппи,손바닥
31,Finger::N,пӳрне,속가락
32,Fingernagel::N,чӗрне,손톱
33,Nagel[Anatomie]::N,чӗрне,손톱
34,Zeh::N,пӳрне,발가락
35,Fuß::N,ура лаппи,발
36,Ferse::N,кӗле,발꿈치
37,Knie::N,чӗркуҫҫи,무릎
38,Oberschenkel::N,пӗҫӗ,허벅다리
39,Bein::N,ура,다리
40,Körper::N,ӳт,구간
41,Körper::N,ӳт-пӳ,구간
42,Haut::N,тир,살갗
43,Blut::N,юн,피
44,Ader::N,вена,정맥
45,Sehne::N,шӑнӑр,현
46,Knochen::N,шӑмӑ,뼈
47,Gehirn::N,миме,뇌
48,Gehirn::N,миме,뇌수
49,Herz::N,чӗре,염통
50,Magen::N,хырӑмлӑх,위
51,Leber::N,пӗвер,간
52,Atem::N,сывлав,기식
53,Hunger::N,выҫлӑх,공복
54,Träne::N,куҫҫуль,눈물
55,Geschmack::N,техӗм,기호
56,Geruch::N,шӑршӑ,냄새
57,Schlaf::N,ыйхӑ,수면
58,Traum::N,тӗлӗк,쿰
59,Himmel::N,пӗлӗт,하늘
60,Sonne::N,хӗвел,해
61,Mond::N,уйӑх,달
62,Stern::N,ҫӑлтӑр,별
63,Luft::N,сывлӑш,동준
64,Luft::N,сывлӑш,가스채
65,Wind::N,ҫил,바람
66,Welle::N,хум,물결
67,Wasser::N,шыв,물
68,Wasser::N,шыв-шур,물
69,Stein::N,чул,돌
70,Boden::N,тӑпра,바닥
71,Erde::N,ҫӗр,흙
72,Staub::N,тусан,먼지
73,Rauch::N,тӗтӗм,연기
74,Funke::N,хӗм,불티
75,Feuer::N,вут,불
76,Feuer::N,ҫулӑм,불
77,Licht::N,ҫутӑ,불
78,Schatten::N,сулхӑн,어스레함
79,Wetter::N,ҫанталӑк,기상
80,Nebel::N,тӗтре,안개
81,Wolke::N,пӗлӗт,구름
82,Regen::N,ҫумӑр,비
83,Schnee::N,юр,눈
84,Eis::N,пӑр,얼음
85,Frost::N,сивӗ,혹한
86,Kälte::N,сивӗ,추위
87,Kälte::N,сивӗ,차가움
88,Hitze::N,вӗри,고온
89,Hitze::N,вӗри,더위
90,Hitze::N,шӑрӑх,고온
91,Hitze::N,шӑрӑх,더위
92,Raureif::N,пас,
93,Regenbogen::N,асамат кӗперӗ,무지개
94,Donner::N,аслати,뇌명
95,Strömung::N,юхӑ,유동
96,Tropfen::N,тумлам,물방울
97,Schaum::N,кӑпӑк,포말
98,Schmutz::N,пылчӑк,때
99,See::N,кӳлӗ,호수
100,Sumpf::N,шур,습지
101,Sumpf::N,шурлӑх,습지
102,Moor::N,торфлӑ шурлӑх,저습지
103,Wiese::N,улӑх,목초지
104,Wiese::N,ҫаран,목초지
105,Wald::N,вӑрман,숲
106,Hügel::N,сӑрт,언덕
107,Hügel::N,тӗмеске,언덕
108,Anhöhe::N,сӑрт,언덕
109,Berg::N,ту,산
110,Gipfel::N,тӳпе,졀졍
111,Höhle::N,ҫӗр хӑвӑлӗ,공동
112,Abhang::N,тӑвайкки,몰매
113,Quelle::N,ҫӑл куҫ,근원
114,Bach::N,пӗчӗк шыв,내
115,Fluss::N,юхан шыв,강
116,Ufer::N,ҫыран,강변
117,Ufer::N,ҫыран,바닷가
118,Küste::N,тинӗс ҫыранӗ,해변
119,Küste::N,тинӗс ҫыранӗ,해변가
120,Festland::N,тип ҫӗр,본토
121,Meer::N,тинӗс,바다
122,Bucht::N,тинӗс кукӑрӗ,협만
123,Insel::N,утрав,섬
124,Blume::N,чечек,꽃
125,Gras::N,курӑк,풀
126,Wurzel::N,тымар,뿌리
127,Baum::N,йывӑҫ,나무
128,Stamm::N,вулӑ,대
129,Rinde::N,хуйӑр,나무껍질
130,Ast::N,турат,가지
131,Zweig::N,турат,가지
132,Blatt::N,ҫулҫӑ,잎
133,Birke::N,хурӑн,자작나무
134,Kiefer[Baum]::N,хыр,소나무
135,Weide[Baum]::N,хӑва,쉬양버들
136,Tanne::N,чӑрӑш,전나무
137,Horn::N,мӑйрака,뿔
138,Feder::N,тӗк,깃털
139,Fell::N,ҫӑм,피혁모피
140,Flügel::N,ҫунат,날개
141,Klaue::N,чӗрне,갈고리 발톺
142,Kralle::N,ура,발툭
143,Schwanz::N,хӳре,꼬리
144,Ei::N,ҫӑмарта,알
145,Nest::N,йӑва,보금자리
146,Bau::N,йӗнӗ,굴
147,Tier::N,выльӑх,짐승
148,Herde::N,кӗтӳ,가축의떼
149,Kuh::N,ӗне,암소
150,Bulle::N,вӑкӑр,황소
151,Pferd::N,лаша,말
152,Schaf::N,сурӑх,양
153,Schwein::N,сысна,돼지
154,Hund::N,йытӑ,개
155,Katze::N,кушак,고양이
156,Bär::N,упа,콤
157,Eichhörnchen::N,пакша,다람쥐
158,Elch::N,пӑши,고라니
159,Fuchs::N,тилӗ,여우
160,Hase::N,куян,토끼
161,Hase::N,мулкач,토끼
162,Maus::N,шӑши,쥐
163,Wolf::N,кашкӑр,늑대
164,Vogel::N,кайӑк,새
165,Vogel::N,вӗҫен кайӑк,새
166,Schwarm::N,ушкӑн,뗴
167,Huhn::N,чӑх,암탉
168,Huhn::N,чӑхӑ,암탉
169,Hahn::N,автан,수탉
170,Gans::N,хур,거위
171,Adler::N,ӑмӑрт кайӑк,수리
172,Ente::N,кӑвакал,오리
173,Eule::N,тӑмана,부엉이
174,Kranich::N,тӑрна,두루미
175,Krähe::N,ула курак,까마귀
176,Kuckuck::N,куккук,뻐꾸기
177,Schwan::N,акӑш,배조
178,Fisch::N,пулӑ,물고기
179,Barsch::N,уланкӑ,농어
180,Hecht::N,ҫӑрттан,에속스
181,Schlange[Tier]::N,ҫӗлен,뱀
182,Wurm::N,ӑман,벌레
183,Spinne::N,эрешмен,거미
184,Ameise::N,кӑткӑ,개미
185,Laus::N,пыйтӑ,이
186,Mücke::N,вӑрӑм туна,모기
187,Fliege::N,шӑна,날기
188,Schmetterling::N,лӗпӗш,나비
189,Beere::N,ҫырла,장과
190,Apfel::N,улма,사과
191,Apfel::N,пан улми,사과
192,Pilz::N,кӑмпа,고방이
193,Zwiebel::N,сухан,양파
194,Saat::N,вӑрӑ,씨
195,Korn::N,тӗшӗ,알맹이
196,Korn::N,пӗрчӗ,알맹이
197,Heu::N,утӑ,건초
198,Schale::N,хупӑ,피상
199,Grube::N,шӑтӑк,
200,Falle::N,тапӑ,함정
201,Falle::N,капкӑн,함정
202,Schlinge::N,йӑлӑ,올가미
203,Schlinge::N,йӑлӑ,멜빵붕대
204,Spur::N,йӗр,발지국
205,Asche::N,кӗл,재
206,Dreck::N,пылчӑк,똥
207,Dreck::N,пылчӑк,오물
208,Eisen::N,тимӗр,쇠
209,Eisen::N,тимӗр,철
210,Gold::N,ылтӑн,항금
211,Silber::N,кӗмӗл,은
212,Kohle::N,кӑмрӑк,슻
213,Glas::N,кӗленче,유리
214,Lehm::N,тӑм,찰흙
215,Sand::N,хӑйӑр,모래
216,Mensch::N,ҫын,사람
217,Mensch::N,этем,사람
218,Mann::N,ар,남자
219,Frau::N,хӗрарӑм,여자
220,Kind::N,ача,아이
221,Junge::N,ача,소녁
222,Junge::N,ар ҫын ача,소녁
223,Mädchen::N,хӗр ача,소녀
224,Familie::N,ҫемье,가족
225,Familie::N,кил-йыш,가족
226,Großvater::N,кукаҫи,할아버지
227,Großmutter::N,кукамай,할머니
228,Eltern::N,аҫа-ама,어버오
229,Vater::N,атте,아버지
230,Mutter::N,анне,어머니
231,Sohn::N,ывӑл,아들
232,Tochter::N,хӗр,딸기
233,Bruder::N,ар тӑван,형제
234,Schwester::N,аппа,누이
235,Schwester::N,йӑмӑк,누이
236,Onkel::N,мучи,백부
237,Onkel::N,пичче,백부
238,Tante::N,аппа,아주머니
239,Ehemann::N,упӑшка,남편
240,Ehefrau::N,арӑм,아내
241,Freude::N,савӑнӑҫ,기쁨
242,Freude::N,хаваслӑх,기쁨
243,Gelächter::N,кулӑ,웃음
244,Glück::N,телей,즐거움
245,Glück::N,ӑраскал,즐거움
246,Kummer::N,хурлӑх,슬픔
247,Wunsch::N,ӗмӗт,소망
248,Wunsch::N,кӑмӑл,소망
249,Lust::N,кӑмӑл,
250,Geist::N,чун-чӗм,할기
251,Geist::N,ыр-усал,할기
252,Geist::N,чун хавалӗ,할기
253,Gedanke::N,шухӑш,상념
254,Gedächtnis::N,ас,기억
255,Verstand::N,ӑс,분별
256,Verstand::N,ӑс,지능
257,Verstand::N,ӑс-тӑн,분별
258,Verstand::N,ӑс-тӑн,지능
259,Verstand::N,ӑс-хакӑл,분별
260,Verstand::N,ӑс-хакӑл,지능
261,Sinn::N,тупсӑм,센스
262,Sinn::N,пӗлтерӗш,센스
263,Grund::N,сӑлтав,까닭
264,Wahrheit::N,чӑнлӑх,참
265,Wahrheit::N,чӑнлӑх,진실
266,Gespräch::N,калаҫу,대화
267,Märchen::N,юмах,동화
268,Erzählung::N,акалав,이야기
269,Erzählung::N,каласа пани,이야기
270,Nachricht::N,хыпар,
271,Neuigkeit::N,ҫӗнӗ хыпар,뉴스
272,Name::N,ят,이름
273,Rätsel::N,сутмалли юмах,수수께끼
274,Rede::N,сӑмах,연설
275,Sprache::N,чӗлхе,말
276,Stimme::N,сасӑ,목소리
277,Wort::N,сӑмах,낱말
278,Zeichen::N,паллӑ,신호
279,Ruf::N,йыхрав,부름
280,Ruf::N,чӗнӳ,부름
281,Lärm::N,шав,소동
282,Laut::N,сасӑ,음성
283,Ton::N,сасӑ,목소리
284,Lied::N,юрӑ,노래
285,Ruhe::N,канӑҫлӑх,쉼
286,Ruhe::N,лӑпкӑлӑх,쉼
287,Leute::N,ҫамрӑксем,사람들
288,Leute::N,ҫамрӑк ҫынсем,사람들
289,Volk::N,халӑх,국중
290,Arbeit::N,ӗҫхӗл,근로
291,Arbeit::N,ӗҫхӗл,너무
292,Arbeit::N,ӗҫлев,근로
293,Arbeit::N,ӗҫлев,너무
294,Gast::N,хӑна,손님
295,Geschenk::N,парне,행하
296,Geschenk::N,кучченеҫ,행하
297,Spiel::N,вӑйӑ,무리
298,Gesellschaft::N,общество,교제
299,Hilfe::N,пулӑшу,거들음
300,Hilfe::N,пулӑшу,보좌
301,Freund::N,тус,친구
302,Kamerad::N,юлташ,동실자
303,Kamerad::N,тус,동실자
304,Angelegenheit::N,ӗҫ,용무
305,Anzahl::N,йыш,어떤
306,Anzahl::N,йыш,수
307,Anzahl::N,хисеп,어떤
308,Anzahl::N,хисеп,수
309,Art::N,тӗс,정류
310,Stück::N,татӑк,일부분
311,Teil::N,пай,몱
312,Teil::N,пай,구훠
313,Hälfte::N,ҫурӑ,2분의
314,Kreis::N,ункӑ,고리
315,Kreis::N,ҫавракӑш,고리
316,Kreuz::N,хӗрес,열십자
317,Linie::N,йӗр,선
318,Strich::N,йӗр,스침
319,Abstand::N,хушӑ,거리
320,Entfernung::N,хушӑ,거리
321,Gegend::N,вырӑн,곳
322,Gegend::N,вырӑн,부금
323,Platz::N,хутлӑх,장소
324,Ort::N,вырӑн,장소
325,Seite::N,ен,옆면
326,Seite::N,аяк,옆면
327,Seite::N,айӑк,옆면
328,Mitte::N,варӑ,궁간
329,Gegenstand::N,япала,항목
330,Sache::N,япала,뭉에
331,Rand::N,вӗҫ,가
332,Rand::N,хӗрӗ,가
