,Concept_ID,ro,pt
0,Auge::N,ochi,olho
1,Ohr::N,ureche,orelha
2,Nase::N,nas,nariz
3,Mund::N,gură,boca
4,Zahn::N,dinte,dente
5,Zunge::N,limbă,língua
6,Lippe::N,buză,lábio
7,Wange::N,bucă,face
8,Wange::N,obraz,face
9,Gesicht::N,față,cara
10,Gesicht::N,față,rosto
11,Gesicht::N,figură,cara
12,Gesicht::N,figură,rosto
13,Stirn::N,frunte,testa
14,Haar::N,păr,cabelo
15,Schnurrbart::N,mustață,bigode
16,Bart::N,barbă,barba
17,Kinn::N,bărbie,queixo
18,Kiefer[Anatomie]::N,falcă,maxila
19,Kiefer[Anatomie]::N,falcă,mandíbula
20,Kehle::N,beregată,garganta
21,Hals::N,gât,colo
22,Hals::N,gât,pescoço
23,Genick::N,ceafă,nuca
24,Kopf::N,cap,cabeça
25,Rücken::N,dos,dorso
26,Rücken::N,dos,costas
27,Rücken::N,spate,dorso
28,Rücken::N,spate,costas
29,Rücken::N,spinare,dorso
30,Rücken::N,spinare,costas
31,Bauch::N,burtă,ventre
32,Bauch::N,burtă,barriga
33,Bauch::N,pântece,ventre
34,Bauch::N,pântece,barriga
35,Nabel::N,buric,umbigo
36,Busen::N,sân,seio
37,Brust::N,piept,peito
38,Schulter::N,umăr,ombro
39,Schulter::N,spate,ombro
40,Arm::N,braț,braço
41,Ellenbogen::N,cot,cotovelo
42,Hand::N,mână,mão
43,Handfläche::N,palmă,palma
44,Handfläche::N,palmă,palma da mão
45,Finger::N,deget,dedo
46,Fingernagel::N,unghie,unha
47,Nagel[Anatomie]::N,unghie,unha
48,Zeh::N,deget de la picior,dedo do pé
49,Fuß::N,picior,pé
50,Ferse::N,călcâi,calcanhar
51,Knie::N,genunchi,joelho
52,Oberschenkel::N,coapsă,coxa
53,Bein::N,picior,perna
54,Körper::N,corp,corpo
55,Haut::N,piele,pele
56,Blut::N,sânge,sangue
57,Ader::N,vână,veia
58,Ader::N,arteră,veia
59,Sehne::N,tendon,tendão
60,Knochen::N,os,osso
61,Gehirn::N,creier,cérebro
62,Herz::N,inimă,coração
63,Magen::N,stomac,estômago
64,Leber::N,ficat,fígado
65,Atem::N,răsuflare,fôlego
66,Atem::N,respirație,fôlego
67,Hunger::N,foame,fome
68,Träne::N,lacrimă,lágrima
69,Geschmack::N,gust,gosto
70,Geruch::N,miros,odor
71,Geruch::N,miros,cheiro
72,Schlaf::N,somn,sono
73,Traum::N,vis,sonho
74,Himmel::N,cer,céu
75,Sonne::N,soare,sol
76,Mond::N,lună,lua
77,Stern::N,stea,estrela
78,Luft::N,aer,ar
79,Wind::N,vânt,vento
80,Welle::N,val,onda
81,Welle::N,undă,onda
82,Wasser::N,apă,água
83,Stein::N,piatră,pedra
84,Boden::N,sol,solo
85,Boden::N,pământ,solo
86,Erde::N,pământ,terra
87,Staub::N,praf,pó
88,Rauch::N,fum,fumo
89,Funke::N,scânteie,faísca
90,Funke::N,scânteie,centelha
91,Feuer::N,foc,fogo
92,Licht::N,lumină,luz
93,Schatten::N,umbră,sombra
94,Wetter::N,timp,tempo
95,Wetter::N,vreme,tempo
96,Nebel::N,ceață,nevoeiro
97,Nebel::N,negură,nevoeiro
98,Wolke::N,nor,nuvem
99,Regen::N,ploaie,chuva
100,Schnee::N,zăpadă,neve
101,Eis::N,gheață,gelo
102,Frost::N,ger,gelo
103,Frost::N,ger,geada
104,Kälte::N,frig,frio
105,Hitze::N,arșiță,ardor
106,Hitze::N,căldură,ardor
107,Raureif::N,chiciură,geada
108,Regenbogen::N,curcubeu,arco-iris
109,Donner::N,tunet,trovão
110,Strömung::N,curent,corrente
111,Tropfen::N,picătură,gota
112,Schaum::N,spumă,espuma
113,Schmutz::N,murdărie,sujidade
114,Schmutz::N,murdărie,imundície
115,See::N,lac,lago
116,Sumpf::N,mlaștină,charco
117,Sumpf::N,mlaștină,pântano
118,Moor::N,bărăgan,pântano
119,Wiese::N,fânaț,prado
120,Wiese::N,livadă,prado
121,Wald::N,codru,bosque
122,Wald::N,codru,floresta
123,Wald::N,pădure,bosque
124,Wald::N,pădure,floresta
125,Hügel::N,deal,colina
126,Hügel::N,movilă,colina
127,Anhöhe::N,deal,alto
128,Anhöhe::N,deal,outeiro
129,Anhöhe::N,ridicătură,alto
130,Anhöhe::N,ridicătură,outeiro
131,Berg::N,munte,monte
132,Berg::N,munte,montanha
133,Gipfel::N,pisc,pico
134,Höhle::N,peșteră,caverna
135,Abhang::N,pantă,encosta
136,Abhang::N,versant,encosta
137,Quelle::N,izvor,fonte
138,Bach::N,gârlă,regato
139,Bach::N,gârlă,ribeiro
140,Fluss::N,râu,rio
141,Fluss::N,fluviu,rio
142,Ufer::N,mal,beira
143,Ufer::N,țărm,beira
144,Küste::N,coastă,costa
145,Festland::N,uscat,terra firme
146,Meer::N,mare,mar
147,Bucht::N,golf,baía
148,Insel::N,insulă,ilha
149,Blume::N,floare,flor
150,Gras::N,iarbă,erva
151,Wurzel::N,rădăcină,raiz
152,Baum::N,copac,árvore
153,Baum::N,arbore,árvore
154,Stamm::N,tulpină,tronco
155,Rinde::N,scoarță,casca
156,Ast::N,cracă,ramo
157,Ast::N,creangă,ramo
158,Zweig::N,ramură,galho
159,Zweig::N,creangă,galho
160,Blatt::N,frunză,folha
161,Birke::N,mesteacăn,bétula
162,Kiefer[Baum]::N,pin,pinheiro
163,Weide[Baum]::N,salcie,salgueiro
164,Weide[Baum]::N,răchită,salgueiro
165,Tanne::N,brad,abeto
166,Horn::N,corn,corno
167,Horn::N,corn,chifre
168,Feder::N,pană,pena
169,Fell::N,piele,pele
170,Flügel::N,aripă,asa
171,Klaue::N,gheară,pata
172,Kralle::N,labă,unha
173,Kralle::N,labă,garra
174,Kralle::N,gheară,unha
175,Kralle::N,gheară,garra
176,Schwanz::N,coadă,rabo
177,Schwanz::N,coadă,cauda
178,Ei::N,ou,ovo
179,Nest::N,cuib,ninho
180,Bau::N,bârlog,toca
181,Bau::N,bârlog,covil
182,Bau::N,vizuină,toca
183,Bau::N,vizuină,covil
184,Tier::N,animal,animal
185,Herde::N,turmă,rebanho
186,Herde::N,cireadă,rebanho
187,Kuh::N,vacă,vaca
188,Bulle::N,taur,touro
189,Pferd::N,cal,cavalo
190,Schaf::N,oaie,ovelha
191,Schwein::N,porc,porco
192,Hund::N,câine,cão
193,Katze::N,pisică,gata
194,Bär::N,urs,urso
195,Eichhörnchen::N,veveriță,esquilo
196,Elch::N,elan,alce
197,Fuchs::N,vulpe,raposa
198,Hase::N,iepure,lebre
199,Maus::N,șoarece,rato
200,Wolf::N,lup,lobo
201,Vogel::N,pasăre,ave
