,Concept_ID,ca,fa
0,Auge::N,ull,چشم
1,Ohr::N,orella,گوش
2,Nase::N,nas,بینی
3,Mund::N,boca,دهان
4,Zahn::N,dent,دندان
5,Zunge::N,llēngua,زبان
6,Lippe::N,llavi,لب
7,Wange::N,galta,لپ
8,Gesicht::N,cara,رو
9,Gesicht::N,cara,چهره
10,Stirn::N,front,پیشانی
11,Haar::N,cabēll,مو
12,Schnurrbart::N,bigoti,سبیل
13,Bart::N,barba,ریش
14,Kinn::N,mentó,چانه
15,Kinn::N,barbeta,چانه
16,Kiefer[Anatomie]::N,queix,فک
17,Kiefer[Anatomie]::N,queix,آرواره
18,Kiefer[Anatomie]::N,mandíbula,فک
19,Kiefer[Anatomie]::N,mandíbula,آرواره
20,Kehle::N,gola,حلق
21,Kehle::N,gorja,حلق
22,Hals::N,coll,گردن
23,Genick::N,nuca,پشت گردن
24,Kopf::N,cap,سر
25,Kopf::N,cap,کله
26,Rücken::N,esquena,پشت
27,Bauch::N,panxa,شکم
28,Nabel::N,llombrígol,ناف
29,Busen::N,pit,پستان
30,Busen::N,mama,پستان
31,Brust::N,pit,سینه
32,Schulter::N,espatlla,دوش
33,Schulter::N,espatlla,شانه
34,Arm::N,braç,بازو
35,Ellenbogen::N,colze,آرنج
36,Hand::N,mà,دست
37,Handfläche::N,palma,کف دست
38,Finger::N,dit,انگشت
39,Fingernagel::N,ungla,ناخن دست
40,Nagel[Anatomie]::N,ungla,ناخن
41,Zeh::N,dit del peu,انگشت پا
42,Fuß::N,peu,پا
43,Ferse::N,taló,پاشنه
44,Knie::N,genoll,زانو
45,Oberschenkel::N,cuixa,ران
46,Bein::N,cama,پا
47,Bein::N,cama,لنگ
48,Körper::N,cos,تن
49,Körper::N,cos,بدن
50,Haut::N,pell,پوست
51,Blut::N,sang,خون
52,Ader::N,vena,رگ
53,Sehne::N,tendó,زردپی
54,Knochen::N,os,استخوان
55,Gehirn::N,cervell,مخ
56,Gehirn::N,cervell,مغز
57,Herz::N,cor,دل
58,Herz::N,cor,قلب
59,Magen::N,estómac,معده
60,Leber::N,fetge,کبد
61,Atem::N,alè,نفس
62,Atem::N,hàlit,نفس
63,Hunger::N,fam,گرسنگی
64,Hunger::N,gana,گرسنگی
65,Träne::N,llàgrima,اشک
66,Geschmack::N,gust,مزه
67,Geschmack::N,sabor,مزه
68,Geruch::N,olor,بو
69,Schlaf::N,son,خواب
70,Traum::N,somni,رؤیا
71,Himmel::N,celm,فلک
72,Himmel::N,celm,آسمان
73,Sonne::N,sol,آفتاب
74,Sonne::N,sol,خورشید
75,Mond::N,lluna,ماه
76,Stern::N,estel,ستاره
77,Stern::N,estrella,ستاره
78,Luft::N,aire,هوا
79,Wind::N,vent,باد
80,Welle::N,ona,موج
81,Wasser::N,āigua,آب
82,Stein::N,pedra,سنگ
83,Boden::N,sòl,زمین
84,Erde::N,terra,خاک
85,Erde::N,terra,زمین
86,Staub::N,pols,گرد
87,Staub::N,pols,غبار
88,Rauch::N,fum,دود
89,Funke::N,guspira,جرقه
90,Funke::N,centella,جرقه
91,Feuer::N,foc,آتش
92,Licht::N,llum,نور
93,Licht::N,llum,روشنی
94,Schatten::N,ombra,سایه
95,Wetter::N,temps,هوا
96,Nebel::N,boira,مه
97,Wolke::N,núvol,ابر
98,Regen::N,pluja,باران
99,Schnee::N,neu,برف
100,Eis::N,gel,یخ
101,Eis::N,glaç,یخ
102,Frost::N,glaçada,یخبندان
103,Kälte::N,fred,سرما
104,Hitze::N,calor,گرما
105,Hitze::N,calor,حرارت
106,Raureif::N,gebre,برف ریزه
107,Regenbogen::N,arc iris,رنگین‌کمان
108,Donner::N,tro,رعد
109,Strömung::N,corrent,جریان
110,Tropfen::N,gota,قطره
111,Schaum::N,escuma,کف
112,Schmutz::N,brutícia,گل
113,Schmutz::N,brutícia,کثافت
114,See::N,llac,دریاچه
115,Sumpf::N,pantà,مرداب
116,Sumpf::N,pantà,باتلاق
117,Moor::N,pantà,باتلاق
118,Wiese::N,prat,چمن
119,Wiese::N,prada,چمن
120,Wald::N,bosc,جنگل
121,Hügel::N,puig,تل
122,Hügel::N,puig,تپه
123,Hügel::N,pujol,تل
124,Hügel::N,pujol,تپه
125,Anhöhe::N,turó,بلندی
126,Berg::N,muntanya,کوه
127,Gipfel::N,cim,قله
128,Höhle::N,cova,غار
129,Abhang::N,coster,سرازیری
130,Quelle::N,font,چشمه
131,Bach::N,riera,نهر
132,Fluss::N,riu,رود
133,Ufer::N,riba,ساحل
134,Ufer::N,riba,کرانه
135,Küste::N,costa,ساحل
136,Festland::N,terra ferma,خشکی
137,Meer::N,mar,دریا
