,Concept_ID,ps,el
0,Auge::N,سترګه,μάτι
1,Auge::N,سترګه,οφθαλμός
2,Ohr::N,غوږ,αυτί
3,Nase::N,پوزه,μύτη
4,Mund::N,خوله,στόμα
5,Zahn::N,غاښ,δόντι
6,Zunge::N,جبه,γλώσσα
7,Lippe::N,شونډه,χείλος
8,Wange::N,باړخو,παρειά
9,Wange::N,باړخو,μάγουλο
10,Gesicht::N,مخ,πρόσωπο
11,Stirn::N,تندی,μέτωπο
12,Stirn::N,وچولی,μέτωπο
13,Haar::N,وېښته,μαλλιά
14,Schnurrbart::N,برېت,μουστάκι
15,Bart::N,ږیره,γένια
16,Kinn::N,زنه,πιγούνι
17,Kiefer[Anatomie]::N,جامه,σαγόνι
18,Kehle::N,غاړه,λαρύγγι
19,Hals::N,غاړه,λαιμός
20,Genick::N,ورمېږ,σβέρκος
21,Kopf::N,سر,κεφάλι
22,Rücken::N,شا,ράχη
23,Bauch::N,نس,κοιλιά
24,Bauch::N,ګېډه,κοιλιά
25,Nabel::N,نوم,αφαλός
26,Busen::N,تی,στήθος
27,Brust::N,سینه,στήθος
28,Schulter::N,اوږه,ώμος
29,Arm::N,لاس,χέρι
30,Arm::N,لاس,μπράτςο
31,Ellenbogen::N,څنګل,αγκώνας
32,Hand::N,لاس,χέρι
33,Handfläche::N,ورغوی,παλάμη
34,Finger::N,ګوته,δάχτυλο
35,Fingernagel::N,نوک,νύχι
36,Nagel[Anatomie]::N,نوک,νύχι
37,Zeh::N,ګوته,δάχτυλο του ποδιού
38,Fuß::N,پښه,πόδι
39,Ferse::N,پونده,φτέρνα
40,Knie::N,زنګون,γόνατο
41,Oberschenkel::N,پتون,μηρός
42,Bein::N,پښه,πόδι
43,Körper::N,ځان,σώμα
44,Körper::N,ځان,κορμί
45,Haut::N,پوټکی,πετσί
46,Blut::N,وینه,αίμα
47,Ader::N,رګ,φλέβα
48,Sehne::N,پله,νεύρο
49,Sehne::N,پله,τένοντας
50,Knochen::N,هډوکی,οστό
51,Knochen::N,هډوکی,κόκκαλο
52,Gehirn::N,ماغزه,μυαλό
53,Gehirn::N,ماغزه,εγκέφαλος
54,Herz::N,زړه,καρδιά
55,Magen::N,معده,στομάχι
56,Leber::N,ينه,ήπαρ
57,Leber::N,ينه,συκωτί
58,Leber::N,ځیګر,ήπαρ
59,Leber::N,ځیګر,συκωτί
60,Atem::N,نفس,αναπνοή
61,Hunger::N,ولږه,πείνα
62,Träne::N,اوښکه,δάκρυ
63,Geschmack::N,مزه,γεύση
64,Geschmack::N,خوند,γεύση
65,Geruch::N,بوی,οσμή
66,Geruch::N,بوی,μυρωδία
67,Schlaf::N,خوب,ύπνος
68,Traum::N,خوب,όνειρο
69,Himmel::N,اسمان,ουρανός
70,Sonne::N,لمر,ήλιος
71,Mond::N,سپوږمۍ,σελήνη
72,Mond::N,سپوږمۍ,φεγγάρι
73,Stern::N,ستوری,άστρο
74,Stern::N,ستوری,αστέρι
75,Luft::N,هوا,αέρας
76,Wind::N,ورښ,αέρας
77,Wind::N,ورښ,άνεμος
78,Welle::N,موج,κύμα
79,Wasser::N,اوبه,νερό
80,Stein::N,ډبره,πέτρα
81,Boden::N,مځکه,χώμα
82,Erde::N,خاوره,γη
83,Staub::N,ګرد,σκόνη
84,Staub::N,خاوره,σκόνη
85,Rauch::N,دود,καπνός
86,Rauch::N,لوګی,καπνός
87,Funke::N,سپرغۍ,σπίθα
88,Funke::N,سپرغۍ,σπινθήρας
