,Concept_ID,ga,sah
0,Auge::N,súil,харах
1,Ohr::N,cluas,кулгаах
2,Nase::N,soc,мурун
3,Mund::N,béal,айах
4,Zahn::N,fiacail,тиис
5,Zunge::N,teanga,тыл
6,Lippe::N,liopa,уос
7,Wange::N,grua,иэдэс
8,Wange::N,leiceann,иэдэс
9,Gesicht::N,éadan,сирэй
10,Gesicht::N,aghaidh,сирэй
11,Stirn::N,baithis,сүүс
12,Stirn::N,clár éadain,сүүс
13,Haar::N,gruaig,баттах
14,Schnurrbart::N,croiméal,уос бытыга
15,Bart::N,féasóg,сэҥийэ бытыга
16,Kinn::N,smig,сэҥийэ
17,Kiefer[Anatomie]::N,giall,сыҥаах
18,Kehle::N,scornach,тамах
19,Kehle::N,scornach,күөмэй
20,Hals::N,muinéal,моой
21,Genick::N,baic,кэтэх
22,Kopf::N,ceann,бас
23,Rücken::N,droim,көҕүс
24,Bauch::N,bolg,ис
25,Nabel::N,imleacán,киин
26,Busen::N,cíoch,эмиий
27,Brust::N,brollach,түөс
28,Schulter::N,gualainn,сарын
29,Arm::N,lámh,илии
30,Ellenbogen::N,uillinn,тоҕонох
31,Hand::N,lámh,илии
32,Handfläche::N,bos,ытыс
33,Finger::N,méar,тарбах
34,Fingernagel::N,ionga,тыҥырах
35,Nagel[Anatomie]::N,ionga,тыҥырах
36,Zeh::N,ladhar,тарбах
37,Fuß::N,cos,уллуҥах
38,Fuß::N,troigh,уллуҥах
39,Ferse::N,sáil,тилэх
40,Knie::N,glúin,тобук
41,Knie::N,glúin,дьилбэк
42,Oberschenkel::N,ceathrú,уллук
43,Oberschenkel::N,ceathrú,өттүк
44,Bein::N,cos,атах
45,Körper::N,corp,бэйэ
46,Körper::N,colainn,бэйэ
47,Haut::N,cneas,тирии
48,Haut::N,craiceann,тирии
49,Blut::N,fuil,хаан
50,Sehne::N,teannán,иҥиир
51,Sehne::N,féitheog,иҥиир
52,Knochen::N,cnámh,уҥуох
53,Knochen::N,cnámh,уҥгуох
54,Gehirn::N,inchinn,мэйии
55,Herz::N,croí,сүрэх
56,Magen::N,bolg,куртах
57,Magen::N,goile,куртах
58,Leber::N,ae,быар
59,Atem::N,anáil,тыын
60,Hunger::N,ocras,аас
61,Träne::N,deoir,харах уута
62,Geschmack::N,blas,амтан
63,Geruch::N,boladh,сыт
64,Schlaf::N,suan,утуйуу
65,Schlaf::N,codladh,утуйуу
66,Traum::N,taibhreamh,түүл
67,Himmel::N,spéir,халлаан
68,Sonne::N,grian,күн
69,Mond::N,ré,ый
70,Mond::N,gealach,ый
71,Stern::N,rinn,сулус
72,Stern::N,réalta,сулус
73,Luft::N,aer,салгын
74,Wind::N,gaoth,тыал
75,Welle::N,tonn,долгун
76,Welle::N,tonn,балхаан
77,Wasser::N,uisce,уу
78,Stein::N,cloch,таас
79,Boden::N,talamh,сир
80,Erde::N,cré,буор
81,Erde::N,ithir,буор
82,Staub::N,dusta,быыл
83,Staub::N,deannach,быыл
84,Rauch::N,toit,буруо
85,Rauch::N,deatach,буруо
86,Funke::N,drithle,кыым
87,Feuer::N,tine,уот
88,Licht::N,solas,уот
89,Schatten::N,scáth,күлүк
90,Wetter::N,aimsir,күн-дьыл
91,Nebel::N,ceo,туман
92,Wolke::N,néal,былыт
93,Wolke::N,scamall,былыт
94,Regen::N,báisteach,самыыр
95,Regen::N,fearthainn,самыыр
96,Schnee::N,sneachta,хаар
97,Eis::N,oighear,муус
98,Frost::N,sioc,тымныы
99,Kälte::N,fuacht,тымныы
100,Hitze::N,teas,куйаас
101,Hitze::N,teocht,куйаас
102,Raureif::N,sioc bán,кырыа
103,Regenbogen::N,stua ceatha,кустук
104,Regenbogen::N,bogha báistí,кустук
105,Donner::N,toirneach,этиҥ
106,Strömung::N,sruth,сүүрүк
107,Tropfen::N,deoir,таммах
108,Tropfen::N,deoir,хааппыла
109,Schaum::N,cúr,күүгэн
110,Schmutz::N,salachar,кир
111,See::N,loch,күөл
112,Sumpf::N,portach,бадараан
113,Moor::N,caorán,дьэбэрэ
114,Moor::N,móinteán,дьэбэрэ
115,Wiese::N,cluain,ходуһа
116,Wiese::N,móinéar,ходуһа
117,Wald::N,coill,ойуур
118,Wald::N,foraois,ойуур
119,Hügel::N,ard,булгунньах
120,Anhöhe::N,ard,үрдэл
121,Anhöhe::N,ardán,үрдэл
122,Berg::N,sliabh,хайа
123,Gipfel::N,barr,чыпчаал
124,Gipfel::N,mullach,чыпчаал
125,Höhle::N,uaimh,хайа_хаспаҕа
126,Höhle::N,uaimh,көҥүс
127,Höhle::N,pluais,хайа_хаспаҕа
128,Höhle::N,pluais,көҥүс
129,Abhang::N,fána,эниэ
130,Quelle::N,foinse,дьүүктэ
131,Bach::N,sruthán,үрүйэ
132,Fluss::N,abhainn,өрүс
133,Ufer::N,bruach,биэрэк
134,Küste::N,cósta,кытыл
135,Küste::N,cladach,кытыл
136,Festland::N,míntír,кураанах сир
137,Meer::N,muir,муора
