,Concept_ID,tr,sv
0,Auge::N,göz,öga
1,Ohr::N,kulak,öra
2,Nase::N,burun,näsa
3,Mund::N,ağız,mun
4,Zahn::N,diş,tand
5,Zunge::N,dil,tunga
6,Lippe::N,dudak,läpp
7,Wange::N,yanak,kind
8,Gesicht::N,yüz,syn
9,Gesicht::N,yüz,ansikte
10,Stirn::N,alın,panna
11,Haar::N,saç,hår
12,Schnurrbart::N,bıyık,mustasch
13,Bart::N,sakal,skägg
14,Kinn::N,çene,haka
15,Kiefer[Anatomie]::N,çene,käke
16,Kehle::N,boğaz,strupe
17,Hals::N,boyun,hals
18,Hals::N,gerdan,hals
19,Genick::N,ense,nacke
20,Kopf::N,baş,huvud
21,Kopf::N,kafa,huvud
22,Rücken::N,arka,rygg
23,Bauch::N,karın,buk
24,Bauch::N,karın,mage
25,Nabel::N,göbek,navel
26,Busen::N,koyun,barm
27,Brust::N,göğüs,bröst
28,Schulter::N,omuz,skuldra
29,Arm::N,kol,arm
30,Ellenbogen::N,dirsek,armbåge
31,Hand::N,el,hand
32,Handfläche::N,avuç,handflata
33,Handfläche::N,el ayası,handflata
34,Finger::N,parmak,finger
35,Fingernagel::N,el tırnağı,fingernagel
36,Nagel[Anatomie]::N,tırnak,nagel
37,Zeh::N,ayak parmağı,tå
38,Fuß::N,ayak,fot
39,Ferse::N,topuk,häl
40,Knie::N,diz,knä
41,Oberschenkel::N,uyluk,lår
42,Bein::N,bacak,ben
43,Körper::N,vücut,kropp
44,Haut::N,cilt,hud
45,Haut::N,cilt,skinn
46,Blut::N,kan,blod
47,Ader::N,damar,åder
48,Sehne::N,kiriş,sena
49,Knochen::N,kemik,ben
50,Gehirn::N,beyin,hjärna
51,Herz::N,kalp,hjärta
52,Herz::N,yürek,hjärta
53,Magen::N,mide,mage
54,Leber::N,karaciğer,lever
55,Atem::N,nefes,anda
56,Atem::N,nefes,andedräkt
57,Hunger::N,açlık,svält
58,Hunger::N,açlık,hunger
59,Träne::N,gözyaşı,tår
60,Geschmack::N,tat,smak
61,Geschmack::N,lezzet,smak
62,Geruch::N,koku,lukt
63,Schlaf::N,uyku,sömn
64,Traum::N,düş,dröm
65,Traum::N,rüya,dröm
66,Himmel::N,gök,himmel
67,Sonne::N,güneş,sol
68,Mond::N,ay,måne
69,Stern::N,yıldız,stjärna
70,Luft::N,hava,luft
71,Wind::N,yel,vind
72,Wind::N,rüzgâr,vind
73,Welle::N,dalga,våg
74,Welle::N,dalga,bölja
75,Wasser::N,su,vatten
76,Stein::N,taş,sten
77,Boden::N,yer,mark
78,Boden::N,zemin,mark
79,Erde::N,toprak,jord
80,Staub::N,toz,damm
81,Rauch::N,duman,rök
82,Funke::N,kıvılcım,gnista
83,Feuer::N,ateş,eld
84,Licht::N,ışık,ljus
85,Schatten::N,gölge,skugga
86,Wetter::N,hava,väder
87,Nebel::N,pus,dimma
88,Nebel::N,pus,töcken
89,Wolke::N,bulut,sky
90,Wolke::N,bulut,moln
91,Regen::N,yağmur,regn
92,Schnee::N,kar,snö
93,Eis::N,buz,is
94,Frost::N,don,frost
95,Kälte::N,soğukluk,köld
96,Hitze::N,sıcaklık,hetta
97,Raureif::N,kırç,rimfrost
98,Regenbogen::N,gökkuşağı,regnbåge
99,Donner::N,gök gürlemesi,åska
100,Donner::N,gök gürlemesi,dunder
101,Strömung::N,akıntı,strömning
102,Strömung::N,cereyan,strömning
103,Tropfen::N,damla,dropper
104,Schaum::N,köpük,skum
105,Schmutz::N,çamur,lort
106,Schmutz::N,çamur,smuts
107,Schmutz::N,pislik,lort
108,Schmutz::N,pislik,smuts
109,See::N,göl,sjö
110,Sumpf::N,batak,träsk
111,Moor::N,cılgıt,myr
112,Moor::N,cılgıt,mosse
113,Wiese::N,çimen,äng
114,Wald::N,koru,skog
115,Wald::N,orman,skog
116,Hügel::N,tepe,höjd
117,Hügel::N,tepe,kulle
118,Anhöhe::N,tümsek,höjd
119,Anhöhe::N,tümsek,backe
120,Anhöhe::N,yükseklik,höjd
121,Anhöhe::N,yükseklik,backe
122,Berg::N,dağ,berg
123,Berg::N,dağ,fjäll
124,Gipfel::N,zirve,topp
125,Höhle::N,in,håla
126,Höhle::N,in,grotta
127,Höhle::N,mağara,håla
128,Höhle::N,mağara,grotta
129,Abhang::N,bayır,slänt
130,Abhang::N,bayır,sluttning
131,Quelle::N,pınar,källa
132,Quelle::N,kaynak,källa
133,Bach::N,çay,bäck
134,Bach::N,dere,bäck
