,Concept_ID,hy,lt
0,Auge::N,աչք,akis
1,Ohr::N,ականջ,ausis
2,Nase::N,քիթ,nosis
3,Mund::N,բերան,burna
4,Zahn::N,ատամ,dantis
5,Zunge::N,լեզու,liežuvis
6,Lippe::N,շրթունք,lūpa
7,Wange::N,այտ,žandas
8,Wange::N,այտ,skruostas
9,Wange::N,թուշ,žandas
10,Wange::N,թուշ,skruostas
11,Gesicht::N,դեմք,veidas
12,Stirn::N,ճակատ,kakta
13,Haar::N,մազ,plaukai
14,Schnurrbart::N,բեղ,ūsai
15,Bart::N,մորուք,barzda
16,Kinn::N,կզակ,smakras
17,Kiefer[Anatomie]::N,ծնոտ,žandikaulis
18,Kehle::N,կոկորդ,gerklė
19,Hals::N,վիզ,kaklas
20,Hals::N,պարանոց,kaklas
21,Genick::N,ծոծրակ,sprandas
22,Kopf::N,գլուխ,galva
23,Rücken::N,մեջք,nugara
24,Bauch::N,փոր,pilvas
25,Bauch::N,որովայն,pilvas
26,Nabel::N,պորտ,bamba
27,Busen::N,ծոց,krūtinė
28,Brust::N,կուրծք,krūtis
29,Schulter::N,ուս,petys
30,Arm::N,թեւ,ranka
31,Arm::N,բազուկ,ranka
32,Ellenbogen::N,արմունկ,alkūnė
33,Hand::N,ձեռք,ranka
34,Hand::N,ձեռք,plaštaka
35,Handfläche::N,ափ,delnas
36,Handfläche::N,ափ,plaštaka
37,Finger::N,մատ,pirštas
38,Fingernagel::N,եղունգ,nagas
39,Nagel[Anatomie]::N,եղունգ,nagas
40,Zeh::N,ոտքի մատ,pirštas
41,Fuß::N,ոտք,pėda
42,Ferse::N,գարշապար,kulnas
43,Knie::N,ծունկ,kelis
44,Oberschenkel::N,ազդր,kulšis
45,Oberschenkel::N,ազդր,šlaunis
46,Bein::N,ոտք,koja
47,Körper::N,մարմին,kūnas
48,Haut::N,մաշկ,oda
49,Blut::N,արյուն,kraujas
50,Ader::N,երակ,kraujagyslė
51,Sehne::N,ջիղ,sausgyslė
52,Sehne::N,ձգտան,sausgyslė
53,Knochen::N,ոսկոր,kaulas
54,Gehirn::N,խելք,smegenys
55,Herz::N,սիրտ,širdis
56,Magen::N,ստամոքս,skrandis
57,Leber::N,լյարդ,kepenys
58,Atem::N,շունչ,kvapas
59,Hunger::N,քաղց,badas
60,Hunger::N,քաղց,alkis
61,Träne::N,արտասուք,ašara
62,Geschmack::N,համ,skonis
63,Geschmack::N,բուրմունք,skonis
64,Geruch::N,հոտ,kvapas
65,Geruch::N,բուրում,kvapas
66,Schlaf::N,քուն,miegas
67,Traum::N,երազ,sapnas
68,Himmel::N,երկինք,dangus
69,Sonne::N,արեւ,saulė
