,Concept_ID,kl,os
0,Auge::N,isi,цӕст
1,Ohr::N,siut,хъус
2,Mund::N,paaq,дзых
3,Mund::N,qaneq,дзых
4,Zahn::N,kigut,дӕндаг
5,Zunge::N,oqaq,ӕвзаг
6,Lippe::N,qarloq,был
7,Wange::N,ersaq,рус
8,Wange::N,ersaq,уадул
9,Wange::N,ersaq,ӕхсӕрфарс
10,Gesicht::N,kiinaq,цӕсгом
11,Stirn::N,qaaq,ных
12,Haar::N,meqqoq,хил
13,Bart::N,umik,зачъе
14,Kinn::N,talloq,роцъо
15,Kiefer[Anatomie]::N,alleroq,ӕфсӕр
16,Kehle::N,malaq,хъуыр
17,Hals::N,qungaseq,къубал
18,Genick::N,pukusuk,къӕбут
19,Kopf::N,niaqoq,сӕр
20,Rücken::N,qimerlut,фӕсонтӕ
21,Bauch::N,naaq,гуыбын
22,Nabel::N,qalaseq,бикъ
23,Busen::N,iviangeq,дзидзи
24,Brust::N,iviangeq,риу
25,Schulter::N,ersik,уӕхск
26,Schulter::N,assaqqoq,уӕхск
27,Arm::N,taleq,цонг
28,Ellenbogen::N,ikusik,рæмбын
29,Hand::N,assak,къух
30,Handfläche::N,itumak,армытъӕпӕн
31,Finger::N,inuak,ӕнруылдз
32,Fingernagel::N,kikiak,ных
33,Nagel[Anatomie]::N,kukik,ных
34,Zeh::N,isigak,къух
35,Ferse::N,kimmik,зӕвӕт
36,Knie::N,seeqqoq,уӕраг
37,Oberschenkel::N,uppat,агъд
38,Oberschenkel::N,quttoraq,агъд
39,Bein::N,isigak,зӕнг
40,Körper::N,timi,буар
41,Haut::N,mattak,царм
42,Blut::N,aak,туг
43,Ader::N,taqaq,дадзин
44,Ader::N,taqaq,тугдадзин
45,Sehne::N,ujalu,хъиутæ
46,Sehne::N,ujalu,нуар
47,Sehne::N,ujaloq,хъиутæ
48,Sehne::N,ujaloq,нуар
49,Knochen::N,saanikut,стӕг
50,Gehirn::N,qarasaq,магъз
51,Herz::N,uummat,зӕрдӕ
52,Magen::N,aqajaroq,ахсӕн
53,Leber::N,tinguk,игæр
54,Atem::N,anerneq,улӕфт
55,Hunger::N,kaanneq,стонг
56,Träne::N,qia,цæссыг
57,Träne::N,qiak,цæссыг
58,Geschmack::N,qilanaartuut,ад
59,Geruch::N,tipi,смаг
60,Geruch::N,tipik,смаг
61,Traum::N,sinnattoq,фын
62,Traum::N,sinnattugaq,фын
63,Himmel::N,qilak,арв
64,Himmel::N,qilak,уӕларв
65,Sonne::N,seqineq,хур
66,Mond::N,qaammat,мӕй
67,Stern::N,ulloriaq,стъалы
68,Luft::N,silaannaq,уӕлдӕф
69,Wind::N,anori,дымгӕ
70,Wind::N,anorsarik,дымгӕ
71,Welle::N,aalappaa,уылӕн
72,Wasser::N,imeq,дон
73,Stein::N,ujarak,дур
74,Boden::N,nateq,зӕхх
75,Erde::N,issoq,сыджыт
76,Staub::N,pujualanerit,рыг
77,Staub::N,pujoralanerit,рыг
78,Rauch::N,iseq,фӕздӕг
79,Rauch::N,pujoq,фӕздӕг
80,Funke::N,illoorneq,цӕхӕр
81,Feuer::N,inneq,зынг
82,Licht::N,qaamaneq,рухс
83,Schatten::N,tarraq,аууон
84,Wetter::N,sila,боныхъӕд
85,Nebel::N,pujoq,мигъ
86,Wolke::N,nuia,ӕврагъ
87,Regen::N,sialuk,уарын
88,Schnee::N,aput,мит
89,Eis::N,siku,их
90,Frost::N,issi,ихæн
91,Frost::N,issik,ихæн
92,Kälte::N,issi,уазал
93,Hitze::N,kianneq,ӕнтӕф
94,Hitze::N,kiassuseq,ӕнтӕф
95,Raureif::N,kaneq,халас
96,Regenbogen::N,neriusaaq,арвырон
97,Regenbogen::N,neriusaaq,арвырдын
98,Donner::N,kalleq,æрвнæрын
99,Tropfen::N,kuseriarneq,æртах
100,Schaum::N,qapuk,фынк
101,Schmutz::N,minguk,цъыф
102,See::N,taseq,цад
103,Sumpf::N,maqulluk,цъыфдзаст
104,Wiese::N,masarsuk,уыгӕрдӕн
105,Hügel::N,qattuneq,обау
106,Hügel::N,qattuneq,къуыбыр
107,Hügel::N,majuariaq,обау
108,Hügel::N,majuariaq,къуыбыр
109,Hügel::N,majorajaaq,обау
110,Hügel::N,majorajaaq,къуыбыр
111,Hügel::N,qaqqannguaq,обау
112,Hügel::N,qaqqannguaq,къуыбыр
113,Berg::N,qaqqaq,хох
114,Höhle::N,qaarusuk,лӕгӕт
115,Abhang::N,ippik,къул
116,Abhang::N,sivinganeq,къул
117,Abhang::N,sivingajaaq,къул
118,Abhang::N,kussangajaaq,къул
119,Bach::N,kuunnguaq,мӕсчъыдон
120,Fluss::N,kuuk,дон
121,Fluss::N,kuuk,цӕугӕдон
122,Ufer::N,sissap sinaa,был
123,Küste::N,sineriak,донбыл
124,Meer::N,imaq,денджыз
125,Bucht::N,ikeq,донбакæлæн
126,Bucht::N,kangerluk,донбакæлæн
127,Bucht::N,kangerliumaneq,донбакæлæн
128,Insel::N,qeqertaq,сакъадах
129,Blume::N,naasoq,дидинӕг
130,Gras::N,ivigaq,кӕрдӕг
131,Wurzel::N,niulutaq,уидаг
132,Baum::N,orpik,бӕлас
133,Stamm::N,kanaartaq,хӕтӕл
134,Rinde::N,ameraq,цъар
135,Ast::N,avalequt,арх
136,Zweig::N,avalequt,къалиу
137,Blatt::N,pilutaq,сыф
138,Birke::N,patitsit,бæрз
139,Weide[Baum]::N,palleq,хӕрис
140,Tanne::N,orsuerneq,наз
141,Horn::N,nassuk,сыкъа
142,Feder::N,suluk,сис
143,Fell::N,ameq,царм
144,Flügel::N,suluk,базыр
145,Flügel::N,isaroq,базыр
146,Klaue::N,kukik,ных
147,Kralle::N,kukik,дзӕмбы
148,Schwanz::N,pamioq,къӕдзил
149,Schwanz::N,paperuusaq,къӕдзил
150,Ei::N,mannik,айк
151,Nest::N,ullut,ахстон
152,Bau::N,ini,хуынкъ
153,Tier::N,uumasoq,сырд
154,Tier::N,uumasoq,цӕрӕгой
155,Herde::N,unguukkat,дзуг
156,Herde::N,unguukkat,рӕгъау
157,Kuh::N,ussik,хъуг
158,Bulle::N,angukulak,гал
159,Bulle::N,anguteralak,гал
160,Bulle::N,angutikulooq,гал
161,Schaf::N,sava,фыс
162,Schwein::N,puuluki,хуы
163,Hund::N,qimmeq,куыдз
164,Katze::N,puisaaq,гӕды
165,Bär::N,allaq,арс
166,Eichhörnchen::N,sissinnguaq,æхсæрæг
167,Fuchs::N,terianniaq,рувас
168,Hase::N,ukaleq,тæрхъус
169,Maus::N,teriannguaq,мыст
170,Wolf::N,amaroq,бирӕгъ
171,Vogel::N,timmiaq,цъиу
172,Vogel::N,timmiaq,маргъ
173,Huhn::N,kukkukooq,карк
174,Huhn::N,marloraaqaaq,карк
175,Hahn::N,kiasiusaq,уасӕг
176,Gans::N,nerleq,хъаз
177,Adler::N,nattoralik,цӕргӕс
178,Eule::N,uppik, уыг
179,Eule::N,uppik,сидахъ
180,Kranich::N,qorlorfik,зырнæг
181,Kranich::N,qorlorfik,хърихъупп
182,Krähe::N,tuluatsiaq,халон
183,Kuckuck::N,kukkooq,гаккук
184,Schwan::N,qussuk,доныхъаз
185,Fisch::N,aalisagaq,кӕсаг
186,Schlange[Tier]::N,pulateriarsuk,калм
187,Schlange[Tier]::N,pulateriaarsuk,калм
188,Spinne::N,aasiaq,хӕлуарӕг
189,Spinne::N,nissavaarsuk,хӕлуарӕг
190,Ameise::N,uniaaluk,мæлдзыг
191,Laus::N,kumak,сыст
192,Mücke::N,ippernaq,къогъо
193,Fliege::N,ippernaq,бындз
194,Schmetterling::N,paluaq,гæлæбу
195,Schmetterling::N,pakkaluaq,гæлæбу
196,Schmetterling::N,utsuppaluaq,гæлæбу
197,Schmetterling::N,taqaleqisaaq,гæлæбу
198,Beere::N,paarmaq,гагадыргъ
199,Beere::N,paarngaq,гагадыргъ
200,Apfel::N,iipili,фӕткъуы
201,Pilz::N,anngiusaq,зокъо
202,Pilz::N,anngiusaq,къозо
203,Zwiebel::N,uanitsoq,хъӕдындз
204,Saat::N,naatsiiassaq,тауинаг
205,Saat::N,naatsiiassaq,мыггаг
206,Korn::N,maannineq,мыггаг
207,Korn::N,maannineq,тауинаг
208,Schale::N,niutsivik,цъар
209,Schale::N,ilulissaq qaartussaq,цъар
210,Grube::N,itersaq,урм
211,Grube::N,itersaq,къахт
212,Grube::N,itersaq,дзыхъхъ
213,Falle::N,pualavoq,цъысым
214,Falle::N,pualavoq,къӕппӕг
215,Schlinge::N,orseq,цасм
216,Schlinge::N,norloq,цасм
217,Spur::N,tumaa,фæд
218,Asche::N,arsat,фӕнык
219,Asche::N,arsat,ӕртхутӕг
220,Dreck::N,minguk,цъыф
221,Eisen::N,savimineq,ӕфсӕйнаг
222,Eisen::N,saffiugassaq,ӕфсӕйнаг
223,Gold::N,kuulti,сыгъзӕрин
224,Silber::N,siilviuvoq,ӕвзист
225,Kohle::N,aamarsuit aamaruutissat,ӕвзалы
226,Glas::N,igalaaq,авг
227,Glas::N,imertarfik,авг
228,Glas::N,igalaamineq,авг
229,Lehm::N,marraq,ӕлыг
230,Sand::N,sioqqat,змис
231,Mensch::N,inuk,лӕг
232,Mensch::N,inuk,адӕймаг
233,Mensch::N,inuk,удгоймаг
234,Mensch::N,silamiu,лӕг
235,Mensch::N,silamiu,адӕймаг
236,Mensch::N,silamiu,удгоймаг
237,Mann::N,angut,лӕг
238,Mann::N,angut,нӕлгоймаг
239,Frau::N,arnaq,сылгоймаг
240,Kind::N,meeraq,сывӕллон
241,Junge::N,nukappiaraq,лӕппу
242,Mädchen::N,arnannguaq,чызг
243,Familie::N,ilaqutakka,бинонтæ
244,Familie::N,ilaqutariit,бинонтæ
245,Großvater::N,aatak,фыдыфыд
246,Großvater::N,aatak,мадыфыд
247,Großmutter::N,aanaq,фыды мад
248,Großmutter::N,aanaq,мады мад
249,Eltern::N,angajoqqaat,ныййарджытæ
250,Vater::N,ataata,фыд
251,Vater::N,ataataq,фыд
252,Mutter::N,anaana,мад
253,Sohn::N,erneq,фырт
254,Tochter::N,panik,чызг
255,Bruder::N,ani,ӕфсымӕр
256,Bruder::N,aqqaluk,ӕфсымӕр
257,Bruder::N,qatanngut,ӕфсымӕр
258,Schwester::N,naja,хо
259,Schwester::N,aleqa,хо
260,Schwester::N,qatanngut,хо
261,Onkel::N,akkak,фыдыфсымӕр
262,Tante::N,aja,мадыхо
263,Tante::N,ajak,мадыхо
264,Tante::N,atsak,мадыхо
265,Ehemann::N,ui,мой
266,Ehefrau::N,nuliaq,ус
267,Freude::N,tipaatsussuseq,цин
268,Freude::N,tipaatsussuseq,циндзинад
269,Gelächter::N,illaq,худын
270,Gelächter::N,illaq,худт
271,Gelächter::N,illaq,худæг
272,Glück::N,usornaat,амонд
273,Glück::N,usornarsuseq,амонд
274,Wunsch::N,kissaat,бӕллиц
275,Lust::N,illigussuseq,монц
276,Lust::N,piummaseq,монц
277,Geist::N,anerneq,уд
278,Geist::N,toornaq,уд
279,Gedanke::N,isumassaq,хъуыды
280,Gedächtnis::N,eqqaamannissuseq,мысæн
281,Gedächtnis::N,eqqaamannissuseq,мысын
282,Gedächtnis::N,eqqaamannissuseq,зæрдылдарын
283,Verstand::N,isuma,зонд
284,Verstand::N,sianissut,зонд
285,Verstand::N,misigissut,зонд
286,Verstand::N,sianissuseq,зонд
287,Verstand::N,silaqassuseq,зонд
288,Sinn::N,isuma,нысаниуæг
289,Grund::N,patsit,ӕфсон
290,Wahrheit::N,sallusuissut,æцæг
291,Märchen::N,oqalualaarut,аргъау
292,Märchen::N,oqaluasaaq,аргъау
293,Erzählung::N,oqaluttuaq,радзырд
294,Nachricht::N,oqaassut,уац
295,Nachricht::N,oqqersuut,уац
296,Neuigkeit::N,tusarnartaq,хабар
297,Name::N,ateq,ном
298,Rätsel::N,nalorsitsaarut,уыци-уыци
299,Rätsel::N,nalorsitsaarut,базон-базон
300,Rede::N,oqaluuseq,раныхас
301,Sprache::N,oqaatsit,ӕвзаг
302,Stimme::N,erinaq,хъӕлӕс
303,Stimme::N,qarluuseq,хъӕлӕс
304,Wort::N,oqaasii,дзырд
305,Zeichen::N,nalunaaqqut,нысан
306,Ruf::N,qaaqqussut,сидт
