,Concept_ID,hy,fa
72,Sonne::N,արեւ,آفتاب
73,Sonne::N,արեւ,خورشید
74,Mond::N,լուսին,ماه
75,Stern::N,աստղ,ستاره
76,Luft::N,օդ,هوا
77,Wind::N,քամի,باد
78,Welle::N,ալիք,موج
79,Wasser::N,ջուր,آب
80,Stein::N,քար,سنگ
81,Boden::N,գետին,زمین
82,Erde::N,հող,خاک
83,Erde::N,հող,زمین
84,Staub::N,փոշի,گرد
85,Staub::N,փոշի,غبار
86,Rauch::N,ծուխ,دود
87,Funke::N,կայծ,جرقه
88,Feuer::N,կրակ,آتش
89,Feuer::N,հրդեհ,آتش
90,Licht::N,լույս,نور
91,Licht::N,լույս,روشنی
92,Schatten::N,ստվեր,سایه
93,Wetter::N,եղանակ,هوا
94,Nebel::N,մեգ,مه
95,Nebel::N,մառախուղ,مه
96,Wolke::N,ամպ,ابر
97,Regen::N,անձրև,باران
98,Schnee::N,ձյուն,برف
99,Eis::N,սառույց,یخ
100,Frost::N,սառնամանիք,یخبندان
101,Kälte::N,դող,سرما
102,Hitze::N,շոգ,گرما
103,Hitze::N,շոգ,حرارت
104,Raureif::N,ցօղեղեամ,برف ریزه
105,Regenbogen::N,ծիածան,رنگین‌کمان
106,Donner::N,որոտ,رعد
107,Strömung::N,հոսանք,جریان
108,Tropfen::N,կաթիլ,قطره
109,Schaum::N,փրփուր,کف
110,Schmutz::N,կեղտ,گل
111,Schmutz::N,կեղտ,کثافت
112,See::N,լիճ,دریاچه
113,Sumpf::N,ճահիճ,مرداب
114,Sumpf::N,ճահիճ,باتلاق
115,Moor::N,ճահիճ,باتلاق
116,Wiese::N,մարգագետին,چمن
117,Wald::N,անտառ,جنگل
118,Hügel::N,բլուր,تل
119,Hügel::N,բլուր,تپه
120,Anhöhe::N,բարձունք,بلندی
121,Berg::N,լեռ,کوه
122,Gipfel::N,գագաթ,قله
123,Gipfel::N,կատար,قله
124,Höhle::N,քարայր,غار
125,Abhang::N,լանջ,سرازیری
126,Abhang::N,զառիվայր,سرازیری
127,Quelle::N,աղբյուր,چشمه
128,Bach::N,վտակ,نهر
129,Fluss::N,գետ,رود
130,Ufer::N,ծովափ,ساحل
131,Ufer::N,ծովափ,کرانه
132,Küste::N,ափ,ساحل
133,Küste::N,ծովափ,ساحل
134,Festland::N,ցամաք,خشکی
135,Meer::N,ծով,دریا
136,Bucht::N,հաչիւն,خلیج
137,Insel::N,վղզի,جزیره
138,Blume::N,ծաղիկ,گل
139,Gras::N,խոտ,علف
140,Wurzel::N,արմատ,ریشه
141,Baum::N,ծառ,درخت
142,Stamm::N,իրան,تنه
143,Rinde::N,կեղեւ,توژ
144,Rinde::N,կեղեւ,پوست
145,Rinde::N,հաչոց,توژ
146,Rinde::N,հաչոց,پوست
147,Ast::N,ճյուղ,شاخه
148,Zweig::N,ճյուղ,شاخه
149,Blatt::N,տերեւ,برگ
150,Birke::N,ցարասի,غان
151,Kiefer[Baum]::N,սոճի,کاج
152,Weide[Baum]::N,ուռենի,بید
153,Tanne::N,եղեւին,صنوبر
154,Feder::N,փետուր,پر
155,Fell::N,մորթի,خز
156,Flügel::N,թեւ,پر
157,Flügel::N,թեւ,بال
