,Concept_ID,ja,pl
0,Auge::N,目,oko
1,Ohr::N,耳,ucho
2,Nase::N,鼻,nos
3,Mund::N,口,usta
4,Zahn::N,歯,ząb
5,Zunge::N,舌,język
6,Lippe::N,唇,warga
7,Wange::N,頬,policzek
8,Gesicht::N,顔,twarz
9,Stirn::N,額,czoło
10,Haar::N,髪,włos
11,Haar::N,髪,włosy
12,Schnurrbart::N,口髭,wąsy
13,Bart::N,髭,broda
14,Kinn::N,顎,podbródek
15,Kiefer[Anatomie]::N,顎,czeluść
16,Kehle::N,喉,gardło
17,Hals::N,首,szyja
18,Genick::N,首,kark
19,Kopf::N,頭,głowa
20,Rücken::N,背中,plecy
21,Rücken::N,背中,grzbiet
22,Bauch::N,腹,brzuch
23,Bauch::N,お腹,brzuch
24,Nabel::N,へそ,pępek
25,Busen::N,乳房,biust
26,Brust::N,胸,pierś
27,Schulter::N,肩,bark
28,Schulter::N,肩,ramię
29,Arm::N,腕,ręka
30,Arm::N,腕,ramię
31,Ellenbogen::N,肘,łokieć
32,Hand::N,手,dłoń
33,Handfläche::N,手のひら,dłoń
34,Finger::N,指,palec
35,Fingernagel::N,爪,paznokieć
36,Nagel[Anatomie]::N,爪,paznokieć
37,Zeh::N,足の指,palec
38,Fuß::N,足,stopa
39,Ferse::N,かかと,pięta
40,Knie::N,膝,kolano
41,Oberschenkel::N,上腿,udo
42,Bein::N,足,noga
43,Körper::N,体,ciało
44,Haut::N,皮膚,skóra
45,Blut::N,血,krew
46,Ader::N,血管,żyła
47,Sehne::N,腱,ścięgno
48,Knochen::N,骨,kość
49,Gehirn::N,脳,mózg
50,Herz::N,心,serce
51,Herz::N,心臓,serce
52,Magen::N,胃,żołądek
53,Leber::N,肝臓,wątroba
54,Atem::N,息,dech
55,Atem::N,息,oddech
56,Atem::N,呼吸,dech
57,Atem::N,呼吸,oddech
58,Hunger::N,空腹,głód
59,Träne::N,涙,łza
60,Geschmack::N,味,smak
61,Geruch::N,匂い,woń
62,Geruch::N,匂い,zapach
63,Schlaf::N,睡眠,sen
64,Traum::N,夢,sen
65,Himmel::N,空,niebo
66,Sonne::N,太陽,słońce
67,Mond::N,月,księżyc
68,Stern::N,星,gwiazda
69,Luft::N,空気,powietrze
70,Wind::N,風,wiatr
71,Welle::N,波,fala
72,Wasser::N,水,woda
73,Stein::N,石,kamień
74,Boden::N,土地,grunt
75,Erde::N,土,ziemia
76,Staub::N,埃,pył
77,Staub::N,埃,kurz
78,Rauch::N,煙,dym
79,Funke::N,火花,iskra
80,Feuer::N,火,ogień
81,Licht::N,光,światło
82,Schatten::N,陰,cień
83,Wetter::N,天気,pogoda
84,Nebel::N,霧,mgła
85,Wolke::N,雲,obłok
86,Wolke::N,雲,chmura
87,Regen::N,雨,deszcz
88,Schnee::N,雪,śnieg
89,Eis::N,氷,lód
90,Frost::N,霜,mróz
91,Kälte::N,寒さ,chłód
92,Hitze::N,暑さ,gorąco
93,Raureif::N,霧氷,szron
94,Regenbogen::N,虹,tęcza
95,Donner::N,雷,grzmot
96,Strömung::N,流れ,nurt
97,Tropfen::N,滴,kropla
98,Schaum::N,泡,piana
99,Schmutz::N,汚れ,brud
100,See::N,湖,jezioro
101,Sumpf::N,沼,bagno
102,Moor::N,湿原,bagno
103,Wiese::N,草原,łąka
104,Wald::N,森,las
105,Hügel::N,丘,pagórek
106,Anhöhe::N,高み,wzgórze
107,Berg::N,山,góra
108,Gipfel::N,頂上,szczyt
109,Gipfel::N,頂上,wierzchołek
110,Höhle::N,洞窟,pieczara
111,Abhang::N,斜面,stok
