,Concept_ID,lt,hi
0,Auge::N,akis,आँख
1,Auge::N,akis,चक्षु
2,Ohr::N,ausis,कान
3,Ohr::N,ausis,कर्ण
4,Nase::N,nosis,नाक
5,Nase::N,nosis,नासा
6,Mund::N,burna,मुख
7,Mund::N,burna,मुँह
8,Zahn::N,dantis,दंत
9,Zahn::N,dantis,दाँत
10,Zunge::N,liežuvis,जीभ
11,Zunge::N,liežuvis,ज़बान
12,Zunge::N,liežuvis,जिह्वा
13,Lippe::N,lūpa,ओंठ
14,Lippe::N,lūpa,होंठ
15,Wange::N,žandas,गाल
16,Wange::N,žandas,कपोल
17,Wange::N,skruostas,गाल
18,Wange::N,skruostas,कपोल
19,Gesicht::N,veidas,मुँह
20,Gesicht::N,veidas,चेहरा
21,Stirn::N,kakta,माथा
22,Stirn::N,kakta,मस्तक
23,Haar::N,plaukai,बाल
24,Schnurrbart::N,ūsai,मूँछें
25,Bart::N,barzda,दाढ़ी
26,Kinn::N,smakras,चिबुक
27,Kiefer[Anatomie]::N,žandikaulis,जबड़ा
28,Kehle::N,gerklė,गला
29,Hals::N,kaklas,गला
30,Hals::N,kaklas,गरदन
31,Genick::N,sprandas,गरदन
32,Genick::N,sprandas,ग्रीवा
33,Kopf::N,galva,सिर
34,Kopf::N,galva,शीर्ष
35,Rücken::N,nugara,पीठ
36,Bauch::N,pilvas,उदर
37,Nabel::N,bamba,नाभि
38,Nabel::N,bamba,ढोंढी
39,Busen::N,krūtinė,कुच
40,Busen::N,krūtinė,स्तन
41,Brust::N,krūtis,वक्ष
42,Schulter::N,petys,कंधा
43,Schulter::N,petys,स्कंध
44,Arm::N,ranka,बाँह
45,Arm::N,ranka,बाज़ू
46,Ellenbogen::N,alkūnė,कुहनी
47,Hand::N,ranka,हाथ
48,Hand::N,ranka,हस्त
49,Hand::N,plaštaka,हाथ
50,Hand::N,plaštaka,हस्त
51,Handfläche::N,delnas,हथेली
52,Handfläche::N,plaštaka,हथेली
53,Finger::N,pirštas,उँगली
54,Finger::N,pirštas,अँगुली
55,Fingernagel::N,nagas,नख
56,Fingernagel::N,nagas,नाख़ून
57,Nagel[Anatomie]::N,nagas,नख
58,Nagel[Anatomie]::N,nagas,नाख़ून
59,Zeh::N,pirštas,उँगली
60,Zeh::N,pirštas,पाँव की उँगली
61,Fuß::N,pėda,चरण
62,Fuß::N,pėda,पाँव
63,Ferse::N,kulnas,एड़ी
64,Knie::N,kelis,जानु
65,Knie::N,kelis,घुटना
66,Oberschenkel::N,kulšis,उरु
67,Oberschenkel::N,šlaunis,उरु
68,Bein::N,koja,टाँग
69,Körper::N,kūnas,तन
70,Körper::N,kūnas,देह
