,Concept_ID,sah,se
0,Auge::N,харах,tjelmie
1,Auge::N,харах,tjalmme
2,Auge::N,харах,čalbmi
3,Auge::N,харах,čalme
4,Auge::N,харах,čâ´lmm
5,Auge::N,харах,ча̄лльм
6,Ohr::N,кулгаах,bieljie
7,Ohr::N,кулгаах,biellje
8,Ohr::N,кулгаах,beallji
9,Ohr::N,кулгаах,pelji
10,Ohr::N,кулгаах,pe´llj
11,Ohr::N,кулгаах,пе̄лльй
12,Nase::N,мурун,njuenie
13,Nase::N,мурун,njunnje
14,Nase::N,мурун,njunni
15,Nase::N,мурун,njuṇe
16,Nase::N,мурун,njuu´nn
17,Nase::N,мурун,нюннҍ
18,Mund::N,айах,njaelmie
19,Mund::N,айах,njálmme
20,Mund::N,айах,njálbmi
21,Mund::N,айах,njälmi
22,Mund::N,айах,njä´lmm
23,Mund::N,айах,ня̄лльм
24,Zahn::N,тиис,baenie
25,Zahn::N,тиис,bádne
26,Zahn::N,тиис,bátni
27,Zahn::N,тиис,pääṇi
28,Zahn::N,тиис,pää´nn
29,Zahn::N,тиис,па̄ннҍ
30,Zunge::N,тыл,njoektjeme
31,Zunge::N,тыл,njuovtjav
32,Zunge::N,тыл,njuovčča
33,Zunge::N,тыл,njuovčâ
34,Zunge::N,тыл,njuhččâm
35,Zunge::N,тыл,нюхчем
36,Lippe::N,уос,bangseme
37,Lippe::N,уос,njálmmerabdda
38,Lippe::N,уос,bavssa
39,Lippe::N,уос,poovsâ
40,Lippe::N,уос,põõus
41,Lippe::N,уос,пэ̄кс
42,Wange::N,иэдэс,skiehrie
43,Wange::N,иэдэс,nierra
44,Wange::N,иэдэс,muohtu
45,Wange::N,иэдэс,nieṛâ
46,Wange::N,иэдэс,njiõrr
47,Wange::N,иэдэс,нӣрр
48,Gesicht::N,сирэй,ååredæjja
49,Gesicht::N,сирэй,muohto
50,Gesicht::N,сирэй,muođut
51,Gesicht::N,сирэй,ámadadju
52,Gesicht::N,сирэй,muáđuh
53,Gesicht::N,сирэй,muâđ
54,Gesicht::N,сирэй,ка̄ссв
55,Stirn::N,сүүс,gaalloe
56,Stirn::N,сүүс,gállo
57,Stirn::N,сүүс,gállu
58,Stirn::N,сүүс,kállu
59,Stirn::N,сүүс,käll
60,Stirn::N,сүүс,вуэххьц
61,Haar::N,баттах,voepte
62,Haar::N,баттах,vuoppta
63,Haar::N,баттах,vuokta
64,Haar::N,баттах,vuop'tâ
65,Haar::N,баттах,vuõpt
66,Haar::N,баттах,вӯппт
67,Schnurrbart::N,уос бытыга,bijjie-skaavtjoe
