,Concept_ID,ru,ko
0,Auge::N,глаз,눈
1,Ohr::N,ухо,귀
2,Nase::N,нос,코
3,Mund::N,рот,입
4,Zahn::N,зуб,이
5,Zunge::N,язык,혀
6,Lippe::N,губа,입술
7,Wange::N,щека,뺨
8,Gesicht::N,лицо,얼굴
9,Stirn::N,лоб,이마
10,Haar::N,волос,털
11,Haar::N,волосы,털
12,Schnurrbart::N,ус,윗수몀
13,Schnurrbart::N,ус,코밑수염
14,Schnurrbart::N,усы,윗수몀
15,Schnurrbart::N,усы,코밑수염
16,Bart::N,борода,수엄
17,Kinn::N,подбородок,아래턱
18,Kiefer[Anatomie]::N,челюсть,턱
19,Kehle::N,горло,인후
20,Hals::N,шея,목
21,Genick::N,затылок,먹덜이
22,Kopf::N,голова,머리
23,Rücken::N,спина,든
24,Bauch::N,живот,배
25,Nabel::N,пупок,배꼽
26,Busen::N,женская грудь,가슴속
27,Brust::N,грудь,가슴
28,Schulter::N,плечо,어깨
29,Arm::N,рука,팔
30,Ellenbogen::N,локоть,팔쿰치
31,Hand::N,кисть,손
32,Handfläche::N,ладонь,손바닥
33,Finger::N,палец,속가락
34,Fingernagel::N,ноготь,손톱
35,Nagel[Anatomie]::N,ноготь,손톱
36,Zeh::N,палец,발가락
37,Fuß::N,ступня,발
38,Ferse::N,пята,발꿈치
39,Ferse::N,пятка,발꿈치
40,Knie::N,колено,무릎
41,Oberschenkel::N,бедро,허벅다리
42,Bein::N,нога,다리
43,Körper::N,тело,구간
44,Haut::N,кожа,살갗
45,Blut::N,кровь,피
46,Ader::N,вена,정맥
47,Ader::N,сосуд,정맥
48,Sehne::N,жила,현
49,Sehne::N,тетива,현
50,Sehne::N,сухожилие,현
51,Knochen::N,кость,뼈
52,Gehirn::N,мозг,뇌
53,Gehirn::N,мозг,뇌수
54,Herz::N,сердце,염통
55,Magen::N,желудок,위
56,Leber::N,печень,간
57,Atem::N,дух,기식
58,Atem::N,дыхание,기식
59,Hunger::N,голод,공복
60,Träne::N,слеза,눈물
61,Geschmack::N,вкус,기호
62,Geruch::N,запах,냄새
63,Schlaf::N,сон,수면
64,Traum::N,сновидение,쿰
65,Himmel::N,небо,하늘
66,Sonne::N,солнце,해
67,Mond::N,луна,달
68,Stern::N,звезда,별
69,Luft::N,воздух,동준
70,Luft::N,воздух,가스채
71,Wind::N,ветер,바람
72,Welle::N,волна,물결
73,Wasser::N,вода,물
74,Stein::N,камень,돌
75,Boden::N,почва,바닥
76,Erde::N,земля,흙
77,Staub::N,пыль,먼지
78,Rauch::N,дым,연기
79,Funke::N,искра,불티
80,Feuer::N,огонь,불
81,Licht::N,свет,불
82,Schatten::N,тень,어스레함
83,Wetter::N,погода,기상
84,Nebel::N,туман,안개
85,Wolke::N,облако,구름
86,Regen::N,дождь,비
87,Schnee::N,снег,눈
88,Eis::N,лед,얼음
89,Frost::N,мороз,혹한
90,Kälte::N,холод,추위
91,Kälte::N,холод,차가움
92,Hitze::N,жара,고온
93,Hitze::N,жара,더위
94,Raureif::N,иней,
95,Regenbogen::N,радуга,무지개
96,Donner::N,гром,뇌명
97,Strömung::N,течение,유동
98,Tropfen::N,капля,물방울
99,Schaum::N,пена,포말
100,Schmutz::N,грязь,때
101,See::N,озеро,호수
102,Sumpf::N,топь,습지
103,Moor::N,болото,저습지
104,Wiese::N,луг,목초지
105,Wald::N,лес,숲
106,Hügel::N,холм,언덕
107,Anhöhe::N,возвышенность,언덕
108,Berg::N,гора,산
109,Gipfel::N,вершина,졀졍
110,Höhle::N,пещера,공동
111,Abhang::N,склон,몰매
112,Quelle::N,источник,근원
113,Bach::N,ручей,내
114,Fluss::N,река,강
115,Ufer::N,берег,강변
116,Ufer::N,берег,바닷가
117,Küste::N,побережье,해변
118,Küste::N,побережье,해변가
119,Festland::N,суша,본토
120,Meer::N,море,바다
121,Bucht::N,бухта,협만
122,Insel::N,остров,섬
123,Blume::N,цветок,꽃
124,Gras::N,трава,풀
125,Wurzel::N,корень,뿌리
126,Baum::N,дерево,나무
127,Stamm::N,ствол,대
128,Rinde::N,кора,나무껍질
129,Ast::N,сук,가지
130,Zweig::N,ветвь,가지
131,Blatt::N,лист,잎
132,Birke::N,береза,자작나무
133,Kiefer[Baum]::N,сосна,소나무
134,Weide[Baum]::N,ива,쉬양버들
135,Tanne::N,ель,전나무
136,Horn::N,рог,뿔
137,Feder::N,перо,깃털
138,Fell::N,шкура,피혁모피
139,Flügel::N,крыло,날개
140,Klaue::N,коготь,갈고리 발톺
141,Kralle::N,лапа,발툭
142,Schwanz::N,хвост,꼬리
143,Ei::N,яйцо,알
144,Nest::N,гнездо,보금자리
145,Bau::N,нора,굴
146,Tier::N,животное,짐승
147,Herde::N,стадо,가축의떼
148,Kuh::N,корова,암소
149,Bulle::N,бык,황소
150,Pferd::N,лошадь,말
151,Schaf::N,овца,양
152,Schwein::N,свинья,돼지
153,Hund::N,собака,개
154,Katze::N,кошка,고양이
155,Bär::N,медведь,콤
156,Eichhörnchen::N,белка,다람쥐
157,Elch::N,лось,고라니
158,Fuchs::N,лиса,여우
159,Hase::N,заяц,토끼
160,Maus::N,мышь,쥐
161,Wolf::N,волк,늑대
162,Vogel::N,птица,새
163,Schwarm::N,стая,뗴
164,Huhn::N,курица,암탉
165,Hahn::N,петух,수탉
166,Gans::N,гусь,거위
167,Adler::N,орел,수리
168,Ente::N,утка,오리
169,Eule::N,сова,부엉이
170,Kranich::N,журавль,두루미
171,Krähe::N,ворона,까마귀
172,Kuckuck::N,кукушка,뻐꾸기
173,Schwan::N,лебедь,배조
174,Fisch::N,рыба,물고기
175,Barsch::N,окунь,농어
176,Hecht::N,щука,에속스
177,Schlange[Tier]::N,змея,뱀
178,Wurm::N,червяк,벌레
179,Spinne::N,паук,거미
180,Ameise::N,муравей,개미
181,Laus::N,вошь,이
182,Mücke::N,комар,모기
183,Fliege::N,муха,날기
184,Schmetterling::N,бабочка,나비
185,Beere::N,ягода,장과
186,Apfel::N,яблоко,사과
187,Pilz::N,гриб,고방이
188,Zwiebel::N,луковица,양파
189,Saat::N,семя,씨
190,Korn::N,зерно,알맹이
191,Heu::N,сено,건초
192,Schale::N,шелуха,피상
193,Grube::N,яма,
194,Falle::N,ловушка,함정
195,Schlinge::N,силок,올가미
196,Schlinge::N,силок,멜빵붕대
197,Spur::N,след,발지국
198,Asche::N,зола,재
199,Asche::N,пепел,재
200,Dreck::N,грязь,똥
201,Dreck::N,грязь,오물
202,Eisen::N,железо,쇠
203,Eisen::N,железо,철
204,Gold::N,золото,항금
205,Silber::N,серебро,은
206,Kohle::N,уголь,슻
207,Glas::N,стекло,유리
208,Lehm::N,глина,찰흙
209,Sand::N,песок,모래
210,Mensch::N,человек,사람
211,Mann::N,мужчина,남자
212,Frau::N,женщина,여자
213,Kind::N,ребенок,아이
214,Junge::N,мальчик,소녁
215,Mädchen::N,девочка,소녀
216,Familie::N,семья,가족
217,Großvater::N,дедушка,할아버지
218,Großmutter::N,бабушка,할머니
219,Eltern::N,родители,어버오
220,Vater::N,отец,아버지
221,Mutter::N,мать,어머니
222,Sohn::N,сын,아들
223,Tochter::N,дочь,딸기
224,Bruder::N,брат,형제
225,Schwester::N,сестра,누이
226,Onkel::N,дядя,백부
227,Tante::N,тетя,아주머니
228,Ehemann::N,муж,남편
229,Ehefrau::N,жена,아내
230,Freude::N,радость,기쁨
231,Gelächter::N,смех,웃음
232,Glück::N,счастье,즐거움
233,Kummer::N,горе,슬픔
234,Wunsch::N,желание,소망
235,Lust::N,влечение,
236,Geist::N,дух,할기
237,Gedanke::N,мысль,상념
238,Gedächtnis::N,память,기억
239,Verstand::N,ум,분별
240,Verstand::N,ум,지능
241,Sinn::N,смысл,센스
242,Grund::N,повод,까닭
243,Wahrheit::N,правда,참
244,Wahrheit::N,правда,진실
245,Gespräch::N,беседа,대화
246,Märchen::N,сказка,동화
247,Erzählung::N,рассказ,이야기
248,Nachricht::N,сообщение,
