,Concept_ID,ro,te
0,Auge::N,ochi,కన్ను
1,Ohr::N,ureche,చెవి
2,Nase::N,nas,ముక్కు
3,Mund::N,gură,నోరు
4,Zahn::N,dinte,పల్లు
5,Zunge::N,limbă,నాలుక
6,Lippe::N,buză,పెదవి
7,Wange::N,bucă,చెంప
8,Wange::N,obraz,చెంప
9,Gesicht::N,față,ముఖము
10,Gesicht::N,figură,ముఖము
11,Stirn::N,frunte,నుదురు
12,Haar::N,păr,వెండ్రుక
13,Schnurrbart::N,mustață,మీసము
14,Bart::N,barbă,గడ్డము
15,Kinn::N,bărbie,గడ్డము
16,Kiefer[Anatomie]::N,falcă,దౌడ
17,Kehle::N,beregată,గొంతు
18,Hals::N,gât,మెడ
19,Genick::N,ceafă,మూపు
20,Kopf::N,cap,తల
21,Rücken::N,dos,వెన్ను
22,Rücken::N,spate,వెన్ను
23,Rücken::N,spinare,వెన్ను
24,Bauch::N,burtă,కడుపు
25,Bauch::N,pântece,కడుపు
26,Nabel::N,buric,బొడ్డు
27,Busen::N,sân,స్తనము
28,Brust::N,piept,ఱొమ్ము
29,Schulter::N,umăr,భుజము
30,Schulter::N,spate,భుజము
31,Arm::N,braț,చేయి
32,Ellenbogen::N,cot,మోచేయి
33,Hand::N,mână,చేయి
34,Handfläche::N,palmă,అరచేయు
35,Finger::N,deget,చేతిప్రేలు
36,Fingernagel::N,unghie,గోరు
37,Nagel[Anatomie]::N,unghie,గోరు
38,Zeh::N,deget de la picior,కాలిప్రేలు
39,Fuß::N,picior,అడుగు
40,Ferse::N,călcâi,మడమ
41,Knie::N,genunchi,మోకాలు
42,Oberschenkel::N,coapsă,తొడ
43,Bein::N,picior,కాలు
44,Körper::N,corp,కాయము
45,Haut::N,piele,చర్మము
46,Blut::N,sânge,రక్తము
47,Ader::N,vână,సిర
48,Ader::N,arteră,సిర
49,Sehne::N,tendon,స్నాయువు
50,Knochen::N,os,ఎముక
51,Gehirn::N,creier,మెదడు
52,Herz::N,inimă,హృదయము
53,Magen::N,stomac,కడుపు
54,Leber::N,ficat,కాలేయము
55,Atem::N,răsuflare,ఉపిరి
56,Atem::N,respirație,ఉపిరి
57,Hunger::N,foame,ఆకలి
58,Träne::N,lacrimă,కన్నీటిచుక్క
59,Geschmack::N,gust,రుచి
60,Geruch::N,miros,వాసన
61,Schlaf::N,somn,నిద్ర
62,Traum::N,vis,కల
63,Himmel::N,cer,ఆకాశము
64,Sonne::N,soare,సూర్యుడు
65,Mond::N,lună,చంద్రుడు
66,Stern::N,stea,నక్షత్రము
67,Luft::N,aer,గాలి
68,Wind::N,vânt,వీచుచున్నగాలి
69,Welle::N,val,అల
70,Welle::N,undă,అల
71,Wasser::N,apă,నీరు
72,Stein::N,piatră,ఱాయి
73,Boden::N,sol,నేల
74,Boden::N,pământ,నేల
75,Erde::N,pământ,మన్ను
76,Staub::N,praf,దుమ్ము
77,Rauch::N,fum,పొగ
78,Funke::N,scânteie,అగ్నికణము
79,Feuer::N,foc,అగ్ని
80,Licht::N,lumină,కాంతి
81,Schatten::N,umbră,నీడ
82,Wetter::N,timp,వాతావరణ స్థితి
83,Wetter::N,vreme,వాతావరణ స్థితి
84,Nebel::N,ceață,పొగమంచు
85,Nebel::N,negură,పొగమంచు
86,Wolke::N,nor,మేఘము
87,Regen::N,ploaie,వాన
88,Schnee::N,zăpadă,హిమము
89,Eis::N,gheață,మంచుగడ్డ
90,Frost::N,ger,పేరిన మంచు
91,Kälte::N,frig,చలి
92,Hitze::N,arșiță,వేడిమి
93,Hitze::N,căldură,వేడిమి
94,Raureif::N,chiciură,మంచు
95,Regenbogen::N,curcubeu,ఇంద్రధనుస్సు
96,Donner::N,tunet,ఉరుము
97,Strömung::N,curent,ప్రవాహము
98,Tropfen::N,picătură,చుక్క
99,Schaum::N,spumă,నురుగు
100,Schmutz::N,murdărie,మైల
101,See::N,lac,సరస్సు
102,Sumpf::N,mlaștină,చిత్తడినేల
103,Moor::N,bărăgan,చిత్తడినేల
104,Wiese::N,fânaț,పచ్చిక బయలు
105,Wiese::N,livadă,పచ్చిక బయలు
106,Wald::N,codru,అడవి
107,Wald::N,pădure,అడవి
108,Hügel::N,deal,చివ్నకొండ
109,Hügel::N,movilă,చివ్నకొండ
110,Anhöhe::N,deal,కొండ
111,Anhöhe::N,ridicătură,కొండ
112,Berg::N,munte,పర్వతము
113,Gipfel::N,pisc,శిఖరము
114,Höhle::N,peșteră,గుహ
115,Abhang::N,pantă,ఏటవాలు
116,Abhang::N,versant,ఏటవాలు
117,Quelle::N,izvor,మూలము
118,Bach::N,gârlă,కాలువ
119,Fluss::N,râu,నది
120,Fluss::N,fluviu,నది
121,Ufer::N,mal,తీరము
122,Ufer::N,țărm,తీరము
123,Küste::N,coastă,తీరము
124,Festland::N,uscat,భూమి
125,Meer::N,mare,సముద్రము
126,Bucht::N,golf,మరుగు
127,Insel::N,insulă,దీవి
128,Blume::N,floare,పుష్పము
129,Gras::N,iarbă,పచ్చగడ్డి
130,Wurzel::N,rădăcină,వేరు
131,Baum::N,copac,చెట్టు
132,Baum::N,arbore,చెట్టు
133,Stamm::N,tulpină,చెట్టుబోదె
134,Rinde::N,scoarță,చెట్టుపట్ట
135,Ast::N,cracă,కొమ్మ
136,Ast::N,creangă,కొమ్మ
137,Zweig::N,ramură,చివుకు
138,Zweig::N,creangă,చివుకు
139,Blatt::N,frunză,ఆకు
140,Birke::N,mesteacăn,తరహా చెట్టు
141,Kiefer[Baum]::N,pin,దేవదారు చెట్టు
142,Weide[Baum]::N,salcie,జాతిచెట్టు
143,Weide[Baum]::N,răchită,జాతిచెట్టు
144,Tanne::N,brad,దేవదారుచెట్టు
145,Horn::N,corn,కొమ్ము
146,Feder::N,pană,ఈక
147,Fell::N,piele,తోలు
148,Flügel::N,aripă,ఱెక్క
149,Klaue::N,gheară,వంకరగోరు
150,Kralle::N,labă,వంకరగోరు
151,Kralle::N,gheară,వంకరగోరు
152,Schwanz::N,coadă,తోక
153,Ei::N,ou,గ్రుడ్డు
154,Nest::N,cuib,పక్షిగూడు
155,Bau::N,bârlog,గుహ
156,Bau::N,vizuină,గుహ
157,Tier::N,animal,జంతువు
158,Herde::N,turmă,మంద
159,Herde::N,cireadă,మంద
160,Kuh::N,vacă,ఆవు
161,Bulle::N,taur,గిత్త
162,Pferd::N,cal,గుఱ్ఱము
163,Schaf::N,oaie,గొఱ్ఱె
164,Schwein::N,porc,పంది
165,Hund::N,câine,కుక్క
166,Katze::N,pisică,పిల్లి
167,Bär::N,urs,ఎలుగుబంటి
168,Eichhörnchen::N,veveriță,ఉడుత
169,Elch::N,elan,కణంజు
170,Fuchs::N,vulpe,గుంటనక్క
171,Hase::N,iepure,కుందేలు
172,Maus::N,șoarece,చిట్టెలుక
173,Wolf::N,lup,తోడేలు
174,Vogel::N,pasăre,పక్షి
175,Schwarm::N,cârd,గుంపు
176,Huhn::N,găină,కోడిపిల్ల
177,Hahn::N,cocoș,కోడివుంజు
178,Gans::N,gâscă,ఆడుబాతు
179,Adler::N,vultur,గ్రద్ద
180,Ente::N,rață,పాట్టిబాతు
181,Eule::N,bufniță,గ్రుడ్లగూబ
182,Kranich::N,cocor,కొంగ
183,Krähe::N,cioară,కాకి
184,Kuckuck::N,cuc,కోయల
185,Schwan::N,lebădă,హంస
186,Fisch::N,pește,చేప
187,Barsch::N,biban,ఒకచేఁప
188,Hecht::N,știucă,గండుమీను
189,Schlange[Tier]::N,șarpe,పాము
190,Wurm::N,vierme,పురుగు
191,Spinne::N,păianjen,సాలె పురుగు
192,Ameise::N,furnică,చీమ
193,Laus::N,păduche,పేను
194,Mücke::N,țânțar,చీకటీగ
195,Fliege::N,muscă,ఈగ
196,Schmetterling::N,fluture,సీతాకోకచిలుక
197,Beere::N,boabă,కాయ
198,Apfel::N,măr,ఆపిల్ పండు
199,Pilz::N,burete,కుక్కగొడుగు
200,Pilz::N,ciupercă,కుక్కగొడుగు
201,Zwiebel::N,ceapă,నీరుల్లి
202,Saat::N,semănătură,విత్తనము
203,Korn::N,grâu,గింజ
204,Heu::N,fân,ఎండుగడ్డి
205,Schale::N,coajă,పొట్టు
206,Grube::N,groapă,గొయ్యి
207,Falle::N,cursă,బోను
208,Falle::N,capcană,బోను
209,Schlinge::N,laț,ఉరి
210,Spur::N,dâră,జాడ
211,Asche::N,cenușă,బూడిద
212,Dreck::N,noroi,ముఱికి
213,Dreck::N,murdărie,ముఱికి
214,Eisen::N,fier,ఇనుము
215,Gold::N,aur,బంగారము
216,Silber::N,argint,వెండి
217,Kohle::N,cărbune,నేలబొగ్గు
218,Glas::N,sticlă,గాజు
219,Lehm::N,lut,బంకమన్ను
220,Lehm::N,humă,బంకమన్ను
221,Sand::N,nisip,ఇసుక
222,Mensch::N,om,నరుడు
223,Mensch::N,persoană,నరుడు
224,Mann::N,om,పురుమడు
225,Mann::N,bărbat,పురుమడు
226,Frau::N,femeie,ఆడుది
227,Kind::N,copil,బిడ్డ
228,Junge::N,băiat,బాలుడు
229,Junge::N,flăcău,బాలుడు
230,Mädchen::N,fată,బాలిక
231,Familie::N,familie,కుటుంబము
232,Großvater::N,bunic,తాత
233,Großvater::N,tată mare,తాత
234,Großmutter::N,bunică,అయ్యమ్మ
235,Großmutter::N,mamă mare,అయ్యమ్మ
236,Eltern::N,părinți,తల్లితండ్రులు
237,Vater::N,tată,తండ్రి
238,Vater::N,părinte,తండ్రి
239,Mutter::N,mamă,తల్లి
240,Sohn::N,fiu,కొడుకు
241,Sohn::N,fecior,కొడుకు
