,Concept_ID,el,no
0,Auge::N,μάτι,øye
1,Auge::N,οφθαλμός,øye
2,Ohr::N,αυτί,øre
3,Nase::N,μύτη,nese
4,Mund::N,στόμα,munn
5,Zahn::N,δόντι,tann
6,Zunge::N,γλώσσα,tunge
7,Lippe::N,χείλος,leppe
8,Wange::N,παρειά,kinn
9,Wange::N,μάγουλο,kinn
10,Gesicht::N,πρόσωπο,fjes
11,Gesicht::N,πρόσωπο,ansikt
12,Stirn::N,μέτωπο,panne
13,Haar::N,μαλλιά,hår
14,Schnurrbart::N,μουστάκι,bart
15,Bart::N,γένια,skjegg
16,Kinn::N,πιγούνι,hake
17,Kiefer[Anatomie]::N,σαγόνι,kjeve
18,Kehle::N,λαρύγγι,strupe
19,Hals::N,λαιμός,hals
20,Genick::N,σβέρκος,nakke
21,Kopf::N,κεφάλι,hode
22,Rücken::N,ράχη,rygg
23,Bauch::N,κοιλιά,buk
24,Bauch::N,κοιλιά,mage
25,Nabel::N,αφαλός,navle
26,Busen::N,στήθος,barm
27,Brust::N,στήθος,bryst
28,Schulter::N,ώμος,skulder
29,Arm::N,χέρι,arm
30,Arm::N,μπράτςο,arm
31,Ellenbogen::N,αγκώνας,albue
32,Hand::N,χέρι,hånd
33,Handfläche::N,παλάμη,håndflate
34,Finger::N,δάχτυλο,finger
35,Fingernagel::N,νύχι,fingernegl
36,Nagel[Anatomie]::N,νύχι,negl
37,Zeh::N,δάχτυλο του ποδιού,tå
38,Fuß::N,πόδι,fot
39,Ferse::N,φτέρνα,hæl
40,Knie::N,γόνατο,kne
41,Oberschenkel::N,μηρός,lår
42,Bein::N,πόδι,bein
43,Körper::N,σώμα,kropp
44,Körper::N,σώμα,legeme
45,Körper::N,κορμί,kropp
46,Körper::N,κορμί,legeme
47,Haut::N,πετσί,hud
48,Haut::N,πετσί,skinn
49,Blut::N,αίμα,blod
50,Ader::N,φλέβα,åre
51,Sehne::N,νεύρο,sene
52,Sehne::N,τένοντας,sene
53,Knochen::N,οστό,bein
54,Knochen::N,οστό,knokkel
55,Knochen::N,κόκκαλο,bein
56,Knochen::N,κόκκαλο,knokkel
57,Gehirn::N,μυαλό,hjerne
58,Gehirn::N,εγκέφαλος,hjerne
59,Herz::N,καρδιά,hjerte
60,Magen::N,στομάχι,mage
61,Leber::N,ήπαρ,lever
62,Leber::N,συκωτί,lever
63,Atem::N,αναπνοή,pust
64,Hunger::N,πείνα,sult
65,Träne::N,δάκρυ,tåre
66,Geschmack::N,γεύση,smak
67,Geruch::N,οσμή,lukt
68,Geruch::N,μυρωδία,lukt
69,Schlaf::N,ύπνος,søvn
70,Traum::N,όνειρο,drøm
71,Himmel::N,ουρανός,himmel
72,Sonne::N,ήλιος,sol
73,Mond::N,σελήνη,måne
74,Mond::N,φεγγάρι,måne
75,Stern::N,άστρο,stjerne
76,Stern::N,αστέρι,stjerne
77,Luft::N,αέρας,luft
78,Wind::N,αέρας,vind
79,Wind::N,άνεμος,vind
80,Welle::N,κύμα,bølge
81,Wasser::N,νερό,vann
82,Stein::N,πέτρα,stein
83,Boden::N,χώμα,bakke
84,Erde::N,γη,jord
85,Staub::N,σκόνη,støv
86,Rauch::N,καπνός,røyk
87,Funke::N,σπίθα,gnist
88,Funke::N,σπινθήρας,gnist
89,Feuer::N,φωτιά,ild
90,Licht::N,φως,lys
91,Schatten::N,σκιά,skygge
92,Schatten::N,ίσκιος,skygge
93,Wetter::N,καιρός,vær
94,Nebel::N,ομίχλη,tåke
95,Wolke::N,σύννεφο,sky
96,Regen::N,βροχή,regn
97,Schnee::N,χιόνι,snø
98,Eis::N,πάγος,is
99,Frost::N,παγωνία,frost
100,Kälte::N,κρύο,kulde
101,Kälte::N,ψύχος,kulde
102,Hitze::N,ζέστη,hete
103,Raureif::N,πάχνη,rimfrost
104,Regenbogen::N,ουράνιο τόξο,regnbue
105,Donner::N,βροντή,torden
106,Strömung::N,ρεύμα,strømning
107,Tropfen::N,στάλα,dråpe
108,Schaum::N,αφρός,skum
109,Schmutz::N,βρωμιά,søl
110,Schmutz::N,βρωμιά,skitt
111,See::N,λίμνη,sjø
112,Sumpf::N,βάλτος,sump
113,Sumpf::N,βάλτος,myrlende
114,Moor::N,έλος,myr
115,Moor::N,έλος,myrhei
116,Wiese::N,λιβάδι,eng
117,Wald::N,δάσος,skog
118,Hügel::N,λόφος,haug
119,Hügel::N,λόφος,bakke
120,Anhöhe::N,ύψωμα,haug
121,Anhöhe::N,ύψωμα,bakke
122,Berg::N,όρος,berg
123,Berg::N,όρος,fjell
124,Berg::N,βουνό,berg
125,Berg::N,βουνό,fjell
126,Gipfel::N,κορυφή,topp
127,Höhle::N,σπηλιά,hule
128,Abhang::N,πλαγιά,li
129,Abhang::N,πλαγιά,skråning
130,Quelle::N,πηγή,kilde
131,Quelle::N,βρύση,kilde
132,Bach::N,ρυάκι,bekk
133,Fluss::N,ποτάμι,elv
134,Fluss::N,ποταμός,elv
135,Ufer::N,όχθη,bredd
136,Küste::N,ακτή,kyst
137,Küste::N,ακρογιαλιά,kyst
138,Festland::N,στεριά,fastland
139,Meer::N,θάλασσα,hav
140,Bucht::N,κόλπος,bukt
141,Insel::N,νησί,øy
142,Insel::N,νήσος,øy
143,Blume::N,άνθος,blomst
144,Blume::N,λουλούδι,blomst
145,Gras::N,χόρτο,gress
146,Gras::N,χορτάρι,gress
147,Wurzel::N,ρίζα,rot
148,Baum::N,δέντρο,tre
149,Stamm::N,κορμός,stamme
150,Rinde::N,φλούδα,bark
151,Ast::N,κλαδί,gren
152,Zweig::N,κλαδί,kvist
153,Zweig::N,κλάδος,kvist
154,Blatt::N,φύλλο,blad
155,Birke::N,σημύδα,bjørk
156,Kiefer[Baum]::N,πεύκο,furu
157,Weide[Baum]::N,ιτιά,selje
158,Weide[Baum]::N,ιτιά,piletre
159,Tanne::N,έλατο,gran
160,Horn::N,κέρας,horn
161,Horn::N,κέρατο,horn
162,Feder::N,φτερό,fjær
163,Fell::N,δέρμα,skinn
164,Fell::N,τομάρι,skinn
165,Flügel::N,πτερύγιο,vinge
166,Klaue::N,κουλό,klauv
167,Kralle::N,νύχι,klo
168,Schwanz::N,ουρά,hale
169,Ei::N,αβγό,egg
170,Nest::N,φωλιά,rede
171,Bau::N,φωλιά,hi
172,Tier::N,ζώο,dyr
173,Herde::N,κοπάδι,flokk
174,Kuh::N,αγελάδα,ku
175,Bulle::N,ταύρος,tyr
176,Pferd::N,άλογο,hest
177,Schaf::N,πρόβατο,får
178,Schwein::N,γουρούνι,gris
179,Hund::N,σκυλί,hund
180,Hund::N,σκύλος,hund
181,Katze::N,γάτα,katt
182,Bär::N,άρκτος,bjørn
183,Bär::N,αρκούδα,bjørn
184,Eichhörnchen::N,βερβερίτσα,ekorn
185,Elch::N,άλκη,elg
186,Fuchs::N,αλεπού,rev
