,Concept_ID,sq,et
0,Auge::N,sy,silm
1,Ohr::N,vesh,kõrv
2,Nase::N,hundë,nina
3,Mund::N,gojë,suu
4,Zahn::N,dhëmb,hammas
5,Zunge::N,gjuhë,keel
6,Lippe::N,buzë,huul
7,Wange::N,faqe,põsk
8,Wange::N,mollëz,põsk
9,Gesicht::N,fytyrë,nägu
10,Stirn::N,ballë,otsmik
11,Haar::N,flokë,juus
12,Schnurrbart::N,mustaqe,vurrud
13,Schnurrbart::N,mustaqe,vuntsid
14,Bart::N,mjekër,habe
15,Kinn::N,mjekër,lõug
16,Kiefer[Anatomie]::N,nofull,lõualuu
17,Kehle::N,fyt,kõri
18,Kehle::N,grykë,kõri
19,Hals::N,qafë,kael
20,Genick::N,arrëz,kukal
21,Kopf::N,kokë,pea
22,Rücken::N,kurriz,selg
23,Bauch::N,bark,kõht
24,Nabel::N,kërthizë,naba
25,Busen::N,gji,rind
26,Brust::N,gjoks,rind
27,Brust::N,kraharor,rind
28,Schulter::N,sup,õlg
29,Schulter::N,krah,õlg
30,Arm::N,krah,käsivars
31,Ellenbogen::N,bërryl,küünarnukk
32,Hand::N,dorë,käsi
33,Handfläche::N,pëllëmbë,pihk
34,Finger::N,gisht,sõrm
35,Fingernagel::N,thua,küüs
36,Nagel[Anatomie]::N,thua,küüs
37,Zeh::N,gisht i këmbës,varvas
38,Fuß::N,këmbë,jalg
39,Ferse::N,thembër,kand
40,Knie::N,gju,põlv
41,Oberschenkel::N,kofshë,reis
42,Bein::N,këmbë,jalg
43,Körper::N,trup,ihu
44,Körper::N,trup,keha
45,Haut::N,lëkurë,nahk
46,Blut::N,gjak,veri
47,Ader::N,venë,veen
48,Sehne::N,dell,kõõlus
49,Knochen::N,asht,luu
50,Knochen::N,kockë,luu
51,Gehirn::N,tru,aju
52,Herz::N,zemër,süda
53,Magen::N,stomak,magu
54,Leber::N,mëlçi,maks
55,Atem::N,frymë,hingeõhk
56,Atem::N,frymë,hingamine
57,Hunger::N,uri,nälg
58,Träne::N,lot,pisar
59,Geschmack::N,shije,maitse
60,Geruch::N,erë,lõhn
61,Schlaf::N,gjumë,uni
62,Traum::N,ëndërr,unenägu
63,Himmel::N,qiell,taevas
64,Sonne::N,diell,päike
65,Mond::N,hënë,kuu
66,Stern::N,yll,täht
67,Luft::N,ajër,õhk
68,Wind::N,erë,tuul
69,Welle::N,valë,laine
70,Welle::N,dallgë,laine
71,Wasser::N,ujë,vesi
72,Stein::N,gur,kivi
73,Boden::N,tokë,maa
74,Boden::N,tokë,pinnas
75,Boden::N,truall,maa
76,Boden::N,truall,pinnas
77,Erde::N,dhe,maa
78,Erde::N,baltë,maa
79,Staub::N,pluhur,põrm
80,Rauch::N,tym,suits
81,Funke::N,xixë,säde
82,Funke::N,shkëndijë,säde
83,Feuer::N,zjarr,tuli
84,Licht::N,dritë,valgus
85,Schatten::N,hije,vari
86,Wetter::N,mot,ilm
87,Nebel::N,mjegull,udu
88,Wolke::N,re,pilv
89,Regen::N,shi,sadu
90,Schnee::N,borë,lumi
91,Eis::N,akull,jää
92,Frost::N,ngricë,pakane
93,Kälte::N,të ftohtë,külm
94,Kälte::N,të ftohtë,külmus
95,Hitze::N,vapë,kuumus
96,Hitze::N,vapë,palavus
97,Hitze::N,nxehtësi,kuumus
98,Hitze::N,nxehtësi,palavus
99,Raureif::N,cikmë,härmatis
100,Regenbogen::N,ylber,vikerkaar
101,Donner::N,gjëmim,kõu
102,Donner::N,gjëmim,müristamine
103,Donner::N,bubullimë,kõu
104,Donner::N,bubullimë,müristamine
105,Strömung::N,rrymë,voolus
106,Strömung::N,rrymë,jõevool
107,Tropfen::N,pikë,tilk
108,Schaum::N,shkumë,vaht
109,Schmutz::N,baltë,pori
110,Schmutz::N,baltë,mustus
111,See::N,liqen,järv
112,Sumpf::N,batak,soo
113,Moor::N,kënetë,raba
114,Wiese::N,livadh,aas
115,Wiese::N,livadh,nurm
116,Wald::N,pyll,mets
117,Hügel::N,kodër,küngas
118,Anhöhe::N,bregore,küngas
119,Berg::N,mal,mägi
120,Gipfel::N,kulm,mäetipp
121,Höhle::N,shpellë,koobas
122,Höhle::N,zgafelle,koobas
123,Abhang::N,shpat,nõlvak
124,Abhang::N,tatëpjetë,nõlvak
125,Quelle::N,krua,allikas
126,Quelle::N,burim,allikas
127,Bach::N,virua,oja
128,Fluss::N,lumë,jõgi
129,Ufer::N,breg,kallas
130,Küste::N,anëdet,rannik
131,Küste::N,bregdet,rannik
132,Festland::N,kontinent,mander
133,Festland::N,kontinent,maismaa
134,Meer::N,det,meri
135,Bucht::N,gji deti,laht
136,Insel::N,ishull,saar
137,Insel::N,ujdhesë,saar
138,Blume::N,lule,lill
139,Gras::N,bar,rohi
140,Wurzel::N,rrënjë,juur
141,Baum::N,pemë,puu
142,Stamm::N,trung,tüvi
143,Rinde::N,lëvore,koor
144,Ast::N,degë,oks
145,Zweig::N,bisk,oks
146,Blatt::N,fletë,leht
147,Blatt::N,gjethe,leht
148,Birke::N,mështekën,kask
149,Kiefer[Baum]::N,pishë,mänd
150,Weide[Baum]::N,shelg,paju
151,Tanne::N,bredh,nulg
152,Horn::N,bri,sarv
153,Feder::N,pupël,sulg
154,Fell::N,lëkurë,karvkate
155,Fell::N,lëkurë,karusnahk
156,Flügel::N,krah,tiib
157,Flügel::N,krah,tiivik
158,Flügel::N,fletë,tiib
159,Flügel::N,fletë,tiivik
160,Klaue::N,kthetër,küüs
161,Kralle::N,thua,küünis
162,Kralle::N,kthetër,küünis
163,Schwanz::N,bisht,saba
164,Ei::N,vezë,muna
165,Nest::N,fole,pesa
166,Bau::N,strofkë,urg
167,Tier::N,kafshë,loom
168,Herde::N,kope,kari
169,Herde::N,grigjë,kari
170,Kuh::N,lopë,lehm
171,Bulle::N,dem,pull
172,Pferd::N,kalë,hobune
173,Schaf::N,dele,lammas
174,Schwein::N,derr,siga
175,Hund::N,qen,koer
176,Katze::N,mace,kass
177,Bär::N,ari,karu
