,Concept_ID,ro,fr
0,Auge::N,ochi,œil
1,Ohr::N,ureche,oreille
2,Nase::N,nas,nez
3,Mund::N,gură,bouche
4,Zahn::N,dinte,dent
5,Zunge::N,limbă,langue
6,Lippe::N,buză,lèvre
7,Wange::N,bucă,joue
8,Wange::N,obraz,joue
9,Gesicht::N,față,face
10,Gesicht::N,față,visage
11,Gesicht::N,figură,face
12,Gesicht::N,figură,visage
13,Stirn::N,frunte,front
14,Haar::N,păr,cheveu
15,Schnurrbart::N,mustață,moustache
16,Bart::N,barbă,barbe
17,Kinn::N,bărbie,menton
18,Kiefer[Anatomie]::N,falcă,mâchoire
19,Kehle::N,beregată,gorge
20,Hals::N,gât,cou
21,Genick::N,ceafă,nuque
22,Kopf::N,cap,tête
23,Rücken::N,dos,dos
24,Rücken::N,spate,dos
25,Rücken::N,spinare,dos
26,Bauch::N,burtă,ventre
27,Bauch::N,pântece,ventre
28,Nabel::N,buric,nombril
29,Busen::N,sân,sein
30,Brust::N,piept,poitrine
31,Schulter::N,umăr,épaule
32,Schulter::N,spate,épaule
33,Arm::N,braț,bras
34,Ellenbogen::N,cot,coude
35,Hand::N,mână,main
36,Handfläche::N,palmă,paume
37,Finger::N,deget,doigt
38,Fingernagel::N,unghie,ongle
39,Nagel[Anatomie]::N,unghie,ongle
40,Zeh::N,deget de la picior,orteil
41,Zeh::N,deget de la picior,doigt de pied
42,Fuß::N,picior,pied
43,Ferse::N,călcâi,talon
44,Knie::N,genunchi,genou
45,Oberschenkel::N,coapsă,cuisse
46,Bein::N,picior,jambe
47,Körper::N,corp,corps
48,Haut::N,piele,peau
49,Blut::N,sânge,sang
50,Ader::N,vână,veine
51,Ader::N,arteră,veine
52,Sehne::N,tendon,tendon
53,Knochen::N,os,os
54,Gehirn::N,creier,cerveau
55,Herz::N,inimă,cœur
56,Magen::N,stomac,estomac
57,Leber::N,ficat,foie
58,Atem::N,răsuflare,haleine
59,Atem::N,respirație,haleine
60,Hunger::N,foame,faim
61,Träne::N,lacrimă,larme
62,Geschmack::N,gust,goût
63,Geschmack::N,gust,saveur
64,Geruch::N,miros,odeur
65,Schlaf::N,somn,sommeil
66,Traum::N,vis,songe
67,Himmel::N,cer,ciel
68,Sonne::N,soare,soleil
69,Mond::N,lună,lune
70,Stern::N,stea,étoile
71,Luft::N,aer,air
72,Wind::N,vânt,vent
73,Welle::N,val,vague
74,Welle::N,undă,vague
75,Wasser::N,apă,eau
76,Stein::N,piatră,pierre
77,Boden::N,sol,sol
78,Boden::N,sol,terrain
79,Boden::N,pământ,sol
80,Boden::N,pământ,terrain
81,Erde::N,pământ,terre
82,Staub::N,praf,poussière
83,Rauch::N,fum,fumée
84,Funke::N,scânteie,étincelle
85,Feuer::N,foc,feu
86,Licht::N,lumină,lumière
87,Schatten::N,umbră,ombre
88,Wetter::N,timp,temps
89,Wetter::N,vreme,temps
90,Nebel::N,ceață,brume
91,Nebel::N,ceață,brouillard
92,Nebel::N,negură,brume
93,Nebel::N,negură,brouillard
94,Wolke::N,nor,nuage
95,Regen::N,ploaie,pluie
96,Schnee::N,zăpadă,neige
97,Eis::N,gheață,glace
98,Frost::N,ger,gel
99,Frost::N,ger,gelée
100,Kälte::N,frig,froid
101,Hitze::N,arșiță,chaleur
102,Hitze::N,căldură,chaleur
103,Raureif::N,chiciură,givre
104,Regenbogen::N,curcubeu,arc-en-ciel
105,Donner::N,tunet,tonnerre
106,Strömung::N,curent,courant
107,Tropfen::N,picătură,goutte
108,Schaum::N,spumă,écume
109,Schaum::N,spumă,mousse
110,Schmutz::N,murdărie,boue
111,Schmutz::N,murdărie,saleté
112,See::N,lac,lac
113,Sumpf::N,mlaștină,marais
114,Sumpf::N,mlaștină,marécage
115,Moor::N,bărăgan,tourbière
116,Wiese::N,fânaț,pré
117,Wiese::N,livadă,pré
118,Wald::N,codru,bois
119,Wald::N,codru,forêt
120,Wald::N,pădure,bois
121,Wald::N,pădure,forêt
122,Hügel::N,deal,coteau
123,Hügel::N,deal,colline
124,Hügel::N,movilă,coteau
125,Hügel::N,movilă,colline
126,Anhöhe::N,deal,éminence
127,Anhöhe::N,deal,élévation
128,Anhöhe::N,ridicătură,éminence
129,Anhöhe::N,ridicătură,élévation
130,Berg::N,munte,mont
131,Berg::N,munte,montagne
132,Gipfel::N,pisc,cime
133,Gipfel::N,pisc,sommet
134,Höhle::N,peșteră,caverne
135,Abhang::N,pantă,pente
136,Abhang::N,pantă,versant
137,Abhang::N,versant,pente
138,Abhang::N,versant,versant
139,Quelle::N,izvor,source
140,Quelle::N,izvor,fontaine
141,Bach::N,gârlă,ruisseau
142,Fluss::N,râu,fleuve
143,Fluss::N,râu,rivière
144,Fluss::N,fluviu,fleuve
145,Fluss::N,fluviu,rivière
146,Ufer::N,mal,bord
147,Ufer::N,mal,rivage
148,Ufer::N,țărm,bord
149,Ufer::N,țărm,rivage
150,Küste::N,coastă,côte
151,Festland::N,uscat,terre ferme
152,Meer::N,mare,mer
153,Bucht::N,golf,baie
154,Insel::N,insulă,île
155,Blume::N,floare,fleur
156,Gras::N,iarbă,herbe
157,Wurzel::N,rădăcină,racine
158,Baum::N,copac,arbre
159,Baum::N,arbore,arbre
160,Stamm::N,tulpină,tronc
161,Rinde::N,scoarță,écorce
162,Ast::N,cracă,branche
163,Ast::N,creangă,branche
164,Zweig::N,ramură,rameau
165,Zweig::N,creangă,rameau
166,Blatt::N,frunză,feuille
167,Birke::N,mesteacăn,bouleau
168,Kiefer[Baum]::N,pin,pin
169,Weide[Baum]::N,salcie,saule
170,Weide[Baum]::N,răchită,saule
171,Tanne::N,brad,sapin
172,Horn::N,corn,corne
173,Feder::N,pană,plume
174,Fell::N,piele,peau
175,Flügel::N,aripă,aile
176,Klaue::N,gheară,serre
177,Kralle::N,labă,ongle
178,Kralle::N,labă,griffe
179,Kralle::N,gheară,ongle
180,Kralle::N,gheară,griffe
181,Schwanz::N,coadă,queue
182,Ei::N,ou,œuf
183,Nest::N,cuib,nid
184,Bau::N,bârlog,terrier
185,Bau::N,vizuină,terrier
186,Tier::N,animal,animal
187,Herde::N,turmă,troupeau
188,Herde::N,cireadă,troupeau
189,Kuh::N,vacă,vache
190,Bulle::N,taur,taureau
191,Pferd::N,cal,cheval
192,Schaf::N,oaie,mouton
193,Schwein::N,porc,porc
194,Schwein::N,porc,cochon
195,Hund::N,câine,chien
196,Katze::N,pisică,chat
197,Bär::N,urs,ours
198,Eichhörnchen::N,veveriță,écureuil
199,Elch::N,elan,élan
200,Fuchs::N,vulpe,renard
201,Hase::N,iepure,lièvre
202,Maus::N,șoarece,souris
203,Wolf::N,lup,loup
204,Vogel::N,pasăre,oiseau
205,Schwarm::N,cârd,nuée
206,Schwarm::N,cârd,volée
207,Huhn::N,găină,poule
208,Hahn::N,cocoș,coq
209,Gans::N,gâscă,oie
210,Adler::N,vultur,aigle
211,Ente::N,rață,canard
212,Eule::N,bufniță,hibou
213,Kranich::N,cocor,grue
214,Krähe::N,cioară,corneille
215,Kuckuck::N,cuc,coucou
216,Schwan::N,lebădă,cygne
217,Fisch::N,pește,poisson
218,Barsch::N,biban,perche
219,Hecht::N,știucă,brochet
220,Schlange[Tier]::N,șarpe,serpent
221,Wurm::N,vierme,ver
222,Spinne::N,păianjen,araignée
223,Ameise::N,furnică,fourmi
224,Laus::N,păduche,pou
225,Mücke::N,țânțar,moucheron
226,Fliege::N,muscă,mouche
227,Schmetterling::N,fluture,papillon
228,Beere::N,boabă,baie
229,Apfel::N,măr,pomme
230,Pilz::N,burete,champignon
231,Pilz::N,ciupercă,champignon
232,Zwiebel::N,ceapă,oignon
233,Saat::N,semănătură,semence
234,Korn::N,grâu,grain
235,Heu::N,fân,foin
236,Schale::N,coajă,pelure
237,Grube::N,groapă,fosse
238,Falle::N,cursă,piège
239,Falle::N,capcană,piège
240,Schlinge::N,laț,lacs
241,Spur::N,dâră,trace
242,Asche::N,cenușă,cendre
243,Dreck::N,noroi,crotte
244,Dreck::N,murdărie,crotte
245,Eisen::N,fier,fer
246,Gold::N,aur,or
247,Silber::N,argint,argent
248,Kohle::N,cărbune,charbon
249,Glas::N,sticlă,verre
250,Lehm::N,lut,glaise
251,Lehm::N,humă,glaise
252,Sand::N,nisip,sable
253,Mensch::N,om,homme
254,Mensch::N,persoană,homme
255,Mann::N,om,homme
256,Mann::N,bărbat,homme
257,Frau::N,femeie,femme
258,Kind::N,copil,enfant
259,Junge::N,băiat,garçon
260,Junge::N,flăcău,garçon
261,Mädchen::N,fată,fille
262,Mädchen::N,fată,jeune fille
263,Familie::N,familie,famille
264,Großvater::N,bunic,grand-père
265,Großvater::N,tată mare,grand-père
266,Großmutter::N,bunică,grand-mère
267,Großmutter::N,mamă mare,grand-mère
268,Eltern::N,părinți,parents
269,Vater::N,tată,père
270,Vater::N,părinte,père
271,Mutter::N,mamă,mère
272,Sohn::N,fiu,fils
273,Sohn::N,fecior,fils
274,Tochter::N,fiică,fille
275,Bruder::N,frate,frère
276,Schwester::N,soră,sœur
277,Onkel::N,unchi,oncle
278,Tante::N,mătușă,tante
279,Ehemann::N,soț,mari
280,Ehemann::N,soț,époux
281,Ehemann::N,bărbat,mari
282,Ehemann::N,bărbat,époux
283,Ehefrau::N,soție,femme
284,Ehefrau::N,soție,épouse
285,Freude::N,bucurie,joie
286,Freude::N,bucurie,plaisir
287,Gelächter::N,râset,rires
288,Glück::N,fericire,bonheur
289,Kummer::N,mâhnire,peine
290,Kummer::N,mâhnire,chagrin
291,Wunsch::N,dorință,désir
292,Wunsch::N,deziderat,désir
293,Lust::N,poftă,envie
294,Lust::N,înclinare,envie
295,Geist::N,duh,esprit
296,Geist::N,minte,esprit
297,Geist::N,suflet,esprit
298,Gedanke::N,gând,idée
299,Gedanke::N,gând,pensée
300,Gedanke::N,cuget,idée
301,Gedanke::N,cuget,pensée
302,Gedächtnis::N,memorie,mémoire
303,Verstand::N,minte,raison
304,Verstand::N,intelect,raison
305,Sinn::N,sens,sens
306,Sinn::N,înțeles,sens
307,Grund::N,cauză,cause
308,Grund::N,cauză,raison
309,Grund::N,pricină,cause
310,Grund::N,pricină,raison
311,Wahrheit::N,adevăr,vérité
312,Gespräch::N,convorbire,conversation
313,Gespräch::N,conversație,conversation
314,Märchen::N,basm,conte
315,Märchen::N,basm,conte de fées
316,Märchen::N,poveste,conte
317,Märchen::N,poveste,conte de fées
318,Erzählung::N,poveste,conte
319,Erzählung::N,poveste,narration
320,Nachricht::N,veste,message
321,Neuigkeit::N,noutate,nouvelle
322,Neuigkeit::N,actualitate,nouvelle
323,Name::N,nume,nom
324,Rätsel::N,ghicitoare,énigme
325,Rätsel::N,ghicitoare,devinette
326,Rede::N,discurs,parole
327,Rede::N,discurs,discours
328,Sprache::N,limbă,langue
329,Sprache::N,limbă,langage
330,Sprache::N,limbaj,langue
331,Sprache::N,limbaj,langage
332,Stimme::N,glas,voix
333,Wort::N,cuvânt,mot
334,Zeichen::N,semn,signe
335,Zeichen::N,semnal,signe
336,Ruf::N,chemare,cri
337,Ruf::N,chemare,appel
338,Lärm::N,zgomot,bruit
339,Lärm::N,tărăboi,bruit
340,Laut::N,sunet,son
341,Ton::N,ton,ton
342,Lied::N,cântec,chant
343,Lied::N,cântec,chanson
344,Ruhe::N,odihnă,calme
345,Ruhe::N,odihnă,tranquillité
346,Ruhe::N,liniște,calme
347,Ruhe::N,liniște,tranquillité
348,Leute::N,lume,gens
349,Leute::N,oameni,gens
350,Volk::N,popor,peuple
351,Volk::N,națiune,peuple
352,Arbeit::N,lucru,travail
353,Gast::N,musafir,hôte
354,Gast::N,musafir,invité
355,Geschenk::N,dar,cadeau
356,Geschenk::N,dar,présent
357,Geschenk::N,cadou,cadeau
358,Geschenk::N,cadou,présent
359,Spiel::N,joc,jeu
360,Gesellschaft::N,societate,compagnie
361,Hilfe::N,ajutor,aide
362,Hilfe::N,ajutor,secours
363,Freund::N,amic,ami
364,Freund::N,prieten,ami
365,Kamerad::N,tovarăș,copain
366,Kamerad::N,tovarăș,camarade
367,Angelegenheit::N,afacere,affaire
368,Anzahl::N,număr,nombre
369,Anzahl::N,cantitate,nombre
370,Art::N,fel,sorte
371,Art::N,fel,espèce
372,Art::N,specie,sorte
373,Art::N,specie,espèce
