,Concept_ID,bn,he
0,Auge::N,চক্ষু,עין
1,Ohr::N,কর্ণ,אזן
2,Nase::N,নাক,אף
3,Nase::N,নাক,חטם
4,Mund::N,মুখ,פה
5,Zahn::N,দাঁত,שן
6,Zunge::N,জিহবা,לשון
7,Lippe::N,অধর,שפה
8,Wange::N,গণ্ড,לחי
9,Gesicht::N,মুখমণ্ডল,פנים
10,Stirn::N,কপাল,מצח
11,Haar::N,চুল,שערה
12,Schnurrbart::N,গোঁফ,שפם
13,Bart::N,শ্মশ্রু,זקן
14,Kinn::N,চিবুক,סנטר
15,Kiefer[Anatomie]::N,চোয়াল,לסת
16,Kehle::N,কণ্ঠ,גרון
17,Hals::N,গল,צואר
18,Genick::N,ঘাড়,ערף
19,Kopf::N,মাথা,ראש
20,Rücken::N,পৃষ্ঠ,גב
21,Bauch::N,উদর,בטן
22,Nabel::N,নাভি,טבור
23,Busen::N,স্তন,שד
24,Brust::N,বুক,חזה
25,Schulter::N,স্কন্ধ,כתף
26,Arm::N,বাহু,זרוע
27,Ellenbogen::N,কনুই,מרפק
28,Hand::N,হাত,יד
29,Handfläche::N,করতল,כף יד
30,Finger::N,আঙ্গুল,אצבע
31,Fingernagel::N,হাতের নখ,צפרן
32,Nagel[Anatomie]::N,নখ,צפרן
33,Zeh::N,আঙ্গুল,אצבע
34,Fuß::N,পা,רגל
35,Ferse::N,গোড়ালি,עקב
36,Knie::N,হাঁটু,ברך
37,Oberschenkel::N,ঊরু,ירך
38,Bein::N,পা,רגל
39,Körper::N,দেহ,גוף
40,Haut::N,ত্বক,עור
41,Blut::N,রক্ত,דם
42,Ader::N,শিরা,וריד
43,Sehne::N,কণ্ডরা,גיד
44,Knochen::N,অস্থি,עצם
45,Gehirn::N,মস্তিষ্ক,מוח
46,Herz::N,হৃৎপিণ্ড,לב
47,Magen::N,পাকস্থলী,קבה
48,Leber::N,যকৃৎ,כבד
49,Atem::N,শ্বাস,נשימה
50,Hunger::N,ক্ষুধা,רעב
51,Träne::N,অশ্রু,דמעה
52,Geschmack::N,স্বাদ,טעם
53,Geruch::N,গন্ধ,ריח
54,Schlaf::N,ঘুম,שנה
55,Traum::N,স্বপ্ন,חלום
56,Himmel::N,আকাশ,שמים
57,Sonne::N,সূর্য,שמש
58,Mond::N,চন্দ্র,ירח
59,Stern::N,নক্ষত্র,כוכב
60,Luft::N,বায়ু,אויר
61,Wind::N,বাতাস,רוח
62,Welle::N,ঢেউ,גל
63,Welle::N,তরঙ্গ,גל
64,Wasser::N,জল,מים
65,Stein::N,ঢিল,אבן
66,Stein::N,প্রস্তর,אבן
67,Boden::N,ভূতল,קרקע
68,Erde::N,ভূমি,אדמה
69,Staub::N,ধুলা,אבק
70,Rauch::N,ধোঁয়া,עשן
71,Funke::N,স্ফুলিঙ্গ,ניצוץ
72,Feuer::N,অগ্নি,אש
73,Licht::N,আলো,אור
74,Schatten::N,ছায়া,צל
75,Wetter::N,আবহাওয়া,מזג אויר
76,Nebel::N,কুহেলিকা,ערפל
77,Wolke::N,মেঘ,ענן
78,Regen::N,বৃষ্টি,גשם
79,Schnee::N,তুষার,שלג
80,Eis::N,বরফ,קרח
81,Frost::N,তুষার,צנה
82,Kälte::N,শৈত্য,קר
83,Hitze::N,তাপ,חם
84,Raureif::N,তুহিন,כפור
85,Regenbogen::N,রামধনু,קשת
86,Donner::N,বজ্রধ্বনি,רעם
87,Strömung::N,স্রোত,זרימה
88,Tropfen::N,ফোঁটা,טפה
89,Schaum::N,ফেনা,קצף
90,Schmutz::N,ধুলা,לכלוך
91,See::N,হ্রদ,אגם
92,Sumpf::N,জলা,בצה
93,Moor::N,মাঠ,בצה
94,Wiese::N,তৃণভূমি,מרעה
95,Wald::N,বন,יער
96,Hügel::N,পাহাড়,תל
97,Anhöhe::N,টিলা,מעלה
98,Berg::N,পর্বত,הר
99,Gipfel::N,শীর্ষ,פסגה
100,Höhle::N,গুহা,מערה
101,Abhang::N,ঢাল,מדרון
102,Abhang::N,ঢাল,שפוע
103,Quelle::N,উৎস,מעין
104,Bach::N,ক্ষুদ্র নদী,נחל
105,Fluss::N,নদী,נהר
106,Ufer::N,উপকূল,גדה
107,Küste::N,তীর,חוף
108,Festland::N,ভূমি,יבשה
109,Meer::N,সমুদ্র,ים
110,Bucht::N,উপসাগর,מפרץ
111,Insel::N,দ্বীপ,אי
112,Blume::N,ফুল,פרח
113,Gras::N,ঘাস,דשא
114,Wurzel::N,শিকড়,שרש
115,Baum::N,গাছ,עץ
116,Stamm::N,স্কন্ধ,גזע
117,Rinde::N,বল্কল,קלפת עץ
118,Ast::N,শাখা,ענף
119,Zweig::N,ডাল,ענף
120,Blatt::N,পর্ণ,עלה
121,Birke::N,ভুর্জ,שדר
122,Kiefer[Baum]::N,পাইন গাছ,ארן
123,Weide[Baum]::N,উইলো,ערבה
124,Tanne::N,দেবদারূ গাছ,אשוח
125,Horn::N,শিং,קרן
126,Feder::N,পালক,נוצה
127,Fell::N,রোম,פרוה
128,Flügel::N,ডানা,כנף
129,Klaue::N,নখর,טלף
130,Kralle::N,নখর,טפר
131,Schwanz::N,লেজ,זנב
132,Ei::N,ডিম,ביצה
133,Nest::N,কুলায়,קן
134,Bau::N,ডেরা,מחלה
135,Tier::N,জন্তু,חיה
136,Herde::N,ঝাঁক,עדר
137,Kuh::N,গোরু,פרה
