,Concept_ID,hu,ku
0,Auge::N,szem,çav
1,Ohr::N,fül,guh
2,Nase::N,orr,bêvil
3,Mund::N,száj,dev
4,Zahn::N,fog,didan
5,Zunge::N,nyelv,ziman
6,Lippe::N,ajak,lêv
7,Wange::N,orca,dêm
8,Wange::N,orca,hinarik
9,Gesicht::N,arc,rû
10,Stirn::N,homlok,enî
11,Haar::N,haj,por
12,Schnurrbart::N,bajusz,simbêl
13,Bart::N,szakáll,rih
14,Kinn::N,áll,zenî
15,Kiefer[Anatomie]::N,állkapocs,arguşk
16,Kehle::N,gége,qirik
17,Kehle::N,torok,qirik
18,Hals::N,nyak,stû
19,Hals::N,nyak,qirik
20,Genick::N,tarkó,stû
21,Kopf::N,fő,serî
22,Kopf::N,fej,serî
23,Rücken::N,hát,pişt
24,Bauch::N,has,ûr
25,Bauch::N,has,zik
26,Nabel::N,köldök,navik
27,Busen::N,mell,sîng
28,Busen::N,kebel,sîng
29,Brust::N,mell,sîng
30,Schulter::N,váll,mil
31,Arm::N,kar,çepil
32,Ellenbogen::N,könyök,enîşk
33,Hand::N,kéz,dest
34,Handfläche::N,tenyér,kefadest
35,Finger::N,ujj,tilî
36,Fingernagel::N,köröm,neynuk
37,Nagel[Anatomie]::N,köröm,bizmar
38,Zeh::N,lábujj,tilî linga
39,Fuß::N,láb,ling
40,Ferse::N,sarok,pahnî
41,Knie::N,térd,kabok
42,Oberschenkel::N,comb,rahn
43,Bein::N,láb,çip
44,Bein::N,lábszár,çip
45,Körper::N,test,laş
46,Körper::N,test,gowde
47,Haut::N,bőr,çerm
48,Blut::N,vér,xwîn
49,Ader::N,ér,reh
50,Sehne::N,ín,reh
51,Knochen::N,csont,hestî
52,Gehirn::N,agy,mêjî
53,Gehirn::N,agyvelő,mêjî
54,Herz::N,szív,dil
55,Magen::N,gyomor,navêş
56,Leber::N,máj,kezeb
57,Atem::N,lehelet,hilm
58,Atem::N,lélegzet,hilm
59,Hunger::N,éhség,birçîtî
60,Träne::N,könny,hêstir
61,Geschmack::N,íz,tam
62,Geruch::N,szag,bêhn
63,Schlaf::N,álom,xew
64,Schlaf::N,alvás,xew
65,Traum::N,álom,xewn
66,Himmel::N,ég,ezman
67,Himmel::N,menny,ezman
68,Sonne::N,nap,roj
69,Mond::N,hold,heyv
70,Stern::N,csillag,stêrk
71,Luft::N,levegő,ba
72,Wind::N,szél,ba
73,Welle::N,hullám,şewl
74,Wasser::N,víz,av
75,Stein::N,kő,kevir
76,Boden::N,föld,herd
77,Boden::N,talaj,herd
78,Erde::N,föld,ax
79,Staub::N,por,toz
80,Rauch::N,füst,dû
81,Funke::N,szikra,çirûşk
82,Feuer::N,tűz,agir
83,Licht::N,fény,ronahî
84,Schatten::N,árnyék,sî
85,Wetter::N,idő,hewa
86,Wetter::N,időjárás,hewa
87,Nebel::N,köd,mij
88,Wolke::N,felhő,ewr
89,Regen::N,eső,baran
90,Schnee::N,hó,berf
91,Eis::N,jég,qeşa
92,Frost::N,fagy,xûsik
93,Kälte::N,hideg,serma
94,Hitze::N,hő,germayî
95,Hitze::N,hőség,germayî
96,Raureif::N,zúzmara,şext
97,Regenbogen::N,szivárvány,heftreng
98,Donner::N,dörgés,gire-gir
99,Donner::N,mennydörgés,gire-gir
100,Strömung::N,áramlat,şewl
101,Tropfen::N,csepp,dilop
102,Schaum::N,hab,kef
103,Schaum::N,tajték,kef
104,Schmutz::N,piszok,gemar
105,See::N,tó,gol
106,Sumpf::N,mocsár,hezek
107,Moor::N,láp,mafêl
108,Wiese::N,rét,sûrik
109,Wiese::N,mező,sûrik
110,Wald::N,erdő,çiya
111,Wald::N,erdő,daristan
112,Hügel::N,domb,gir
113,Anhöhe::N,magaslat,sere gir
114,Berg::N,hegy,kaş
115,Gipfel::N,csúcs,sere gir
116,Höhle::N,barlang,şikeft
117,Abhang::N,lejtő,kaş
118,Quelle::N,forrás,kanî
119,Bach::N,patak,çem
120,Fluss::N,folyó,çem
121,Fluss::N,folyó,rûbar
122,Ufer::N,part,kevî
123,Küste::N,tengerpart,berav
124,Festland::N,szárazföld,bejahî
125,Meer::N,tenger,behr
126,Bucht::N,öböl,derav
127,Insel::N,sziget,girav
128,Blume::N,virág,kulînk
129,Gras::N,fű,giha
130,Wurzel::N,gyökér,reh
131,Baum::N,fa,dar
132,Stamm::N,tő,bavik
133,Stamm::N,törzs,bavik
134,Rinde::N,kéreg,qaqil
135,Ast::N,ág,gulî
136,Zweig::N,gally,şax
137,Blatt::N,levél,pel
138,Birke::N,nyír,dara sipî
139,Kiefer[Baum]::N,fenyő,dara bî
140,Weide[Baum]::N,fűz,dara belalûk
141,Tanne::N,fenyő,merx
142,Horn::N,szarv,strô
143,Feder::N,toll,pîrtîk
144,Fell::N,szőr,heyar
145,Fell::N,bunda,heyar
146,Flügel::N,szárny,per
147,Klaue::N,köröm,napîk
148,Kralle::N,karom,dinik
149,Kralle::N,karom,dirnax
150,Schwanz::N,farok,dûv
151,Ei::N,tojás,hêk
152,Nest::N,fészek,hêlîn
153,Bau::N,odú,avahî
154,Tier::N,állat,heywan
155,Herde::N,nyáj,hoz
156,Herde::N,csorda,hoz
157,Kuh::N,tehén,çêlek
158,Bulle::N,bika,ga
159,Pferd::N,ló,hesp
160,Schaf::N,juh,mîh
161,Schaf::N,birka,mîh
162,Schwein::N,sertés,beraz
163,Hund::N,eb,seh
164,Hund::N,kutya,seh
165,Katze::N,macska,pişîk
166,Bär::N,medve,hirç
167,Eichhörnchen::N,mókus,pilûr
168,Elch::N,jávorszarvas,pazkovî
169,Fuchs::N,róka,rovî
170,Hase::N,nyúl,kîroşk
171,Maus::N,egér,mişk
172,Wolf::N,farkas,gur
173,Vogel::N,madár,çûk
174,Schwarm::N,raj,lufik
175,Huhn::N,tyúk,mirîşk
176,Hahn::N,kakas,dîk
177,Gans::N,lúd,qaz
178,Gans::N,liba,qaz
179,Adler::N,sas,eylo
180,Ente::N,kacsa,werdek
181,Eule::N,bagoly,bûm
182,Eule::N,bagoly,kund
183,Kranich::N,daru,quling
184,Krähe::N,varjú,qijik
185,Kuckuck::N,kakukk,pepûk
186,Schwan::N,hattyú,qû
187,Fisch::N,hal,masî
188,Barsch::N,sügér,okûn
189,Hecht::N,csuka,mesîyê lûf
190,Schlange[Tier]::N,kígyó,mar
191,Wurm::N,kukac,kurm
192,Spinne::N,pók,pîrê
193,Ameise::N,hangya,mîro
194,Ameise::N,hangya,gêrîk
195,Laus::N,tetű,spi
196,Mücke::N,szúnyog,mêş
197,Fliege::N,légy,mêş
198,Schmetterling::N,lepke,perperîk
199,Schmetterling::N,pillangó,perperîk
200,Beere::N,bogyó,hirç
201,Apfel::N,alma,sêv
202,Pilz::N,gomba,bîrov
203,Zwiebel::N,hagyma,pîvaz
204,Saat::N,vetőmag,tov
205,Korn::N,mag,dexl
206,Korn::N,szem,dexl
207,Heu::N,széna,sap
208,Schale::N,héj,qaşik
209,Grube::N,verem,çahl
210,Falle::N,csapda,dafik
211,Schlinge::N,tőr,dahf
212,Spur::N,nyom,rêç
213,Asche::N,hamu,xweli
214,Dreck::N,sár,gemarî
215,Dreck::N,piszok,gemarî
216,Eisen::N,vas,hesing
217,Gold::N,arany,zêr
218,Silber::N,ezüst,zîv
219,Kohle::N,szén,komir
220,Glas::N,üveg,qedeh
221,Lehm::N,agyag,kelpîç
222,Lehm::N,vályog,kelpîç
223,Sand::N,homok,qûm
224,Mensch::N,ember,mirov
225,Mann::N,úr,mêr
226,Mann::N,férfi,mêr
227,Frau::N,nő,jin
228,Frau::N,asszony,jin
229,Kind::N,gyerek,zarok
230,Kind::N,gyermek,zarok
231,Junge::N,fiú,kur
232,Mädchen::N,lány,keç
233,Mädchen::N,lány,keçik
234,Familie::N,család,malbat
235,Großvater::N,nagyapa,bapîr
236,Großmutter::N,nagyanya,pîrik
237,Eltern::N,szülők,bavudê
238,Vater::N,apa,bav
239,Vater::N,atya,bav
240,Mutter::N,anya,dê
241,Mutter::N,anya,dayik
242,Sohn::N,fiú,kur
243,Tochter::N,lány,keç
244,Bruder::N,fivér,bira
245,Bruder::N,testvér,bira
246,Schwester::N,nővér,xweh
247,Schwester::N,lánytestvér,xweh
248,Onkel::N,nagybácsi,am
249,Onkel::N,nagybácsi,xal
250,Tante::N,nagynéni,metik
251,Tante::N,nagynéni,xaltîk
252,Ehemann::N,férj,mêr
253,Ehefrau::N,feleség,kulfet
254,Freude::N,öröm,kêfxweşî
255,Gelächter::N,nevetés,pîrqînî
256,Gelächter::N,hahotázás,pîrqînî
257,Glück::N,boldogság,bext
258,Kummer::N,bánat,derd
259,Wunsch::N,óhaj,daxwaz
260,Wunsch::N,óhaj,xwestek
261,Lust::N,kedv,şewq
262,Geist::N,elme,aqil
263,Geist::N,szellem,aqil
264,Gedanke::N,gondolat,fikir
265,Gedächtnis::N,emlékezet,aqil
266,Verstand::N,ész,fêm
267,Verstand::N,értelem,fêm
268,Sinn::N,értelem,aqil
269,Grund::N,ok,asas
270,Grund::N,alap,asas
271,Wahrheit::N,igaz,rastî
272,Wahrheit::N,igazság,rastî
273,Gespräch::N,beszélgetés,guftûgo
274,Märchen::N,mese,çirok
275,Erzählung::N,elbeszélés,çirok
276,Erzählung::N,elbeszélés,vegotin
277,Nachricht::N,hír,nûçe
278,Nachricht::N,híradás,nûçe
279,Neuigkeit::N,újság,hewal
280,Name::N,név,nav
281,Name::N,név,paşnav
282,Rätsel::N,rejtvény,tiştonek
283,Rede::N,beszéd,gotar
284,Rede::N,beszéd,axavtin
285,Rede::N,szónoklat,gotar
286,Rede::N,szónoklat,axavtin
287,Sprache::N,nyelv,ziman
288,Stimme::N,hang,pejn
289,Wort::N,szó,gotin
290,Zeichen::N,jel,şanek
291,Ruf::N,kiáltás,hawar
292,Lärm::N,zaj,xarbalix
293,Laut::N,hang,deng
294,Laut::N,hang,hês
295,Ton::N,hang,awaz
296,Lied::N,dal,sitran
297,Lied::N,ének,sitran
298,Ruhe::N,csend,rihetî
299,Ruhe::N,nyugalom,rihetî
300,Leute::N,emberek,xelk
301,Volk::N,nép,xelk
302,Arbeit::N,dolog,xebat
303,Gast::N,vendég,mêvan
304,Geschenk::N,ajándék,diyarî
305,Spiel::N,játék,lîstik
306,Gesellschaft::N,társaság,komal
307,Hilfe::N,segítség,alîkarî
308,Freund::N,barát,heval
309,Kamerad::N,társ,heval
310,Angelegenheit::N,ügy,pirsgirêk
311,Anzahl::N,szám,çend
312,Art::N,faj,çeh
313,Art::N,fajta,çeh
314,Stück::N,darab,lib
315,Stück::N,darab,parçe
316,Teil::N,rész,parçe
317,Hälfte::N,fél,nîvî
318,Kreis::N,kör,çemil
319,Kreuz::N,kereszt,xaç
320,Linie::N,vonal,xezik
321,Strich::N,vonás,xezik
322,Abstand::N,köz,dûrahî
323,Entfernung::N,távolság,dûrahî
324,Gegend::N,táj,dever
325,Gegend::N,vidék,dever
