,Concept_ID,pl,mhr
0,Auge::N,oko,шинча́
1,Ohr::N,ucho,пы́лыш
2,Nase::N,nos,нер
3,Mund::N,usta,умша́
4,Zahn::N,ząb,пӱй
5,Zunge::N,język,йы́лме
6,Lippe::N,warga,тӱ́рвӧ
7,Wange::N,policzek,шӱ́ргӧ
8,Gesicht::N,twarz,чури́й
9,Stirn::N,czoło,саҥга́
10,Haar::N,włos,ӱп
11,Haar::N,włosy,ӱп
12,Schnurrbart::N,wąsy,ӧ́рыш
13,Bart::N,broda,понда́ш
14,Kinn::N,podbródek,оҥыла́ш
15,Kiefer[Anatomie]::N,czeluść,пӱйдӱ́ҥ
16,Kiefer[Anatomie]::N,czeluść,пӱйората́
17,Kehle::N,gardło,лога́р
18,Hals::N,szyja,шӱй
19,Genick::N,kark,шӱйло́дыш
20,Kopf::N,głowa,вуй
21,Rücken::N,plecy,туп
22,Rücken::N,grzbiet,туп
23,Bauch::N,brzuch,мӱ́шкыр
24,Nabel::N,pępek,кы́лымде
25,Busen::N,biust,чы́зе
26,Brust::N,pierś,оҥ
27,Schulter::N,bark,ва́че
28,Schulter::N,ramię,ва́че
29,Arm::N,ręka,кид
30,Arm::N,ramię,кид
31,Ellenbogen::N,łokieć,кынерву́й
32,Hand::N,dłoń,кид
33,Hand::N,dłoń,копа́
34,Handfläche::N,dłoń,со́во
35,Finger::N,palec,парня́
36,Fingernagel::N,paznokieć,кидкӱ́ч
37,Fingernagel::N,paznokieć,парнягӱ́ч
38,Nagel[Anatomie]::N,paznokieć,кӱч
39,Zeh::N,palec,йолварня́
40,Fuß::N,stopa,йол
41,Fuß::N,stopa,йолкопа́
42,Ferse::N,pięta,тага́н
43,Knie::N,kolano,пулву́й
44,Oberschenkel::N,udo,э́рде
45,Bein::N,noga,йол
46,Körper::N,ciało,кап
47,Haut::N,skóra,кова́ште
48,Blut::N,krew,вӱр
49,Ader::N,żyła,шӧн
50,Sehne::N,ścięgno,шӧн
51,Sehne::N,ścięgno,кӱсе́н
52,Knochen::N,kość,лу
53,Gehirn::N,mózg,вем
54,Gehirn::N,mózg,вуйве́м
55,Herz::N,serce,шӱм
56,Magen::N,żołądek,пага́р
57,Leber::N,wątroba,мокш
58,Atem::N,dech,шӱ́лыш
59,Atem::N,oddech,шӱ́лыш
60,Hunger::N,głód,шужыма́ш
61,Träne::N,łza,шинчавӱ́д
62,Geschmack::N,smak,там
63,Geruch::N,woń,пуш
64,Geruch::N,zapach,пуш
65,Schlaf::N,sen,о́мо
66,Traum::N,sen,йӱдо́мо
67,Himmel::N,niebo,кава́
68,Sonne::N,słońce,ке́че
69,Mond::N,księżyc,ты́лзе
70,Stern::N,gwiazda,шӱ́дыр
71,Luft::N,powietrze,юж
72,Wind::N,wiatr,марде́ж
73,Welle::N,fala,то́лкын
74,Wasser::N,woda,вӱд
75,Stein::N,kamień,кӱ
76,Boden::N,grunt,рок
77,Erde::N,ziemia,мла́нде
78,Staub::N,pył,пура́к
79,Staub::N,kurz,пура́к
80,Rauch::N,dym,шикш
81,Funke::N,iskra,сеске́м
82,Funke::N,iskra,тулйы́п
83,Feuer::N,ogień,тул
84,Licht::N,światło,со́то
85,Schatten::N,cień,ӱ́мыл
86,Wetter::N,pogoda,иге́че
87,Nebel::N,mgła,тӱтыра́
88,Wolke::N,obłok,пыл
89,Wolke::N,chmura,пыл
90,Regen::N,deszcz,йӱр
91,Schnee::N,śnieg,лум
92,Eis::N,lód,ий
93,Frost::N,mróz,чатлама́
94,Kälte::N,chłód,йӱ́штӧ
95,Hitze::N,gorąco,шо́кшо
96,Raureif::N,szron,пӧрш
97,Raureif::N,szron,по́кшым
98,Regenbogen::N,tęcza,шонанпы́л
99,Donner::N,grzmot,кӱ́дырчӧ
100,Strömung::N,nurt,йо́гын
101,Tropfen::N,kropla,чӱча́лтыш
102,Schaum::N,piana,шоҥ
103,Schmutz::N,brud,лавыра́
104,See::N,jezioro,ер
105,Sumpf::N,bagno,лӱ́кӧ
106,Moor::N,bagno,куп
107,Wiese::N,łąka,о́лык
108,Wald::N,las,чодыра́
109,Hügel::N,pagórek,арка́
110,Anhöhe::N,wzgórze,тӧва́
111,Anhöhe::N,wzgórze,кӱкшака́
112,Berg::N,góra,ку́рык
113,Gipfel::N,szczyt,чаҥга́
114,Gipfel::N,szczyt,курыкву́й
115,Gipfel::N,wierzchołek,чаҥга́
116,Gipfel::N,wierzchołek,курыкву́й
117,Höhle::N,pieczara,пеще́р
118,Höhle::N,pieczara,курыкпо́мыш
119,Abhang::N,stok,та́йыл
120,Abhang::N,zbocze,та́йыл
121,Quelle::N,zdrój,важ
122,Quelle::N,zdrój,вӱдшинча́
123,Quelle::N,źródło,важ
124,Quelle::N,źródło,вӱдшинча́
125,Bach::N,potok,изэҥе́р
126,Bach::N,strumień,изэҥе́р
127,Fluss::N,rzeka,эҥе́р
128,Ufer::N,brzeg,сер
129,Küste::N,wybrzeże,вӱдтӱ́р
130,Festland::N,ląd,мла́нде
131,Meer::N,morze,те́ҥыз
132,Bucht::N,zatoka,икса́
133,Insel::N,wyspa,отро́
134,Blume::N,kwiat,пеле́дыш
