,Concept_ID,lez,ml
0,Auge::N,вил,കണ്ണ്
1,Ohr::N,яб,ചെവി
2,Nase::N,нер,മൂക്ക്
3,Mund::N,сив,വായ
4,Zahn::N,сас,പല്ല്
5,Zahn::N,свах,പല്ല്
6,Zunge::N,мез,നാക്ക്
7,Lippe::N,пӏуз,ചുണ്ട്
8,Wange::N,хъвехъ,കവിൾത്തടം
9,Gesicht::N,ччин,മുഖം
10,Stirn::N,пел,നെറ്റി
11,Haar::N,чӏар,തലമുടി
12,Schnurrbart::N,спел,മീശ
13,Schnurrbart::N,спелар,മീശ
14,Bart::N,ччуру,താടിരോമം
15,Kinn::N,чене,താടി
16,Kiefer[Anatomie]::N,чене,താടിയെല്ല്
17,Kehle::N,туьд,കണ്ഠനാളം
18,Hals::N,гардан,കഴുത്ത്
19,Genick::N,кьам,പിടലി
20,Kopf::N,кьил,തല
21,Rücken::N,далу,മുതുക്
22,Bauch::N,руфун,നയറ്
23,Nabel::N,пицӏ,നാഭി
24,Busen::N,мам,സ്തനം
25,Brust::N,хур,സ്തനം
26,Schulter::N,къуьн,തോൾ
27,Arm::N,гъил,കൈ
28,Ellenbogen::N,кьуьнт,കൈമുട്ട്
29,Hand::N,капаш,കൈ
30,Handfläche::N,капан юкь,ഉള്ളം കൈ
31,Finger::N,тӏуб,വിരൽ
32,Fingernagel::N,кек,നഖം
33,Nagel[Anatomie]::N,кек,നഖം
34,Zeh::N,кул,കാൽവിരൽ
35,Fuß::N,кӏвач,കാൽപ്പാദം
36,Ferse::N,дабан,ഉപ്പൂറ്റി
37,Knie::N,мет,കാൽമുട്ട്
38,Bein::N,кӏвач,കാൽ
39,Körper::N,беден,ശരീരം
40,Haut::N,хам,ചർമ്മം
41,Blut::N,иви,രക്തം
42,Ader::N,дамар,ഞരമ്പ്
43,Sehne::N,кьуру дамар,സ്നായു
44,Knochen::N,кӏараб,അസ്ഥി
45,Gehirn::N,мефт,തലച്ചോറ്
46,Herz::N,рикӏ,ഹൃദയം
47,Magen::N,хук,വയർ
48,Leber::N,лекь,കരൾ
