,Concept_ID,ar,da
0,Auge::N,عين,øje
1,Ohr::N,أذن,øre
2,Nase::N,أنف,næse
3,Mund::N,فم,mund
4,Zahn::N,سن,tand
5,Zunge::N,لسان,tunge
6,Lippe::N,شفة,læbe
7,Wange::N,خد,kind
8,Wange::N,وجنة,kind
9,Gesicht::N,وجه,ansigt
10,Stirn::N,جبين,pande
11,Haar::N,شعر,hår
12,Schnurrbart::N,شارب,overskæg
13,Bart::N,لحية,skæg
14,Kinn::N,ذقن,hage
15,Kiefer[Anatomie]::N,فك,kæbe
16,Kehle::N,حلق,strube
17,Hals::N,عنق,hals
18,Hals::N,رقبة,hals
19,Genick::N,قفا,nakke
20,Kopf::N,رأس,hoved
21,Rücken::N,ظهر,ryg
22,Bauch::N,بطن,mave
23,Nabel::N,سرة,navle
24,Busen::N,ثدي,barm
25,Brust::N,صدر,bryst
26,Schulter::N,كتف,skulder
27,Arm::N,ذراع,arm
28,Ellenbogen::N,كوع,albue
29,Hand::N,يد,hånd
30,Handfläche::N,كف,håndflade
31,Finger::N,إصبع,finger
32,Fingernagel::N,ظفر,fingernegl
33,Nagel[Anatomie]::N,ظفر,negl
34,Zeh::N,إصبع القدم,tå
35,Fuß::N,قدم,fod
36,Ferse::N,كعب,hæl
37,Knie::N,ركبة,knæ
38,Oberschenkel::N,فخذ,lår
39,Bein::N,ساق,ben
40,Körper::N,جسم,krop
41,Körper::N,جسم,legeme
42,Haut::N,بشرة,hud
43,Blut::N,دم,blod
44,Ader::N,عرق,åre
45,Sehne::N,طنب,sene
46,Knochen::N,عظم,ben
47,Gehirn::N,دماغ,hjerne
48,Herz::N,قلب,hjerte
49,Magen::N,معدة,mave
50,Leber::N,كبد,lever
51,Atem::N,نفس,ånde
52,Hunger::N,جوع,sult
53,Träne::N,دمعة,tåre
54,Geschmack::N,طعم,smag
55,Geschmack::N,مذاق,smag
56,Geruch::N,رائحة,lugt
57,Schlaf::N,نوم,søvn
58,Schlaf::N,منام,søvn
59,Traum::N,حلم,drøm
60,Himmel::N,سماء,himmel
61,Sonne::N,شمس,sol
62,Mond::N,قمر,måne
63,Stern::N,نجم,stjerne
64,Stern::N,كوكب,stjerne
65,Luft::N,هواء,luft
66,Wind::N,ريح,vind
67,Welle::N,موجة,bølge
68,Wasser::N,ماء,vand
69,Stein::N,حجر,sten
70,Boden::N,تراب,jord
71,Erde::N,أرض,jord
72,Staub::N,غبار,støv
73,Rauch::N,دخان,røg
74,Funke::N,شرارة,gnist
75,Feuer::N,نار,ild
76,Licht::N,نور,lys
77,Licht::N,ضوء,lys
78,Schatten::N,ظل,skygge
79,Schatten::N,فيء,skygge
80,Wetter::N,جو,vejr
81,Wetter::N,طقس,vejr
82,Nebel::N,ضباب,tåge
83,Wolke::N,غيمة,sky
84,Wolke::N,سحابة,sky
85,Regen::N,مطر,regn
86,Schnee::N,ثلج,sne
87,Eis::N,جليد,is
88,Frost::N,صقيع,frost
89,Kälte::N,برد,kulde
90,Hitze::N,حر,hede
91,Hitze::N,حرارة,hede
92,Raureif::N,صقيع,rimfrost
93,Regenbogen::N,قوس قزح,regnbue
94,Donner::N,رعد,torden
95,Strömung::N,تيار,strømning
96,Tropfen::N,قطرة,dråbe
97,Schaum::N,زبد,skum
98,Schaum::N,رغوة,skum
99,Schmutz::N,وسخ,snavs
100,See::N,بحيرة,sø
101,Sumpf::N,مستنقع,sump
102,Moor::N,مستنقع,mose
103,Wiese::N,مرج,eng
104,Wald::N,غابة,skov
105,Hügel::N,تل,høj
106,Hügel::N,تل,bakke
107,Anhöhe::N,تل,høj
108,Anhöhe::N,تل,bakke
109,Berg::N,جبل,bjerg
110,Gipfel::N,قمة,top
111,Höhle::N,كهف,hule
112,Abhang::N,منحدر,skrænt
113,Abhang::N,منحدر,skråning
114,Quelle::N,منبع,kilde
115,Bach::N,مجرى,bæk
116,Fluss::N,نهر,flod
117,Ufer::N,ضفة,bred
118,Küste::N,ساحل,kyst
119,Festland::N,بر,fastland
120,Meer::N,بحر,hav
121,Bucht::N,خليج,bugt
122,Insel::N,جزيرة,ø
123,Blume::N,زهرة,blomst
124,Gras::N,حشيش,græs
125,Wurzel::N,أصل,rod
126,Baum::N,شجرة,træ
127,Stamm::N,جذع,stamme
128,Rinde::N,قشرة,bark
129,Ast::N,فرع,gren
130,Zweig::N,غصن,kvist
131,Blatt::N,ورقة,blad
132,Birke::N,قضبان,birk
133,Kiefer[Baum]::N,صنوبرة,fyrretræ
134,Weide[Baum]::N,صفصاف,piletræ
135,Tanne::N,شوح,gran
136,Tanne::N,تبوب,gran
137,Horn::N,قرن,horn
138,Feder::N,ريشة,fjer
139,Fell::N,فرو,skind
140,Flügel::N,جناح,vinge
141,Klaue::N,مخلب,klov
142,Kralle::N,مخلب,klo
143,Schwanz::N,ذيل,hale
144,Ei::N,بيض,æg
145,Nest::N,عش,rede
146,Bau::N,جحر,bo
147,Tier::N,حيوان,dyr
148,Herde::N,قطيع,flok
149,Kuh::N,بقرة,ko
150,Bulle::N,ثور,tyr
151,Pferd::N,خيل,hest
152,Schaf::N,شاة,får
153,Schwein::N,خنزير,gris
154,Hund::N,كلب,hund
155,Katze::N,قطة,kat
156,Bär::N,دب,bjørn
157,Eichhörnchen::N,سنجاب,egern
158,Elch::N,موظ,elg
159,Fuchs::N,ثعلب,ræv
160,Hase::N,أرنب,hare
161,Maus::N,فأرة,mus
162,Wolf::N,ذئب,ulv
163,Vogel::N,طير,fugl
164,Schwarm::N,سرب,sværm
165,Huhn::N,دجاجة,høne
166,Hahn::N,ديك,hane
167,Gans::N,وزة,gås
168,Adler::N,نسر,ørn
169,Ente::N,بطة,and
170,Eule::N,بوم,ugle
171,Kranich::N,كركي,trane
172,Krähe::N,غراب,krage
173,Kuckuck::N,وقواق,gøg
174,Schwan::N,إوز عراقي,svane
175,Fisch::N,سمك,fisk
176,Barsch::N,فرخ أوربي,aborre
177,Hecht::N,سمك الكراكي,gedde
178,Schlange[Tier]::N,حية,slange
179,Schlange[Tier]::N,ثعبان,slange
180,Wurm::N,دودة,orm
181,Spinne::N,عنكبوت,edderkop
182,Ameise::N,نملة,myre
183,Laus::N,قملة,lus
184,Mücke::N,ناموسة,myg
185,Fliege::N,ذبابة,flue
186,Schmetterling::N,فراشة,sommerfugl
187,Beere::N,حبة,bær
188,Apfel::N,تفاح,æble
189,Pilz::N,فطر,svamp
190,Zwiebel::N,بصل,løg
191,Saat::N,زرع,sæd
192,Korn::N,حبة,korn
193,Heu::N,دريس,hø
194,Schale::N,قشرة,skræl
195,Grube::N,نقرة,grav
196,Falle::N,فخ,fælde
197,Falle::N,مصيدة,fælde
198,Schlinge::N,عروة,snare
199,Spur::N,أثر,spor
200,Asche::N,رماد,aske
201,Dreck::N,قذر,snavs
202,Eisen::N,حديد,jern
203,Gold::N,ذهب,guld
204,Silber::N,فضة,sølv
205,Kohle::N,فحم,kul
206,Glas::N,زجاج,glas
207,Lehm::N,طين,ler
208,Sand::N,رمل,sand
209,Mensch::N,إنسان,mennesge
210,Mann::N,رجل,mand
211,Frau::N,امرأة,kvinde
212,Kind::N,طفل,barn
213,Junge::N,ولد,dreng
214,Mädchen::N,بنت,pige
215,Familie::N,عائلة,familie
216,Großvater::N,جد,bedstefar
217,Großmutter::N,جدة,bedstemor
218,Eltern::N,أبوان,forældre
219,Eltern::N,والدان,forældre
220,Vater::N,أب,far
221,Mutter::N,أم,mor
222,Sohn::N,إبن,søn
223,Tochter::N,بنت,datter
224,Tochter::N,إبنة,datter
225,Bruder::N,أخ,bror
226,Bruder::N,شقيق,bror
227,Schwester::N,أخت,søster
228,Onkel::N,عم,onkel
229,Tante::N,عمة,tante
230,Ehemann::N,زوج,ægtemand
231,Ehefrau::N,زوجة,hustru
232,Freude::N,فرح,glæde
233,Freude::N,سرور,glæde
234,Gelächter::N,قهقهة,latter
235,Glück::N,سعادة,lykke
236,Kummer::N,غم,sorg
237,Wunsch::N,منية,ønske
238,Lust::N,شهوة,lyst
239,Geist::N,روح,ånd
240,Gedanke::N,فكرة,tanke
241,Gedächtnis::N,ذاكرة,hukommelse
242,Verstand::N,عقل,forstand
243,Sinn::N,معنى,mening
244,Sinn::N,معنى,betydning
245,Grund::N,سبب,grund
246,Wahrheit::N,حقيقة,sandhed
247,Gespräch::N,محادثة,samtale
248,Märchen::N,خرافة,eventyr
249,Erzählung::N,قصة,fortælling
250,Erzählung::N,حكاية,fortælling
251,Nachricht::N,خبر,efterretning
252,Neuigkeit::N,خبر جديد,nyhed
253,Name::N,اسم,navn
254,Rätsel::N,لغز,gåde
255,Rede::N,خطبة,tale
256,Sprache::N,لغة,sprog
257,Stimme::N,صوت,stemme
258,Wort::N,كلمة,ord
259,Zeichen::N,رمز,tegn
260,Zeichen::N,إشارة,tegn
261,Ruf::N,نداء,råb
262,Lärm::N,صخب,larm
263,Lärm::N,ضجة,larm
264,Laut::N,صوت,lyd
265,Ton::N,نغمة,tone
266,Lied::N,أغنية,sang
267,Ruhe::N,هدوء,ro
268,Ruhe::N,هدوء,hvile
269,Leute::N,ناس,folk
270,Leute::N,ناس,mennesker
271,Volk::N,شعب,folk
272,Arbeit::N,عمل,arbejde
273,Gast::N,ضيف,gæst
274,Geschenk::N,هدية,gave
275,Spiel::N,لعب,leg
