,Concept_ID,la,kk
0,Auge::N,oculus,көз
1,Ohr::N,auris,құлақ
2,Nase::N,nasus,мұрын
3,Mund::N,os,ауыз
4,Zahn::N,dens,тіс
5,Zunge::N,lingua,тіл
6,Lippe::N,labrum,ерін
7,Wange::N,gena,ұрт
8,Gesicht::N,vultus,бет-аузы
9,Stirn::N,frons,маңдай
10,Haar::N,capillus,қыл
11,Schnurrbart::N,barba labri superioris,мұрт
12,Bart::N,barba,сақал
13,Kinn::N,mentum,иек
14,Kiefer[Anatomie]::N,mala,жақ
15,Kehle::N,iugulums,алқым
16,Hals::N,collum,мойын
17,Genick::N,cervices,желке
18,Kopf::N,caput,кәллә
19,Rücken::N,tergum,арқа
20,Bauch::N,venter,қарын
21,Nabel::N,umbilicus,кіндік
22,Busen::N,sinus,омырау
23,Brust::N,pectus,кеуде
24,Schulter::N,umerus,иық
25,Arm::N,bracchium,қол
26,Ellenbogen::N,cubitum,шынтақ
27,Hand::N,manus,қол
28,Handfläche::N,palma,алақан
29,Finger::N,digitus,саусақ
30,Fingernagel::N,unguiculus,тырнақ
31,Nagel[Anatomie]::N,unguis,тырнақ
32,Zeh::N,digitus,тырнақ
33,Zeh::N,digitus,тұяқ
34,Fuß::N,pes,аяқ-басы
35,Ferse::N,calx,өкше
36,Ferse::N,calx,өкшелік
37,Knie::N,genu,тізе
38,Oberschenkel::N,femur,жамбас
39,Bein::N,crus,аяқ
40,Körper::N,corpus,дене
41,Haut::N,cutis,тері
42,Haut::N,pellis,тері
43,Blut::N,sanguis,қан
44,Ader::N,vena,көктамыр
45,Ader::N,vena,күретамыр
46,Sehne::N,nervus,сіңір
47,Knochen::N,os,жілік
48,Gehirn::N,cerebrum,ми
49,Herz::N,cor,жүрек
50,Herz::N,animus,жүрек
51,Magen::N,stomachus,асқазан
52,Leber::N,iecur,бауыр
53,Atem::N,spiritus,леп
54,Hunger::N,fames,ашаршылық
55,Träne::N,lacrima,жас
56,Geschmack::N,sapor,дәм
57,Geschmack::N,sapor,татым
58,Geschmack::N,sapor,талғам
59,Geschmack::N,gustus,дәм
60,Geschmack::N,gustus,татым
61,Geschmack::N,gustus,талғам
62,Geruch::N,odor,иіс
63,Schlaf::N,somnus,ұйқы
64,Schlaf::N,somnus,ұйықтау
65,Traum::N,somnium,түс
66,Himmel::N,caelum,аспан
67,Himmel::N,caelum,көқ
68,Himmel::N,caelum,таңдай
69,Sonne::N,sol,күн
70,Mond::N,luna,ай
71,Stern::N,sidus,жұлдыз
72,Stern::N,stella,жұлдыз
73,Luft::N,aer,әуе
74,Wind::N,ventus,жел
75,Welle::N,unda,толқын
76,Wasser::N,aqua,су
77,Stein::N,lapis,тас
78,Boden::N,solum,қыртыс
79,Erde::N,terra,топырақ
80,Staub::N,pulvis,шаң
81,Rauch::N,fumus,түтін
82,Funke::N,scintilla,ұшқын
83,Feuer::N,ignis,алау
84,Licht::N,lux,шұғыла
85,Licht::N,lumen,шұғыла
86,Schatten::N,umbra,көлеңке
87,Wetter::N,caelum,ауа райы
88,Wetter::N,tempestas,ауа райы
89,Nebel::N,nebula,тұман
90,Wolke::N,nubes,бұлт
91,Regen::N,imber,жаңбыр
92,Regen::N,pluvia,жаңбыр
93,Schnee::N,nix,қар
94,Eis::N,glacies,мұз
95,Frost::N,gelu,суық
96,Kälte::N,frigus,ызғар
97,Kälte::N,frigus,суықтық
98,Hitze::N,calor,аптап
99,Hitze::N,aestus,аптап
100,Raureif::N,pruina,қырау
101,Regenbogen::N,arcus,кемпірқосақ
102,Donner::N,tonitrus,күн күркіреу
103,Strömung::N,fluctus,ағын
104,Tropfen::N,gutta,тамшы
105,Schaum::N,spuma,көбік
106,Schmutz::N,sordes,кір
107,Schmutz::N,squalor,кір
108,See::N,lacus,көл
109,Sumpf::N,palus,саз
110,Moor::N,palus,саз
111,Wiese::N,pratum,шалғын
112,Wald::N,silva,орман
113,Hügel::N,collis,төбе
114,Hügel::N,collis,белес
115,Hügel::N,collis,белес-белес
116,Anhöhe::N,specula,дөң
117,Anhöhe::N,specula,адыр
118,Anhöhe::N,specula,қырат
119,Berg::N,mons,тау
120,Gipfel::N,vertex,төбе
121,Höhle::N,caverna,үңгір
122,Höhle::N,spelunca,үңгір
123,Abhang::N,declivum,бауыр
124,Quelle::N,fons,қайнар
125,Bach::N,rivus,жылға
126,Fluss::N,flumen,өзен
127,Ufer::N,ripa,жиек
128,Küste::N,litus,жиегі
129,Küste::N,litus,жағалау
130,Festland::N,continens,құрылық
131,Meer::N,mare,теңіз
132,Bucht::N,sinus,шығанақ
133,Insel::N,insula,арал
134,Blume::N,flos,гүл
135,Gras::N,herba,от
136,Gras::N,gramen,от
137,Wurzel::N,radix,түбір
138,Baum::N,arbor,ағаш
139,Baum::N,arbor,дарақ
140,Stamm::N,truncus,сояу
141,Stamm::N,truncus,оқпан
142,Rinde::N,cortex,қабық
143,Ast::N,ramus,бұтақ
144,Zweig::N,ramus,шыбық
145,Blatt::N,folium,жапырақ
146,Birke::N,betulla,қайың
147,Kiefer[Baum]::N,pinus,қарағай
148,Weide[Baum]::N,salix,тал
149,Tanne::N,abies,шырша
150,Horn::N,cornu,мүйіз
151,Feder::N,penna,қаламұш
152,Fell::N,pellis,тері
153,Flügel::N,ala,қанат
154,Klaue::N,unguis,тырнақ
155,Kralle::N,unguis,аяқ
156,Schwanz::N,cauda,құйрық
157,Ei::N,ovum,жұмыртқа
158,Nest::N,nidus,ұя
159,Bau::N,cavum,жатақ
160,Bau::N,latibulum,жатақ
161,Tier::N,bestia,айуан
162,Tier::N,bestia,жануар
163,Herde::N,grex,пада
164,Kuh::N,vacca,сиыр
165,Bulle::N,taurus,өгіз
166,Pferd::N,equus,жылқы
167,Schaf::N,ovis,қой
168,Schwein::N,sus,шошқа
169,Schwein::N,porcus,шошқа
170,Hund::N,canis,ит
171,Katze::N,felis,мысық
172,Bär::N,ursus,аю
173,Eichhörnchen::N,sciurus,тиін
174,Elch::N,alces,бұғы
175,Fuchs::N,vulpes,түлкі
176,Hase::N,lepus,қоян
177,Maus::N,mus,қаптесер
178,Wolf::N,lupus,бөрі
179,Wolf::N,lupus,қасқыр
180,Vogel::N,avis,құс
181,Schwarm::N,examen,топ
