,Concept_ID,vep,ml
0,Auge::N,sil'm,കണ്ണ്
1,Ohr::N,korv,ചെവി
2,Nase::N,nena,മൂക്ക്
3,Mund::N,su,വായ
4,Zahn::N,pi,പല്ല്
5,Zahn::N,hambaz,പല്ല്
6,Zunge::N,kel',നാക്ക്
7,Lippe::N,hul',ചുണ്ട്
8,Wange::N,modpolišk,കവിൾത്തടം
9,Gesicht::N,mod,മുഖം
10,Stirn::N,oc,നെറ്റി
11,Haar::N,tuk,തലമുടി
12,Haar::N,hibuz,തലമുടി
13,Schnurrbart::N,habinod,മീശ
14,Bart::N,bard,താടിരോമം
15,Kinn::N,löug,താടി
16,Kiefer[Anatomie]::N,hambazlu,താടിയെല്ല്
17,Kehle::N,kurk,കണ്ഠനാളം
18,Hals::N,kagl,കഴുത്ത്
19,Genick::N,tagarai,പിടലി
20,Kopf::N,pä,തല
21,Rücken::N,sel'g,മുതുക്
22,Bauch::N,vac,നയറ്
23,Bauch::N,koht,നയറ്
24,Nabel::N,naba,നാഭി
25,Busen::N,niža,സ്തനം
26,Brust::N,rind,സ്തനം
27,Schulter::N,oug,തോൾ
28,Arm::N,käzi,കൈ
29,Ellenbogen::N,künambruz,കൈമുട്ട്
30,Hand::N,käzi,കൈ
31,Hand::N,käzitera,കൈ
32,Handfläche::N,kämen,ഉള്ളം കൈ
33,Finger::N,sor'm,വിരൽ
34,Fingernagel::N,künz',നഖം
35,Nagel[Anatomie]::N,künz',നഖം
36,Zeh::N,barbaz,കാൽവിരൽ
37,Fuß::N,jaug,കാൽപ്പാദം
38,Ferse::N,kand,ഉപ്പൂറ്റി
39,Knie::N,komb,കാൽമുട്ട്
40,Knie::N,pol'v,കാൽമുട്ട്
41,Oberschenkel::N,riiže,തുട
42,Bein::N,jaug,കാൽ
43,Körper::N,hibj,ശരീരം
44,Haut::N,nahk,ചർമ്മം
45,Blut::N,čak,രക്തം
46,Blut::N,veri,രക്തം
47,Ader::N,son',ഞരമ്പ്
48,Sehne::N,jände,സ്നായു
49,Knochen::N,lu,അസ്ഥി
50,Gehirn::N,aivod,തലച്ചോറ്
51,Herz::N,südäin,ഹൃദയം
52,Magen::N,südäikoht,വയർ
53,Leber::N,maks,കരൾ
54,Atem::N,hengaiduz,ശ്വാസം
55,Hunger::N,näl'g,വിശപ്പ്
56,Träne::N,kündal',കണ്ണീർ
57,Geschmack::N,magu,രുചി
58,Geruch::N,haju,ഗന്ധം
59,Schlaf::N,uni,ഉറകും
60,Traum::N,unikuva,സ്വപ്നം
61,Himmel::N,taivaz,ആകാശം
62,Sonne::N,päiväine,സൂര്യൻ
63,Mond::N,kudmaine,ചന്ദ്രൻ
64,Stern::N,tähtaz,നക്ഷത്രം
65,Luft::N,il'm,കാറ്റ്
66,Wind::N,döl,കാറ്റ്
67,Wind::N,tullei,കാറ്റ്
68,Welle::N,ald,തിരമാല
69,Welle::N,laineh,തിരമാല
70,Wasser::N,vezi,വെള്ളം
71,Stein::N,kivi,ശില
72,Stein::N,kivi,കല്ല്
73,Boden::N,ma,തറ
74,Boden::N,ma,നിലം
75,Boden::N,pohj,തറ
76,Boden::N,pohj,നിലം
77,Erde::N,ma,മണ്ണ്
78,Staub::N,pölü,പൊടി
79,Rauch::N,savu,പുക
80,Funke::N,kibin,തീപ്പൊരി
81,Feuer::N,lämoi,തീ
82,Licht::N,vauktuz,വിളക്ക്
83,Licht::N,vauktuz,സൂര്യപ്രകാശം
84,Schatten::N,pil'vez,തണൽ
85,Schatten::N,kuvahaine,തണൽ
86,Wetter::N,sä,കാലാവസ്ഥ
87,Nebel::N,sumeg,മൂടൽമഞ്ഞ്
88,Wolke::N,pil'v,മേഘം
89,Regen::N,vihm,മഴ
90,Schnee::N,lumi,മഞ്ഞ്
91,Eis::N,jä,ഐസ്
92,Frost::N,hala,മൂടൽമഞ്ഞ്
93,Frost::N,pakaine,മൂടൽമഞ്ഞ്
94,Kälte::N,vilu,തണുപ്പ്
95,Hitze::N,räk,ചൂട്
96,Raureif::N,hüde,കോടമഞ്ഞ്
97,Regenbogen::N,jumalanbembel',മഴവില്ല്
98,Donner::N,juru,ഇടി
99,Donner::N,jumalanjuru,ഇടി
100,Strömung::N,joksmuz,പ്രവാഹം
101,Tropfen::N,tilkuine,തുള്ളി
102,Schaum::N,vaht,നുര
103,Schmutz::N,redu,അഴുക്ക്
104,Schmutz::N,pačak,അഴുക്ക്
105,See::N,järv,തടാകം
106,Sumpf::N,so,ചതുപ്പുനിലം
107,Moor::N,so,പാഴ്നിലം
108,Wiese::N,nit,പുൽത്തകിടി
109,Wald::N,mec,വനം
110,Wald::N,mec,കാട്
111,Hügel::N,kukaz,കുന്ന്
112,Anhöhe::N,kukaz,ഉയർന്ന ഭൂമി
113,Berg::N,mägi,പർവ്വതം
114,Gipfel::N,ladv,ഉച്ചകോടി
115,Höhle::N,mägionduz,ഗുഹ
116,Abhang::N,paute,ചരിവ്
117,Quelle::N,lähte,ഉറവിടം
118,Bach::N,oja,അരുവി
119,Fluss::N,jogi,നദി
120,Ufer::N,rand,തീരം
121,Küste::N,randišt,കടൽത്തീരം
122,Festland::N,kuivma,കര
123,Meer::N,meri,കടൽ
124,Bucht::N,laht,ഉൾക്കടല്
125,Insel::N,sar',ദ്വീപ്
126,Blume::N,änik,പൂവ്
127,Gras::N,hein,പുല്ല്
128,Wurzel::N,jur',വേര്
129,Baum::N,pu,മരം
130,Stamm::N,tüvi,തായ്ത്തടി
131,Rinde::N,kor',പട്ട
132,Ast::N,oks,ശാഖ
133,Zweig::N,oks,ശാഖ
134,Zweig::N,barb,ശാഖ
135,Blatt::N,lehtez,ഇല
136,Birke::N,koiv,പൂവരശ്
137,Kiefer[Baum]::N,pedai,പൈൻമരം
138,Weide[Baum]::N,raid,വില്ലോ
139,Tanne::N,kuz',ദേവദാരു
140,Horn::N,sar'v,മൃഗത്തിൻറെ കൊമ്പ്
141,Feder::N,höuneh,തൂവൽ
142,Fell::N,nahk,മൃദുരോമം
143,Flügel::N,suug,ചിറക്
144,Klaue::N,künz',നഖം
145,Kralle::N,künz',നഖം
