,Concept_ID,be,ta
0,Auge::N,вока,கண்
1,Ohr::N,вуха,காது
2,Nase::N,нос,மூக்கு
3,Mund::N,рот,வாய்
4,Zahn::N,зуб,பல்
5,Zunge::N,язык,நாக்கு
6,Lippe::N,губа,உதடு
7,Wange::N,шчака,கன்னம்
8,Gesicht::N,твар,முகம்
9,Stirn::N,лоб,முன்னெற்றி
10,Haar::N,волас,முடி
11,Haar::N,валасы,முடி
12,Schnurrbart::N,вус,மீசை
13,Schnurrbart::N,вусы,மீசை
14,Bart::N,барада,தாடி
15,Kinn::N,падбародак,கீழதாடை
16,Kiefer[Anatomie]::N,сківіца,தாடை
17,Kehle::N,горла,தொண்டை
18,Hals::N,шыя,கழுத்து
19,Genick::N,патыліца,கழுத்து
20,Kopf::N,галава,தலை
21,Rücken::N,спіна,முதுகு
22,Bauch::N,жывот,வயிறு
23,Nabel::N,пупок,தொப்புள்
24,Busen::N,грудзі,மார்பகம்
25,Brust::N,грудзі, மார்பு
26,Schulter::N,плячо,தோள்பட்டை
27,Arm::N,рука,கரம்
28,Ellenbogen::N,локаць,முழங்கை
29,Hand::N,кісць,கை
30,Handfläche::N,далонь,உள்ளங்கை
31,Finger::N,палец,விரல்
32,Fingernagel::N,ногаць,விரல் நகம்
33,Nagel[Anatomie]::N,ногаць,நகம்
34,Zeh::N,палец,கால்விரல்
35,Fuß::N,нага,கால்
36,Ferse::N,пята,குதிகால்
37,Ferse::N,пятка,குதிகால்
38,Knie::N,калена,முழங்கால்
39,Oberschenkel::N,бядро,தொடை
40,Oberschenkel::N,сцягно,தொடை
41,Bein::N,нага,கால்
42,Körper::N,цела,உடல்
43,Haut::N,скура,சருமம்
44,Blut::N,кроў,இரத்தம்
45,Ader::N,вена,நாளம்
46,Ader::N,сасуд,நாளம்
47,Sehne::N,жыла,தசைநார்
48,Sehne::N,цеціва,தசைநார்
49,Sehne::N,сухажылле,தசைநார்
50,Knochen::N,косць,எலுமபு
51,Gehirn::N,мозг,மூனை
52,Herz::N,сэрца,இதயம
53,Magen::N,страўнік,வயிறு
54,Leber::N,печань,கல்லீரல்
55,Atem::N,дыханне,மூச்சு
56,Hunger::N,голад,பசி
57,Träne::N,сляза,கண்ணீர்
58,Geschmack::N,смак,நறுமணம்
59,Geruch::N,пах,துர்நாற்றம்
60,Schlaf::N,сон,தூக்கம்
61,Traum::N,сон,கனவு
62,Himmel::N,неба,வானம்
63,Sonne::N,сонца,சூரியன்
64,Mond::N,месяц,சந்திரன்
65,Stern::N,зорка,நட்சத்திரம்
66,Luft::N,паветра,காறறு
67,Wind::N,вецер,காற்று
68,Welle::N,хваля,அலை
69,Wasser::N,вада,நீர்
70,Stein::N,камень,கல்
71,Boden::N,глеба,தரை
72,Erde::N,зямля,மண்
73,Staub::N,пыл,தூசி
74,Rauch::N,дым,புகை
75,Funke::N,іскра,தீப்பொறி
76,Feuer::N,агонь,தீ
77,Licht::N,святло,வெளிச்சம்
78,Schatten::N,цень,நிழல்
79,Wetter::N,пагода,வானிலை
80,Wetter::N,надворʼе,வானிலை
81,Nebel::N,туман,பனிமூட்டம்
82,Wolke::N,воблака,மேகம்
83,Regen::N,дождж,மழை
84,Schnee::N,снег,உறைபனி
85,Eis::N,лёд,பனிக்கட்டி
86,Frost::N,мароз,உறைபனி
87,Kälte::N,холад,குளிர்ந்த
88,Hitze::N,спёка,சூடு
89,Raureif::N,іней,உறைபனி வெண்திரை
90,Regenbogen::N,вясёлка,வானவில்
91,Donner::N,гром,இடி
92,Strömung::N,цячэнне,நீரோட்டம்
93,Tropfen::N,кропля,துளி
94,Schaum::N,пена,நுரை
95,Schmutz::N,гразь,அழுக்கு
96,See::N,возера,ஏரி
97,Sumpf::N,багна,சதுப்பு நிலம்
98,Moor::N,балота,முட்புதற்காடு
99,Wiese::N,луг,பசும் புல்தரை
100,Wald::N,лес,காடு
101,Hügel::N,узгорак,குன்று
102,Anhöhe::N,узвышша,பதுக்கை
103,Berg::N,гара,மலை
104,Gipfel::N,вяршыня,உச்சி மாநாடு
105,Höhle::N,пячора,குகை
106,Abhang::N,схіл,சரிவு
107,Quelle::N,крыніца,மூலம்
108,Bach::N,ручай,ஓடை
109,Fluss::N,рака,ஆறு
110,Ufer::N,бераг,நீர்க்கரை
111,Küste::N,узбярэжжа,கடற்கரை
112,Festland::N,суша,நிலம்
113,Meer::N,мора,கடல்
114,Bucht::N,бухта,சிறுகுடா
115,Insel::N,востраў,தீவு
116,Blume::N,кветка,பூ
117,Gras::N,трава,புல்தரை
118,Wurzel::N,корань,வேர்
119,Baum::N,дрэва,மரம்
