,Concept_ID,lbe,cv
1001,aufstehen::V,бизан,тӑр
1002,sich erholen::V,бигьалаган,кан
1003,krank werden::V,къашай хьун,чирле
1004,krank sein::V,къашай хъанан,чирле
1005,krank sein::V,къашавай икӏан,чирле
1006,schmerzen::V,цӏун,сур
1007,schmerzen::V,цӏун,ырат
1008,husten::V,хъугьу чин,ӳсӗр
1009,husten::V,хъугьу тӏун,ӳсӗр
1010,genesen::V,хъин хьун,сывал
1011,genesen::V,хъин хьун,тӳрлен
1012,genesen::V,сагъ лаган,сывал
1013,genesen::V,сагъ лаган,тӳрлен
1014,sterben::V,ивчӏан,вил
1015,umkommen::V,лиллан,вил
1016,umkommen::V,литӏлан,вил
1017,umkommen::V,ажал биян,вил
1018,umkommen::V,личӏи хьун,вил
1019,umkommen::V,иакьлу хьун,вил
1020,umkommen::V,ахир жан хъанан,вил
1021,umkommen::V,рухӏирачӏа икӏан,вил
1022,sich bewegen::V,сукку хьун,куҫ
1023,sich rühren::V,сукку хьун,хускал
1024,sich erheben::V,бизан,тӑр
1025,sich setzen::V,щяикӏан,лар
1026,sich setzen::V,щябикӏан,лар
1027,hinfallen::V,багьан,ӳк
1028,laufen::V,занан,ут
1029,schreiten::V,ша ласлан,ут
1030,spazierengehen::V,сайр буллан,уҫӑлса ҫӳре
1031,spazierengehen::V,сайр буллан,уткаласа ҫӳре
1032,eilen::V,анавар буккан,васка
1033,eilen::V,анавар буккан,хыпалан
1034,sich beeilen::V,анавар буккан,васка
1035,sich beeilen::V,анавар буккан,хыпалан
1036,sausen::V,никъа щилан,ыткӑн
1037,sausen::V,никъа щилан,вӗҫтер
1038,sausen::V,никъа щун,ыткӑн
1039,sausen::V,никъа щун,вӗҫтер
1040,rennen::V,лечлан,чуп
1041,springen::V,тӏанкӏ дан,сик
1042,klettern::V,лахълан,улӑх
1043,schaukeln::V,гьайжак бигьлан,йӳрӗн
1044,kriechen::V,ххярк тӏун,шу
1045,kriechen::V,ххярк тӏун,упален
1046,schwimmen::V,гьузун,иш
1047,tauchen::V,лултту уккан,чӑм
1048,rudern::V,бяхлан,авӑс
1049,rudern::V,батӏлан,авӑс
1050,rudern::V,ххялаххи дуклан,авӑс
1051,fahren::V,гьан,пыр
1052,fliegen::V,лехлан,вӗҫ
1053,gehen::V,нан,кай
1054,weggehen::V,ялагьан,кай
1055,abfahren::V,гьан,тапран
1056,anhalten::V,бацӏан,чарӑн
1057,hineingehen::V,буххан,кӗр
1058,eintreten::V,буххан,кӗр
1059,kommen::V,учӏан,кил
1060,ankommen::V,биян,ҫит
1061,ankommen::V,бучӏан,ҫит
1062,zurückkommen::V,зана хъун,таврӑн
1063,zurückkommen::V,зана хъун,каялла кил
1064,zurückkommen::V,зана бикӏан,таврӑн
1065,zurückkommen::V,зана бикӏан,каялла кил
1066,bleiben::V,личӏан,юл
1067,warten::V,ялугьлан,кӗт
1068,erwarten::V,ялугьлан,кӗт
1069,suchen::V,луглан,шыра
1070,finden::V,лякъин,туп
1071,versuchen::V,ххал буллан,пикен
1072,vorbereiten::V,хӏадур бан,хатӗрле
