,Concept_ID,es,hy
0,Auge::N,ojo,աչք
1,Ohr::N,oreja,ականջ
2,Nase::N,nariz,քիթ
3,Mund::N,boca,բերան
4,Zahn::N,diente,ատամ
5,Zunge::N,lengua,լեզու
6,Lippe::N,labio,շրթունք
7,Wange::N,mejilla,այտ
8,Wange::N,mejilla,թուշ
9,Gesicht::N,cara,դեմք
10,Stirn::N,frente,ճակատ
11,Haar::N,cabello,մազ
12,Schnurrbart::N,bigote,բեղ
13,Bart::N,barba,մորուք
14,Kinn::N,barbilla,կզակ
15,Kiefer[Anatomie]::N,mandíbula,ծնոտ
16,Kehle::N,garganta,կոկորդ
17,Hals::N,cuello,վիզ
18,Hals::N,cuello,պարանոց
19,Genick::N,nuca,ծոծրակ
20,Genick::N,cerviz,ծոծրակ
21,Kopf::N,cabeza,գլուխ
22,Rücken::N,espalda,մեջք
23,Bauch::N,vientre,փոր
24,Bauch::N,vientre,որովայն
25,Nabel::N,ombligo,պորտ
26,Busen::N,pecho,ծոց
27,Brust::N,pecho,կուրծք
28,Schulter::N,hombro,ուս
29,Arm::N,brazo,թեւ
30,Arm::N,brazo,բազուկ
31,Ellenbogen::N,codo,արմունկ
32,Hand::N,mano,ձեռք
33,Handfläche::N,palma,ափ
34,Finger::N,dedo,մատ
35,Fingernagel::N,uña,եղունգ
36,Nagel[Anatomie]::N,uña,եղունգ
37,Zeh::N,dedo del pie,ոտքի մատ
38,Fuß::N,pie,ոտք
39,Ferse::N,talón,գարշապար
40,Knie::N,rodilla,ծունկ
41,Oberschenkel::N,muslo,ազդր
42,Bein::N,pierna,ոտք
43,Körper::N,cuerpo,մարմին
44,Haut::N,piel,մաշկ
45,Blut::N,sangre,արյուն
46,Ader::N,vena,երակ
47,Sehne::N,tendón,ջիղ
48,Sehne::N,tendón,ձգտան
49,Knochen::N,hueso,ոսկոր
50,Gehirn::N,cerebro,խելք
51,Gehirn::N,encéfalo,խելք
52,Herz::N,corazón,սիրտ
53,Magen::N,estómago,ստամոքս
54,Leber::N,hígado,լյարդ
55,Atem::N,aliento,շունչ
56,Hunger::N,hambre,քաղց
57,Träne::N,lágrima,արտասուք
58,Geschmack::N,gusto,համ
59,Geschmack::N,gusto,բուրմունք
60,Geruch::N,olor,հոտ
61,Geruch::N,olor,բուրում
62,Schlaf::N,sueño,քուն
63,Traum::N,sueño,երազ
64,Traum::N,ensueño,երազ
65,Himmel::N,cielo,երկինք
66,Sonne::N,sol,արեւ
67,Mond::N,luna,լուսին
68,Stern::N,estrella,աստղ
69,Luft::N,aire,օդ
70,Wind::N,viento,քամի
71,Welle::N,ola,ալիք
72,Welle::N,onda,ալիք
73,Wasser::N,agua,ջուր
74,Stein::N,piedra,քար
75,Boden::N,suelo,գետին
76,Erde::N,tierra,հող
77,Staub::N,polvo,փոշի
78,Rauch::N,humo,ծուխ
79,Funke::N,chispa,կայծ
80,Feuer::N,fuego,կրակ
81,Feuer::N,fuego,հրդեհ
82,Licht::N,luz,լույս
83,Schatten::N,sombra,ստվեր
84,Wetter::N,tiempo,եղանակ
85,Nebel::N,niebla,մեգ
86,Nebel::N,niebla,մառախուղ
87,Wolke::N,nube,ամպ
88,Regen::N,lluvia,անձրև
89,Schnee::N,nieve,ձյուն
90,Eis::N,hielo,սառույց
91,Frost::N,helada,սառնամանիք
92,Kälte::N,frío,դող
93,Hitze::N,calor,շոգ
94,Raureif::N,escarcha,ցօղեղեամ
95,Regenbogen::N,arco iris,ծիածան
96,Donner::N,trueno,որոտ
97,Strömung::N,corriente,հոսանք
98,Tropfen::N,gota,կաթիլ
99,Schaum::N,espuma,փրփուր
100,Schmutz::N,suciedad,կեղտ
101,See::N,lago,լիճ
102,Sumpf::N,pantano,ճահիճ
103,Moor::N,turbera,ճահիճ
104,Wiese::N,prado,մարգագետին
105,Wiese::N,pradera,մարգագետին
106,Wald::N,bosque,անտառ
107,Hügel::N,colina,բլուր
108,Anhöhe::N,cerro,բարձունք
109,Berg::N,monte,լեռ
110,Berg::N,montaña,լեռ
111,Gipfel::N,cima,գագաթ
112,Gipfel::N,cima,կատար
113,Gipfel::N,cumbre,գագաթ
114,Gipfel::N,cumbre,կատար
115,Höhle::N,cueva,քարայր
116,Höhle::N,caverna,քարայր
117,Abhang::N,cuesta,լանջ
118,Abhang::N,cuesta,զառիվայր
119,Abhang::N,declive,լանջ
120,Abhang::N,declive,զառիվայր
121,Quelle::N,fuente,աղբյուր
122,Quelle::N,manantial,աղբյուր
123,Bach::N,arroyo,վտակ
124,Fluss::N,río,գետ
125,Ufer::N,orilla,ծովափ
126,Küste::N,costa,ափ
127,Küste::N,costa,ծովափ
128,Festland::N,tierra firme,ցամաք
129,Meer::N,mar,ծով
130,Bucht::N,cala,հաչիւն
131,Bucht::N,bahía,հաչիւն
132,Insel::N,isla,վղզի
133,Blume::N,flor,ծաղիկ
134,Gras::N,hierba,խոտ
135,Wurzel::N,raíz,արմատ
136,Baum::N,árbol,ծառ
137,Stamm::N,tronco,իրան
138,Rinde::N,corteza,կեղեւ
139,Rinde::N,corteza,հաչոց
140,Ast::N,rama,ճյուղ
141,Zweig::N,ramo,ճյուղ
142,Blatt::N,hoja,տերեւ
143,Birke::N,abedul,ցարասի
144,Kiefer[Baum]::N,pino,սոճի
145,Weide[Baum]::N,sauce,ուռենի
146,Tanne::N,abeto,եղեւին
147,Horn::N,asta,
148,Horn::N,cuerno,
149,Feder::N,pluma,փետուր
150,Fell::N,piel,մորթի
151,Flügel::N,ala,թեւ
152,Klaue::N,garra,չանչ
153,Kralle::N,uña,ճանկ
154,Kralle::N,garra,ճանկ
155,Schwanz::N,cola,պոչ
156,Ei::N,huevo,ձու
157,Nest::N,nido,բույն
