,Concept_ID,bg,se
0,Auge::N,око,tjelmie
1,Auge::N,око,tjalmme
2,Auge::N,око,čalbmi
3,Auge::N,око,čalme
4,Auge::N,око,čâ´lmm
5,Auge::N,око,ча̄лльм
6,Ohr::N,ухо,bieljie
7,Ohr::N,ухо,biellje
8,Ohr::N,ухо,beallji
9,Ohr::N,ухо,pelji
10,Ohr::N,ухо,pe´llj
11,Ohr::N,ухо,пе̄лльй
12,Nase::N,нос,njuenie
13,Nase::N,нос,njunnje
14,Nase::N,нос,njunni
15,Nase::N,нос,njuṇe
16,Nase::N,нос,njuu´nn
17,Nase::N,нос,нюннҍ
18,Mund::N,уста,njaelmie
19,Mund::N,уста,njálmme
20,Mund::N,уста,njálbmi
21,Mund::N,уста,njälmi
22,Mund::N,уста,njä´lmm
23,Mund::N,уста,ня̄лльм
24,Zahn::N,зъб,baenie
25,Zahn::N,зъб,bádne
26,Zahn::N,зъб,bátni
27,Zahn::N,зъб,pääṇi
28,Zahn::N,зъб,pää´nn
29,Zahn::N,зъб,па̄ннҍ
30,Zunge::N,език,njoektjeme
31,Zunge::N,език,njuovtjav
32,Zunge::N,език,njuovčča
33,Zunge::N,език,njuovčâ
34,Zunge::N,език,njuhččâm
35,Zunge::N,език,нюхчем
36,Lippe::N,устна,bangseme
37,Lippe::N,устна,njálmmerabdda
38,Lippe::N,устна,bavssa
39,Lippe::N,устна,poovsâ
40,Lippe::N,устна,põõus
41,Lippe::N,устна,пэ̄кс
42,Wange::N,буза,skiehrie
43,Wange::N,буза,nierra
44,Wange::N,буза,muohtu
45,Wange::N,буза,nieṛâ
46,Wange::N,буза,njiõrr
47,Wange::N,буза,нӣрр
48,Gesicht::N,лице,ååredæjja
49,Gesicht::N,лице,muohto
50,Gesicht::N,лице,muođut
51,Gesicht::N,лице,ámadadju
52,Gesicht::N,лице,muáđuh
53,Gesicht::N,лице,muâđ
54,Gesicht::N,лице,ка̄ссв
55,Gesicht::N,образ,ååredæjja
56,Gesicht::N,образ,muohto
57,Gesicht::N,образ,muođut
58,Gesicht::N,образ,ámadadju
59,Gesicht::N,образ,muáđuh
60,Gesicht::N,образ,muâđ
61,Gesicht::N,образ,ка̄ссв
62,Stirn::N,чело,gaalloe
63,Stirn::N,чело,gállo
64,Stirn::N,чело,gállu
65,Stirn::N,чело,kállu
66,Stirn::N,чело,käll
67,Stirn::N,чело,вуэххьц
68,Haar::N,коса,voepte
69,Haar::N,коса,vuoppta
70,Haar::N,коса,vuokta
71,Haar::N,коса,vuop'tâ
72,Haar::N,коса,vuõpt
73,Haar::N,коса,вӯппт
74,Haar::N,косъм,voepte
75,Haar::N,косъм,vuoppta
76,Haar::N,косъм,vuokta
77,Haar::N,косъм,vuop'tâ
78,Haar::N,косъм,vuõpt
79,Haar::N,косъм,вӯппт
80,Schnurrbart::N,мустаци,bijjie-skaavtjoe
81,Schnurrbart::N,мустаци,njunjevuolskávttjá
82,Schnurrbart::N,мустаци,seamu
83,Schnurrbart::N,мустаци,siämu
84,Schnurrbart::N,мустаци,ää´bben
85,Schnurrbart::N,мустаци,о̄а̄бпан
86,Bart::N,брада,skaavtja
87,Bart::N,брада,skaavtjoe
88,Bart::N,брада,skávttjá
89,Bart::N,брада,seamu
90,Bart::N,брада,siämu
91,Bart::N,брада,seäm
92,Bart::N,брада,ся̄м
93,Kinn::N,брада,gaejpie
94,Kinn::N,брада,gájbbe
95,Kinn::N,брада,gáibi
96,Kinn::N,брада,käibi
97,Kinn::N,брада,käi´bb
98,Kinn::N,брада,ка̄ййп
99,Kinn::N,брадичка,gaejpie
100,Kinn::N,брадичка,gájbbe
101,Kinn::N,брадичка,gáibi
102,Kinn::N,брадичка,käibi
103,Kinn::N,брадичка,käi´bb
104,Kinn::N,брадичка,ка̄ййп
105,Kiefer[Anatomie]::N,челюст,gaejpie
106,Kiefer[Anatomie]::N,челюст,oalol
107,Kiefer[Anatomie]::N,челюст,oaloldákte
108,Kiefer[Anatomie]::N,челюст,gáibi
109,Kiefer[Anatomie]::N,челюст,uá'lultähti
110,Kiefer[Anatomie]::N,челюст,vuâl'lõš
111,Kiefer[Anatomie]::N,челюст,вуаллнешш
112,Kehle::N,гърло,gealoe
113,Kehle::N,гърло,tjåttå
114,Kehle::N,гърло,njiello
115,Kehle::N,гърло,čotta
116,Kehle::N,гърло,čuudâ
117,Kehle::N,гърло,čoodd
118,Kehle::N,гърло,чонт
119,Kehle::N,гърло,кэ̄ҏс
120,Hals::N,врат,tjeapohke
121,Hals::N,врат,tjiebet
122,Hals::N,врат,čeabet
123,Hals::N,врат,čiäppát
124,Hals::N,врат,čeäppat
125,Hals::N,врат,ча̄пэх
126,Genick::N,тил,tjovrese
127,Genick::N,тил,nisske
128,Genick::N,тил,niehkki
129,Genick::N,тил,niski
130,Genick::N,тил,niek'ki
131,Genick::N,тил,nji´šǩǩmaadd
132,Genick::N,тил,нышшькмоант
133,Kopf::N,глава,åejjie
134,Kopf::N,глава,oajvve
135,Kopf::N,глава,oaivi
136,Kopf::N,глава,uái'vi
137,Kopf::N,глава,vuei´vv
138,Kopf::N,глава,вуэййв
139,Rücken::N,гръб,rudtje
140,Rücken::N,гръб,hárddo
141,Rücken::N,гръб,tjavelk
142,Rücken::N,гръб,sealgi
143,Rücken::N,гръб,selgi
144,Rücken::N,гръб,čielgi
145,Rücken::N,гръб,seä´lǧǧ
146,Rücken::N,гръб,се̄лльк
147,Bauch::N,корем,tjåejjie
148,Bauch::N,корем,tjoajvve
149,Bauch::N,корем,čoavji
150,Bauch::N,корем,čuáv'ji
151,Bauch::N,корем,čåu´jj
152,Bauch::N,корем,чо̄ввьй
153,Nabel::N,пъп,naepie
154,Nabel::N,пъп,náhpe
155,Nabel::N,пъп,náhpi
156,Nabel::N,пъп,nääpi
157,Nabel::N,пъп,nää´pp
158,Nabel::N,пъп,на̄бпь
159,Busen::N,бозка,boenge
160,Busen::N,бозка,bållå
161,Busen::N,бозка,čižži
162,Busen::N,бозка,njamma
163,Busen::N,бозка,njižže
164,Busen::N,бозка,nje´ǯǯ
165,Busen::N,бозка,раннҍт
166,Brust::N,гръд,mïelke
167,Brust::N,гръд,radde
168,Brust::N,гръд,mielgga
169,Brust::N,гръд,raddi
170,Brust::N,гръд,radde
171,Brust::N,гръд,râ´dd
172,Brust::N,гръд,раннҍт
173,Schulter::N,рамо,åelkie
174,Schulter::N,рамо,oalgge
175,Schulter::N,рамо,hárdu
176,Schulter::N,рамо,ärdee
177,Schulter::N,рамо,uál'gi
178,Schulter::N,рамо,a´rddi
179,Schulter::N,рамо,vuä´lǧǧ
180,Schulter::N,рамо,вуэллык
181,Schulter::N,плещи,åelkie
182,Schulter::N,плещи,oalgge
183,Schulter::N,плещи,hárdu
184,Schulter::N,плещи,ärdee
185,Schulter::N,плещи,uál'gi
186,Schulter::N,плещи,a´rddi
187,Schulter::N,плещи,vuä´lǧǧ
188,Schulter::N,плещи,вуэллык
189,Arm::N,ръка,gïete
190,Arm::N,ръка,giehta
191,Arm::N,ръка,giehta
192,Arm::N,ръка,kietâ
193,Arm::N,ръка,kie'tâkaaṿâ
194,Arm::N,ръка,ǩiõtt
195,Arm::N,ръка,кӣдт
196,Ellenbogen::N,лакът,gernjere
197,Ellenbogen::N,лакът,garŋŋel
198,Ellenbogen::N,лакът,gargŋil
199,Ellenbogen::N,лакът,käŋŋir
200,Ellenbogen::N,лакът,kõõnjâr
201,Ellenbogen::N,лакът,карьнэль
202,Hand::N,ръка,gïete
203,Hand::N,ръка,giehta
204,Hand::N,ръка,giehta
205,Hand::N,ръка,kietâ
206,Hand::N,ръка,ǩiõtt
207,Hand::N,ръка,кӣдт
208,Hand::N,китка,gïete
209,Hand::N,китка,giehta
210,Hand::N,китка,giehta
211,Hand::N,китка,kietâ
212,Hand::N,китка,ǩiõtt
213,Hand::N,китка,кӣдт
214,Handfläche::N,длан,gïeten-låapoe
215,Handfläche::N,длан,giehtavuodo
216,Handfläche::N,длан,tjårmmåvuodo
217,Handfläche::N,длан,giehtaloahpu
218,Handfläche::N,длан,kiämád
219,Handfläche::N,длан,kuámmir
220,Handfläche::N,длан,kuä´m'mer
221,Handfläche::N,длан,ǩiõttǩeä´m'men
222,Handfläche::N,длан,ко̄а̄ллдэгк
223,Handfläche::N,длан,кӣдткоалдэгк
224,Finger::N,пръст,soerme
225,Finger::N,пръст,tjuvdde
226,Finger::N,пръст,suorbma
227,Finger::N,пръст,čuvde
228,Finger::N,пръст,suor'mâ
229,Finger::N,пръст,suõrmm
230,Finger::N,пръст,це̄ххп
231,Fingernagel::N,нокът,gadtse
232,Fingernagel::N,нокът,guehpere
233,Fingernagel::N,нокът,gadtsa
234,Fingernagel::N,нокът,gazza
235,Fingernagel::N,нокът,kozzâ
236,Fingernagel::N,нокът,kõʒʒ
237,Fingernagel::N,нокът,кэ̄ннц
238,Nagel[Anatomie]::N,нокът,gadtse
239,Nagel[Anatomie]::N,нокът,guehpere
240,Nagel[Anatomie]::N,нокът,gadtsa
241,Nagel[Anatomie]::N,нокът,gazza
242,Nagel[Anatomie]::N,нокът,kozzâ
243,Nagel[Anatomie]::N,нокът,kõʒʒ
244,Nagel[Anatomie]::N,нокът,кэ̄ннц
245,Zeh::N,пръст на крак,tjiehtjere
246,Zeh::N,пръст на крак,juolggetjuvdde
247,Zeh::N,пръст на крак,juolgesuorbma
248,Zeh::N,пръст на крак,jyel'gisuor'mâ
249,Zeh::N,пръст на крак,jue´lǧǧsuõrmm
250,Zeh::N,пръст на крак,ю̄лльк-це̄һп
251,Fuß::N,крак,juelkie
252,Fuß::N,крак,juolgge
253,Fuß::N,крак,juolgi
254,Fuß::N,крак,jyel'gi
255,Fuß::N,крак,jue´lǧǧ
256,Fuß::N,крак,ла̄бпь
257,Fuß::N,нога,juelkie
258,Fuß::N,нога,juolgge
259,Fuß::N,нога,juolgi
260,Fuß::N,нога,jyel'gi
261,Fuß::N,нога,jue´lǧǧ
262,Fuß::N,нога,ла̄бпь
263,Ferse::N,пета,båetskie
264,Ferse::N,пета,boasske
265,Ferse::N,пета,šušmi
266,Ferse::N,пета,šušme
267,Ferse::N,пета,jue´lǧǧkädd
268,Ferse::N,пета,ка̄ннт
269,Knie::N,коляно,boelve
270,Knie::N,коляно,buolvva
271,Knie::N,коляно,čibbi
272,Knie::N,коляно,veaŋki
273,Knie::N,коляно,iidâ
274,Knie::N,коляно,puõlvv
275,Knie::N,коляно,пуллв
276,Oberschenkel::N,бедро,ruaksja
277,Oberschenkel::N,бедро,tjibbe
278,Oberschenkel::N,бедро,gassaváhkká
279,Oberschenkel::N,бедро,badjeváhkáa
280,Oberschenkel::N,бедро,čuár'bpeeḷi
281,Oberschenkel::N,бедро,če´bb
282,Oberschenkel::N,бедро,чуаррбе̄лль
283,Bein::N,крак,juelkie
284,Bein::N,крак,juolgge
285,Bein::N,крак,juolgi
286,Bein::N,крак,jyel'gi
287,Bein::N,крак,jue´lǧǧ
288,Bein::N,крак,ю̄лльк
289,Bein::N,нога,juelkie
290,Bein::N,нога,juolgge
291,Bein::N,нога,juolgi
292,Bein::N,нога,jyel'gi
293,Bein::N,нога,jue´lǧǧ
294,Bein::N,нога,ю̄лльк
295,Körper::N,тяло,kråahpe
296,Körper::N,тяло,rumáj
297,Körper::N,тяло,rumaš
298,Körper::N,тяло,ruumâš
299,Körper::N,тяло,rå´pp
300,Körper::N,тяло,лышшьк
301,Körper::N,тяло,роаӈӈьк
302,Haut::N,кожа,njaltja
303,Haut::N,кожа,lijkke
304,Haut::N,кожа,tjuobma
305,Haut::N,кожа,liiki
306,Haut::N,кожа,liške
307,Haut::N,кожа,le´šǩǩ
308,Haut::N,кожа,лышшьк
309,Blut::N,кръв,vïrre
310,Blut::N,кръв,maelie
311,Blut::N,кръв,varra
312,Blut::N,кръв,varra
313,Blut::N,кръв,vorrâ
314,Blut::N,кръв,võrr
315,Blut::N,кръв,вэ̄рр
316,Ader::N,вена,åerie
317,Ader::N,вена,aajroe
318,Ader::N,вена,suodna
319,Ader::N,вена,varrasuotna
320,Ader::N,вена,suoṇâ
321,Ader::N,вена,suõnn
322,Ader::N,вена,сӯнн
323,Ader::N,артерия,åerie
324,Ader::N,артерия,aajroe
325,Ader::N,артерия,suodna
326,Ader::N,артерия,varrasuotna
327,Ader::N,артерия,suoṇâ
328,Ader::N,артерия,suõnn
329,Ader::N,артерия,сӯнн
330,Sehne::N,жила,soene
331,Sehne::N,жила,gåårtenje
332,Sehne::N,жила,suodna
333,Sehne::N,жила,suotna
334,Sehne::N,жила,suoṇâ
335,Sehne::N,жила,suõnn
336,Sehne::N,жила,сӯнн
337,Sehne::N,сухожилие,soene
338,Sehne::N,сухожилие,gåårtenje
339,Sehne::N,сухожилие,suodna
340,Sehne::N,сухожилие,suotna
341,Sehne::N,сухожилие,suoṇâ
342,Sehne::N,сухожилие,suõnn
343,Sehne::N,сухожилие,сӯнн
344,Knochen::N,кост,måara
345,Knochen::N,кост,måaroe
346,Knochen::N,кост,dákte
347,Knochen::N,кост,dákti
348,Knochen::N,кост,tähti
349,Knochen::N,кост,tä´htt
350,Knochen::N,кост,та̄ххт
351,Knochen::N,кост,та̄ффьт
352,Gehirn::N,мозък,aajla
353,Gehirn::N,мозък,vuojŋam
354,Gehirn::N,мозък,vuoigŋašat
355,Gehirn::N,мозък,vuoi'ŋâšeh
356,Gehirn::N,мозък,vuo'ivâšneh
357,Gehirn::N,мозък,vuõivâšn
358,Gehirn::N,мозък,вуэййвэшна
359,Herz::N,сърце,vaajmoe
360,Herz::N,сърце,tsåhke
361,Herz::N,сърце,váibmu
362,Herz::N,сърце,váimu
363,Herz::N,сърце,čââ´đ
364,Herz::N,сърце,кӯттҌк
365,Magen::N,стомах,tjåejjie
366,Magen::N,стомах,tjoajvve
367,Magen::N,стомах,čoavji
368,Magen::N,стомах,čuáv'ji
369,Magen::N,стомах,čåu´jj
370,Magen::N,стомах,чо̄ввьй
371,Leber::N,черен дроб,mueksie
372,Leber::N,черен дроб,librre
373,Leber::N,черен дроб,vuoivvas
374,Leber::N,черен дроб,vuoivâs
375,Leber::N,черен дроб,vuõivâs
376,Leber::N,черен дроб,вуйвас
377,Atem::N,дишане,voejngehtasse
378,Atem::N,дишане,båssånis
379,Atem::N,дишане,vuojŋadahka
380,Atem::N,дишане,vuoiŋŋahat
381,Atem::N,дишане,vuo'iŋâstim
382,Atem::N,дишане,jiõg'g
383,Atem::N,дишане,вӯйнас
384,Atem::N,дишане,вӯййнмушш
385,Hunger::N,глад,nielkie
386,Hunger::N,глад,nielgge
387,Hunger::N,глад,nealgi
388,Hunger::N,глад,nelgi
389,Hunger::N,глад,neä´lǧǧ
390,Hunger::N,глад,не̄лльк
391,Träne::N,сълза,gïknjele
392,Träne::N,сълза,ganjál
393,Träne::N,сълза,ganjal
394,Träne::N,сълза,koonjâl
395,Träne::N,сълза,kõõnjâl
396,Träne::N,сълза,кэ̄нял
397,Geschmack::N,вкус,aelmie
398,Geschmack::N,вкус,muosse
399,Geschmack::N,вкус,smáhkka
400,Geschmack::N,вкус,máhku
401,Geschmack::N,вкус,smáhkka
402,Geschmack::N,вкус,mááhu
403,Geschmack::N,вкус,smakkâ
404,Geschmack::N,вкус,njõõd
405,Geschmack::N,вкус,smääkk
406,Geschmack::N,вкус,ня̄лльк
407,Geruch::N,миризма,haaje
408,Geruch::N,миризма,habjja
409,Geruch::N,миризма,hádja
410,Geruch::N,миризма,opsâ
